0100000012	يارىتىلىش
01041800c5	ئەگەر قابىل ئۈچۈن يەتتە ھەسسە ئىنتىقام ئېلىنسا، لەمەخ ئۈچۈن يەتمىش يەتتە ھەسسە ئىنتىقام ئېلىنىدۇ!» ــ دېدى.
0104190157	ئادەمئاتا يەنە ئايالى بىلەن بىللە بولدى. ئايالى بىر ئوغۇل تۇغۇپ، ئۇنىڭغا شېت دەپ ئات قويۇپ: قابىل ھابىلنى ئۆلتۈرۈۋەتكىنى ئۈچۈن خۇدا ئۇنىڭ ئورنىغا ماڭا باشقا بىر ئەۋلاد تىكلەپ بەردى، دېدى.
01041a00f2	شېتتىنمۇ بىر ئوغۇل تۇغۇلدى؛ ئۇ ئۇنىڭغا ئېنوش دەپ ئات قويدى. شۇ ۋاقىتتىن تارتىپ ئادەملەر پەرۋەردىگارنىڭ نامىغا نىدا قىلىشقا باشلىدى.
01050100d3	بۇ ئادەمئاتىنىڭ ئەۋلادلىرىنىڭ نەسەبنامىسىدۇر: ــ خۇدا ئىنساننى ياراتقان كۈنىدە، ئۇنى ئۆزىگە ئوخشاش قىلىپ ياراتتى.
01050200fd	ئۇ ئۇلارنى ئەر جىنىس ۋە ئايال جىنىس قىلىپ يارىتىپ، ئۇلارغا بەخت-بەرىكەت ئاتا قىلىپ، يارىتىلغان كۈنىدە ئۇلارنىڭ نامىنى «ئادەم» دەپ ئاتىدى.
01050300ff	ئادەمئاتا بىر يۈز ئوتتۇز ياشقا كىرگەندە ئۇنىڭدىن ئۆزىگە ئوخشايدىغان، ئۆز سۈرەت-ئوبرازىدەك بىر ئوغۇل تۆرەلدى؛ ئۇ ئۇنىڭغا شېت دەپ ئات قويدى.
01050400b2	شېت تۇغۇلغاندىن كېيىن ئادەمئاتا سەككىز يۈز يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن [يەنە] ئوغۇل-قىزلار تۆرەلدى.
010505007e	ئادەمئاتىمىز جەمئىي توققۇز يۈز ئوتتۇز يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
0105060063	شېت بىر يۈز بەش ياشقا كىرگەندە ئۇنىڭدىن ئېنوش تۆرەلدى.
01050700b5	ئېنوش تۇغۇلغاندىن كېيىن شېت سەككىز يۈز يەتتە يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن [يەنە] ئوغۇل-قىزلار تۆرەلدى.
0105080071	شېت جەمئىي توققۇز يۈز ئون ئىككى يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
010509005f	ئېنوش توقسان ياشقا كىرگەندە ئۇنىڭدىن كېنان تۆرەلدى.
01050a00bc	كېنان تۇغۇلغاندىن كېيىن، ئېنوش سەككىز يۈر ئون بەش يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن يەنە ئوغۇل-قىزلار تۆرەلدى.
01050b006a	ئېنوش جەمئىي توققۇز يۈز بەش يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
01050c0067	كېنان يەتمىش ياشقا كىرگەندە ئۇنىڭدىن ماھالالېل تۆرەلدى.
01050d00c1	ماھالالېل تۇغۇلغاندىن كېيىن كېنان سەككىز يۈز قىرىق يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن [يەنە] ئوغۇل-قىزلار تۆرەلدى.
01050e006a	كېنان جەمئىي توققۇز يۈز ئون يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
01050f006e	ماھالالېل ئاتمىش بەش ياشقا كىرگەندە ئۇنىڭدىن يارەد تۆرەلدى.
01051000c3	يارەد تۇغۇلغاندىن كېيىن ماھالالېل سەككىز يۈز ئوتتۇز يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن [يەنە] ئوغۇل-قىزلار تۆرەلدى.
010511007f	ماھالالېل جەمئىي سەككىز يۈز توقسان بەش يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
0105120078	يارەد بىر يۈز ئاتمىش ئىككى ياشقا كىرگەندە ئۇنىڭدىن ھانوخ تۆرەلدى.
01051300ac	ھانوخ تۇغۇلغاندىن كېيىن يارەد سەككىز يۈز يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن يەنە ئوغۇل-قىزلار تۆرەلدى.
010514007b	يارەد جەمئىي توققۇز يۈز ئاتمىش ئىككى يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
010515006e	ھانوخ ئاتمىش بەش ياشقا كىرگەندە ئۇنىڭدىن مەتۇشەلاھ تۆرەلدى.
01051600c0	مەتۇشەلاھ تۇغۇلغاندىن كېيىن ھانوخ ئۈچ يۈز يىلغىچە خۇدا بىلەن بىر يولدا مېڭىپ، يەنە ئوغۇل-قىزلارنى تاپتى.
0105170085	ھانوخنىڭ [يەر يۈزىدە] بارلىق كۆرگەن كۈنلىرى ئۈچ يۈز ئاتمىش بەش يىل بولدى؛
01051800d5	ئۇ خۇدا بىلەن بىر يولدا مېڭىپ ياشايتتى؛ ئۇ [تۇيۇقسىز كۆزدىن] غايىب بولدى؛ چۈنكى خۇدا ئۇنى ئۆز يېنىغا ئېلىپ كەتكەنىدى.
0105190080	مەتۇشەلاھ بىر يۈز سەكسەن يەتتە ياشقا كىرگەندە ئۇنىڭدىن لەمەخ تۆرەلدى.
01051a00c1	لەمەخ تۇغۇلغاندىن كېيىن مەتۇشەلاھ يەتتە يۈز سەكسەن ئىككى يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن ئوغۇل-قىزلار تۆرەلدى.
01051b0085	مەتۇشەلاھ جەمئىي توققۇز يۈز ئاتمىش توققۇز يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
01051c01a5	لەمەخ بىر يۈز سەكسەن ئىككى ياشقا كىرگەندە بىر ئوغۇل تېپىپ، ئۇنىڭ ئىسمىنى نۇھ ئاتاپ: ــ پەرۋەردىگار تۇپراققا لەنەت قىلدى؛ شۇڭا بىز [يەرگە] ئىشلىگىنىمىزدە ھەمدە قوللىرىمىزنىڭ جاپالىق ئەمگىكىدە بۇ بالا بىزگە تەسەللى بېرىدۇ، ــ دېدى.
01051e00b6	نۇھ تۇغۇلغاندىن كېيىن لەمەخ بەش يۈز توقسان بەش يىل ئۆمۈر كۆرۈپ، ئۇنىڭدىن يەنە ئوغۇل-قىزلار تۆرەلدى.
01051f0079	لەمەخ جەمئىي يەتتە يۈز يەتمىش يەتتە يىل كۈن كۆرۈپ، ئالەمدىن ئۆتتى.
0105200080	نۇھ بەش يۈز ياشقا كىرگەندىن كېيىن، ئۇنىڭدىن شەم، ھام ۋە يافەت تۆرەلدى.
01060100b9	ۋە شۇنداق بولدىكى، ئىنسانلار يەر يۈزىدە كۆپىيىشكە باشلىغاندا، شۇنداقلا قىزلارمۇ كۆپلەپ تۇغۇلغاندا،
01060200d8	خۇدانىڭ ئوغۇللىرى ئىنسانلارنىڭ قىزلىرىنىڭ چىرايلىقلىقىنى كۆرۈپ، خالىغانچە تاللاپ، ئۆزلىرىگە خوتۇن قىلىشقا باشلىدى.
0106030164	ئۇ ۋاقىتتا پەرۋەردىگار سۆز قىلىپ: ــ ــ مېنىڭ روھىم ئىنسانلار بىلەن مەڭگۈ كۈرەش قىلىۋەرمەيدۇ؛ چۈنكى ئىنسان ئەتتۇر، خالاس. كەلگۈسىدە ئۇلارنىڭ ئۆمرى پەقەت بىر يۈز يىگىرمە ياشتىن ئاشمىسۇن! ــ دېدى.
01060401a7	شۇ كۈنلەردە (ۋە شۇنداقلا كېيىنكى كۈنلەردىمۇ)، خۇدانىڭ ئوغۇللىرى ئىنسانلارنىڭ قىزلىرىنىڭ يېنىغا بېرىپ، ئۇلاردىن بالىلارنى تاپقىنىدا، گىگانتلار يەر يۈزىدە پەيدا بولدى. بۇلار بولسا قەدىمكى زامانلاردىكى داڭلىق پالۋان-باتۇرلار ئىدى.
0106050115	پەرۋەردىگار ئىنساننىڭ ئۆتكۈزۈۋاتقان رەزىللىكى يەر يۈزىدە كۆپىيىپ كەتكەنلىكىنى، ئۇلارنىڭ كۆڭلىدىكى نىيەتلىرىنىڭ ھەرقاچان يامان بولۇۋاتقىنىنى كۆردى.
01060600b6	شۇنىڭ بىلەن پەرۋەردىگار يەر يۈزىدە ئادەمنى ئاپىرىدە قىلغىنىغا پۇشايمان قىلىپ، كۆڭلىدە ئازابلاندى.
01060701bd	بۇنىڭ بىلەن پەرۋەردىگار: ــ ئۆزۈم ياراتقان ئىنساننى يەر يۈزىدىن يوقىتىمەن ــ ئىنساندىن تارتىپ مال-چارۋىلارغىچە، ئۆمىلىگۈچى ھايۋانلاردىن ئاسماندىكى قۇشلارغىچە، ھەممىسىنى يوق قىلىمەن؛ چۈنكى مەن ئۇلارنى ياراتقىنىمغا پۇشايمەن قىلدىم، ــ دېدى.
010608006b	لېكىن نۇھ بولسا پەرۋەردىگارنىڭ نەزىرىدە شەپقەت تاپقانىدى.
0106090105	نۇھ ۋە ئۇنىڭ ئىش-ئىزلىرى تۆۋەندىكىچە: ــ نۇھ ھەققانىي، ئۆز دەۋرىدىكىلەر ئارىسىدا ئەيىبسىز ئادەم ئىدى؛ نۇھ خۇدا بىلەن بىر يولدا مېڭىپ ياشايتتى.
01060a0056	نۇھتىن شەم، ھام، يافەت دېگەن ئۈچ ئوغۇل تۆرەلدى.
01060b0096	پۈتكۈل جاھان خۇدانىڭ ئالدىدا رەزىللىشىپ، ھەممە يەر زوراۋانلىققا تولۇپ كەتكەنىدى.
01060c00ef	خۇدا يەر يۈزىگە نەزەر سېلىۋىدى، مانا، جاھان رەزىللەشكەنىدى؛ چۈنكى بارلىق ئەت ئىگىلىرىنىڭ يەر يۈزىدە قىلىۋاتقىنى يۇزۇقچىلىق ئىدى.
01060d0171	شۇنىڭ بىلەن خۇدا نۇھقا: ــ مانا، ئالدىمغا بارلىق ئەت ئىگىلىرىنىڭ زاۋاللىقى يېتىپ كەلدى؛ چۈنكى پۈتكۈل يەر-جاھاننى ئۇلارنىڭ سەۋەبىدىن زوراۋانلىق قاپلىدى. مانا، مەن ئۇلارنى يەر بىلەن قوشۇپ ھالاك قىلىمەن.
01060e00dc	ئەمدى سەن ئۆزۈڭگە گوفەر ياغىچىدىن بىر كېمە ياساپ، كېمىنىڭ ئىچىدە بۆلمە-خانىلارنى قىلىپ، ئىچى-تېشىنى قارىماي بىلەن سۇۋا.
01060f00b8	سەن ئۇنى شۇنداق ياسىغىن: ــ ئۇزۇنلۇقى ئۈچ يۈز گەز، كەڭلىكى ئەللىك گەز ۋە ئېگىزلىكى ئوتتۇز گەز بولسۇن.
0106100138	كېمىنىڭ پېشايۋىنى ئاستىغا بىر ئوچۇقچىلىق ياسا، ئۇنىڭ ئېگىزلىكى بىر گەز بولسۇن؛ ئىشىكىنى كېمىنىڭ يېنىغا ئورۇنلاشتۇر؛ كېمىنى ئاستى، ئوتتۇرا ۋە ئۈستى قىلىپ ئۈچ قەۋەت ياسا.
010611016f	چۈنكى مانا، مەن ئۆزۈم ئاسماننىڭ ئاستىدىكى ھاياتلىق تىنىقى بارلىكى ھەربىر ئەت ئىگىسىنى ھالاك قىلىدىغان سۇ توپاننى يەر يۈزىگە كەلتۈرىمەن؛ بۇنىڭ بىلەن يەر يۈزىدىكى بارلىق مەخلۇقلار تىنىقىدىن توختايدۇ.
01061200d0	لېكىن سەن بىلەن ئەھدەمنى تۈزىمەن. سەن ئۆزۈڭ، ئوغۇللىرىڭ، ئايالىڭ ۋە كېلىنلىرىڭنى ئېلىپ بىرلىكتە كېمىگە كىرىڭلار.
010613010d	ئۆزۈڭ بىلەن تەڭ تىرىك ساقلاپ قېلىش ئۈچۈن، بارلىق جاندارلاردىن ھەرقايسىسىدىن بىر جۈپ، يەنى ئەركىكىدىن بىرىنى، چىشىدىن بىرىنى كېمىگە ئېلىپ كىرگىن؛
0106140126	تىرىك قېلىش ئۈچۈن قۇشلارنىڭ ھەربىر تۈرلىرىدىن، مال-چارۋىلارنىڭ ھەربىر تۈرلىرىدىن ۋە يەردە ئۆمىلىگۈچى جانىۋارلارنىڭ ھەربىر تۈرلىرىدىن بىر جۈپى قېشىڭغا كىرىدۇ.
01061500a6	ئۆزۈڭ ۋە ئۇلارنىڭ ئوزۇقلۇقى ئۈچۈن ھەرخىل يېمەكلىكلەردىن ئېلىپ، يېنىڭغا غەملىگىن، ــ دېدى.
010616007d	نۇھ شۇنداق قىلدى؛ خۇدا ئۆزىگە بۇيرۇغان ھەممە ئىشنى ئۇ بەجا كەلتۈردى.
01070100ee	پەرۋەردىگار نۇھقا مۇنداق دېدى: ــ «سەن پۈتۈن ئۆيدىكىلىرىڭ بىلەن كېمىگە كىرگىن؛ چۈنكى بۇ دەۋردە ئالدىمدا سېنى ھەققانىي دەپ كۆردۈم.
01070201ef	ھەممە ھالال ھايۋانلارنىڭ ئەركەك-چىشىسىدىن يەتتە جۈپتىن، ھارام ھايۋانلارنىڭ ئەركەك-چىشىسىدىن بىر جۈپتىن ئېلىپ، شۇنىڭدەك ئاسماندىكى ئۇچار-قاناتلارنىڭمۇ ئەركەك-چىشىسىدىن يەتتە جۈپتىن ئېلىپ، ئۇلارنىڭ نەسلىنى پۈتكۈل يەر يۈزىدە تىرىك ساقلاش ئۈچۈن ئۆزۈڭ بىلەن بىللە ئەكىر.
01070400f9	چۈنكى يەتتە كۈندىن كېيىن ئۇدا قىرىق كېچە-كۈندۈز يەر يۈزىگە يامغۇر ياغدۇرىمەن؛ ئۆزۈم ياسىغان ھەممە جانىۋارلارنى يەر يۈزىدىن يوقىتىمەن».
0107050085	شۇنىڭ بىلەن نۇھ پەرۋەردىگار ئۇنىڭغا بۇيرۇغىنىنىڭ ھەممىسىگە ئەمەل قىلدى.
010706005d	يەر يۈزىنى توپان باسقاندا نۇھ ئالتە يۈز ياشتا ئىدى.
01070700a7	توپاندىن [قۇتۇلۇپ قېلىش] ئۈچۈن نۇھ بىلەن ئوغۇللىرى، ئايالى ۋە كېلىنلىرى بىللە كېمىگە كىردى.
0107080176	ھالال ھايۋانلار بولسۇن، ھارام ھايۋانلار بولسۇن، قۇشلار بىلەن يەردە ئۆمىلىگۈچى جانىۋارلار بولسۇن، [ھەربىر تۈردىن] بىر جۈپ-بىر جۈپتىن ئەركەك-چىشى بولۇپ، خۇدا نۇھقا بۇيرۇغاندەك كېمىگە، نۇھنىڭ قېشىغا كىردى.
01070a0085	ۋە شۇنداق بولدىكى، يەتتە كۈندىن كېيىن، يەر يۈزىنى توپان بېسىشقا باشلىدى.
01070b0136	نۇھنىڭ ئۆمرىنىڭ ئالتە يۈزىنچى يىلى، ئىككىنچى ئېيىنىڭ ئون يەتتىنچى كۈنىدە چوڭقۇر دېڭىزلارنىڭ تەگلىرىدىكى بارلىق بۇلاقلار يېرىلىپ، ئاسماننىڭ پەنجىرىلىرى ئېچىلىپ كەتتى.
01070c0067	يامغۇر ئۇدا قىرىق كېچە-كۈندۈز يەر يۈزىگە توختىماي ياغدى.
01070d00d6	دەل يامغۇر باشلانغان كۈنى، نۇھ، نۇھنىڭ شەم، ھام، يافەت دېگەن ئوغۇللىرى، نۇھنىڭ ئايالى بىلەن ئۈچ كېلىنى كېمىگە كىردى.
01070e01ad	ئۇلار بىلەن بىللە ھەرخىل ياۋا ھايۋانلار تۈر-تۈرى بويىچە، ھەرخىل مال-چارۋىلار تۈر-تۈرى بويىچە، يەردە ئۆمىلىگۈچى ھەرخىل جانىۋارلار تۈر-تۈرى بويىچە ۋە ھەرخىل ئۇچار-قاناتلار، يەنى ھەرخىل قاناتلىق جانىۋارلار تۈر-تۈرى بويىچە كېمىگە كىردى.
01070f00e4	ئەت ئىگىلىرىدىن، يەنى بارلىق ھاياتلىق تىنىقى بولغان ھەرخىل جاندارلاردىن، بىر جۈپ-بىر جۈپ بولۇپ، كېمىگە نۇھنىڭ قېشىغا كىردى.
01071000e3	كىرگەنلەر خۇدانىڭ نۇھقا بۇيرۇغىنىدەك ئەت ئىگىلىرىنىڭ ھەرتۈرىنىڭ ئەركەك-چىشىسى ئىدى. ئاندىن پەرۋەردىگار ئىشىكنى ئېتىۋەتتى.
01071100bb	توپان يەر يۈزىنى ئۇدا قىرىق كۈن بېسىپ، سۇلار ئۇلغىيىپ كەتتى. كېمە يەر ئۈستىدىن كۆتۈرۈلۈپ لەيلەپ قالدى.
0107120096	سۇ ئۇلغىيىپ، يەر ئۈستىدە تېخىمۇ ئېگىزلەپ كەتتى؛ كېمە سۇ ئۈستىدە داۋالغۇپ تۇراتتى.
01071300b5	سۇلار يەر يۈزىدە تولىمۇ ئۇلغىيىپ، پۈتكۈل ئاسماننىڭ ئاستىدىكى بارلىق ئېگىز تاغلارنىمۇ بېسىپ كەتتى.
010714008a	سۇلار [تاغلاردىن] يەنە ئون بەش گەز ئۆرلەپ، تاغ چوققىلىرىمۇ سۇ ئاستىدا قالدى.
0107150140	بۇنىڭ بىلەن يەر يۈزىدە يۈرگۈچى ھەممە ئەت ئىگىلىرى، ئۇچار-قۇشلار، مال-چارۋىلار، ياۋايى ھايۋانلار، يەردە ئۆمىلىگۈچى ھەممە جانىۋارلار، جۈملىدىن پۈتكۈل ئادەملەر ھەممىسى ئۆلدى؛
010716008f	قۇرۇقلۇقتا ياشىغۇچى، بۇرنىدا ھاياتلىق تىنىقى بار بولغانلارنىڭ ھەممىسى ئۆلدى.
01071701b5	يەر يۈزىدىكى جېنى بارلارنىڭ ھەممىسى، ئىنسان بولسۇن، مال-چارۋىلار بولسۇن، ئۆمىلىگۈچى ھايۋانلار بولسۇن، ئاسماندىكى قۇشلار بولسۇن، ھەممىسى ھالاك بولۇپ يەر يۈزىدىن يوق قىلىندى؛ پەقەت نۇھ ۋە كېمىدە ئۇنىڭ بىلەن بىللە تۇرغانلار قۇتۇلۇپ قالدى.
0107180059	بىر يۈز ئەللىك كۈنگىچە يەر يۈزىنى سۇ بېسىپ تۇردى.
0108010166	خۇدا نۇھنى، شۇنداقلا كېمىدە ئۇنىڭ بىلەن بىللە بولغان بارلىق ياۋايى ھايۋانلار بىلەن بارلىق مال-چارۋىلارنى ئەسلىدى. شۇنىڭ بىلەن خۇدا بىر شامال چىقىرىپ يەر يۈزىنى يەلپۈتتى ۋە سۇلار يېنىشقا باشلىدى.
01080200cc	چوڭقۇر دېڭىزلارنىڭ تەگلىرىدىكى بۇلاقلار ۋە ئاسماننىڭ پەنجىرىلىرى ئېتىلىپ، ئاسماندىن تۆكۈلگەن يامغۇر توختىدى.
010803009b	سۇلار بارغانسېرى يەر يۈزىدىن ياندى؛ بىر يۈز ئەللىك كۈن ئۆتكەندىن كېيىن خېلى ئازلىدى.
01080400b1	يەتتىنچى ئاينىڭ ئون يەتتىنچى كۈنى، كېمە ئارارات تاغ تىزمىلىرىدىكى بىرىنىڭ ئۈستىدە توختاپ قالدى.
01080500bf	سۇلار ئونىنچى ئايغىچە بارغانسېرى ئازىيىپ، ئونىنچى ئاينىڭ بىرىنچى كۈنى تاغ چوققىلىرى كۆرۈنۈشكە باشلىدى.
