0100000012	پەیدابوون
01061200ce	بەڵام من پەیمانی خۆم لەگەڵ تۆ دەچەسپێنم. تۆ دەچیتە ناو کەشتییەکەوە، خۆت و کوڕەکانت و ژنەکەت و بووکەکانیشت لەگەڵت.
01061300cb	لە هەموو بوونەوەرێکی زیندوو، نێر و مێ، جووتێک لەگەڵ خۆت دەهێنیتە ناو کەشتییەکەوە، بۆ هێشتنەوەیان بە زیندووێتی.
01061400c4	جووتێک لە هەموو جۆرەکانی باڵندە و ئاژەڵ و بوونەوەرە خشۆکەکانی زەوی دێنە لات، بۆ ئەوەی بە زیندوویی بمێننەوە.
01061500ba	تۆش بۆ خۆت لە هەموو جۆرە خواردنێکی گونجاو ببە و لەلای خۆت کۆی بکەرەوە، تاکو ببێتە خواردنی خۆت و ئەوان.»
0106160062	جا نوح هەموو ئەوەی خودا فەرمانی پێ کردبوو، ئەنجامی دا.
01070100f5	ئینجا یەزدان بە نوحی فەرموو: «خۆت و خاووخێزانەکەت بڕۆنە ناو کەشتییەکەوە، چونکە لەم نەوەیەدا تەنها تۆم بە ڕاستودروست بینیوە لەبەردەمم.
01070200d4	لە هەموو جۆرێکی ئاژەڵە پاکەکان، نێر و مێ، حەوت جووت لەگەڵ خۆت دەبەیت، لەو ئاژەڵانەی پاک نین، نێر و مێ، جووتێک دەبەیت.
01070300b5	لە باڵندەکانی ئاسمانیش حەوت جووت، لە نێر و مێیان، بۆ هێشتنەوەی ڕەگەزەکانیان لەسەرتاسەری ڕووی زەوی.
01070400fd	دوای حەوت ڕۆژی دیکە، چل شەو و چل ڕۆژ باران بەسەر زەویدا دەبارێنم. هەموو ئەو بوونەوەرە زیندووانە لەسەر ڕووی زەوی دەسڕمەوە کە دروستم کردوون.»
0107050056	نوح هەموو شتێکی بەپێی فەرمانی یەزدان ئەنجام دا.
010706005f	نوح تەمەنی شەش سەد ساڵ بوو کە لافاو لەسەر زەوی هەستا.
010707008e	نوح خۆی و کوڕەکانی و ژنەکەی و بووکەکانی پێش ئاوی لافاوەکە چوونە ناو کەشتییەکە.
01070800a0	لە ئاژەڵە پاک و ئاژەڵە ناپاکەکان، لە باڵندە و هەموو ئەو بوونەوەرانەی لەسەر زەوی دەخشێن،
01070900ae	جووت جووت لە نێر و مێ، هاتنە لای نوح و چوونە ناو کەشتییەکە، هەروەک چۆن خودا فەرمانی بە نوح دابوو.
01070a0052	دوای حەوت ڕۆژەکە ئاوی لافاوەکە هاتە سەر زەوی.
01070b0121	کاتێک نوح تەمەنی شەش سەد ساڵ بوو، لە حەڤدەمین ڕۆژی مانگی دووەم، لەو ڕۆژەدا هەموو سەرچاوەکانی دەریا گەورەکەی ژێر زەوی تەقینەوە و دەروازەکانی ئاسمانیش کرانەوە.
01070c0047	چل شەو و چل ڕۆژیش لەسەر زەوی باران باری.
01070d00ce	هەر لە هەمان ڕۆژدا نوح و کوڕەکانی، سام و حام و یافەت، پێکەوە لەگەڵ ژنەکەی و هەر سێ بووکەکەی چوونە ناو کەشتییەکەوە.
01070e0139	لەگەڵیان هەموو ئاژەڵە کێوییەکان بەپێی جۆریان، هەموو ئاژەڵە ماڵییەکان بەپێی جۆریان، هەموو بوونەوەرە خشۆکەکان بەپێی جۆریان، هەموو باڵندەیەک بەپێی جۆریان و هەموو باڵدارێک.
01070f00a3	جووت جووت لە هەموو بوونەوەرێک کە هەناسەی ژیانیان تێدابوو، چوونە ناو کەشتییەکە بۆ لای نوح.
010710010f	ئەوانەی دەهاتنە ناوەوە لە نێر و مێی هەموو گیاندارێکی زیندوو بوون، وەک چۆن خودا فەرمانی بە نوح دابوو. ئینجا یەزدان لەدوایەوە دەرگای کەشتییەکەی داخست.
01071100dd	لافاوەکە بۆ ماوەی چل ڕۆژ لەسەر زەوی بەردەوام بوو. کاتێک ئاو زۆر بوو کەشتییەکەی هەڵگرت، ئیتر کەشتییەکە لە زەوی بەرزبووەوە.
0107120093	ئاو لەسەر زەوی بەرزبووەوە و گەلێک زۆر بوو، کەشتییەکەش لەسەر ڕووی ئاوەکە دەڕۆیشت.
0107130097	ئاو لەسەر زەوی زۆر بەرزبووەوە هەتا هەموو شاخە بەرزەکانی ژێر هەموو ئاسمان داپۆشران.
010714007e	بە بەرزی پازدە باڵ ئاو لەسەر شاخەکان بەرزبووەوە، شاخەکانیش داپۆشران.
0107150139	ئیتر هەموو شتێکی زیندوو کە لەسەر زەوی دەجوڵایەوە لەناوچوو، لە باڵندە و ئاژەڵی ماڵی و ئاژەڵی کێوی و هەموو ئەو کۆمەڵە زیندەوەرانەی لەسەر زەوی دەجوڵانەوە، هەموو ئادەمیزادیش.
0107160069	هەر شتێک لەسەر وشکانی کە هەناسەی ژیان لە لووتیدا بوو، مرد.
010717014b	هەموو شتێکی زیندوو لەسەر ڕووی زەوی سڕایەوە، مرۆڤ و ئاژەڵ و بوونەوەرە خشۆکەکان و هەموو باڵندەکانی ئاسمانیش، لەسەر زەوی سڕانەوە. تەنها نوح و ئەوانە مانەوە کە لە کەشتییەکە لەگەڵی بوون.
010718004f	ئاوی لافاویش سەد و پەنجا ڕۆژ لەسەر زەوی بوو.
0108010134	ئینجا خودا نوحی بەسەرکردەوە، لەگەڵ هەموو ئاژەڵە کێوییەکان و هەموو ئاژەڵە ماڵییەکان کە لە کەشتییەکەدا لەگەڵی بوون. ئیتر خودا بایەکی بەسەر زەویدا هەڵکرد و ئاو کەم بووەوە.
010802008d	سەرچاوەکانی قووڵایی و دەروازەکانی ئاسمان داخران. بارانیش لە ئاسمانەوە وەستا.
010803008e	ئاو بەرەبەرە لە زەوی بەرەو دواوە گەڕایەوە. دوای سەد و پەنجا ڕۆژ ئاو کەم بووەوە.
0108040086	لە حەڤدەمین ڕۆژی مانگی حەوتەم کەشتییەکە لەسەر چیاکانی ئارارات گیرسایەوە.
01080500ad	هەتا مانگی دەیەم هەتا دەهات ئاو کەمی دەکرد. لە یەکەم ڕۆژی مانگی دەیەم لووتکەی شاخەکان دەرکەوتن.
010806008b	دوای چل ڕۆژ، نوح ئەو پەنجەرە بچووکەی کردەوە کە لە کەشتییەکەدا دروستی کردبوو.
010807008f	ئینجا قەلەڕەشێکی نارد. ئەویش دەهات و دەچوو هەتا ئاو لەسەر ڕووی زەوی وشک بووەوە.
0108080089	پاشان کۆترێکی نارد بۆ ئەوەی ببینێت ئایا ئاوەکە لەسەر ڕووی زەوی کەمی کردووە.
0108090152	بەڵام کۆترەکە شوێن پێیەکی بۆ خۆی نەدۆزییەوە، چونکە ئاو لەسەر هەموو ڕووی زەوی بوو، ئیتر گەڕایەوە لای نوح بۆ ناو کەشتییەکە. ئەویش دەستی بۆ ڕاگرت و گرتی، بردییەوە لای خۆی، بۆ ناو کەشتییەکە.
01080a0080	حەوت ڕۆژی دیکە چاوەڕێی کرد و دیسان کۆترەکەی لە کەشتییەکەوە ڕەوانە کرد.
01080b00f1	کۆترەکە ئێوارە گەڕایەوە بۆ لای، ئەم جارە گەڵایەکی تەڕ و تازەی زەیتوونی بە دەنووکەوە بوو. نوح زانی کە ئاو لەسەر ڕووی زەوی کەمی کردووە.
01080c00b8	حەوت ڕۆژی دیکە چاوەڕێی کرد و جارێکی دیکە کۆترەکەی ناردەوە، بەڵام ئەم جارەیان کۆترەکە نەگەڕایەوە لای.
01080d0108	نوح لە یەکی مانگی یەکەمی شەش سەد و یەکەمین ساڵیدا بوو، کە ئاو لە زەوی وشک بووەوە. نوح پۆشەری سەر کەشتییەکەی لابرد و بینی وا ڕووی زەوی وشک بووەتەوە.
01080e0063	لە بیست و حەوتی مانگی دووەم، زەوی بە تەواوی وشک بووەوە.
01080f002f	ئینجا خودا بە نوحی فەرموو:
010810006b	«خۆت و ژنەکەت و کوڕ و بووکەکانت، لە کەشتییەکە وەرنە دەرەوە.
0108110146	هەموو ئەو گیاندارانەی لەگەڵتن، لە باڵندە و ئاژەڵ و هەموو ئەو بوونەوەرە خشۆکانەی لەسەر زەوی دەخشێن، لەگەڵ خۆت بهێنە دەرەوە، تاکو زەوی پڕ بکەنەوە و بەردار ببن و لەسەر زەوی زۆر ببن.»
0108120072	جا نوح خۆی و کوڕەکانی و ژنەکەی و بووکەکانی لەگەڵی هاتنە دەرەوە.
010813010d	هەموو گیاندارەکانیش بە هەموو بوونەوەرە خشۆکەکان و هەموو باڵندەکان و هەموو ئەوانەی لەسەر زەوی دەبزوێن، بەپێی جۆرەکانیان لە کەشتییەکە هاتنە دەرەوە.
01081400fe	نوح قوربانگایەکی بۆ یەزدان دروستکرد، لە هەموو ئاژەڵە پاکەکان و لە هەموو باڵندە پاکەکانی هێنا و لەسەر قوربانگاکە کردنی بە قوربانی سووتاندن.
01081501ac	جا یەزدان کە بۆنەکەی بەلاوە خۆش بوو، لە دڵی خۆیدا فەرمووی: «جارێکی دیکە بەهۆی مرۆڤەوە نەفرەت لە زەوی ناکەم، چونکە مرۆڤ هەر لە منداڵییەوە دڵی مەیلی خراپەکاری هەیە. جارێکی دیکە نایەم هەرچی بوونەوەری زیندوو هەیە لەناوی ببەم، وەک چۆن کردم.
01081600a9	«هەتا زەوی بمێنێت، چاندن و دروێنە، ساردی و گەرمی، هاوین و زستان، شەو و ڕۆژ، هەرگیز ناوەستێت.»
01090100a0	ئیتر خودا نوح و کوڕەکانی بەرەکەتدار کرد و پێی فەرموون: «بەردار بن و زۆر بن و زەوی پڕ بکەن.
010902016c	با ترس و سامتان هەبێت لەسەر هەموو گیانلەبەرانی زەوی و هەموو باڵندەکانی ئاسمان و هەموو ئەو بوونەوەرانەی کە لەسەر زەوی دەجوڵێنەوە، هەروەها لەسەر هەموو ماسییەکانی دەریاش؛ ئەوان خراونەتە بەردەستی ئێوە.
01090300cc	هەموو ئەوانەی گیاندارن و دەبزوێن دەبنە خۆراک بۆتان. هەروەک چۆن ڕووەکی سەوزم پێداون، ئێستا هەموو شتێکتان دەدەمێ.
010904005a	«بەڵام نابێت گۆشتێک بخۆن کە هێشتا خوێنەکەی گەرمە.
0109050144	بێگومان داوای خوێنی ئەو کەسە دەکەم کە خوێنی کەسێکی دیکەی ڕشتووە. ئەگەر گیاندارێک کەسێک بکوژێت، دەبێت بکوژرێتەوە. هەروەها ئەگەر کەسێک کەسێکی دیکە بکوژێت، ئەوا ئەویش دەکوژرێتەوە.
01090600c6	«هەرکەسێک خوێنی مرۆڤ بڕێژێت، بە دەستی مرۆڤ خوێنی دەڕێژرێتەوە، چونکە خودا لەسەر وێنەی خۆی مرۆڤی دروستکردووە.
0109070061	ئێوەش بەردار بن و زۆر بن، زەوی پڕ بکەن و تێیدا زۆر بن.»
0109080055	خودا بە نوح و کوڕەکانی فەرموو کە لەگەڵیدا بوون:
0109090069	«من پەیمانی خۆم لەگەڵ ئێوە و نەوەی دوای ئێوەدا دەچەسپێنم،
01090a0174	لەگەڵ هەموو ئەو گیاندارانەی کە لەگەڵ ئێوەن، باڵندە و ئاژەڵە ماڵییەکان و هەموو ئاژەڵە کێوییەکان، هەموو ئەو گیاندارانەی لەگەڵتاندان و لە کەشتییەکە هاتوونەتە دەرەوە، هەروەها هەرچی گیانداری سەر زەویش هەیە.
01090b0128	من پەیمانی خۆم لەگەڵ ئێوە دەچەسپێنم: هەرگیز جارێکی دیکە، هەموو گیانلەبەران بە ئاوی لافاو لەناو ناچن، هەرگیز جارێکی دیکە لافاو وا نابێت زەوی بە تەواوی وێران بکات.»
01090c0113	ئینجا خودا فەرمووی: «ئەمە نیشانەی ئەو پەیمانەیە لەنێوان خۆم و ئێوە و هەموو ئەو گیاندارانەی لەگەڵتاندان دەیبەستم، پەیمانێکە بۆ هەموو نەوەکانی داهاتوو.
01090d00a8	وا پەلکەزێڕینەی خۆمم لەناو هەورەکاندا داناوە، کە دەبێتە نیشانەی پەیمانەکەی نێوان من و زەوی.
01090e008c	ئینجا هەرکاتێک هەورم بەسەر زەویدا هێنا و پەلکەزێڕینە لە هەورەکاندا دەرکەوت،
01090f0125	من پەیوەست دەبم بە پەیمانەکەم لەنێوان خۆم و ئێوە و هەموو گیانێکی زیندوو لە هەموو جۆرێک. هەرگیز جارێکی دیکە ئاو لافاوێکی وا دروستناکات کە هەموو ژیانێک لەناو ببات.
0109100112	هەرکاتێک پەلکەزێڕینە لە هەورەکاندا بێت، دەیبینم و پەیوەست دەبم بە پەیمانە هەتاهەتاییەکەوە، کە لەنێوان خودا و هەموو جۆرە گیانێکی زیندووی سەر زەوییە.»
01091100c7	ئینجا خودا بە نوحی فەرموو: «ئەمە نیشانەی ئەو پەیمانەیە کە لەنێوان خۆم و هەموو ژیانێکی لەسەر زەویدا بەستوومە.»
010912009f	جا کوڕانی نوح کە سام و حام و یافەت بوون، لە کەشتییەکە هاتنە دەرەوە. حام باوکی کەنعان بوو.
010913008f	ئەمانە سێ کوڕەکەی نوح بوون کە لەمانەوە خەڵکی لە سەرتاسەری زەویدا بڵاو بوونەوە.
