0100000014	Medheteththa Maxaafa
01090b00a8	Tani inttenara caaqettadis; hayssafe sinththan paxa dizay wuri dhayssiza haaththan mulekka dhayenna; ha biittaa dhayssiza haaththi hayssafe guye mulekka deenna» gides.
01090c0095	Qasseka Xoossi, «Tani taappenne inttefe, inttenara diza paxa medheteththatas ubbaafe giddon yaana yeleta ubbaara caaqettiza caaqozas malatay hayssa;
01090d0077	tani ta zuulla salo bolla essana; izi taappenne ha biitta bolla diza medheteththafe giddon diza caaqozas malata gidana.
01090e004e	Tani biittafe bollan shaara ehida wodenne shaara bollan zuullay beettida wode,
01090f00cf	‹Paxa diza medheteth ubbaa dhayssanaas hayssafe sinththan mulekka dhayssa haaththi yeenna› gaada taappenne inttefe paxa diza dumma dumma qommo medheteththata ubbaafe giddon caaqqida ta qaalaa ta qoppana.
01091000cf	Zuullay shaara bolla beettida wode aydekka tani iza beyada taappe Xoossaafenne ha biittaa bollan paxa diza dumma dumma qommo medheteththa ubbaafe giddon caaqo gelida mernaa caaqo qaalaa ta hassa7ana» gides.
0109110071	Xoossi Nohe, «Tani taappenne ha biitta bollan paxa diza ubbaafe giddon caaqqida caaqozas malatay hayssa» gides.
010912004d	Markabezappe kezida Nohe nayti Seeme, Kaamenne Yaafeete; Kaamey Kanaane aawa.
0109130049	Hayti heedzdzayka Nohe nayta; biitta ubbaan diza asay isttafe yelettides.
0109140034	Nohey goshshanchcha; izi woyne mith toketh oykkides.
0109150064	Issi gallas izi woyneppe oosettida cajje uyi maththottidi ba Dunkaaneza giddon paxa kallo ichchides.
0109160056	Kanaane aawa Kaamey ba aawaa kalloteth be7idi kare kezidi ba ishata nam7atas yootides.
01091700cd	Gido attiin Seemeynne Yaafeetey may7o ekkidi nam7ayka ba hashe hashe bolla gaththi oykkidi gundiguth hemetti gelidi ba aawa kalloteth kammida; istti ba aawaa kalloteth be7ontta mala ba ayfeso guye zaarida.
0109180053	Nohey maththoy aadhdhiin beeggidi ubbaafe kaalo naazi ba bolla ooththidayssa eridi,
010919004a	«Kanaaney qanggettidaaz gido! Izi ba ishata aylletas aylle gido!» gides.
01091a004a	Qasseka Nohey, «GODAY, Seeme Xoossi galatetto! Kanaaney Seeme aylle gido!
01091b0074	Xoossi Yaafeete biitta aasso! Yaafeete zereththati Seeme zereththatara detto! Kanaaney Yaafeete aylle gido!» gides.
01091c0030	Dhayssa haaththafe guye Nohey 350 layth de7ides.
01091d0028	Nohey mulera 950 layth deyidi hayqqides.
010a010084	Nohe nayta, Seeme, Kaamenne Yaafeete yeletay hayssafe kaalli xaafettidayssa; dhayssa haaththaafe guye isttas attuma nayti yelettida.
010a020059	Yaafeete attuma nayti Goomere, Maagooge, Maadaye, Yaawaane, Tubaale, Mesheekenne Tiraase,
010a030035	Goomere attuma nayti Ashkenaaze, Irafaatenne Togarma.
010a04003a	Yaawaane attuma nayti Elishe, Tarseese, Kiitimenne Eroode.
010a05008d	Haytanttafe abba doonan diza asay wuri ba biittan biittan, ba qaalan qaalan, ba qommon qommoninne, ba kawoteththan kawoteththan shaakettides.
010a060033	Kaame attuma nayti Kuushe, Gibxe, Puuxenne Kanaane.
010a070069	Kuushe attuma nayti Seeba, Hawila, Saabite, Eraa7imenne Sabiteka. Eraa7ime attuma nayti Saabanne Dadaane.
010a080055	Kuushey Namuruude yelides; Namuruudey biitta bollan koyro wolqqama olanchcha gidides;
010a090091	GODAA sinththankka izi wolqqama shankkanchcha gidides; hessa gishshas, «Namuruude mala GODAA sinththan wolqqama shankkanchcha gida» geetettees.
010a0a005f	Iza kawoteththan koyro katamati Sana7oore biittan diza Baabiloone, Ereeke, Akkaadenne Kalanahe.
010a0b00ab	Izi he biittaafe Asoore biidi Nannawe, Erahoobotenne Kaalahe katamata ooththides; qasse Nannaweppenne Kaalaheppe giddon diza Ereseene geetettiza gita katamakka ooththides.
010a0d0073	Gibxey Luudimeta, Anaameta, Lahaabeta, Naftuheta, Phaxirooseta, Kaasiluhetanne Filisxeemeta yelida Kaftooreta aawa.
010a0f004e	Kanaaney ba bayra naaza Sidoona, Keexeta, Yaabuseta, Amooreta, Gergeseta aawa;
010a110021	qasseka Hiiweta, Arqeta, Siineta,
010a120061	Arwaadeta, Xamaaretanne Hamaateta aawa. Hessafe guye Kanaane zereththati biitta bolla laalettida.
010a13008f	Kanaane biitta zaway Sidoonappe doommidi Geraarenne Gaazara kanththidi, Sodoomenne Gamoora, Adaamanne Xaboyme kanththi biidi Lasha7ere gakkees.
010a140083	Kaame attuma nayti ba qommon qommon, ba qaalan qaalan, ba biittan biittaninne ba kawoteththan kawoteththan xaafettidayti haytantta.
010a15004e	Seemes nayti yelettida; izi Yaafeetes bayra ishanne Eboore nayta ubbaas mayza.
010a160041	Seeme attuma nayti Elaame, Asoore, Arfaakiside, Luudenne Aaraame.
010a170033	Aaraame attuma nayti Uuxe, Huule, Geterenne Meeshe.
010a180038	Arfaakisidey Sheelahe yelides. Sheelahey Eboore yelides.
010a1900a5	Eboores nam7u attuma nayti yelettida; biittan diza asay iza woden shaakettida gishshas issaa sunththi Peeleege geetettides; iza ishaza sunththi Yoqixaane geetettees.
010a1a004b	Yoqixaaney nayta yelides; isttika Almodaade, Shelefe, Haxarmaawete, Yerahe,
010a1b001b	Hadoraame, Uzaale, Diiqile,
010a1c001b	Oobaale, Abima7eele, Saaba,
010a1d0042	Ofire, Hawilanne Yobaabe; haytanti wurikka Yoqixaane attuma nayta.
010a1e0056	Istti de7ida biittay arshey mokkiza baggara diza zuma Meesheppe biidi Safaare gakkees.
010a1f0083	Seeme attuma nayti ba qommon qommon, ba qaalan qaalan, ba biittan biittaninne ba kawoteththan kawoteththan xaafettidayti haytantta.
010a2000b8	Haytanti ba qommon qommoninne ba kawoteththan kawoteththan xaafettida Nohe attuma nayta zereththata; dhayssa haaththafe simmiin kawoteththati haytanttafe biitta ubbaa bolla laalettida.
010b010045	Biitta bollan diza asi wuri koyro issi doonanne issi qaala haasayees.
010b020067	Asay arshey mokkiza bagga simmidi bishe Sana7oore geetettiza biittan issi dembaso demmidi heen uttides.
010b03007e	Istti issoy issaa, «Haa yiite; xuube medhdhidi ane taman xuuggoos» giidi istta shuchcha gishshas xuube, urqqa gishshas shida
010b0400af	ekkidi, «Haa yiite! Nu sunth xeygisanaassinne qasse nuni ha biitta ubbaa bollan laalettontta mala issi gita katamanne xeeray pude salo gakkiza issi gimbe ane keexxoos» gida.
010b050051	Gido attiin GODAY asay keexxida gita katamazanne gimbeza beyanaas duge wodhdhidi,
010b0600a8	«Hekko istti issi asa! Qasse istti wurikka issi qaalan haasayeettes; istti ha7i hayssa ooso oykkidaappe guye, istti baas ooththanaas qoppidayssa istta digganay deenna.
010b070064	Haa yiite! Ane nu duge wodhdhidi istti issoy issaa qaala erontta mala istta qaala walakkoos» gides.
010b08006d	Hessa gishshas GODAY istta hessafe biitta ubbaa bollan laalliin istti he gita katama ooththizayssa aggaagida.
010b090084	GODAY biitta asaa qaalaa heen walakkida gishshas he katamaya Baabile geetettadus. GODAY istta hessafe biitta ubbaa bollan laallides.
010b0a0098	Seeme zereththi hayssafe kaallidi xaafettidayssa; dhayssa haaththi simmiin nam7u layththafe guye Seemes layththay 100 gidiin Seemey Arfaakiside yelides.
010b0b0062	Seemey Arfaakiside yelidaappe guye 500 layth de7ides; hara attuma naytakka macca naytakka yelides.
010b0c002e	Arfaakisidey 35 layth de7idi Sheelahe yelides;
010b0d0065	Arfaakisidey Sheelahe yelidaappe guye 403 layth de7ides; hara attuma naytanne macca naytakka yelides.
010b0e0029	Sheelahey 30 layth de7idi Eboore yelides;
010b0f005d	Sheelahey Eboore yelidaappe guye 403 layth de7ides; hara attuma naytanne macca nayta yelides.
010b10003e	Eboorey heedzdzu tammanne oyddu layth de7idi Peeleege yelides;
010b11005d	Eboorey Peeleege yelidaappe guye 430 layth de7ides; hara attuma naytanne macca nayta yelides.
010b120028	Peeleegey 30 layth de7idi Era7e yelides;
010b13005c	Peeleegey Era7e yelidaappe guye 209 layth de7ides; hara attuma naytanne macca nayta yelides.
010b140026	Era7ey 32 layth de7idi Saruge yelides;
010b15005a	Era7ey Saruge yelidaappe guye 207 layth de7ides; hara attuma naytanne macca nayta yelides.
010b160029	Sarugey 30 layth de7idi Naakoore yelides;
010b17005d	Sarugey Naakoore yelidaappe guye 200 layth de7ides; hara attuma naytanne macca nayta yelides.
010b180028	Naakoorey 29 layth de7idi Taara yelides.
010b19005c	Naakoorey Taara yelidaappe guye 119 layth de7ides; hara attuma naytanne macca nayta yelides.
010b1a003d	Taaray 70 layth de7idi Abraame, Naakoorenne Haaraane yelides.
010b1b0074	Taara yeletay hayssafe kaallidi xaafettidayssa; Taaray Abraame, Naakoorenne Haaraane yeliin Haaraaney Looxe yelides.
010b1c006f	Haaraaney ba aaway Taaray paxa dishin ba yelettida Kaladaaweta biittan Uure geetettiza gita katamaan hayqqides.
010b1d00af	Abraameynne Naakoorey nam7ayka machchida; Abraame machchey sunththi Soora; qasse Naakoore machchey sunththi Milka; Milkay Haaraane naa; Haaraaney Milkissinne Yiskaanissi aawa.
010b1e001e	Sooray maynne; izis nay baawa.
010b1f00fd	Taaray ba naa Abraame, ba naaza Haaraane naa Looxenne ba naa Abraame machcho Soora ekkidi keziin istti issife Kanaane biitta baanaas Uure geetettiza Kaladaaweta katamappe dendida; gido attiin istti Kaaraane geetettiza katama gakkanaas biidi heen de7ida.
010b20002c	Taaray 205 layth de7idi Kaaraanen hayqqides.
010c01006f	GODAY Abraame, «Ne dereppe, ne dabbotappenne ne aawa keeththa asaappe shaakettada tani nena bessiza biitta ba.
010c020068	«Tani nena gita kawoteth ooththana; qasseka anjjana; Ne sunththaa gitasana; nekka haratas anjjo gidana.
010c030076	Nena anjjizayta ta anjjana; nena qanggizaytakka ta qanggana; biitta bolla diza asi wuri ne baggara anjjettana» gides.
010c04008f	Abraamey GODAY izas yootida mala dendi bides; Looxeykka izara bides; Abraamey Kaaraane dereppe bishin izas layththay laapun tammanne ichchasha.
010c050093	Abraamey ba machchiyo Soora, ba isha naa Looxe, Kaaraanen istti demmida aylletanne heen shiishshida bantta aqota ubbaa ekkidi Kanaane biitta bides.
010c060081	Abraamey he biittan Seekeemen Moore geetettizason diza gita miththaako gakkanaas bides; he wode Kanaane asati he biittan deettes.
010c070090	GODAY Abraames qonccidi, «Ha biittaa tani ne zereththas immana» gides; izi baas qonccida GODAAS he sohon yarsho yarshizaso keexxidi goynnides.
010c080109	Hessafe dendidi Beeteleppe arshey mokkiza baggara diza zumatizaso biidi heen Beetele arshey wulliza baggan aggidi qasse Aye geetettiza katama arshey mokkiza bagga aggidi giddon ba dunkaane tolides; heenkka GODAAS yarsho yarshizaso keexxidi GODAA sunththaa xeygides.
010c09004a	Hessafe guye Abraamey heeppe dendi biidi Negebe geetettiza bazzo gakkides.
010c0a0080	He wode Kanaane biittan koshay dendiin koshazi keehi iita gidida gishshas Abraamey kosha wode aaththanaas duge Gibxe wodhdhides.
010c0b0068	Gibxe gelana hanishin Abraamey ba machchiyo Soora, «Siya! Ne daro mala lo7o maccas gididayssa ta erays.
010c0c005b	Gibxe asay nena be7iza wode isttas, ‹Hanna iza machcho› giidi nena aggidi tana wodhana.
010c0d0084	Hessa gishshas istti taas ne gaason kiyana malanne qasse ne gaason ta hayqqontta attana mala neni, ‹Ta izas michcho› ga» gides.
010c0e0064	Abraamey Gibxe biitta gelida wode Gibxe asati he maccassaya daro mala lo7o maccas gididayssa be7ida.
010c0f006b	Qasse Gibxe kawos ooththiza halaqatikka izo be7idi kawo sinththan izo nashshida; histtidi izo kawoso efida.
010c1000a5	Histtiin izi geedon kawoy Abraame lo7o ayfen xeellidi Abraames dorsatanne boorata, adde haretanne macca hareta, adde aylletanne macca aylleta, gaamellatakka immides.
010c110065	Gido attiin GODAY Abraame machcheyo Soora geedon Gibxe kawo bollanne izaso asaa bolla bosha yeddides.
010c120078	Histtiin kawozi Abraame xeygidi, «Neni hayssa ays ta bolla ooththadii? Iza ne machcho gididayssa ays taas yootabeekkii?
010c130075	Ta izo machcho ekkana mala, ‹Iza ta michcho› gaada aazas wordotadii? Hekko hanno ne machcheyo ekkada ba!» gides.
010c140082	Kawozikka ba aylleta Abraame iza machcheyranne izas dizaaz ubbaa kessidi yeddana mala azaziin aylleti istta dereppe kessi yeddida.
010d010070	Hessa gishshas Abraamey ba machcheyranne baas dizaaz ubbaara Gibxeppe Negebe bazzo bides; Looxeykka izara bides.
010d020039	Abraamey he wode mehen, biraninne worqqan daro duretides.
010d030082	Izi Negebeppe dendidi Beetele gakkanaas bides; Beeteleppenne Ayeppe giddon diza dere bides; hesoykka izi koyro ba dunkaane tolidi,
010d040047	yarsho shiishshanaas keexxidaso; heenkka Abraamey GODAA sunth xeygides.
010d050047	Abraamera yuuyiza Looxeska daro miizi, dorsi, deyshinne dunkaaney dees.
010d060086	Gido attiin isttas daro mehey diza gishshassinne istti issife daanaas isttas biittay xuummida gishshas issife daanaas dandaybeettenna.
010d070096	Hessa geedon Abraame wude heemmizayta giddoninne Looxe wude heemmizayta giddon ooshshi medhettides; he wode Kanaanetinne Paarizeti he biittan deettes.
010d08008f	Histtiin Abraamey Looxes, «Nuni ishantta gidida gishshas, nu giddon, ta mehe heemmizayta giddoninne ne mehe heemmizayta giddon oosh medhdhofa.
010d0900ad	Biittay wuri ne sinththan deennee? Ane nuni shaakettoos; neni hadirsa bagga biikko, tani ushachcha bagga baana; neni ushachcha bagga biikko tani hadirsa bagga baana» gides.
010d0a00dc	Looxey yuuyi aadhdhi xeellidi Yordaanoose shoobbay biidi Zo7aare gakkanaas GODAA gannate woykko Gibxe biitta mala daro haaththi dizayssa be7ides. (Hessika GODAY Sodoomenne Gamoora geetettiza katamata dhayssanaappe kase.)
010d0b007e	Hessa gishshas Looxey baas Yordaanoose shoobba ubbaa dooridi arshey mokkiza baggara bida gishshas istti ba garsan shaakettida.
010d0c0086	Abraamey Kanaane biittan de7ides; Looxey gidikko shoobban diza gita katamata giddon uttidi Sodoome katama matan ba Dunkaaneza tolides.
010d0d0046	He wode Sodoome asay iitanne GODAA sinththan pala nagara ooththizayta.
010d0e00a3	Looxey Abraameppe shaakettidaappe guye GODAY Abraame, «Dhoqqu gaada neni dizasoppe arshey mokkiza bagganne geliza bagga qasse dugeha bagganne pudeha bagga xeella.
010d0f004c	Hayssa neni xeelliza biitta ubbaa ta neessinne ne zereththas mernaas immana.
010d100067	Tani ne zereth biitta ace mala darsana; oonikka biitta ace taybana dandaykko ne zereththika taybettana.
010d11006d	Dendada biitta bolla pudenne duge, yaanne ha yuuya xeella; gaasoykka tani hayssa biittaa nees immana» gides.
010d12009f	Histtiin Abraamey ba Dunkaaneza shoddidi, Kebroonen Mamire geetettizason diza gita miththaa achchan de7anaas bides. Heenkka GODAAS yarsho yarshizaso keexxides.
010e010082	He wode Sana7oore Kawoy Amiraafeeley, Eelaasaare kawoy Aryookey, Elaame kawoy Kadorlaa7oomereynne ayzaabe kawo Tidi7aaley oyddati,
010e020096	Sodoome kawo Beera7era, Gamoora kawo Birshara, Adaama kawo Shin7aabera, Xaboyme kawo Shemebeereynne (Zo7aare geetettiza) Beela kawora olettanaas bida.
010e030062	Ha ichchashu kawoti gaaggidi issi bagga gididi, (Hayqo Abba geetettiza) Siddime shoobban shiiqida.
010e040080	Istti kase tammanne nam7u layth Kadorlaa7oomeres haarettida; gido attiin tammanne heedzdzanththo layththan iza bolla makkallida.
010e0500e1	Tammanne oydanththo layththan Kadorlaa7oomereynne izara zuppetida kawoti ba olanchchata ekki biidi, Astaroote-Qarnaymen diza Erafaymeta, Haaman diza Zuuzetanne Shaawe-Qiriyaataymen diza Eemime geetettiza dereta olidi xoonida.
010e06006a	Hoore biitta asatakka Seyre zuma bolla olidi bazzo achchan diza Elparaane geetettizaso gakkanaas gooddida.
010e0700b3	Hessafe guye simmidi En-Mishipaaxe yida. (Ha7i he derey Qaadeese geetettees.) Istti Amaaleeqeta biitta qasse Haxaxoone Taamaare geetettizason diza Amoore asaa ubbaa olidi xoonida.
010e080095	Hessafe simmiin, Sodoome kawoy, Gamoora kawoy, Adaama kawoy, Xaboyme kawoynne (Zo7aare geetettiza) Beela kawoy dendidi Siidime shoobban olas salfida.
010e090080	Hayti wuri Elaame kawora, ayzaabeta kawora, Sana7oore kaworanne Eelaasaare kawora (ha ichchashu kawoti oyddu kawotara) olettida.
010e0a00cf	He wode Siidime shoobban, shida oykkiza daro ollay dees. Sodoome kawoynne Gamoora kawoy ba ola asaara olappe baqatishin, isttafe guuththati he ollatan kundida; gido attiin attidayti pude zuma bolla baqatida.
010e0b0053	Oyddu kawoti Sodoomenne Gamoora katamata aqotanne miza kath ubbaa bonqqi ekki bida.
010e0c0055	Abraame isha nay Looxey, Sodoomen diza gishshas izakka iza aqotaakka ubbaa ekki bida.
010e0d00d4	Hessafe guye issi asi kessi ekkidi baqati yiidi Ibraawe Abraames hessa yootides; Abraamey he wode Eshkoolenne Aneere isha Amoore dere as Mamire wola achchan dees; istti wurikka ola zaaranaas Abraamera caaqettida.
010e0e00bc	Abraamey ba dabboy di7ettidayssa siyida wode ola eriza bason yelettida heedzdzu xeetanne tammanne osppun asaa denththides; he oyddu kawota kaallidi Daane geetettiza katama gakkanaas bides.
010e0f009b	Heen omarsan ba asaa cugan cugan shaakkidi, ba morkketara olettidi xoonides; histtidi Damasqofe bolla baggara diza Hoobbe geetettizaso gakkanaas gooddides.
010e100067	Abraameykka ba dabbo Looxenne iza aqota ubbaa kase di7ettida maccassaanne hara asaakka woththi ekkides.
010e1100a1	Abraamey Kadorlaa7oomerenne izara zuppetida kawota xoonidi simmidaappe guye, Sodoome kawoy, (kawota shoobba geetettiza) Shaaweha shoobbaan iza mokkanaas kezides.
010e12006e	He wode, Saaleme kawoy Malkexeedeqey ukeththinne woyne ushshu ekki yides; izikka Ubbaafe Dhoqqa Xoossaa qeese.
010e13005d	Izi Abraame hizgi anjjides; «Ubbaafe Dhoqqa Xoossi salonne sa7a medhdhidayssi Abraame anjjo.
010e14009c	Qasse Ubbaafe Dhoqqa Xoossi, Ne morkketa ne kushen aaththi immidayssi galatetto» gides. Abraamey ubbaafe tammaafe issi kushe kessidi Malkexeedeqes immides.
010e150057	Sodoome kawoy Abraame, «Ta asaa taas zaarada ne di7ida meheza ubbaa nees ekka» gides.
010e16008c	Gido attiin Abraamey Sodoome kawo, «Tani GODAAS, Ubbaafe Dhoqqa Xoossaas, salonne sa7a medhdhidayssas, ta kushe denththada caaqqaychchadis.
010e1700f2	Ta asay midayssafenne tanara bida Aneere, Eshkoolenne Mamire gakkizayssafe attiin neni, ‹Abraame tani duresadis gontta mala tani neyssafe haray atto issi miish woykko caamma kirekka ta ekkike; istti bana gakkizayssa ekketto› gees» gides.
010f01007a	Hessafe guye GODAA qaalay ajjuutan Abraamekko yiidi, «Abraame, babbofa! Tani nees gondalle; ne anjjoy keehi gita» gides.
010f02009a	Abraamey, «Abeet Ubbaa Haariza GODAWU! Taas mulekka nay baynda gishshas neni immiza imotay taas ayssee? Damasqo dere as El7ezeerey tana laattana» gides.
