0100000004	Tite
01051900a0	Lang Metusela pàngŋǝ̀nà apǝlǝa gbǝman-mwashat nǝ lumi-tongno-nong-tàrú nǝ mǝsǝi tongno-nong-ɓari ka, yi ɓǝl muna-ɓwabura, lùllǝì ama Lamek.
01051a00b9	Anzǝm ɓǝl Lamek ka, Metusela pàk aɓea apǝlǝa gbǝman-tongno-nong-ɓari nǝ lumi-tongno-nong-tàrú nǝ mǝsǝi ɓari a ɓanza. Sǝ ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
01051b0089	Do ɓanza mala Metusela kat ka, apǝlǝa gbǝman-tongno-nong-ine nǝ lumi-tongno-nong-mwashat nǝ mǝsǝi tongno-nong-ine na, sǝ yi wú.
01051c007c	Lang Lamek pàngŋǝ̀nà apǝlǝa gbǝman-mwashat nǝ lumi-tongno-nong-tàrú nǝ mǝsǝi ɓari ka, yi ɓǝl muna-ɓwabura.
01051d00c4	Lamek tsǝki muni muna-ɓwabura lullǝu ama Nuhu, sǝ na ama, “Nǝ̀ yina sǝm nǝ girikiban aɓalǝ atanni andǝ atúró rikrya ma'sǝm a nzali mǝnana Mǝtalabangŋo sulǝ súban amurí ka.”
01051e00a8	Anzǝm ɓǝl Nuhu ka, Lamek pàk aɓea apǝlǝa gbǝman-tongno nǝ lumi-tongno-nong-ine nǝ mǝsǝi tongno a ɓanza. Sǝ ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
01051f0088	Do ɓanza mala Lamek kat ka, apǝlǝa gbǝman-tongno-nong-ɓari nǝ lumi-tongno-nong-ɓari nǝ mǝsǝi tongno-nong-ɓari na, sǝ yi wú.
010520007b	Lang Nuhu pàngŋǝ̀nà apǝlǝa gbǝman-tongno ka, yi ɓǝl amuna-burana tàrú, lullǝia ama Shem andǝ Ham andǝ Jafet.
010601004a	Lang ɓwapǝndǝa tinata làkkì a ɓanza sǝ à ɓǝlki amuna-mamǝna ka,
0106020094	amuna mala Ɓakuli sǝn ɓoarkinsari mala amuna-mamǝna mala aɓwapǝndǝa, nda à yiu à yì twalki amana à earkicea ateà ka, ɓǝà duk amālea.
0106030106	Pǝlǝa Mǝtalabangŋo bang ama, “Bangŋo mem pà nǝ̀ lidǝmba nǝ do aɓa ɓwapǝndǝa do mana málá male pà kàm raka ɗàng, acemǝnana yì ka nǝ̀ nggá wǔ. Sauwa mala do ɓanza male pà nǝ̀ kútì apǝlǝa gbǝman-mwashat nǝ lumi-ɓari ɗàng.”
0106040101	A bàkú mǝno sǝ a nzǝmi ka, akwatǝman-ɓwa, yia Nefilim ngga, à ndakam a ɓanza, sǝ lang amuna mala Ɓakuli nongnǝ amuna-mamǝna mala aɓwapǝndǝa ka à ɓǝlki amunia. À nda ka akanggǝrang aɓwana, amǝ'lwa mǝnana lullǝia zǝ́kí ɗiɗyal ka.
010605009b	Mǝtalabangŋo pelǝki ɓikipa mala ɓealɓikea mala ɓwapǝndǝa a ɓanza, sǝ sǝni ka koya ɗenyicau mala ɓabum ɓwapǝndǝa ka mǝɓike na koya pwari.
0106060069	Mǝtalabangŋo pak ɓǝnsǝlǝma nǝ pusǝ ɓwapǝndǝa aɓa ɓanza. Gìrnî ɓungi ɓabumi kǝ̀rkǝ́r.
0106070102	Sǝ Mǝtalabangŋo bang ama, “Mǝ nǝ esǝki ɓwapǝndǝa mǝnana ǝn pe ka a ɓanza; mǝ nǝ kiɗikia atārǝia andǝ agirkusǝu mǝgulke, andǝ amǝkèke mǝnana à kǝ ɓang amur nzali, andǝ anyal mǝnana a bumkuli ka. Ən pak ɓǝnsǝlǝma nǝ pea.”
0106080034	Sǝ mala Nuhu ka, kum earmúrú aban Mǝtalabangŋo.
01060900d4	Mǝnia ka nda cau mǝnana à gilǝì amur Nuhu andǝ ɓala male ka. Nuhu ka nggea mǝɓealɓoarna na aban Ɓakuli; atà aɓwana mǝnana a nza male ka, kǝ yì na do male pàk jik ka. Nuhu kpata njar mala Ɓakuli.
01060a004c	Nuhu ka ndanǝ amuna-burana tàrú. Lullǝia ma: Shem, sǝ Ham, andǝ Jafet.
01060b0071	Ɓakuli sǝni adyan ngga ɓanza ka kǝ cauɓikea nda mùrú hasǝa mala ɓwapǝndǝa, nyare lùmsǝ nǝ caukpaka.
01060c007d	Ɓakuli pelǝki ka, cauɓikea marǝkina ɓanza kàngkàng, acemǝnana koyan a ɓanza ka anjar male kiɗikina nǝ ɓealɓikea.
01060d00a9	Ɓakuli pǝlǝa ne Nuhu ama, “Mǝ ndo mǝ nǝ twalta ɓwapǝndǝa kat, acemǝnana ɓanza lùmsǝ nǝ caukpaka. Mǝsǝcau ka, mǝ nǝ kiɗiki ɓwapǝndǝa andǝ ɓanza.
01060e00af	We ka gballî ɓamur rǝò nggea-waru nǝ nggun gofa, sǝ wu lanzǝ ɓālǝi andǝ nzǝmi nǝ myang mǝcandǝe mǝnana mùr pà nǝ̀ sùr kàm raka. Kasǝki akurǝm aɓalǝi.
01060f00ca	Ani sǝ awu nǝ gballì warunì: Sauwa male ka, kusǝu gbǝman-ine nǝ lumi-tongno. Tangŋa male ka kusǝu lumi-tongno-nong-ɓari bwamdǝ tongno. Sǝ dāh'rya male ka, kusǝu lumi-ine bwamdǝ-tongno na.
010610010c	Gballì mùrí, sǝ wu nying nreban mǝnana tangŋa male ka ɓakusǝu mwashat na nǝ tsùrú aɓata mùrí sǝ arǝ agírǝí, ɓǝ̀ kàrìban kat. Gballì ɓá warunì ɓǝ̀ pangnǝ aɓalǝ akurǝm a nzali, a ɓalǝu, sǝ a kùli, sǝ wu tsǝk kun waru a nkanggari.
0106110099	Sǝni! Mǝ ndo mǝ nǝ yinǝ nggea mùr-gùla a ɓanza mǝnana nǝ̀ yia twalta gìr mana kat ndanǝ yilǝmu ka. Koman a ɓanza kǝ lin'ueo ka nǝ̀ wú.
0106120083	Sǝama we ka, mǝ nǝ tamsǝ kùrcau mem a nre sǝm, sǝm nǝ we. Awu nǝ kúti aɓa waru, we sǝ māmó, sǝ amunio andǝ amālia.
0106130070	Awu nǝ yinǝ koya ulang girkusǝu ɓari-ɓari: jamne andǝ mǝ'nggaule, atò a waru, ace mǝnana wu amsǝia ka.
01061400db	Koya ulang nyal ka, awu nǝ oasǝ ɓari-ɓari a waru, sǝ koya ulang girkusǝu ka, awu nǝ oasǝ ɓari-ɓari a waru, andǝ koya ulang gìr mǝyilǝmui mǝnana kǝ ɓang a nzali ka ɓari-ɓari, ɓǝà yiu atò aɓa waru.
010615005a	Awu nǝ ram koya ulang girlina ma'wun, sǝ mala agirkusǝu, mana nǝ̀ karǝban kat ka.”
0106160041	Nuhu pàk koya gìr ka a nggùnì kǝla mǝnana Ɓakuli ne wi ka.
01070100c3	Mǝtalabangŋo ne Nuhu ama, “Yiu kùtí aɓa nggea-waru, we wunǝ amǝ'ɓala mò kat, acemǝnana a nda kǝ ɓwa mǝnana ǝn sǝni mǝ'ɓealɓoarna aɓalǝ aɓwana mana à ndanǝ yilǝmu ado ka.
0107020123	Twal koya girkusǝu mǝnana mǝɓoarne na ace girlina ka, jamne tongno-nong-ɓari sǝ mamǝne tongno-nong-ɓari, wu yinǝia atò aɓa nggea-waru. Ɗǝm ngga twal ɓari-ɓari atà koya girkusǝu mǝnana gìr'ɓeami na ace girlina ka, komǝye ka jamne andǝ mamǝna, ɓǝà kùtí atò a waru.
010703010d	Twal atò ɗǝm koya nyal mǝnana kǝ yal a kùli ka tongno-nong-ɓari, komǝyenani ka jamne andǝ mamǝne. Pàk mǝnia ka ace mǝnana atà koya ulang girkusǝu andǝ koya ulang nyal ka, ɓǝà kum amǝnana à nǝ̀ pangnǝ yilǝmu ace ɓǝla malea a ɓanza ɗǝm ngga.
01070400d7	Anzǝm nongŋo tongno-nong-ɓari, tite ado ka, mǝ ndo mǝ nǝ nya mbulo mǝnana nǝ̀ nggǝ nya dù lumi-ine andǝ pwari lumi-ine. Aɓa pě anggo ka, mǝ nǝ twalta koya gìr mana nǝyilǝmu ǝn pê a ɓanza ka.”
0107050048	Nuhu pàk koya gìr mǝnana kat Mǝtalabangŋo banggi wi ɓǝ̀ pàk ka.
0107060051	Nuhu ka ndanǝ apǝlǝa gbǝman-tongno-nong-mwashat sǝ mùr-gùla yi aki ɓanza.
010707005b	Yì andǝ māmí, andǝ amuni andǝ amālia, à kùtí aɓa nggea-waru ace apî mùr-gùla.
01070800e3	Koya ulang girkusǝu andǝ koya ulang nyal, yia ɓari-ɓari; amǝnana Ɓakuli bang ama amǝɓoarne na ace girlina, andǝ amǝnana bang ama agir'ɓeami na ka. Kpapi andǝ amǝnana à kǝ ɓang a kwàr nzali ka. Komǝye ateà ka,
0107090075	jamne andǝ mamǝne, à yiu aban Nuhu à yì kúti aɓa nggea-waru, kǝla mǝnana Ɓakuli banggi Nuhu ɓǝ̀ pàk ka.
01070a003e	Anzǝm nongŋo tongno-nong-ɓari ka, mùr-gùla yi aki ɓanza.
01070b00f7	Aɓa pǝlǝa mǝnana Nuhu lùmsǝ̀nà pǝlǝa gbǝman-tongno-nong-mwashat nǝi a ɓanza, a lum bwamdǝ tongno-nong-ɓaria pwari mala ɓaria zongŋo ka, akun atūli-mùr mǝnana atà nzali kat ka à mǝngia, sǝ mbulo ɓun nǝ bumkuli kpana-kpana.
01070c003c	Mbulo nya aɓa ɓanza twal nongŋo lumi-ine, du andǝ pwari.
01070d00d0	Akǝ mǝno yì pwari mbulo tinata nya nǝi ka, Nuhu andǝ amuna-burana male tàrú, Shem, andǝ Ham, sǝ Jafet, à kùtí aɓa waru atārǝia andǝ mālá Nuhu andǝ amālá amuna-burana male mǝno tàrú ka.
01070e0077	À oasǝ akoya girkusǝu ateà a waru: anyam-bondo andǝ anyam-ɓala, amǝgulke andǝ amǝkèke, andǝ koya ulang nyal.
01070f0053	Girbunda man kat kǝ lin'ueo ka, à yiu ɓari-ɓari à yì kùtí atà Nuhu a waru.
01071000b7	Agirkusǝu mana à kútí ka, jamne andǝ mǝ'nggaule mala koya ulang gìr-yilǝmu na, kǝla mǝnana Ɓakuli ne wi yì Nuhu ka. Pǝlǝa Mǝtalabangŋo gìr kun waru nǝ Nuhu aɓalǝi.
01071100a2	Mùr-gùla camarǝ yiu sǝ kǝ lime a ɓanza kya bwal nongŋo lumi-ine. Mùr lo gul kǝ̀rkǝ́r, kara loasǝ waru a kùli. Waru kya purrì múr ɓanza piku-piku.
0107120057	Mùr long nǝ lo ana kpana-kpana amúr ɓanza kat, waru kǝ kyal nǝmurǝì amúr mùr.
0107130054	Mùr camarǝ lo gandǝa kya kongsǝ ankono mǝ'dāh'rike kat mala koya ban a ɓanza.
01071400a4	A masǝlǝate ka, mùr kya lim kǝ̀rkǝ́r yàle ankono mana à kutiban kat nǝ dāh'rya ka, mùr kongsǝ múrià nǝ lime ɓakusǝu lumi-ɓari nǝ mǝsǝì ɓari.
01071500b4	Koya gìr nani mana ndanǝ yilǝmu ka, wù kat: anyal, anyam-ɓala andǝ anyam-bondo, amuna-nyama mǝkèke mǝnana à kǝ kuɗǝki a kwàr nzali, andǝ ɓwapǝndǝa kat, wu puppup.
0107160042	Koya gìr mana kǝ lin'ueo sǝ do a ɓanza man ngga, tè twal kat.
010717011c	Mǝtalabangŋo twalta koya gìr mana kǝ lin'ueo a ɓanza man ngga: aɓwana, agirkusǝu, agiryilǝmu mǝkèke mǝnana à kǝ ɓang a kwàr nzali, andǝ anyal mǝnana a bumkuli ka, twaltea kat a ɓanza. Kǝ aɓwana mana à au ka, à nda ka Nuhu andǝ aɓwana mǝnana atè aɓa waru ka.
010718003d	Mùr aki ɓanza pàk nongŋo gbǝman-mwashat nǝ lumi-tongno.
01080100a8	Sǝ cau mala Nuhu andǝ anyam-ɓabondo andǝ anyam-ɓala mana atè aɓa waru ka nda a ɓabum Ɓakuli. Nda tasǝ gung ɓǝ̀ ɓua amur ɓanza, mùr pǝlǝa tita sonzǝo.
0108020076	Amáɗí-mùr mana a tà-nzali ka à tākya, ɓunno mala mùr mana nǝ bumkuli kpana-kpana ka amsǝa, sǝ mbulo tukio.
010803008b	Mùr pǝlǝa tita nyar ɓukɓuk aban sonzǝo a ɓanza. Lang yi lùmsǝ̀nà anongŋo gbǝman nǝ lumi-tongno ka, mùr sonzǝna adyan pepè.
0108040093	Aɓa lum bwamdǝ-tongno-nong-ɓaria pwari mala tongno-nong-ɓaria zongŋo ka, nggea-waru yi came amúr ɓè nkono aɓalǝ ankono mala nzali Ararat.
0108050078	Mùr lidǝmba nǝ nyar nǝ te yi pur a lumia zongŋo. Aɓa pwari mǝdǝmbe mala lumia zongŋo ka, ɓong ankono sa a nza.
0108060050	Anzǝm anongŋo lumi-ine ka, Nuhu mǝn fongǝran mǝnana pè arǝ nggea-waru ka,
010807007b	pǝlǝa tasǝ gang'lang ɓǝ̀ puro. Gang'langnì camarǝ gāli, nǝ̀ ká sǝ nǝ̀ nyare bà ime mala mùr a nzǝm-nzali.
0108080055	Anzǝm mǝno bǝti ka, Nuhu tasǝ kutu ɓǝ̀ kya sǝni ko mùr sonzǝna, nza sangna.
01080900b9	Kutu gandǝ kum ban sulǝo ɗang acemǝnana mùr nakam più, akban kat a ɓanza. Kutu pǝlǝa nyare aban Nuhu a waru. Nuhu lǝmdǝ bui a fongǝran, ak kutu, sǝ nyesǝi aɓa nggea-waru.
01080a004d	Anzǝm nongŋo tongno-nong-ɓari ka, Nuhu nyare tasǝ kutu ɗǝm ɓǝ̀ puro.
01080b0093	Lang pwari nǝ̀ ká kpa ka, kutu nyare yiu, sǝ Nuhu sǝni ka, mbú nggun-olif mǝpwale na a kúni. Nda Nuhu sǝlǝa ama mùr-gùla nyarna nǝ te.
01080c007f	Nuhu kundǝ ɗǝm aɓea nongŋo tongno-nong-ɓari, sǝ nyare tasǝ kutu ɓǝ̀ kyane. Lang kutu umna ka nyare yiu ɗǝm ɗàng.
01080d0114	Adyan ngga, Nuhu ndanǝ apǝlǝa a ɓanza gbǝman-tongno-nong-mwashat nǝ mǝsǝì mwashat. A pwari mǝdǝmbe mala zongŋo mǝdǝmbe mala mǝno yì pǝlǝa ka, mùr sonzǝni ɓanza. Nuhu pǝlǝa loasǝ gìr mǝnana kùmsǝ̀ múr waru ka. Lang nǝ̀ sǝnban ngga nzali imǝna.
01080e005b	Aɓa lumi-ɓari bwamdǝ tongno-nong ɓaria pwari mala ɓaria zongŋo ka, ɓanza imǝna kat!
01080f001c	Pǝlǝa Ɓakuli ne Nuhu ama,
0108100041	“Wu pùrrî ɓá waru, we sǝ māmó, sǝ amunio andǝ amālia.
01081100bb	Pusǝ koya gìr-yilǝmu mana atò a waru ka: anyal, andǝ agirkusǝu andǝ amǝnana àkǝ kuɗǝki a kwàr nzali ka: ace mǝnana ɓǝà yi ɓǝla, ɓǝà hatǝki, ɓǝà aki ɓanza ka.”
0108120047	Nda Nuhu pùrrî ɓá waru, yì andǝ māmí andǝ amuni andǝ amālia.
01081300b5	Sǝ koya girkusǝu, koya gìr mana kǝ pūrǝki nǝ múrbumi a nzali, andǝ koya nyal, andǝ koya gìr mana kǝ gya a ɓanza ka, à pùrrî ɓá waru kat, koya mbalangni a ɓinalea.
01081400b2	Pǝlǝa Nuhu ɓakkî Mǝtalabangŋo gyangŋan; twal atà koya girkusǝu andǝ nyal mǝnana amǝɓoarne na ace girlina ka, pana gir'nkila mala pisǝe kǝring nǝia amur gyangŋan.
0108150148	Mǝtalabangŋo ka banɓoari wi nǝ ok rǝm mǝno yì ɓoro ka. Ne ɓamúrì ama, “Pà mǝ nǝ sú nzali ɗǝm ace cau mala ɓwapǝndǝa ɗang, ko kat andǝ amani ama koya ɗenyicau malea lùmsǝo nǝ ɓealɓikea twal a lo-ɓwa malea ka. Pa mǝ nǝ nyar ɗǝm mǝ nǝ kiɗiki gìr mǝnana ǝn pe, mana ndanǝ yilǝmu ka ɗàng.
0108160093	Ɓǝ̀ mbak sǝ ɓanza na kam ngga, pwari ɓeale, sǝ pwari cane, kunɗwal andǝ gungpi, mbulo sǝ kunte, pwari andǝ du, à pà nǝ̀ ue ɗang.”
010901005d	Ɓakuli tsǝki Nuhu andǝ amuni bu sǝ nea wia ama: Wu ɓǝla, wu hatǝki, wu lùmsǝ ɓanza.
01090200d5	Koya nyam-bondo, sǝ koya nyal a bumkuli, andǝ koya gìr mǝnana kǝ kuɗǝki a nzǝm-nzali, andǝ anji kat a nggeamùr, à nǝ̀ nggǝ ɓangga wun sǝ múrià nǝ̀ kària arǝ wun. Ən pana wunia kat a bù wun.
01090300a8	Koya gìr mǝnana kǝ gya sǝ ndanǝ yilǝmu ka, nǝ̀ duk girlina ma'wun. Kǝla mǝnana ǝn pa wun agirpwala ɓǝà duk girlina ma'wun ngga, ǝn pana wun girbunda kat.
0109040068	Kǝgìr mǝnana pa wu nǝ li raka nda nyama mǝnana yilǝmi na aɓa nyami più ka, mǝnana nda nkile ka.
01090500b3	Ɓwa mǝnana twal yilǝmi ɓwa ka, mǝ nǝ ɗice mǝno yì yilǝmu ka a bu kǝ ɓwe. Sǝ ɓǝ̀ girkusǝu na gbal sǝ wal-lú ɓwa ka, girkusǝunì gbal ka ɓǝà wali ɓǝ̀ wú.
010906007e	Ɓǝ̀ yana sǝ twal yilǝmi ɓwa ka, yì gbal ka à nǝ̀ twal yilǝmi, acemǝnana Ɓakuli pak ɓwapǝndǝa aɓa purban male.
0109070034	Wun ngga, wu ɓǝla, wu hatǝki, wu akiban a ɓanza.
0109080028	Pǝlǝa Ɓakuli ne Nuhu andǝ amuni ama,
0109090057	“Mǝ ndya ǝn nggǝ tamsǝ kùrcau mem sǝnǝa wun andǝ amuna wun andǝ amǝkà wun,
01090a00a1	sǝ nǝ́ koya girkusǝu mǝnana kutio atà wun aɓa waru ka; anyal, andǝ anyam-ɓala andǝ nyam-bondo; andǝ koya gìr nani mǝnana ndanǝ yilǝmu a ɓanza ka.
01090b00b6	Mǝ ndya ǝn nggǝ tamsǝ kusǝ kùrcau mem nǝ wun ngga: Mùr-gùla pa nǝ̀ nyar ɗǝm nǝ̀ twalta yilǝmu ɗàng. À pà nǝ̀ kiɗiki ɓanza ɗǝm nǝ nggea mùr-gùla ɗang.”
01090c00d7	Ɓakuli nyare na ama, “Mǝnia ka nda gìr'lǝmdǝa mala kùrcau mǝnia ǝn nggǝ kùrì a nrem sǝm sǝnǝa wun andǝ koya gìr mana nǝyilǝmu atà wun ngga, kùrcau mana nda ace anza mǝnana à kǝ yiu peatu ka:
01090d006d	Ən tsǝ́ngŋǝ̀nà npāring aɓalǝ apǝrɓang. Nda gìr'lǝmdǝa mem mala kùrcau a nrem andǝ ɓanza ka.
01090e006a	Ɓǝ̀ nda aya pwari sǝ ǝn sulǝ apǝrɓang amur ɓanza, sǝ npāring pusǝrǝi aɓalǝ apǝrɓang ngga,
01090f00af	mǝ nǝ ɗenyi nǝ kùrcau mem mǝnia ǝn pangnǝ wun andǝ koya ambalang agir mǝnana à ndanǝ yilǝmu ka. Nggea mùr-gùla pa nǝ̀ nyare nǝ̀ twalta yilǝmu ɗǝm ɗàng.
01091000cf	Ɓǝ̀ aya pwari sǝ npāring pusǝrǝi aɓalǝ apǝrɓang ngga, mǝ nǝ sǝnì, sǝ ɓalǝam nǝ̀ kasǝa arǝ kùrcau mana málá male pà kàm raka, mǝnana a nre Ɓakuli andǝ yilǝmu kat a ɓanza ka.”
0109110094	Pǝlǝa Ɓakuli ne Nuhu ama, “Mǝnia yì npāring ngga, nda gìr'lǝmdǝa mala kùrcau mǝnana ǝn tsǝì a nrem andǝ yilǝmu kat a ɓanza ka.”
0109120085	Amuna-burana mala Nuhu mana à purî ɓá waru ka à nda ka Shem, andǝ Ham sǝ Jafet. Ham ɓǝl muna-ɓwabura lùllǝì ama Kan'ana.
0109130077	Amǝnia yì amuna-burana mala Nuhu tàrú ka, à nda à yi ɓǝl ɓwapǝndǝa kat mana à mesǝ a koya ban a ɓanza ka.
0109140040	Nuhu ka mǝrya na sǝ nda tita tsǝk ɓaban mala anggun-anap ka.
0109150084	A ɓè pwari ka, Nuhu nu mùr-ɓǝlanggun anap mǝhangŋe kǝ̀rkǝ́r, mùr anap wàlì, pǝlǝa kpa nong nǝ ɓate aɓa tara male.
0109160078	Ham, tár Kan'ana ka sǝn tárrí aban nongŋo nǝ ɓate. Pǝlǝa puro wari a nza kya banggi amǝ'eambi mǝnia ɓari ka.
01091700c2	Sǝ Shem andǝ Jafet ka, à twal lagir à mǝni a nzǝmia sǝ à ging nǝ nzǝm à yi kùmsǝî tárrià amurí, gìr ɓate. À pǝlǝ mǝsǝia nǝ ɓe ban ɗàng, à sǝn ɓata tárrià ɗàng.
0109180053	Lang dǝm Nuhu kwarna ka, yi sǝlǝce gìr mǝnana Ham, muni mǝkyauwe pakki wi ka.
010919005d	Bang ama, “Súban ɓǝ yiu amúr Kan'ana! Yì ka nǝ̀ duk guro mala aguro aban amǝ'eambi.
01091a005e	Ɓwangsǝban ɓǝ pa aban Mǝtalabangŋo, Ɓakuli mala Shem! Kan'ana nǝ̀ duk guro mala Shem.
01091b0099	Ɓakuli ɓǝ̀ tangsǝ nzong-nzali mala Jafet! Amuna male andǝ amǝkè nǝ̀ do atārǝia andǝ aɓwana mala Shem! Kan'ana nǝ̀ duk guro mala Jafet.”
01091c0055	Anzǝm pa mala mùr-gùla ka, Nuhu pàk aɓea pǝlǝa gbǝman-tàrú nǝ lumi-tongno.
01091d006a	Do ɓanza mala Nuhu kat ka pǝlǝa gbǝman-tongno-nong-ine nǝ lumi-tongno na. Anzǝm mǝno ka sǝ yi wú.
010a0100b3	Amǝnia ka à nda ka amuna andǝ amǝkau a tàu mala Shem, andǝ Ham, andǝ Jafet, yì amuna-burana mala Nuhu. Yia mǝnia tàrú ka à ɓǝlki amuna anzǝm málá mala mùr-gùla.
010a02005b	Amuna-burana mala Jafet ka à nda ka: Goma, Magog, Madai, Javan, Tubal, Meshek andǝ Tiras.
010a030053	Amuna andǝ amǝkà Goma ka à nda ka: Amǝ Asǝkena, amǝ Rifat andǝ amǝ Togama.
010a040068	Amuna andǝ amǝkà Javan ngga à nda ka ɓwapǝndǝa mala anzali: Elisha, Tarshi, Kitim, andǝ Rodanim.
010a050125	(A tǝrta aɓwana mǝnia ka sǝ aɓwapǝndǝa mǝnana à duki arǝ aluran aɓa nggeamùr andǝ akún nggeamùr ka à puro. À nda ka amǝkà Jafet mǝnana à mesǝe arǝ anzali ɗàngɗáng, sǝ koyan ateà ka à súrǝì nǝ kún male, sǝ tàu male, andǝ nzali male mǝnana pàk kàm ngga.)
010a060048	Amuna-burana mala Ham ngga à nda ka: Kush, Mizǝrem, Put andǝ Kan'ana.
010a070078	Amuna mala Kush ka à nda ka Seba, Havila, Sapta, Raama, andǝ Sapteka. Amuna mala Raama ka à nda ka Sheba andǝ Dedan.
010a08006d	Ɓè ɓwa atà amǝkà Kush ka nda Nimro. Yì Nimro ka nda ɓwa mǝnana tita duk ɓwa mǝcandǝe a ɓanza ka.
010a0900b4	Nǝ́ pâ gbasha mala Mǝtalabangŋo ka, yi duk nggeà kanggǝrang mǝ'nta. Acemani ka aɓwana kǝ na ama, “Ɓǝ̀ Mǝtalabangŋo tsǝo wu duk kanggǝrang mǝ'nta kǝla Nimro!”
010a0a0086	Anggea-là mǝnana à ɓoaro à kutiban kat aɓata nzali-murǝm mala Nimro a nzali Shinar ka à nda ka Babila, Erek, Akat andǝ Kalne.
010a0b0060	Nimro puro a nzali Shinar sǝ o a nzali Assuriya kya ɓakia anggea-là Nineva, Rehobot-Ir, Kalne
010a0c0055	andǝ Resen kàm. Resen ngga nggea-là na a nre Nineva andǝ nggea-là mǝgule Kalne.
010a0d0031	Mizǝrem ngga nda tár a Lud, Anam, Lehap, Naftu,
010a0e0051	Patǝru, Kasǝlu, andǝ Kafto. Arǝ abân mǝnia ka sǝ amǝ Filisti puro à yiu.
010a0f005a	Muna-ɓwabura mǝkyauwe mala Ham yì Kan'ana ka nda yi duk tár Sidon andǝ amǝ'Hitti ka.
010a100041	Kan'ana ɗǝm ngga nda kàka amǝ'Jebus, amǝ'Amor, amǝ'Girgash,
010a110022	amǝ'Hivi, amǝ'Arkit, amǝ'Sǝni,
010a12007f	amǝ'Arǝvad, amǝ'Zema, andǝ amǝ'Hamat. Nǝ nzǝ́mò ka aɓwapǝndǝa mǝnia à pùr a tàu mala Kan'ana ka, à yi mesǝke.
010a1300e6	Acemani ka nzong-nzali mala amǝ'Kan'ana tangŋa tite a ban nggea-là Sidon sǝ sulǝo yi puro aban là Gera, pǝlǝa twalo a là Gaza sǝ sárǝ́ aban ká arǝ alá Sodom, Gomora, Adǝma andǝ Zeboyim, sǝ kya masǝlǝa a Lasha.
010a1400a7	Amǝno yì aɓwana kat ka, à pur a tàu mala Ham. Koyan ateà ka à súrǝì nǝ tàu male, sǝ kún male, sǝ bu-nzali male, andǝ nzali male mǝnana pàk kàm ngga.
010a150078	Shem mǝnana nda mǝgula Jafet ka à ɓǝli wi amuna-burana gbal. Shem ngga nda kàka Eba andǝ amuni andǝ amǝkè kat.
010a16004d	Amuna-burana mala Shem ngga à nda ka: Elam, Asshur, Arfakza, Lud andǝ Aram.
010a170066	Aɓwapǝndǝa mǝnana a tàu mala Aram ngga à nda ka: Amǝ'Uz, amǝ'Hul, amǝ'Geta andǝ amǝ'Meshek.
010a180035	Arfakza ka nda tár Shela, sǝ Shela ka nda tár Eba.
010a1900a7	À ɓǝlî Eba amuna-burana ɓari. Ɓè man mwashat ka à tunǝi ama Pele, acemǝnana a nza male sǝ aɓwapǝndǝa mesǝe arǝ abân aɓa ɓanza; mǝ'eambi nda Joktan.
010a1a0036	Joktan ngga nda tár a Almoda, Shelep, Hazamave, Jera,
010a1b0017	Hadoram, Uzal, Dikǝla,
010a1c0016	Obal, Abimayel, Sheba,
010a1d004c	Ofir, Havila, andǝ amǝ'Jobap. Yia mǝnia kat ka, à nda ka amǝkà Joktan.
010a1e006f	Nzali-do mala aɓwana mǝnia kat ka, tite a Mesha sǝ sarǝa kya puro a Sefar, nzali múr ankono a njar-takuli.
010a1f00a3	Amǝno ka, à nda ka amuna andǝ amǝkà Shem. Koyan ateà ka à súrǝì nǝ tàu male, sǝ kún male, sǝ bu-nzali male, andǝ nzali male mǝnana pàk kàm ngga.
010a2000e8	Aɓwapǝndǝa mǝno kat ka à nda ka amuna andǝ amǝkau mala amuna-burana mala Nuhu, koyan ngga nǝ nggurkwar mala tàu male, aɓalǝ anzali malea. Twalo abania sǝ aɓwapǝndǝa mesǝe arǝ aban aɓa ɓanza kat, anzǝm mùr-gùla.
010b01007a	Anggo ka kǝ kún mǝmwashati na ɓwapǝndǝa nakiyi a ɓanza kat ka, sǝ acau mǝmwashati na gbal à kǝ puro a kunia ka.
010b020072	Lang ɓwapǝndǝa tita tùrki arǝ abân nǝ bù takuli ka, à kya kum ɓè ɓawanban a Shinar pǝlǝa à duk kam.
010b0300b0	Sǝ à nea rǝia ama, “Ɓǝ̀ sǝm ɓak atobali, sǝ ɓǝ̀ sǝm twania a bǝsa pepè.” À paktúró nǝ dǝɓang ɗurǝkya a kúnì tali, sǝ kwalta do nda shiminti malea.
010b040102	Pǝlǝa à na ama, “Wu fani, ɓǝ̀ sǝm ɓàngŋǝ́nì nggea-là nǝ ndà-kulí nggea mǝ'dāhre mǝnana ɓǝ̀ u ɓong-ɓong a kùli ka, ace mǝnana ɓǝ̀ sǝm kumbi ɓamur rǝ sǝm lullǝu, sǝ ɓǝ̀ sǝm kǝa mesǝkì tarǝ sǝm aɓa ɓanza raka.”
010b050070	Sǝ Mǝtalabangŋo sulǝo yiua sǝn nggea-là andǝ nggeaɓa mǝɓong-ɓongni mǝnana aɓwapǝndǝa ɓakkiyi ka.
