0100000014	Англунимос
01080d013b	Карик о англуно дес англунэ шонэско шовшэл екхэскэ бэршэско лэ Ноёстерэ жувимасти э пхув вишутиля лэ паестар. О Ноё одпхандадя ушарди лэ ковчегоско и дикхля, со э пхув шуки.
01080e006d	Карик биштай ефтато дес дуйтонэ шонэстар э пхув ся сас шуки.
01080f0034	Тунче о Дэл пхэндя лэ Ноёсти:
010810006e	— Вижа анда ковчего, ту и тери ромни, терэ шавэ и лэнди ромня.
0108110115	Виндяр аври ся, со исы жундо, со исы туса, — э черэкля, э жундимос, саво пхирэл па пхув, соп вонэ тэ пхэрэн э пхув, и тэ анэн бэятонэн тэ ашэн майбут пэ пхув.
0108120096	О Ноё вижыля анда ковчего екхтанэ пэстерэ шавэнца, ла ромняса и э ромня лэ шавэнди.
01081300f0	Баро тай цыкно пхуяко жундимос, и саворэ черэкля, — ся, со пхирэл пай пхув, — вижылэ анда ковчего пэстеря породаса, екх пала екхэстэ.
0108140116	О Ноё стердя лэ РАЕСТИ жэртвенико и андя пэр лэстэ жэртва: ля коисавэн андай саворэ вужэ скотонэндар тай лэ черэкляндар, зашындя лэн тай спхабардя пэ яг.
01081501c9	О РАЙ ашундя лэ накхэса лашо фано и пхэндя андо ди Пэсти: — Никала акана на авава Мэ тэ дав амрая э пхув пала мануш, хоть анда бэятонэндерэ времятар оди лэ манушэско цырдэлпэ каринг э холи. И никала акхана на умарава саворо жундимос, сар тердэм екхатар.
0108160126	Андэ саворэ деса ла пхуятерэ на парашэла время, кала росшон о ворзо и кала стидэн о ворзо; на парашэна о шудримос тай о татимос, о милай тай о йивэн, о дес тай э рят.
01090100e8	О Дэл бахталисардя лэ Ноёс и лэстерэ шавэн и пхэндя лэнди: — Тэ анэн э бэятонэн, соп тумэн тэ авэл майбут пай пхув, тай пхэрэн ла.
0109020141	Мэк саворо жундимос пэ пхув, и саворэ черэкля нэбостерэ, и саворо жундимос, саво пхирэл па пхув, и саворэ паестерэ маще даран тай издран тумэндар. Мэ отдэм лэн андэ тумарэ васта.
01090300e3	Саворо пхуяко жундимос, авэла важ тумэнди хамаса. Сар данглал Мэ дэм тумэнди э зэлэно чяр, кадя и екхатар Мэ отдав тумэнди ся.
0109040048	Но на хан о мас, андэ саво исы инке о рат.
0109050151	И пала тумаро рат Мэ саекх мангава роспотинимос. Мэ мангава роспотинимос важ лэстэ кажнонэстар жундимостар, и кажнонэстар манушэстар Мэ кадя жэ пушава важ лэско жувимос лэско пхралэс.
01090600bc	Ко умарэла манушэс, колэс манушэс умарэла авэр мануш. Пала кода со о мануш стердо па образо лэ Дэвлэско.
01090700a7	Тумэ жэ анэн бэятонэн, соп тумэн тэ авэл майбут, розжанпэ пай пхув и терэнпэ майбут пэр латэ.
0109080055	Тунче о Дэл пхэндя лэ Ноёсти и лэстерэ шавэнди:
0109090056	— Адес Мэ дав завето тумэнди и тумарэ бэяцэнди,
01090a0125	и саворэ жундимасти, савэ сас тумэнца, — черэклянди, скотости и вэшэско жундимасти, — саворэнди, ко вижыля тумэнца анда ковчего, — саворэсти жундимасти пэ пхув.
01090b00e8	Мэ дав тути завето: никала упалэ ся, со исы жундо, на авэла тасавдо лэ паестерэ потопоса, никала упалэ о паи на затасавэла э пхув.
01090c00e9	О Дэл пхэндя: — Акэ знако лэ заветоско, саво Мэ дав тумэнди, и кажнонэсти жундимасати, саво тумэнца, пэ саворэ родуря, савэ авэна.
01090d00af	Мэ стхав андэ тучюря Мэрни радуга, и вой авэла знако лэ заветоско машкара Мандэ и машкара э пхув.
01090e006f	Кала Мэ бишалава э тучюря пэ пхув, андэ тучюря авэла э радуга,
01090f0107	и Мэ сэрэсарава пала Мэрно завето машкара Мандэ и тумэндэ и кажнонэ жундимаса, никала акана э пайя на шорэнапэ, соп тэ потасавэн ся, со исы жундо.
0109100105	Всако разо, кала э радуга авэла андэ тучюря, Мэ додикхава ла и сэрэсарава о вико завето машкара Дэл и машкара саворэ жундимаса, савэ исы пэ пхув.
