2800000009	ማቶስ
28051d0114	የስታ ምዝ አፍና ጎመታ ጎግ ኮት ማዴ፥ ዉችተዮ ዛእካ! የስታ ኤደትቸና ሙደና ድግዳክን ኖሄናር ኦይትምተርንዘንካ የስታ ኤደትቸናርንካ ዋልቀና ካይደስናና የስካንታ ኡርሜ።
28051e0111	የስታ ምዝ አንና ጎመታ ጎግ ኮት ማዴ፥ ተችት ዛእካ! የስታ ኤደትች ሙደና ድግዳክን ኖሄናር ኦይትምተርንዘንካ የስታ ኤደትቸናርንካ ዋልቀና ካይደስናና የስካንታ ኡርሜ”።
28051f009d	“ይንታ ኬነንም ቡልድባብ ሙደና ኮት ቡልምሳንደታ ማርካትች ዋርቀትን ኮትካንታ እምማ” ጋይምቴ።
2805200105	እታ ማቼ የም ጋይድቴ፥ “ቤልምንጎካ ማታክንዳ ማቼ፥ ይንታ ኬነንም ቡልድባብ ሙደና ኮት ቤልምድንግንዳ ይዴ፥ ቡልምሳንደትመረ እንጅድባብ ሙደና ቤልምባብ ማዴ።”
28052100d4	ጉጅሰረ ኤና እሪ ኤድንከስካንታ “ካርከካ Ꮊይ ጫቀቴ፥ ኬዛርንካ ማቼ የንታ ጫቀንም ጮይስካንታ ቦድከቴ” ጋይምሳንደትም ኤሰርተቴ።
28052200b1	እታ ማቼ “ቦድሰረ Ꮊይ ጫቀቴ” የም ጋይድቴ። ጭለና ሳብታ ዶቅንት ጎንጋ ኮት ማቻንካንታ፥ ጭለከረ Ꮊይ ጫቀተ፥
28052300e9	ፍጨነረ ጮይስታ ዱትንታ ዎእንትንዳ ኮት ማቻንካንታ ፍጨከረ Ꮊይ ጫቀቴ፥ አንድር ባንችንታ ካተማ ኮት ማቻንኦል የሩሳሌም ካተመንከረ Ꮊይ ጫቀቴ፥
28052400a6	የስታ ማተናርንካ ዋልቀን ዎራ ጫምሳ አነረ ጫልም ማስካንታ የስ ማዳክንካንታ የስታ ማተንከረ Ꮊይ ጫቄ።
28052500ac	ኮካንታ የንታ ኬዘና “ይያ” ማቼ “ይያ” አነረ “ዋአ” ማቼ “ዋአ” ማታ። ኮዘንካ ስግዳንዳ ዳቅልንዘንኬ።
2805260073	“‘አፍታ ካርያር አፍ፥ አችታ ካርያር አች’ ጋይምሳንደትም ኤሰርተቴ።
28052700ea	እታ ማቼ ዳቅልን የንዘን ይድባብ ኤድንዘን Ꮊይ ይምኤርቴ። ኬዛርንካ ማቼ ምዝ የስታ ከቼንም ጫቅድባብካንታ የስታ ከች ከቼንም ክትካንታ ስርስካ።
28052800a3	ዋልቃ ኤድ የስታ ሳምዝንም ተይካንታ ዝግሶ የስም ክት ካሰሴ፥ የስታ ኮትንም ክት ተይድንግንዳ ዛእካ።
28052900b6	ዋልቃ ኤድ ‘እንካ ክክን ቶክም ጎግ አይካ’ ጋይሶ የስም ማእሴ፥ የና ማቼ ኮታዘን ኮትከካ ጎግ ክትካ ክክን አይካ።
28052a0083	የዝደር ምግዝድባብካንታ እምካ፥ የዝደር ታልቃ ዝግድባብካንታ ዋይዬ Ꮊይ ጋዬ”።
28052b00a8	ኮታዘንከረ የሱስ፥ “‘የስታ ላኮይትን ሶልምካ፥ የስታ ይምኤንባብም ግርካ’ ጋይምሳንደትም ኤሰርተቴ።
28052c0154	እታ ማቼ የንታ ይምኤንባብከስም ሶልምከቴ፥ የም ባድባብከስም አንጅከቴ፥ የም ግርድባብከስካንታ ኡርማ ይከቴ፥ ዳቅልን የንዘን ይድባብከስካንተከ የም ዳይድባብከስካንታ ምክስከቴ” እታ የም ጋይድቴ ኩን ጋይሴ።
28052d0130	ኮም የ ይዴ፥ ጭለናር ዶቅድን የንታ ባቤንታ የታ ይንች ማተረቴ። ኖ ዳቅልንከስካንተኬ ኡርመንከስካንታ Ꮊይንም ዉችዝዴ፥ ኮትኮግንደረ ጭልንከስካንተኬ ጎመንባብከስካንታ ዶብንም ቃንዝዴ።
28052e00a2	የም ሶልምድባብከስም Ꮊክ የ ሶልምደ Ꮊራ ናክ የንታ ዶቅዳ? ቃረጭን ተችዝድባብከስ ኮትኮም ይደክ ካዮ?
28052f00b5	የንታ እስመንከስካንታ Ꮊክ አቦ የ ጋይድንዳ ማቼ Ꮊረንት ስገዳን ሪ ይዳ? አይሁድ ማታክባብከስ ኮትኮም ይደክካዮ?
280530006e	ኮካንታ ጭለናር የንታ ባቤና ቦድማ ማቻንግንዳ የተረ ቦድማ ማትከቴ።
2806010121	ኮታዘንከረ የሱስ፥ ኤድ ዎም ሰዳ ጋይሶ የንታ ኡርማ ፍክስንም ኤታ እሪ ይይንተዘንካ ካርስምከቴ፥ ኩን የ ይያክንዳ ማቼ ጭለናር የንታ ባቤንደርንካ እምምድንደትም ናክን Ꮊብዳከቴ።
2806020177	ኮካንታ ሪንካየንባብካንታ እመንም የ እምድንᎺይካ፥ ኦትረንባብከስ ምክስ ኤሄናርኬ ጎግካ ኤድ ከትም ቦንጅድንግንዳ ጋይሰኮ ከት ይድንግንዳ የተረ Ꮊይ ጬቀቴ፥ እታ የም ዶፈን ከዝድቴ፥ ከታ ይንታ ፍክስንታ ናክንም እርምሰኮ ተይተኬ።
280603009a	የና ማቼ ሪካየንባብከስካንታ እምድ ዶቆ የስታ ምዝ አንና ይድንደትም ከች አንና የስታ Ꮊይ ኤሳ።
28060400a7	ይና የስታ እመና አቸካ ማታ፥ አቸካ የስ ፍግዝድንደትም ሰድባብ፥ የስታ ኡርማ ፍክስንታ ናክን ኖ ናግዴ።
280605015e	“የ ምግዝድንደትᎺይካ ኮ ኦትረንባብከስግንዳ Ꮊይማተቴ! ኬታ ኤድ ከትም ሰድንግንዳ ጋይሶ አይሁድንታ ምክስ ኤሄናርኬ ጎግንታ ካንታር ዎእሶ ኬታ ምክስካንታ ሶልምደኬ። ዶፈን የም፥ ጋይድቴ ኬታ ይንታ ናክንም ተይተኬ።
2806060125	የና ማቼ ምግዝድዮ ኤሄንታ ዋር አርድካ፥ የስታ ፍልተንም ዝጭሳዮ፥ ግፋር ዶቅድን የስታ ባቤንደር ምክስካ አቼካ ፍክስምሳን ሰድባብ የስታ ባቤና የስታ ኡርማ ፍክስንታ ናክንም ናግዴ።
280607010f	“የታ ምግዝደቶ አይሁድ ማታክባብከስግንዳ፥ ዉችኩን ማዳክንደትም ካርንካ ካርንካ Ꮊይ አፈረቴ፥ ከታ ካርንካ ካርንካ ጋይተታ በድምካ ሳብ ከታ ምክስን ኤሰርድን ካምዴ።
28060800c6	የታ ማቼ፥ የንታ ባቤና የካንታ ዝግዝድንደትም ሪን አክ ክትም የ ምክሳክናና እርምሶ ክት ኤዝድንካንታ ከትግንዳ Ꮊይማተቴ።
2806090094	ኮካንታ የታ ኩን ጋይሶ ምክስከቴ፥ “ጭላር ዶቅድባብ ዎንታ ባቤኖ! የስታ ጭል ላምና ቦንችማ፥
28060a0087	የስታ ባንችምና Ꮊዳ፥ የስታ ጋይተና ጭለናር ማቻንግንዳ፥ ኮትግንደረ ፍጨዘን ማታ፥
28060b003a	ሰጨንታ እችምን ታካ ዎካንታ እምካ።
28060c0072	ዎተረ ዎም ባችስባብም ነጋ ዎ ጋይድንግንዳ፥ ዎንታ ባችንም ነጋ ጋይካ፥
28060d00c1	ዳቅልዘንካ አቅስካ ዳት፥ ኦስ ጰጭምናር ዎም Ꮊይ አርችሴ፥ ባንችምና፥ ዎልቀኬ ቦንቼካ ስለንክንደታ የስቴ፥ አምንኤ”።
28060e0076	“ኤድንከስታ ጎመንም ነጋ የ ጋይዴ የመረ ጭላር የንታ ባቤና ነጋ ጋይተሬ።
28060f0096	ኤድንከስታ ጎመንም ነጋ የ ገይዳክንዳ ማቼ፥ የንታ ባችንመረ ጭላር የንታ ባበና ነጋ ጋያዬ።”
2806100159	የሱሰረ፥ “በቼካ የ ምግዝድንደት Ꮊይካ፥ ከታ በቼካ ምክስንም ኤድንከስ ኤዝድንግንዳ፥ ከታ ይንታ ባለንም ኦግድባብ ኦትረንባብከስግንዳ የንታ ባለንም Ꮊይሱልሰቴ፥ ዶፈን የም ጋይድቴ፥ ከታ ይንታ ናክንም ተይተኬ።
280611008e	“የና ማቼ በቼካ የስ ምግዝድንደትᎺይካ የስታ ባለንም ስኤርካ የስታ ማተንመረ ሳየርካ።
2806120119	ኮግንደካ የስታ በቼካ ምክስንም ግፋር ዶቅድባብ የስታ ባቤንዘንካ አብ Ꮊየነረ ኤዝዳክዬ፥ ግፋር ፍክስምሳንደትም ሰድባብ የስታ ባቤነረ መየካ የስካንታ ናክተሬ” ኩን ጋይሴ።
28061300d6	ጉጅሰረ የሱስ፥ “ብልኬ ቡይካ ካይዝድን ካርዘን ድብንከሰረ ቁንጭሶ ድብድንደታር፥ ኮ ፍጨዘን የንታ ማታ ካንታ ቆልመን Ꮊይ ሳንሰቴ።
28061400c7	ስግስሰረ ብልኬ ቡይካ ካይስካንታ ማዳክን ካርዘን፥ ድብንከሰረ ቁንጭሶ ድብዳክን ካርዘን ጭላር የንታ ቆልመንም ሳንስከቴ።
280615005e	ቆልመና የስታ ዶቅድን ካርዘን የስታ ቡደነረ ኮታር ማተሬ።
280616009c	“ኤደትቸንታ ሳክመና አፍዬ፥ ኮካንታ የስታ አፍና ኡርማ ማቼ፥ የስታ ኤደትቸና ሙዳ ሳክማ ማተረ፥
28061700ed	የስታ አፍና ሰቀርድንዳ ማቼ፥ የስታ ኤደትቸና ሙዳ ኡም ማዴ። ይና የሳር ዶቅድንዳ ሳክመና ኡም ኮት ማቼ ኡምና Ꮊስግንዶክ እንድንካ ኡምሳንዳ ማተራ!
2806180197	“ዋልቃ ኤች ቃስቴን ማታ ቆልስባብከስታ ፍክስንባብ ማትካንታ ማታዬ፥ አነረ ዋልቃባብም ግርዴ፥ ዋልቃባብንም ሶልምዴ፥ አነረ ዋልቃባብንም ቦንጅዴ፥ አብንመረ ቶጅዴ፥ ኮትኮግንደረ ዋልቃ ኤድ ዋልቃዱት ሳብካንተኬ ብራካንታ ፍክስንባብ ማትካንታ ማታዬ።
280619011e	“ኮካንታ ኩን የም ጋይድቴ፥ ‘Ꮊሮንት እችቴ? Ꮊሮንት ዎጭቴ? Ꮊሮንት ቆበርቴ?’ ጋይሰቶ የንታ ገች Ꮊቅንጎካ Ꮊይ ማጠረቴ፥ እችምዘንካ ሰንፓ፥ አፍለዘንከረ የንታ ኤደትቸና ስጋዮ?
28061a0120	ይና ጭለዘን ፈድን አፍትንከስም ሰድከቴ፥ ከታ ማሳ ካዬ፥ ስካየኬ፥ ቡላር ኦይታየኬ፥ ኬዛርንካ ማቼ ጭላር የንታ ባቤና ከትም እችዝዴ። ይና የታ አፍትንከዘንካ አንድር ስግደት ካዮ?
28061b0093	ማችንከረ የንታ ዌክያርንካ ማጠርሶ፥ ይንታ ስለዘን ዋልቃ ሰጫ ዎራ ጉጅካንታ ማድባብ Ꮊይራ?
28061c00e8	“ጉጅሰረ አፍላካንታ Ꮊረተንት ማጠርዳ? ይና ፍጨዘን ድረንከስታ ቦነነከስ Ꮊስግንዳ ጋጵዳናነረ ሰዳከቴ፥ ከታ ፍክስካ ጋፋየኬ፥ ፉታ ግእዳከኬ፥
28061d0098	ኬዛርካ ማቼ፥ ሰሎሞን ዎራ ኮ ሙዳ ይንታ ቦንቼንካ፥ ከታርንካ ዋልቀንግንዳ ቆበራክየ ጋይድቴ።
28061e00f9	ይና ታካ Ꮊፈርሶ ሰናካ ኖሀር ኦይትምድን ዛክንዘን ድረንም፥ ሳብ ኮግንዳ ቆብዝድንዳ ማቼ የታ አሜን ዞገርስባብከስ! የም ማቼ Ꮊስግንዳ ስግስሶ ቆፍሳይንዳ!
28061f008d	ኮካንታ ‘Ꮊሮንት እችቴ? Ꮊሮንት ዎጭቴ? Ꮊሮንት ቆበርቴ?’ ጋየረቶ ገቅርካ Ꮊይማጠረቴ።
28062000b2	ኮም Ꮊፍካንታ አይሁድ ማታክባብከሰረ ዝግደኬ፥ የካንታ ኮና ሙዳ የም ዝግዝድንደትም ጭላር የንታ ባቤና ኤዝዴ።
280621009a	የታ ማቼ፥ እርምሰቶ ሳብታ ባንችምንምኬ ጭለትችንም ዝከቴ፥ ነገዳን ሪሙደና የካንታ ጉጅምተሬ፥
28062200bd	ሰናክንዳ ሰጨና ይንታ ማታ ኮት ማጠራ፥ ሰናክንደትካንታ Ꮊይማጠረቴ፥ ሰጨንካንታ ጋይምሳን ቦርምና ኮትካንታ ማዴ።”
280701007c	ኮታዘከረ የሱስ፥ “የዘን ፋረድምተራክንግንዳ፥ Ꮊየንታ ዘነረ Ꮊይ ፋረደቴ።
28070200b3	አብንከዘን የ ፍርድን ፍርደና፥ የንታዘን ፋርድምዴ፥ ኮትኮግንደረ የ ማግድንደትካ ማስትዮ የካንታ ማክምዴ”።
280703009d	የስታ አፋር ዶቅድንደተም ቱስን ሰዳከይ ዶቆ Ꮊረተስ የስታ እስመንታ አፍናር ዶቅድን ዳቅልን ሰዳ?
28070400c7	ጉጅሶ የስታ አፍናር ቱስ ከከና ዶቅድንካ የስታ እስመንም “ይና ‘የስታ አፍናር ዶቅድን ዳቅልን ዉችትቴ’ Ꮊስግንደስ ጋይዳ?
28070500e1	የና ኦተረንባቦ! እርምሶ የስታ አፍናር ዶቅድን ቱስን ዉችካ፥ ኮታ ቡር፥ የስታ እስመንታ አፍናር ዶቅድን ዳቅልን ዉችካንታ ኡርስት ሰዳዬ”።
280706017e	ሳብካንታ ፋስምሳን ርን ከታ ይንታ ዱትንከረ ሙግዳክንግንዳ ማተረ የም ከት ጋእዳክንግንዳ አክስንከስካንታ Ꮊይ እመቴ፥ የንታ ቦንችምሳን ርን ጉድምንከስታ እር Ꮊይ ኦይተቴ፥ ጉድምንከስ የንታ ቦንችምሳን ርን ከታ ይንታ ዱትንካ ሙግደኬ።
2807070090	“ምክስከቴ የካንታ እምምተሬ፥ ዝከቴ የታ Ꮊፍተረቴ፥ ፍልተን ቆንከቴ የካንታ ፎችምተሬ።
280708008e	ምግዝድባብ ሙደና ተይተሬ፥ ዝግድባብ Ꮊፍተሬ፥ ፍልተንመረ ቆንግድባብካንታ ፎችምተሬ።
2807090069	የንታ ዎክያርንካ ክታ ይንችና እችም ኦይሴ ሰይን እምድባብ Ꮊይራ?
28070a0035	ሞለንም ምክሳን ማቼ ጉንን እምዶ?
28070b011c	ይና የታ ዳቅል ማትሶ ዶቅድ፥ የንታ ይንችንካንታ ኡርማ ሪም እምንተን የ ኤሳንካ ይና፥ ጭላር ዶቅድባብ የንታ ባበና ምግዝድባብከስካንታ Ꮊስግንዳ ስክስሶ ኡርማ ርን እማይንዳ?”
28070c00fe	ይና ኤድንከስ የካንታ ይድንግንዳ የ ዝግድንደትም ሙዳ፥ የተረ ከትካንታ ኮትግንዳ ይከቴ፥ ሙሴታ ህግኬ ሳብዘንካ ኤስርሶ ከዘቅባብከስታ ኤስስነረ ኮትኮመተ።
28070d00cd	ጩንጭማ ፍልተንካ አርድከቴ፥ ካይንተናር አርጅድንዳ ፍልተና ዳልጌ፥ ጎግነረ ኮታ ሳክምዬ። ኮትካ አይድባብ ኤድና በድንከሰኬ።
28070e00ba	ኦስ ዶቅንተናር አርጅድን ፍልተና ማቼ ጩንጭሜ፥ ጎግነረ ሉጋ ጎግንግንዴ፥ ኮትም Ꮊብድባብከሰረ ቶክም ኤድንከሰኬ።
28070f011b	“ቆልታ ጉፍተም ቆበርሶ የንደር Ꮊድባብከዘንካ፥ ኬታ ዋርጎክንዳ ማቼ ቆልንም የድን ጋርመንከስግንዳ ማችባብከስ ካርከካ ሳብዘንካ ኤሰራከክዶቆ ከዝድባብከዘንካ ካርስምከቴ።
28071000b6	ከትመረ የ ኤዝድንዳ ከታ ፍክስንታ አፍንኬ። ኡክምታ እክመዘንካ ዎይንታ አፍ፥ ኦንደዘንካ በለስታ አፍን ካምምዶ?
280711007e	ኮግንደረ ኡርማ Ꮊቃ ሙደና ኡርማ አፍ ኡዝዴ፥ ዳቅል Ꮊቃ ማቼ ዳቅል አፍ ኡዝዴ።
2807120083	ኡርማ Ꮊቀና ዳቅል አፍ ኡስካንታ ማታዬ ዳቅል Ꮊቀነረ ኡርማ አፍ ኡስካንታ ማታዬ።
280713005e	ኡርማ አፍ ኡዝዳክን Ꮊቃ ሙደና፥ ፋክምሶ ኖሀር ኦይትምዴ።
2807140088	ኮካንታ፥ ካርከካ ሳብዘንካ ኤሰራከክዶቆ ከዛዶቅድባብከስም ከታ ፍክስንካ ኤዝደቴ።
28071500ce	“ጭላር ዶቅድባብ እስታ ባበንታ ጋይተንም ቦድባብ ዳት ‘ጮይስዮ! ጮይስዮ!’ እም ጋይድባብ ሙደና ጭላ ባንችምናር አርድባብ ካዬ።
2807160114	ፍርደን ሰጨንካ በድንከስ፥ ‘ጮይስዮ! ጮይስዮ! የስታ ላምንካ ቤርካ ኬዛክቶ? የስታ ላምንካ ግምዘንከስም ዉቻኮቶ? የስታ ላምንካ በድ አተንም ፍክሳኮቶ?’ እዝደር ጋይተረኬ።
28071700bd	እተረ ኮት ሰጨንᎺይካ፥ ‘ቦድሶ የም ኤዝዳክቴ! የታ ዳቅልንም ፍግዝድባብከስ እዘንካ ኦስ ጎተርከቴ!’ ከትም ጋይትቴ።
28071800b5	“ኮም እስታ ቃለንም ኤሰርሶ ፍክስዘን Ꮊቅዝድባብ ሙደና፥ ይንታ ኤሄንም ሰይን ላዝንዘን ዎጅባብ ኤችንም ካምዴ።
28071900d8	ዶብነረ ቃንሴ፥ ሳፍነረ ሙርግዜ፥ ዞገነረ ዞግሶ፥ ኮትኮ ኤሄንም Ꮊቅሴ፥ ማታጋካ ዳት፥ ኤሄና ሰይን ላዝንዘን ዎድምሳንካንታ ዋቻክዬ።
28071a00a2	ኮም እስታ ቃለንም ኤሰርሶ ፍክስዘን Ꮊቅዝዳክባብ ማቼ፥ ኤሄንም ሸምዘን ዎጅባብ ዳቻ ኤችንም ካምዴ።
28071b00a2	ዶብነረ ቃንሶ ሳፍነረ ሙርግሶ ኮትኮ ኤሄንም Ꮊቅሴ ኤሄነረ ዋቼ፥ ዋችንተነረ ኮታ ገቅዝድንዳ ማቼ”።
28071c0087	የሱሰረ ከትኬና ሪንከስም ኬዝሶ ክት በይሳንደትካ ዎርሰና ክታ ኤስስንካ በርእሰኬ።
28071d00c0	ከት በርእሳንደረ ኖ ሙሴታ ህግንም ኤስዝድባብከስግንዳ ማታክዶቆ፥ ገችታ ኤራ ዶቅድባብግንዳ ከትም ኤስዝድ Ꮊቃንጎኬ።
280801007d	የሱስ ገቸንዘንካ ክት Ꮊንቸርድንካ፥ አንድር በድ ኤድንከስ ክትም ጎርስምሴ።
28080200bd	ኮትᎺይካ ዋልቃ እጳ ሰቅምንክንባብ ኤች Ꮊድሶ ክትካንታ ጎስትሶ “ጮይስዮ! የስ ሶልምደ እም ፋችካንታ ማዳየ” ጋይሴ።
28080300d7	የሱሰረ ይንታ አንንም ኦይትሶ ክትም Ꮊጬ፥ “እታ ጋይድቴ፥ ፋጭካ!” ክትም ጋይሴ። እጳ ሰቅምንክንባበረ ሳነካ እጳ ሰቅምናርንካ ፋጬ።
2808040185	ኮታ ቡር የሱስ፥ እጳ ሰቅምንክንባብ ኤችንም ኩን ጋይሴ፥ “ኮም ሪን Ꮊየንካንተረ Ꮊይከዜ፥ ኬዛርንካ ማቼ፥ አይሳዮ የስታ ማተንም ቀሰንካንታ ሰችካ፥ ማርካ ከታዘን ማተርንግንዳ፥ የስታ ፋጭንተንጎካ ሙሳ ክትሳን እመንም እምካ” ክትም ጋይሴ።
28080500c0	የሱስ ቅፍራናሆም ካተመናር ክት አርደዳንደትካ፥ ዋልቃ ፖልስንከስም ገችዝድባብ ክደር Ꮊድሶ፥ ኩንጋየሮ ክትም ምክሴ፥
2808060091	“ጮይስዮ፥ እስታ ፍክስንባብና ዎብ ማትሶ፥ አንድር ማጥረሮ ኤሄናር ራትሶ ዶቅዴ” ጋይሴ።
280807004d	የሱሰረ፥ “እታ Ꮊድስቶ ክትም ፋችትቴ” ጋይሴ።
28080800fe	ፖልስንከስም ገችዝድባብ ማቼ ጮይስዮ! የና እስታ ኤሄናር አርድካንታ ዝግዝድን ኤድ ካይቴ፥ ኬዛርንካ ማቼ ዋልቃ ቃላ Ꮊክ ኬዝካ፥ እስታ ፍክስንባበረ ፋጭተሬ፥
