010000000a	Medhetethi
010912004f	Markabiyape keyida Nohe adde nayti Seema, Kaamanne Yaafeta; Kaami Kanaane aawa.
0109130043	Ha heedzati Nohe nayta; sa7a ubban de7iya asay entafe yeletidosona.
010914002e	Nohey goshshancho; I woyne tokethan koyro asi.
0109150056	Issi gallas Nohey he woyniyape uyidi mathotidi ba dunkaaniya giddon xire kallo zin7is.
010916004e	Kanaane aawa Kaami ba aawa kalluwa be7idi, kare keyidi, ba nam7u ishatas odis.
01091700d3	Shin Seeminne Yaafeti afila ekidi, nam7ayka banta hashiyara hashiyara gathi oykidi, guye guthu hemeti gelidi, banta aawa kalluwa kammidosona. Enti banta aawa kalluwa be7oona mela banta ayfiya haraso zaaridosona.
010918003d	Nohey mathoy aadhin, barkidi, iya kaalo na7ay oothidaba eris.
0109190056	Nohey iyako, “Kanaaney baadetidaba gido! I ba ishatas wursetha aylle gido” yaagis.
01091a004c	Qassika Nohey, “Goday, Seema Xoossay galatetto! Kanaaney Seema aylle gido;
01091b0074	Xoossay Yaafeta biitta aasso. Yaafeta sheeshay Seema sheeshara wolla de7onna; Kanaaney Yaafeta aylle gido” yaagis.
01091c0042	Dhayo haathaafe guye, Nohey heedzu xeetanne ishatamu laythi de7is.
01091d0035	Nohey uddufun xeetanne ishatamu laythi de7idi hayqis.
010a010082	Nohe nayta, Seema, Kaamanne Yaafeta yeletethay haysafe kaallidi xaafetidaysa. Dhayo haathaafe guye, entaw adde nayti yeletidosona.
010a020050	Yaafeta adde nayti, Gomera, Maagoge, Madaya, Yawaana, Tubaala, Mosahanne Tirasa.
010a030030	Gomera adde nayti, Askanaaza, Irfatanne Togarma.
010a040035	Yawaana adde nayti, Elisha, Tarsesa, Kiximanne Rooda.
010a0500b3	Haysati Yuushoy abban teqetida biittan de7iya Yaafeta sheeshatas mayzata. Enti banta biittan biittan, banta doonan doonaninne banta kawotethan kawotethan shaaketidi de7iya dereta.
010a060032	Kaama adde nayti, Kuusha, Gibxe, Liibenne Kanaane.
010a070062	Kuusha adde nayti, Saaba, Hawila, Saabita, Ra7imanne Sabtaka. Ra7ime adde nayti; Saabanne Dedaana.
010a080049	Kuushi Namiruude yelis; Namiruudey ha sa7an koyro wolqaama olancho gidis.
010a09007e	Godaa maaden wolqaama shankancho gidis. Asay, “Namiruudeda Goday nena wolqaama shankancho kesso” gidi anjey hessa gishosa.
010a0a005b	Iya kawotethaas koyro katamati Sana7oora biittan de7iya Babiloone, Ereka, Arkadanne Kaline.
010a0b003e	I he biittafe Asoore bidi, Nanawe, Rehobootanne Kalaha keexis.
010a0c0039	Qassi Nanawepenne Kalaha katamaape giddon Reseena keexis.
010a0d0033	Mixiraymi, Luudeta, Anamimeta, Lahabeta, Naftuheta,
010a0e0048	Patroosatanne Filisxeeme kochaa yelida Kasluheematanne Qaftooreta mayza.
010a0f002e	Kanaaney ba bayra na7a Sidoonanne Heeta yelis.
010a100037	Qassi Kanaane sheeshati Yaabuseta, Amooreta, Gergeseta,
010a110018	Hiweta, Arketa, Siinata,
010a120069	Arwaadeta, Xamaaratanne Hamaatata yelis. Hessafe guye, Kanaane sheeshati dumma dumma bessi laaletidosona.
010a130081	Kanaane biitta zaway Sidoonape doomidi, Garaaranne Gaazara gakidi, Soodomenne Gamoora, Adaamanne Xaboyma bidi, Lasha7a gaki eqis.
010a140065	Haysati Kaama sheeshata; entaw dumma dumma dooni, dumma dumma biittinne dumma dumma kawotethi de7ees.
010a15004e	Seemas nayti yeletidosona. I Yaafetas bayra ishanne Eboora nayta ubbaas mayza.
010a16003e	Seema adde nayti, Elama, Asoore, Arfakisaade, Luudenne Araame.
010a170030	Araame adde nayti, Uxa, Hula, Geteranne Masheka.
010a18002c	Arfakisaadi Saala yelis. Saali Eboora yelis.
010a19008a	Ebooras nam7u adde nayti yeletidosona. Sa7an de7iya asay iya wode shaaketida gisho issuwa Pelega gidi sunthis. Iya ishaa sunthay Yoqxaana.
010a1a0049	Yoqxaana sheeshati haysata. Entika Almodaada, Salefa, Hasermoota, Yaraha,
010a1b001a	Hadoraama, Uzaala, Diqila,
010a1c0017	Obaala, Abmaala, Saaba,
010a1d003b	Ofira, Hawilanne Yobaaba. Haysati ubbay Yoqxaana sheeshata.
010a1e0059	Enti de7ida heeray Meesape bidi doloha baggara de7iya derey dariya Safaara biitta gakees.
010a1f006b	Haysati ubbay Seema sheeshata; entaw dumma dumma dooni, dumma dumma biittinne dumma dumma kawotethi de7ees.
010a2000a0	Haysati ubbay banta sheeshan sheeshaninne banta kawotethan kawotethan xaafetida Nohe nayta. Dhayo haathaafe guye kawotethati haysatape sa7a ubbaa laaletidosona.
010b010036	Sa7a bolla de7iya asi ubbay koyro issi doonan odetees.
010b02005b	Enti doloha baggafe dendidi bida wode Sana7oora biittan demba bessi demmidi yan uttidosona.
010b03008e	Enti issoy issuwako, “Haa yiite, xuube medhidi, minnana mela taman xuuggoos” yaagidosona. Enti shucha gisho xuube, urqa gisho made melaba,
010b0400a5	ekidi, “Haa yiite, nu sunthaa xeegisanawunne qassi nuuni ha sa7a bolla laaletonna attana mela issi gita katamaanne xeeray salo gakiya pooqe keexoos” yaagidosona.
010b050045	Shin Goday asati keexida gita katamaanne pooqiya be7anaw duge wodhis.
010b0600ab	Goday haysada yaagis; “Heko, enti issi asi; enti ubbayka issi doonan odetidosona. Enti ha7i haysa oothanaw doomidosona. Enti bantaw oothanaw halchidaba polonna aggokona.
010b070070	Yaaniya gisho, haayite; duge wodhidi enti issoy haasayiya doona issoy eronna mela enta doona dummayos” yaagis.
010b080050	Goday enta hessafe sa7a ubbaa bolla laallin, enti katama keexeysa aggaagidosona.
010b090081	Goday sa7an de7iya asa doona yan buqida gisho he katamaa sunthay Babiloone geetetis. Goday enta hessafe sa7a ubbaa bolla laallis.
010b0a0093	Seema yeletethay haysafe kaallidi xaafetidaysa; dhayo haathaafe guye, nam7u laythi gidin, Seemas laythi xeeta gidida wode, Seemi Arfakisaade yelis.
010b0b0063	Seemi Arfakisaade yelidaape guye, ichashu xeetu laythi de7is. Hara adde naytanne macca nayta yelis.
010b0c002b	Arfakisaadi 35 laythi de7idi, Salaha yelis.
010b0d0059	Arfakisaadi Saala yelidaape guye, 403 laythi de7is. Hara adde naytanne macca nayta yelis.
010b0e0025	Saali 30 laythi de7idi, Eboora yelis.
010b0f0054	Saali Eboora yelidaape guye, 403 laythi de7is. Hara adde naytanne macca nayta yelis.
010b100026	Eboori 34 laythi de7idi, Pelega yelis.
010b110055	Eboori Pelega yelidaape guye, 430 laythi de7is. Hara adde naytanne macca nayta yelis.
010b120024	Pelegi 30 laythi de7idi, Ra7a yelis.
010b130052	Pelegi Ra7a yelidaape guye 209 laythi de7is. Hara adde naytanne macca nayta yelis.
010b140024	Ra7i 32 laythi de7idi, Saruga yelis.
010b150053	Ra7i Saruga yelidaape guye, 207 laythi de7is. Hara adde naytanne macca nayta yelis.
010b160027	Sarugi 30 laythi de7idi, Nakoora yelis.
010b170056	Sarugi Nakoora yelidaape guye, 200 laythi de7is. Hara adde naytanne macca nayta yelis.
010b180026	Nakoori 29 laythi de7idi, Taara yelis.
010b190055	Nakoori Taara yelidaape guye, 119 laythi de7is. Hara adde naytanne macca nayta yelis.
010b1a0039	Taari 70 laythi de7idi, Abrame, Nakooranne Haarane yelis.
010b1b0073	Taara yeletethay haysafe kaallidi xaafetidaysa; Taari Abrame, Nakooranne Haarane yelis. Yaatin Haraani Looxe yelis.
010b1c005f	Haraani ba aaway Taari paxa de7ishin, ba yeletida Kaldaaweta biittan, gita Uure kataman hayqis.
010b1d009c	Abrameynne Naakorey nam7ayka machidosona. Abrame mache sunthay Soora. Qassi Nakoora mache sunthay Milko. Milka Haarana na7iw; Haaraney Milkanne Yosika aawa.
010b1e0029	Soora maynthi gidida gisho iw na7i baawa.
010b1f00c3	Taari ba na7aa Abrame, ba na7aa Haarane na7aa Looxenne, ba na7aa Abrame machiw Soora ekidi, Kanaane biitta baanaw Kaldaaweta katamaa Uurepe dendis. Shin enti Kaarane katama gakidi yan uttidosona.
010b200028	Taari 205 laythi de7idi Kaaranen hayqis.
010c010061	Goday Abrameko, “Ne biittafe, ne deriyape, ne soo asaape, shaaketada ta nena bessiya biitta ba.
010c02005d	Ta nena wolqaama dere oothana, nena ta anjana ne suntha gita kessana; ne haratas anjo gidana.
010c030077	Taani nena anjeyisata anjana; nena baaddeyisata baaddana, biitta bolla de7iya dere ubbay ne gaasora anjetana” yaagis.
010c040090	Hessa gisho, Abramey Xoossay iya kiitidaysada keyis. Looxey iyara issife bis. Abramey Kaaranepe keyiya wode iyaw laythi laapun tammanne ichasha.
010c050088	Abramey ba machiw Soora, ba isha na7a Looxe, Kaaranen de7ishe shiishida shaluwanne ba aylleta ubba ekidi Kanaane biitta bidi gakidosona.
010c060076	Abramey Seekeman de7iya More geetetiya gita mithaako gakanaw kanthidi bis. He wode Kanaane asati he biittan de7oosona.
010c070084	Xoossay Abrames yan qoncidi, “Ha biitta taani ne sheeshas immana” yaagis. Ika ba qoncida Godaas he bessan yarsho bessi giigisis.
010c0800c2	He bessaafe dendidi Beetelepe doloha baggara de7iya zumako bis. Yan Beetele wuloha baggan, Gaye doloha baggan aggidi, ba dunkaaniya tokis; yan Godaas yarsho bessi giigisidi Godaa sunthaa xeegis.
010c09003a	Hessafe guye, Abramey bessafe besse aadhishe Negebe gakis.
010c0a006a	He wode Kanaane biittan koshi keyis. Koshay minnida gisho guutha wode yan daanaw Abramey Gibxe biitta bis.
010c0b005d	Gibxe gelanaw matiya wode Abramey ba mache Soorako, “Neeni mala lo77o gideysa taani erayis;
010c0c0054	Gibxe asati nena be7idi, ‘Hanna iya machiw’ yaagidi tana wodhidi nena aggaagana.
010c0d0073	Hessa gisho, ne gisho gidi taw lo77oba oothana melanne ta shempiya attana mela ‘Ta iyaw micho’ yaaga” yaagis.
010c0e0059	Abramey Gibxe biitta gakida mela Gibxe asati Soora mala lo77o maccasi gidoysa be7idosona.
010c0f0068	Gibxe Paarona moorinnati iyo be7idi daro nashshidi kawa Faaronas odidosona, iyoka kawa sinthe efidosona.
010c10007c	I gaason kawoy Abrame bonchidi mokis. Gujidika dorsata, miizata, hareta, gimaleta, adde aylletanne macca aylleta iyaw immis.
010c110051	Shin Goday Abrame mache Soora gaason Gibxe kawanne iya keetha gado hargen shocis.
010c120074	Hessafe guye, kawoy Abrame xeegisidi, “Ne ta bolla oothidabay haysi aybee? Iya ne macho gideysa ayis taw odabikii?
010c13006b	Ayis ta micho gada wordotadii? Ta iyo macho oothada ekas, shin attis; ne machiya hannashu eka ba” yaagis.
010c140062	Hessafe guye, Abramenne iya machiw iyaw de7iyaba ubbara kessi yeddana mela Kawoy ba asata kiittis.
010d01006c	Abramey ba machiw Sooranne baw de7iyaba ubba ekidi Gibxefe Negebe mela biitta bis. Looxeyka iyara wolla bis.
010d020035	Abramey he wode mehen, biraninne worqan daro duretis.
010d030083	Abramey Nagebepe dendidi bessafe besse aadhishe Beetele gakanaw bis. Beetelepenne Gayepe giddon I koyro dunkaaniya tokida bessaanne
010d04004b	Godaas kase yarsho yarshida bessa gakidi, yan Abramey Godaa sunthaa xeegis.
010d050061	Abramera wolla hemetiya Looxesika daro dorsati, deeshati, meheti, soo asatinne aylleti de7oosona.
010d06005d	He wode Abramesinne Looxes daro mehey de7iya gisho enti banta meheta heemmiya bessay xuummis.
010d07009b	Hessa gisho, Abrame meheta heemmeyisata giddoninne Looxe meheta heemmeyisata giddon kachi keyis. He wode Kanaane asatinne Parze asati he biittan de7oosona.
010d08007f	Hessa gisho, Abramey Looxeko, “Nuuni ishanta gidiya gisho nu giddon woyko nu meheta heemmeyisata giddon kachi daanaw bessena.
010d0900a3	Biittay dalga gidiya gisho nu wolipe shaaketana. Ne haddirsa bagga biiko taani ushacha bagga baana; neeni ushacha bagga biiko taani haddirsa bagga baana” yaagis.
010d0a00e8	Looxey biitta yuuyi aadhidi xeelliya wode Yordaanose zangaaray, Godaa gannatiyada woyko Zo7aare baggara de7iya Gibxe biitta mela haathi kumidaysa be7is. Hessika, haniday Goday Soodomenne Gamoora geetetiya katamata dhaysanape sinthe.
010d0b0078	Hessa gisho, Looxey Yordaanose zangaara ubba baw dooridi doloha bagga bis. Hessada hanidi issoy issuwafe shaaketidosona.
010d0c006e	Abramey Kanaane biittan de7is. Shin Looxey Zangaaran de7iya katamata giddon Soodome matan ba dunkaaniya tokis.
010d0d003d	He wode Soodome asay daro iitanne Godaa sinthan nagaranchota.
010d0e00a2	Looxey Abramepe shaaketidaape guye, Goday Abrameko, “Ne de7iya bessaafe pude dhoqu gada pudeha bagganne dugeha bagga, doloha bagganne wuloha bagga yedda xeella.
010d0f0045	He neeni be7iya biitta ubba taani merinaw newunne ne sheeshas immana.
010d10006e	Taani ne sheesha biitta baanada darsana. Oonika biitta baana taybanaw danda7onaysada ne sheeshayka taybetenna.
010d110059	Taani ha biitta new immana gisho dendada biitta adussatethaninne dalgatethan simereta.”
010d120085	Hessa gisho, Abramey ba dunkaaniya shoddidi Kebroonan de7iya Mamire gita mithata matan de7anaw bis. Yan Godaas yarsho bessi giigisis.
010e01007c	Sana7oora kawoy Amrafeeli, Elsaare kawoy Ariyooki, Elama kawoy Kolodogomoorinne Goyma kawoy Tidaley oyddu kawotethati wolla,
010e0200a9	ichashu kawotethatara, Soodome kawa Beraara, Gamoora kawa Bersara, Adaama kawa Sen7abera, Xiboyma kawa Sambaranne Zo7aara geetetiya Beella kawuwara oletanaw dendidosona.
010e030068	Ha ichashu kawotethati issife shiiqidi Maxine Abba geetetiya Sidima zangaaran banta toora shiishidosona.
010e04007d	Ha kawotethati tammanne nam7u laythi Kolodogomooras haaretidosona shin tammanne heedzantho laythan iyaw kiitetonna ixidosona.
010e0500b9	Tammanne oyddantho laythan Kolodogomoorinne iyara tobbida kawotethati banta olanchota eki bidi Raafaymeta Astarooten de7iya Qarnayman, Zuzayteta Haaman, Emimeta Sawen de7iya Qiratayman;
010e06008a	Qassi Hoora biitta asataka derey dariya Sayre biittan oli xoonidi, mela biitta matan de7iya Elfaraana geetetiya bessa gakanaw goodidosona.
010e070091	Yaape simmidi, Qaadesa geetetiya Ayin Mispata yidosona. Amaaleqata biitta ubbanne Hazazon Tamaaren de7iya Amooreta biitta oli xoonidi oykidosona.
010e080092	Hessafe guye, Soodome kawoy, Gamoora kawoy, Adaama kawoy, Zeboyma kawoy, Zo7aare geetetiya Beella kawoy dendidi Sidima zangaaran olas giigidosona.
010e09007a	Ha ichashu kawotethati, Elama kawara, Goyma kawara, Sana7oora kawaranne Elsaare kawara ha oyddu kawotethatara oletidosona.
010e0a00cb	He wode Sidima zangaaran madeda oykiyabati de7iya ollati de7oosona. Soodome kawoynne Gamoora kawoti olape attanaw baqatishe he ollan wullidosona. Shin hanko heedzu kawotethati zumako baqatidi attidosona.
010e0b0065	Oyddu kawotethati Soodomeninne Gamooran de7iyaba ubba hari attoshin, enta kathaaka bonqidi efidosona.
010e0c005a	Abrame isha na7ay Looxey Soodomen de7iya asi gidiya gisho ika baw de7iyaba ubbara di7etis.
010e0d00fa	Hessafe guye, di7eti bida asaape kessi ekida issi asi yidi hanidaba ubba Ibraawe addiya Abrahaames odis. He wode Abramey Amoore addiya Mamire gita mithata matan de7ees. Mamireynne iya ishati Eskolinne Aneeri olaa zaaranaw Abramera caaqidi uttidosona.
010e0e008f	Abramey ba isha na7ay di7etidaysa si7ida wode ba son yeleti diccidi loohida 318 tooranchota ekidi enta geedo kaallidi Daane katama gakanaw bis.
010e0f0093	I baara eki bida tooranchota qamma cugan cugan shaakidi morketa olidi xoonis. Damasqofe pudeha baggara de7iya Hoobe geetetiya bessi gakanaw goodis.
010e100067	Yaatidi de7etidaba ubba, ba isha na7a Looxenne iyaw de7iyaba ubba, maccasaanne hara asata woossis ekis.
010e11008d	Abramey Kolodogomoorinne iyara tobbida kawota xoonidi simmiya wode Soodome kawoy, Kawota Zangaara geetetiya Sawe Zangaaran iya mokanaw keyis.
010e120053	Ubbaafe Dhoqa Xoossaa kahiney, Saleema kawoy Malkexaadeqi uythinne woyne ekidi yis.
010e130051	I haysada Abrame anjis; “Salonne sa7a medhida, Ubbaafe Dhoqa Xoossay nena anjo.
010e140098	Ne morketa ne kushen aathidi immida, Ubbaafe Dhoqa Xoossay galatetto” yaagidi anjis. Abramey ba demmidaba ubbaafe asraata kessidi Malkexaadeqas immis.
010e150045	Soodome kawoy Abrameko, “Shaluwa ne ekada, asaa taw imma” yaagis.
010e16006e	Shin Abramey Soodome kawako, “Taani Godaas, saluwanne sa7a medhida Ubbaafe Dhoqa Xoossas ta kushiya denthas.
010e170060	Neeni, ‘Abrame dure oothiday tana goonnaada’ hari attoshin kire woyko caamma wodoroka ekike.
010e18007b	Ta asati midaysafe attishin ta aybibaaka ekike. Qassi taara bida Aneeri, Askoolinne Mamirey bantana gakiyaba eko” yaagis.
010f01006b	Hessafe guye, Goday Abrames amuhon qoncidi, “Abrame babofa, taani new gondalle, Ne woytoy gita” yaagis.
010f02008c	Shin Abramey, “Abeeti Ubba Haariya Godaw, neeni immiya woytoy taw aysee? Taw yeloy baawa; buroo tana laattanay Damasqo Eli7azara gidennee?
010f03005d	Abramey, neeni taw yelo immaboonna gisho ta keethan de7iya ta aylley tana laattana” yaagis.
010f040064	Goday iyako, “Ha aylley nena laattenna, shin ne gulbatape keyana ne na7ay nena laattana” yaagis.
010f05008c	Yaagi simmidi iya kare kessidi, “Pude salo xeella, neeni xoolintota paydanaw danda7iko payda, hiza ne sheeshayka hessada gidana” yaagis.
010f060040	Abramey Godaa ammanis; Goday iyaw hessa xillotethi oothidi ekis.
010f07007b	Qassika Goday iyako, “Neeni ha biitta laattana mela Kaldaaweta biittafe Uure katamaape nena kessida Goday tana” yaagis.
010f08005e	Shin Abramey iyako, “Abeeti Ubba Haariya Godaw ha biitta ta laatanaysa aybin ero?” yaagis.
010f09007d	Goday iyako, “Heedzu laythi gidida issi ussi, issi deeshi, issi dorsenne hessadaka hollenne gorille taw ekada ya” yaagis.
010f0a0073	Abramey hessata ubba Xoossas ehidi kafoti attishin, harata qanxidi nam7u kessi shaakidi issuwa issuwa ginan wothis.
010f0b0046	Ankoti he ashuwa maanaw bollafe wodhidosona; shin Abramey enta goodis.
010f0c0069	Awi wullana haniya wode Abrame wolqaama dhiskoy shoci yeggis. Daganthiya wolqaama dhumi iya bolla wodhis.
010f0d008b	Goday Abrameko, “Ne sheeshay allaga biittan bete asi gididi daanaysa loythada era; enti aylletethan oyddu xeetu laythi naaqeti haaretana.
010f0e0064	Shin entana aylletethan haariya deriya ta pirdana; enti he biittafe keyishe daro shalo ekidi keyana.
010f0f004e	Nena gidiko, neeni ne mayzatako sarotethan baana. Neeni daro cimada moogetana.
010f100083	Ne sheeshay buroo oyddantho yeletethan ha biitta simmana. Ayis giiko, Amooreta nagaray pirdetana likiya buroo gakibeenna” yaagis.
010f110068	Awi wullin sa7i dhuma linxi gin, cooce tama cuyinne tama lacoy bentidi shaaketida ashuwa giddora aadhis.
010f120079	He gallas Goday Abrames, “Gibxe shaafape doomidi Efraxiisa shaafa gakanaw de7iya biitta ubbaa taani ne sheeshas immana.
010f13003f	He biittay Qeenata biitta, Qenezata biitta, Qadimooneta biitta,
010f140031	Hiteta biitta, Parzeta biitta, Raafaymeta biitta,
010f15005a	Amooreta biitta, Kanaaneta biitta, Gergeseta biittanne Yaabuseta biitta” yaagidi caaqis.
0110010064	Abrame machiya Soora iyaw na7a yelabuuku. Shin iw Gibxefe yida Aggaaro geetetiya gadhindoy de7awusu.
01100200a9	Soora Abrameko, “Taani na7a yelonna mela Goday tana yelo diggis. Neeni bada ta ayllera aqa; taani I baggara na7a demmanekonne ooni eri” yaagasu. Abramey I qofa ekis.
0110030086	Abramey Kanaane biittan tammu laythi de7idaape guye, iya machiya Soora Gibxefe yida ba aylliw Aggaaro ba azinaas macho oothada immasu.
011004005c	Abramey Aggaaro ekis, iyaka qanthatasu. Iya baw qanthatidaysa erida wode ba godatiw kadhasu.
011005009b	Soora Abrameko, “Ha qohuwas tana gathiday nena; taani ta aylliw new immin, iya qanthatidysa be7ada tana kadhawusu. Nebaanne tabaa Goday pirdo” yaagasu.
0110060094	Abramey Soorako, “Hanno be7a ne aylliw iya ne kushena; nena lo77idaba ootha” yaagis. Hessafe guye, Soora Aggaaro un7ethin yaape keyada baqatasu.
0110070073	Godaa kiitanchoy Aggaaro mela biittan, pulto haatha matan demmis; he pultoy shuura biitta efiya ogiya matan de7ees.
0110080097	Kiitanchoy Aggaaro, “Soora ayllete, Aggaare, awupe yadii? Awu bay?” yaagidi oychis. Aggaara zaarada, “Taani ta godate Soorape baqatas” yaagasu.
