2800000006	ܡܬܝ
28050a006a	ܛܘܒܝܗܘܢ ܠܐܝܠܝܢ ܕܐܬܪܕܦܘ ܡܛܠ ܟܐܢܘܬܐ ܕܕܝܠܗܘܢ ܗܝ ܡܠܟܘܬܐ ܕܫܡܝܐ
28050b008e	ܛܘܒܝܟܘܢ ܐܡܬܝ ܕܡܚܤܕܝܢ ܠܟܘܢ ܘܪܕܦܝܢ ܠܟܘܢ ܘܐܡܪܝܢ ܥܠܝܟܘܢ ܟܠ ܡܠܐ ܒܝܫܐ ܡܛܠܬܝ ܒܕܓܠܘܬܐ
28050c0077	ܗܝܕܝܢ ܚܕܘ ܘܪܘܙܘ ܕܐܓܪܟܘܢ ܤܓܝ ܒܫܡܝܐ ܗܟܢܐ ܓܝܪ ܪܕܦܘ ܠܢܒܝܐ ܕܡܢ ܩܕܡܝܟܘܢ
28050d00ac	ܐܢܬܘܢ ܐܢܘܢ ܡܠܚܗ ܕܐܪܥܐ ܐܢܗܘ ܕܝܢ ܕܡܠܚܐ ܬܦܟܗ ܒܡܢܐ ܬܬܡܠܚ ܠܡܕܡ ܠܐ ܐܙܠܐ ܐܠܐ ܕܬܫܬܕܐ ܠܒܪ ܘܬܬܕܝܫ ܡܢ ܐܢܫܐ
28050e006a	ܐܢܬܘܢ ܐܢܘܢ ܢܘܗܪܗ ܕܥܠܡܐ ܠܐ ܡܫܟܚܐ ܕܬܛܫܐ ܡܕܝܢܬܐ ܕܥܠ ܛܘܪܐ ܒܢܝܐ
28050f008a	ܘܠܐ ܡܢܗܪܝܢ ܫܪܓܐ ܘܤܝܡܝܢ ܠܗ ܬܚܝܬ ܤܐܬܐ ܐܠܐ ܥܠ ܡܢܪܬܐ ܘܡܢܗܪ ܠܟܠ ܐܝܠܝܢ ܕܒܒܝܬܐ ܐܢܘܢ
2805100082	ܗܟܢܐ ܢܢܗܪ ܢܘܗܪܟܘܢ ܩܕܡ ܒܢܝܢܫܐ ܕܢܚܙܘܢ ܥܒܕܝܟܘܢ ܛܒܐ ܘܢܫܒܚܘܢ ܠܐܒܘܟܘܢ ܕܒܫܡܝܐ
280511006b	ܠܐ ܬܤܒܪܘܢ ܕܐܬܝܬ ܕܐܫܪܐ ܢܡܘܤܐ ܐܘ ܢܒܝܐ ܠܐ ܐܬܝܬ ܕܐܫܪܐ ܐܠܐ ܕܐܡܠܐ
28051200ac	ܐܡܝܢ ܓܝܪ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܥܕܡܐ ܕܢܥܒܪܘܢ ܫܡܝܐ ܘܐܪܥܐ ܝܘܕ ܚܕܐ ܐܘ ܚܕ ܤܪܛܐ ܠܐ ܢܥܒܪ ܡܢ ܢܡܘܤܐ ܥܕܡܐ ܕܟܠ ܢܗܘܐ
28051300ec	ܟܠ ܡܢ ܗܟܝܠ ܕܢܫܪܐ ܚܕ ܡܢ ܦܘܩܕܢܐ ܗܠܝܢ ܙܥܘܪܐ ܘܢܠܦ ܗܟܢܐ ܠܒܢܝܢܫܐ ܒܨܝܪܐ ܢܬܩܪܐ ܒܡܠܟܘܬܐ ܕܫܡܝܐ ܟܠ ܕܝܢ ܕܢܥܒܕ ܘܢܠܦ ܗܢܐ ܪܒܐ ܢܬܩܪܐ ܒܡܠܟܘܬܐ ܕܫܡܝܐ
2805140090	ܐܡܪ ܐܢܐ ܠܟܘܢ ܓܝܪ ܕܐܠܐ ܬܐܬܪ ܟܐܢܘܬܟܘܢ ܝܬܝܪ ܡܢ ܕܤܦܪܐ ܘܦܪܝܫܐ ܠܐ ܬܥܠܘܢ ܠܡܠܟܘܬܐ ܕܫܡܝܐ
2805150063	ܫܡܥܬܘܢ ܕܐܬܐܡܪ ܠܩܕܡܝܐ ܠܐ ܬܩܛܘܠ ܘܟܠ ܕܢܩܛܘܠ ܡܚܝܒ ܗܘ ܠܕܝܢܐ
28051600ed	ܐܢܐ ܕܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܟܠ ܡܢ ܕܢܪܓܙ ܥܠ ܐܚܘܗܝ ܐܝܩܐ ܡܚܝܒ ܗܘ ܠܕܝܢܐ ܘܟܠ ܕܢܐܡܪ ܠܐܚܘܗܝ ܪܩܐ ܡܚܝܒ ܗܘ ܠܟܢܘܫܬܐ ܘܡܢ ܕܢܐܡܪ ܠܠܐ ܡܚܝܒ ܗܘ ܠܓܗܢܐ ܕܢܘܪܐ
2805170082	ܐܢ ܗܘ ܗܟܝܠ ܕܡܩܪܒ ܐܢܬ ܩܘܪܒܢܟ ܥܠ ܡܕܒܚܐ ܘܬܡܢ ܬܬܕܟܪ ܕܐܚܝܕ ܥܠܝܟ ܐܚܘܟ ܐܟܬܐ ܡܕܡ
280518007f	ܫܒܘܩ ܬܡܢ ܩܘܪܒܢܟ ܩܕܡ ܡܕܒܚܐ ܘܙܠ ܠܘܩܕܡ ܐܬܪܥܐ ܥܡ ܐܚܘܟ ܘܗܝܕܝܢ ܬܐ ܩܪܒ ܩܘܪܒܢܟ
28051900ba	ܗܘܝܬ ܡܬܐܘܐ ܥܡ ܒܥܠ ܕܝܢܟ ܥܓܠ ܥܕ ܥܡܗ ܐܢܬ ܒܐܘܪܚܐ ܕܠܡܐ ܒܥܠ ܕܝܢܟ ܢܫܠܡܟ ܠܕܝܢܐ ܘܕܝܢܐ ܢܫܠܡܟ ܠܓܒܝܐ ܘܬܦܠ ܒܝܬ ܐܤܝܪܐ
28051a0061	ܘܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟ ܕܠܐ ܬܦܘܩ ܡܢ ܬܡܢ ܥܕܡܐ ܕܬܬܠ ܫܡܘܢܐ ܐܚܪܝܐ
28051b0029	ܫܡܥܬܘܢ ܕܐܬܐܡܪ ܕܠܐ ܬܓܘܪ
28051c0071	ܐܢܐ ܕܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܟܠ ܡܢ ܕܚܙܐ ܐܢܬܬܐ ܐܝܟ ܕܢܪܓܝܗ ܡܚܕܐ ܓܪܗ ܒܠܒܗ
28051d00a1	ܐܢ ܕܝܢ ܥܝܢܟ ܕܝܡܝܢܐ ܡܟܫܠܐ ܠܟ ܚܨܝܗ ܘܫܕܝܗ ܡܢܟ ܦܩܚ ܠܟ ܓܝܪ ܕܢܐܒܕ ܚܕ ܗܕܡܟ ܘܠܐ ܟܠܗ ܦܓܪܟ ܢܦܠ ܒܓܗܢܐ
28051e00a1	ܘܐܢ ܐܝܕܟ ܕܝܡܝܢܐ ܡܟܫܠܐ ܠܟ ܦܤܘܩ ܫܕܝܗ ܡܢܟ ܦܩܚ ܠܟ ܓܝܪ ܕܢܐܒܕ ܚܕ ܡܢ ܗܕܡܝܟ ܘܠܐ ܟܠܗ ܦܓܪܟ ܢܦܠ ܒܓܗܢܐ
28051f0047	ܐܬܐܡܪ ܕܡܢ ܕܫܪܐ ܐܢܬܬܗ ܢܬܠ ܠܗ ܟܬܒܐ ܕܕܘܠܠܐ
28052000a3	ܐܢܐ ܕܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܟܠ ܡܢ ܕܫܪܐ ܐܢܬܬܗ ܠܒܪ ܡܢ ܡܠܬܐ ܕܙܢܝܘܬܐ ܥܒܕ ܠܗ ܕܬܓܘܪ ܘܡܢ ܕܫܩܠ ܫܒܝܩܬܐ ܓܐܪ
2805210070	ܬܘܒ ܫܡܥܬܘܢ ܕܐܬܐܡܪ ܠܩܕܡܝܐ ܕܠܐ ܬܕܓܠ ܒܡܘܡܬܟ ܬܫܠܡ ܕܝܢ ܠܡܪܝܐ ܡܘܡܬܟ
2805220068	ܐܢܐ ܕܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܠܐ ܬܐܡܘܢ ܤܟ ܠܐ ܒܫܡܝܐ ܕܟܘܪܤܝܐ ܗܘ ܕܐܠܗܐ
280523007b	ܘܠܐ ܒܐܪܥܐ ܕܟܘܒܫܐ ܗܝ ܕܬܚܝܬ ܪܓܠܘܗܝ ܐܦܠܐ ܒܐܘܪܝܫܠܡ ܕܡܕܝܢܬܗ ܗܝ ܕܡܠܟܐ ܪܒܐ
2805240079	ܐܦܠܐ ܒܪܫܟ ܬܐܡܐ ܕܠܐ ܡܫܟܚ ܐܢܬ ܠܡܥܒܕ ܒܗ ܡܢܬܐ ܚܕܐ ܕܤܥܪܐ ܐܘܟܡܬܐ ܐܘ ܚܘܪܬܐ
2805250069	ܐܠܐ ܬܗܘܐ ܡܠܬܟܘܢ ܐܝܢ ܐܝܢ ܘܠܐ ܠܐ ܡܕܡ ܕܡܢ ܗܠܝܢ ܝܬܝܪ ܡܢ ܒܝܫܐ ܗܘ
280526004b	ܫܡܥܬܘܢ ܕܐܬܐܡܪ ܕܥܝܢܐ ܚܠܦ ܥܝܢܐ ܘܫܢܐ ܚܠܦ ܫܢܐ
280527009d	ܐܢܐ ܕܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܠܐ ܬܩܘܡܘܢ ܠܘܩܒܠ ܒܝܫܐ ܐܠܐ ܡܢ ܕܡܚܐ ܠܟ ܥܠ ܦܟܟ ܕܝܡܝܢܐ ܐܦܢܐ ܠܗ ܐܦ ܐܚܪܢܐ
280528005b	ܘܡܢ ܕܨܒܐ ܕܢܕܘܢ ܥܡܟ ܘܢܫܩܘܠ ܟܘܬܝܢܟ ܫܒܘܩ ܠܗ ܐܦ ܡܪܛܘܛܟ
2805290037	ܡܢ ܕܡܫܚܪ ܠܟ ܡܝܠܐ ܚܕ ܙܠ ܥܡܗ ܬܪܝܢ
28052a0052	ܡܢ ܕܫܐܠ ܠܟ ܗܒ ܠܗ ܘܡܢ ܕܨܒܐ ܕܢܐܙܦ ܡܢܟ ܠܐ ܬܟܠܝܘܗܝ
28052b0049	ܫܡܥܬܘܢ ܕܐܬܐܡܪ ܕܪܚܡ ܠܩܪܝܒܟ ܘܤܢܝ ܠܒܥܠܕܒܒܟ
28052c00e9	ܐܢܐ ܕܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܐܚܒܘ ܠܒܥܠܕܒܒܝܟܘܢ ܘܒܪܟܘ ܠܡܢ ܕܠܐܛ ܠܟܘܢ ܘܥܒܕܘ ܕܫܦܝܪ ܠܡܢ ܕܤܢܐ ܠܟܘܢ ܘܨܠܘ ܥܠ ܐܝܠܝܢ ܕܕܒܪܝܢ ܠܟܘܢ ܒܩܛܝܪܐ ܘܪܕܦܝܢ ܠܟܘܢ
28052d00a3	ܐܝܟܢܐ ܕܬܗܘܘܢ ܒܢܘܗܝ ܕܐܒܘܟܘܢ ܕܒܫܡܝܐ ܗܘ ܕܡܕܢܚ ܫܡܫܗ ܥܠ ܛܒܐ ܘܥܠ ܒܝܫܐ ܘܡܚܬ ܡܛܪܗ ܥܠ ܟܐܢܐ ܘܥܠ ܥܘܠܐ
28052e0093	ܐܢ ܓܝܪ ܡܚܒܝܢ ܐܢܬܘܢ ܠܐܝܠܝܢ ܕܡܚܒܝܢ ܠܟܘܢ ܡܢܐ ܐܓܪܐ ܐܝܬ ܠܟܘܢ ܠܐ ܗܐ ܐܦ ܡܟܤܐ ܗܝ ܗܕܐ ܥܒܕܝܢ
28052f0096	ܘܐܢ ܫܐܠܝܢ ܐܢܬܘܢ ܒܫܠܡܐ ܕܐܚܝܟܘܢ ܒܠܚܘܕ ܡܢܐ ܝܬܝܪ ܥܒܕܝܢ ܐܢܬܘܢ ܠܐ ܗܐ ܐܦ ܡܟܤܐ ܗܝ ܗܕܐ ܥܒܕܝܢ
280530005a	ܗܘܘ ܗܟܝܠ ܐܢܬܘܢ ܓܡܝܪܐ ܐܝܟܢܐ ܕܐܒܘܟܘܢ ܕܒܫܡܝܐ ܓܡܝܪ ܗܘ
28060100af	ܚܘܪܘ ܕܝܢ ܒܙܕܩܬܟܘܢ ܕܠܐ ܬܥܒܕܘܢܗ ܩܕܡ ܒܢܝ ܐܢܫܐ ܐܝܟ ܕܬܬܚܙܘܢ ܠܗܘܢ ܘܐܠܐ ܐܓܪܐ ܠܝܬ ܠܟܘܢ ܠܘܬ ܐܒܘܟܘܢ ܕܒܫܡܝܐ
28060200f7	ܐܡܬܝ ܗܟܝܠ ܕܥܒܕ ܐܢܬ ܙܕܩܬܐ ܠܐ ܬܩܪܐ ܩܪܢܐ ܩܕܡܝܟ ܐܝܟ ܕܥܒܕܝܢ ܢܤܒܝ ܒܐܦܐ ܒܟܢܘܫܬܐ ܘܒܫܘܩܐ ܐܝܟ ܕܢܫܬܒܚܘܢ ܡܢ ܒܢܝ ܐܢܫܐ ܘܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܩܒܠܘ ܐܓܪܗܘܢ
280603005d	ܐܢܬ ܕܝܢ ܡܐ ܕܥܒܕ ܐܢܬ ܙܕܩܬܐ ܠܐ ܬܕܥ ܤܡܠܟ ܡܢܐ ܥܒܕܐ ܝܡܝܢܟ
2806040061	ܐܝܟ ܕܬܗܘܐ ܙܕܩܬܟ ܒܟܤܝܐ ܘܐܒܘܟ ܕܚܙܐ ܒܟܤܝܐ ܗܘ ܢܦܪܥܟ ܒܓܠܝܐ
28060500e6	ܘܡܐ ܕܡܨܠܐ ܐܢܬ ܠܐ ܬܗܘܐ ܐܝܟ ܢܤܒܝ ܒܐܦܐ ܕܪܚܡܝܢ ܠܡܩܡ ܒܟܢܘܫܬܐ ܘܒܙܘܝܬܐ ܕܫܘܩܐ ܠܡܨܠܝܘ ܕܢܬܚܙܘܢ ܠܒܢܝ ܐܢܫܐ ܘܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܩܒܠܘ ܐܓܪܗܘܢ
28060600a4	ܐܢܬ ܕܝܢ ܐܡܬܝ ܕܡܨܠܐ ܐܢܬ ܥܘܠ ܠܬܘܢܟ ܘܐܚܘܕ ܬܪܥܟ ܘܨܠܐ ܠܐܒܘܟ ܕܒܟܤܝܐ ܘܐܒܘܟ ܕܚܙܐ ܒܟܤܝܐ ܢܦܪܥܟ ܒܓܠܝܐ
2806070088	ܘܡܐ ܕܡܨܠܝܢ ܐܢܬܘܢ ܠܐ ܗܘܝܬܘܢ ܡܦܩܩܝܢ ܐܝܟ ܚܢܦܐ ܤܒܪܝܢ ܓܝܪ ܕܒܡܡܠܠܐ ܤܓܝܐܐ ܡܫܬܡܥܝܢ
2806080073	ܠܐ ܗܟܝܠ ܬܕܡܘܢ ܠܗܘܢ ܐܒܘܟܘܢ ܓܝܪ ܝܕܥ ܡܢܐ ܡܬܒܥܐ ܠܟܘܢ ܥܕܠܐ ܬܫܐܠܘܢܝܗܝ
280609004b	ܗܟܢܐ ܗܟܝܠ ܨܠܘ ܐܢܬܘܢ ܐܒܘܢ ܕܒܫܡܝܐ ܢܬܩܕܫ ܫܡܟ
28060a0051	ܬܐܬܐ ܡܠܟܘܬܟ ܢܗܘܐ ܨܒܝܢܟ ܐܝܟܢܐ ܕܒܫܡܝܐ ܐܦ ܒܐܪܥܐ
28060b002c	ܗܒ ܠܢ ܠܚܡܐ ܕܤܘܢܩܢܢ ܝܘܡܢܐ
28060c0049	ܘܫܒܘܩ ܠܢ ܚܘܒܝܢ ܐܝܟܢܐ ܕܐܦ ܚܢܢ ܫܒܩܢ ܠܚܝܒܝܢ
28060d008e	ܘܠܐ ܬܥܠܢ ܠܢܤܝܘܢܐ ܐܠܐ ܦܨܢ ܡܢ ܒܝܫܐ ܡܛܠ ܕܕܝܠܟ ܗܝ ܡܠܟܘܬܐ ܘܚܝܠܐ ܘܬܫܒܘܚܬܐ ܠܥܠܡ ܥܠܡܝܢ
28060e006b	ܐܢ ܓܝܪ ܬܫܒܩܘܢ ܠܒܢܝܢܫܐ ܤܟܠܘܬܗܘܢ ܢܫܒܘܩ ܐܦ ܠܟܘܢ ܐܒܘܟܘܢ ܕܒܫܡܝܐ
28060f0063	ܐܢ ܕܝܢ ܠܐ ܬܫܒܩܘܢ ܠܒܢܝܢܫܐ ܐܦܠܐ ܐܒܘܟܘܢ ܫܒܩ ܠܟܘܢ ܤܟܠܘܬܟܘܢ
28061000ee	ܐܡܬܝ ܕܝܢ ܕܨܝܡܝܢ ܐܢܬܘܢ ܠܐ ܬܗܘܘܢ ܟܡܝܪܐ ܐܝܟ ܢܤܒܝ ܒܐܦܐ ܡܚܒܠܝܢ ܓܝܪ ܦܪܨܘܦܝܗܘܢ ܐܝܟ ܕܢܬܚܙܘܢ ܠܒܢܝܢܫܐ ܕܨܝܡܝܢ ܘܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܩܒܠܘ ܐܓܪܗܘܢ
2806110046	ܐܢܬ ܕܝܢ ܡܐ ܕܨܐܡ ܐܢܬ ܐܫܝܓ ܐܦܝܟ ܘܡܫܘܚ ܪܫܟ
2806120085	ܐܝܟ ܕܠܐ ܬܬܚܙܐ ܠܒܢܝܢܫܐ ܕܨܐܡ ܐܢܬ ܐܠܐ ܠܐܒܘܟ ܕܒܟܤܝܐ ܘܐܒܘܟ ܕܚܙܐ ܒܟܤܝܐ ܗܘ ܢܦܪܥܟ
2806130086	ܠܐ ܬܤܝܡܘܢ ܠܟܘܢ ܤܝܡܬܐ ܒܐܪܥܐ ܐܬܪ ܕܤܤܐ ܘܐܟܠܐ ܡܚܒܠܝܢ ܘܐܝܟܐ ܕܓܢܒܐ ܦܠܫܝܢ ܘܓܢܒܝܢ
280614009a	ܐܠܐ ܤܝܡܘ ܠܟܘܢ ܤܝܡܬܐ ܒܫܡܝܐ ܐܝܟܐ ܕܠܐ ܤܤܐ ܘܠܐ ܐܟܠܐ ܡܚܒܠܝܢ ܘܐܝܟܐ ܕܓܢܒܐ ܠܐ ܦܠܫܝܢ ܘܠܐ ܓܢܒܝܢ
2806150047	ܐܝܟܐ ܓܝܪ ܕܐܝܬܝܗ ܤܝܡܬܟܘܢ ܬܡܢ ܗܘ ܐܦ ܠܒܟܘܢ
2806160075	ܫܪܓܐ ܕܦܓܪܐ ܐܝܬܝܗ ܥܝܢܐ ܐܢ ܥܝܢܟ ܗܟܝܠ ܬܗܘܐ ܦܫܝܛܐ ܐܦ ܟܠܗ ܦܓܪܟ ܢܗܝܪ ܗܘ
2806170095	ܐܢ ܕܝܢ ܥܝܢܟ ܬܗܘܐ ܒܝܫܐ ܟܠܗ ܦܓܪܟ ܚܫܘܟܐ ܢܗܘܐ ܐܢ ܗܟܝܠ ܢܘܗܪܐ ܕܒܟ ܚܫܘܟܐ ܗܘ ܚܫܘܟܟ ܟܡܐ ܢܗܘܐ
28061800d6	ܠܐ ܐܢܫ ܡܫܟܚ ܠܬܪܝܢ ܡܪܘܢ ܠܡܦܠܚ ܐܘ ܓܝܪ ܠܚܕ ܢܤܢܐ ܘܠܐܚܪܢܐ ܢܪܚܡ ܐܘ ܠܚܕ ܢܝܩܪ ܘܠܐܚܪܢܐ ܢܫܘܛ ܠܐ ܡܫܟܚܝܢ ܐܢܬܘܢ ܠܐܠܗܐ ܠܡܦܠܚ ܘܠܡܡܘܢܐ
28061900e2	ܡܛܠ ܗܢܐ ܐܡܪ ܐܢܐ ܠܟܘܢ ܠܐ ܬܐܨܦܘܢ ܠܢܦܫܟܘܢ ܡܢܐ ܬܐܟܠܘܢ ܘܡܢܐ ܬܫܬܘܢ ܘܠܐ ܠܦܓܪܟܘܢ ܡܢܐ ܬܠܒܫܘܢ ܠܐ ܗܐ ܢܦܫܐ ܝܬܝܪܐ ܡܢ ܤܝܒܪܬܐ ܘܦܓܪܐ ܡܢ ܠܒܘܫܐ
28061a00cb	ܚܘܪܘ ܒܦܪܚܬܐ ܕܫܡܝܐ ܕܠܐ ܙܪܥܝܢ ܘܠܐ ܚܨܕܝܢ ܘܠܐ ܚܡܠܝܢ ܒܐܘܨܪܐ ܘܐܒܘܟܘܢ ܕܒܫܡܝܐ ܡܬܪܤܐ ܠܗܘܢ ܠܐ ܗܐ ܐܢܬܘܢ ܡܝܬܪܝܢ ܐܢܬܘܢ ܡܢܗܘܢ
28061b005a	ܡܢܘ ܕܝܢ ܡܢܟܘܢ ܟܕ ܝܨܦ ܡܫܟܚ ܠܡܘܤܦܘ ܥܠ ܩܘܡܬܗ ܐܡܬܐ ܚܕܐ
28061c0085	ܘܥܠ ܠܒܘܫܐ ܡܢܐ ܝܨܦܝܢ ܐܢܬܘܢ ܐܬܒܩܘ ܒܫܘܫܢܐ ܕܕܒܪܐ ܐܝܟܢܐ ܪܒܝܢ ܕܠܐ ܠܐܝܢ ܘܠܐ ܥܙܠܢ
28061d006d	ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܝܢ ܕܐܦܠܐ ܫܠܝܡܘܢ ܒܟܠܗ ܫܘܒܚܗ ܐܬܟܤܝ ܐܝܟ ܚܕܐ ܡܢܗܝܢ
28061e00ad	ܐܢ ܕܝܢ ܠܥܡܝܪܐ ܕܚܩܠܐ ܕܝܘܡܢܐ ܐܝܬܘܗܝ ܘܡܚܪ ܢܦܠ ܒܬܢܘܪܐ ܐܠܗܐ ܗܟܢܐ ܡܠܒܫ ܠܐ ܤܓܝ ܝܬܝܪ ܠܟܘܢ ܙܥܘܪܝ ܗܝܡܢܘܬܐ
28061f006a	ܠܐ ܗܟܝܠ ܬܐܨܦܘܢ ܐܘ ܬܐܡܪܘܢ ܡܢܐ ܢܐܟܘܠ ܐܘ ܡܢܐ ܢܫܬܐ ܐܘ ܡܢܐ ܢܬܟܤܐ
2806200093	ܟܠܗܝܢ ܓܝܪ ܗܠܝܢ ܥܡܡܐ ܗܘ ܒܥܝܢ ܠܗܝܢ ܐܒܘܟܘܢ ܕܝܢ ܕܒܫܡܝܐ ܝܕܥ ܕܐܦ ܠܟܘܢ ܡܬܒܥܝܢ ܗܠܝܢ ܟܠܗܝܢ
280621006f	ܒܥܘ ܕܝܢ ܠܘܩܕܡ ܡܠܟܘܬܗ ܕܐܠܗܐ ܘܙܕܝܩܘܬܗ ܘܟܠܗܝܢ ܗܠܝܢ ܡܬܬܘܤܦܢ ܠܟܘܢ
2806220068	ܠܐ ܗܟܝܠ ܬܐܨܦܘܢ ܕܡܚܪ ܗܘ ܓܝܪ ܡܚܪ ܝܨܦ ܕܝܠܗ ܤܦܩ ܠܗ ܠܝܘܡܐ ܒܝܫܬܗ
2807010027	ܠܐ ܬܕܘܢܘܢ ܕܠܐ ܬܬܕܝܢܘܢ
2807020077	ܒܕܝܢܐ ܓܝܪ ܕܕܝܢܝܢ ܐܢܬܘܢ ܬܬܕܝܢܘܢ ܘܒܟܝܠܬܐ ܕܡܟܝܠܝܢ ܐܢܬܘܢ ܡܬܬܟܝܠ ܠܟܘܢ
2807030067	ܡܢܐ ܕܝܢ ܚܙܐ ܐܢܬ ܓܠܐ ܕܒܥܝܢܗ ܕܐܚܘܟ ܘܩܪܝܬܐ ܕܒܥܝܢܟ ܠܐ ܒܚܪ ܐܢܬ
280704006a	ܐܘ ܐܝܟܢܐ ܐܡܪ ܐܢܬ ܠܐܚܘܟ ܫܒܘܩ ܐܦܩ ܓܠܐ ܡܢ ܥܝܢܟ ܘܗܐ ܩܪܝܬܐ ܒܥܝܢܟ
2807050082	ܢܤܒ ܒܐܦܐ ܐܦܩ ܠܘܩܕܡ ܩܪܝܬܐ ܡܢ ܥܝܢܟ ܘܗܝܕܝܢ ܢܬܒܚܪ ܠܟ ܠܡܦܩܘ ܓܠܐ ܡܢ ܥܝܢܗ ܕܐܚܘܟ
28070600ae	ܠܐ ܬܬܠܘܢ ܩܘܕܫܐ ܠܟܠܒܐ ܘܠܐ ܬܪܡܘܢ ܡܪܓܢܝܬܟܘܢ ܩܕܡ ܚܙܝܪܐ ܕܠܡܐ ܢܕܘܫܘܢ ܐܢܝܢ ܒܪܓܠܝܗܘܢ ܘܢܗܦܟܘܢ ܢܒܙܥܘܢܟܘܢ
2807070053	ܫܐܠܘ ܘܢܬܝܗܒ ܠܟܘܢ ܒܥܘ ܘܬܫܟܚܘܢ ܩܘܫܘ ܘܢܬܦܬܚ ܠܟܘܢ
2807080055	ܟܠ ܓܝܪ ܕܫܐܠ ܢܤܒ ܘܕܒܥܐ ܡܫܟܚ ܘܠܐܝܢܐ ܕܢܩܫ ܡܬܦܬܚ ܠܗ
2807090060	ܐܘ ܡܢܘ ܡܢܟܘܢ ܓܒܪܐ ܕܢܫܐܠܝܘܗܝ ܒܪܗ ܠܚܡܐ ܠܡܐ ܟܐܦܐ ܡܘܫܛ ܠܗ
28070a003e	ܘܐܢ ܢܘܢܐ ܢܫܐܠܝܘܗܝ ܠܡܐ ܚܘܝܐ ܡܘܫܛ ܠܗ
28070b00d3	ܘܐܢ ܗܟܝܠ ܐܢܬܘܢ ܕܒܝܫܐ ܐܢܬܘܢ ܝܕܥܝܢ ܐܢܬܘܢ ܡܘܗܒܬܐ ܛܒܬܐ ܠܡܬܠ ܠܒܢܝܟܘܢ ܟܡܐ ܝܬܝܪܐܝܬ ܐܒܘܟܘܢ ܕܒܫܡܝܐ ܢܬܠ ܛܒܬܐ ܠܐܝܠܝܢ ܕܫܐܠܝܢ ܠܗ
28070c0096	ܟܠ ܡܐ ܕܨܒܝܢ ܐܢܬܘܢ ܕܢܥܒܕܘܢ ܠܟܘܢ ܒܢܝ ܐܢܫܐ ܗܟܢܐ ܐܦ ܐܢܬܘܢ ܥܒܕܘ ܠܗܘܢ ܗܢܘ ܓܝܪ ܢܡܘܤܐ ܘܢܒܝܐ
28070d00a5	ܥܘܠܘ ܒܬܪܥܐ ܐܠܝܨܐ ܕܦܬܐ ܗܘ ܬܪܥܐ ܘܐܪܘܝܚܐ ܐܘܪܚܐ ܐܝܕܐ ܕܡܘܒܠܐ ܠܐܒܕܢܐ ܘܤܓܝܐܐ ܐܢܘܢ ܐܝܠܝܢ ܕܐܙܠܝܢ ܒܗ
28070e0079	ܡܐ ܩܛܝܢ ܬܪܥܐ ܘܐܠܝܨܐ ܐܘܪܚܐ ܕܡܘܒܠܐ ܠܚܝܐ ܘܙܥܘܪܐ ܐܢܘܢ ܐܝܠܝܢ ܕܡܫܟܚܝܢ ܠܗ
28070f0089	ܐܙܕܗܪܘ ܡܢ ܢܒܝܐ ܕܓܠܐ ܕܐܬܝܢ ܠܘܬܟܘܢ ܒܠܒܘܫܐ ܕܐܡܪܐ ܡܢ ܠܓܘ ܕܝܢ ܐܝܬܝܗܘܢ ܕܐܒܐ ܚܛܘܦܐ
2807100077	ܡܢ ܦܐܪܝܗܘܢ ܕܝܢ ܬܕܥܘܢ ܐܢܘܢ ܠܡܐ ܠܩܛܝܢ ܡܢ ܟܘܒܐ ܥܢܒܐ ܐܘ ܡܢ ܩܘܪܛܒܐ ܬܐܢܐ
280711006e	ܗܟܢܐ ܟܠ ܐܝܠܢܐ ܛܒܐ ܦܐܪܐ ܫܦܝܪܐ ܥܒܕ ܐܝܠܢܐ ܕܝܢ ܒܝܫܐ ܦܐܪܐ ܒܝܫܐ ܥܒܕ
2807120072	ܠܐ ܡܫܟܚ ܐܝܠܢܐ ܛܒܐ ܦܐܪܐ ܒܝܫܐ ܠܡܥܒܕ ܘܠܐ ܐܝܠܢܐ ܒܝܫܐ ܦܐܪܐ ܛܒܐ ܠܡܥܒܕ
280713004c	ܟܠ ܐܝܠܢܐ ܕܠܐ ܥܒܕ ܦܐܪܐ ܛܒܐ ܡܬܦܤܩ ܘܒܢܘܪܐ ܢܦܠ
2807140030	ܡܕܝܢ ܡܢ ܦܐܪܝܗܘܢ ܬܕܥܘܢ ܐܢܘܢ
