010000001b	আদিপুস্তক
01060c011d	আর ঈশ্বর পৃথিবীতে দেখলেন, আর দেখ, সে ভ্রষ্ট হয়েছে, কারণ পৃথিবীতে অবস্থিত সমস্ত প্রাণী ভ্রষ্টাচারী হয়েছিল।
01060d01c4	তখন ঈশ্বর নোহকে বললেন, “আমার চোখের সামনে সমস্ত প্রাণীর অন্তিমকাল উপস্থিত, কারণ তাদের দিয়ে পৃথিবী অত্যাচারে পরিপূর্ণ হয়েছে; আর দেখ, আমি পৃথিবীর সঙ্গে তাদেরকে বিনষ্ট করব।
01060e0125	তুমি গোফর কাঠ দিয়ে এক জাহাজ তৈরী কর; সেই জাহাজের মধ্যে কামরা তৈরী করবে ও তার ভিতরে ও বাইরে ধূনা দিয়ে লেপে দেবে।
01060f00f2	এই ভাবে তা তৈরী করবে। জাহাজ দৈর্ঘ্যে তিনশো হাত, প্রস্থে পঞ্চাশ হাত ও উচ্চতায় ত্রিশ হাত হবে।
010610012f	আর তার ছাদের এক হাত নিচে জানালা তৈরী করে রাখবে ও জাহাজের পাশে দরজা রাখবে; তার প্রথম, দ্বিতীয় ও তৃতীয় তলা তৈরী করবে।
010611015b	আর দেখ, আকাশের নীচে প্রাণবায়ুবিশিষ্ট যত জীবজন্তু আছে, সবাইকে বিনষ্ট করার জন্য আমি পৃথিবীর উপরে বন্যা আনব, পৃথিবীতে সবাই মারা যাবে।
0106120148	কিন্তু তোমার সঙ্গে আমি নিজের নিয়ম স্থির করব; তুমি নিজের ছেলেদের, স্ত্রী ও ছেলের বউদেরকে সঙ্গে নিয়ে সেই জাহাজে প্রবেশ করবে।
0106130105	আর মাংসবিশিষ্ট সমস্ত জীবজন্তুর স্ত্রীপুরুষ জোড়া জোড়া নিয়ে তাদের প্রাণরক্ষার জন্য নিজের সঙ্গে
010614017b	সেই জাহাজে প্রবেশ করাবে; সর্বজাতীয় পাখি ও সর্বজাতীয় পশু ও সর্বজাতীয় মাটিতে চলা সরীসৃপ জোড়া জোড়া প্রাণরক্ষার জন্য তোমার কাছে প্রবেশ করবে।
01061500e1	আর তোমার ও তাদের আহারের জন্য তুমি সব ধরনের খাদ্য সামগ্রী এনে নিজের কাছে সঞ্চয় করবে।”
0106160097	তাতে নোহ সেরকম করলেন, ঈশ্বরের আদেশ অনুসারেই সব কাজ করলেন।
010701013d	আর সদাপ্রভু নোহকে বললেন, “তুমি সপরিবারে জাহাজে প্রবেশ কর, কারণ এই কালের লোকদের মধ্যে আমার সামনে তোমাকেই ধার্মিক দেখেছি।
010702012c	তুমি শুচি পশুর স্ত্রীপুরুষ নিয়ে প্রত্যেক জাতির সাত সাত জোড়া এবং অশুচি পশুর স্ত্রী ও পুরুষ নিয়ে প্রত্যেক জাতির
0107030163	এক এক জোড়া এবং আকাশের পাখিদেরও স্ত্রীপুরুষ নিয়ে প্রত্যেক জাতির সাত সাত জোড়া, সমস্ত ভূমণ্ডলে তাদের বংশ রক্ষার জন্য নিজের সঙ্গে রাখ।
