0100000012	Англунимо
01080c00b3	Вов дожутярда инте ефта дивэса тай упалэ вымукля гурунго, тай пэ кадыва моло гурунго на рисардапэ.
01080d010c	Дэ пэрво диво пэрвонэ чёнэхкиро, кала Ноёсти сля шов шэла екх бэрш, пхув вышутиля панестар. Ноё подлиля стрэха дэ ковчеґо, тай удыкхля, со пхув шуки.
01080e0076	Дэ биш ефтандиро диво дуйтонэ чёнэхкиро пхув ачиля всавори шуки.
01080f0030	Тунчи Дэвэл пхэнда Ноёсти:
0108100082	— Выджя ковчеґостар ту тай тири ромни, тай тирэ чявэ, тай лэндирэ ромня.
0108110113	Вылиджя пэ гаса со исин туґа джювдо, — чириклен, зверёнэн тай всаворо джювимо, саво пхирэл пав пхув. Мэк вонэ терэн чяворэн пэсти, тай мэк лэн авэла бут.
01081200b1	Тунчи Ноё выджиля ковчеґостар екхтханэ пэхкирэнца чявэнца, ромняґа тай ромненца пэхкирэн чявэн.
01081300e8	Всаворэ барэ тай цыкнэ жывотные, савэ пхирэн пав пхув, тай всаворэ чирикля — всаворэ выджиле ковчеґостар, екх порода пала авря.
01081400e2	Ноё стерда РАЕСТИ жэртвенико, лиля жужэн жывотнонэн тай чириклен кожнонэстар родостар, зачинда лэн тай спхабарда лэн пэ яг.
010815019e	РАЙ ашунда лачё фано тай пхэнда дэ їло Пэстэ: — Колатар вряматар, сар мануш цыкно, їло тай годи лэхкири цырдэлпэ тэ терэ врытимо. Мэ будэр на авава тэ дэ мрая пхув пала лэ тай никала будэр на умарава всаворэн джювдэн, сар екхатар.
010816011f	Покы исин джювимо пэ пхув, на пэрэачела вряма, кала мануша авэна тэ росчювэ тай тэ стидэ ворзо, на пэрэачела шылалимо тай татимо, милай тай ївэнт, диво тай рат.
01090100e0	Дэвэл бахтисарда Ноё тай лэхкирэн чявэн и пхэнда лэнди: — Мэк тумэндэ авэна чяворэ, тай мэк лэн авэла бут, тай пхэрдён пхув.
0109020140	Мэк всаворэ зверуря тай всаворэ чирикля болыбнахкирэ, всаворо джювимо пэ пхув тай всаворэ морендирэ маче даранпэ тумэн тай тинисявэн. Всаворэн лэн Мэ отдав тумэнди дэ вастэн.
01090300db	Вса, со джювэл тай пхирэл, авэла тумэнди дэ хама. Сар дэ калэ Мэ дэнём тумэнди зэлэнь, кади и екхатар Мэ отдав тумэнди вса.
0109040046	Кацик на хан мас, дэ савэ исин инте рат.
0109050125	Тай пала тумаро рат Мэ мангава тэ дэн цымин. Мэ спхучява кожнонэстар жывотнонэстар, соб вонэ тэ дэн цымин. Тай манушэстар Мэ пхучява пала джювимо лэхкирэ пхралэ.
01090600ec	Ко бы на прочюта рат манушэхкиро, вастэґа аврэ манушэ прочювэлапэ и лэхкиро рат. Пала када со мануш стердо, сар образо Дэвлэхкоро.
0109070095	Мэк тумэндэ авэна чяворэ, тай мэк лэн авэла бут. Розджянпэ пав пхув тай пхэрдён ла.
010908005b	Тунчи Дэвэл пхэнда Ноёсти тай лэхкирэнди чявэнди:
0109090068	— Екхатар Мэ дав завето тумэнди тай тумарэнди чяворэнди,
01090a012f	тай всаворяти джювимати, сави сля тумэнца: чирикленди, скотости, дыконэнди зверёнэнди — всаворэнди, ко выджиля тумэнца ковчеґостар, кожнонэсти жывотнонэсти пэ пхув.
01090b00e2	Мэ дав тумэнди завето: никала будэр вса, со джювэл, на авэла умардо баряґа панеґа; никала будэр на авэла потопо тэ умарэ пхув.
01090c00e8	Дэвэл пхэнда: — Акэ знако заветохкоро, саво Мэ дав тумэнди тай всаворяти джювимати, саво тумэнца, пэ всаворо родуря, савэ авэна.
01090d0095	Мэ тховав дэ Мурэ тучи радуґа, тай вой авэла знако заветохкоро, саво Мэ дав пхуяти.
01090e005d	Кала Мэ бичялава тучи пэ пхув, дэ тучи авэла радуґа,
01090f00f4	тай Мэ взрапирава Муро завето, саво Мэ дав тумэнди тай кожнонэсти, дэ кастэ исин джювимо. Никала будэр баро пани на умарэла вса джювдо.
01091000ee	Всако моло, кала радуґа авэла дэ тучен, Мэ удыкхава ла тай взрапирава вечно завето, саво дав всаворяти джювимати, сави исин пэ пхув.
01091100be	Кади пхэнда Дэвэл Ноёсти: — Акэ знако заветохкоро, саво Мэ дав всаворэсти, дэ кастэ исин джювимо пэ пхув.
01091200a5	Чявэ Ноёхкирэ, савэ выджиле ковчеґостар, сле Симо, Хамо тай Яфето (Хамо сля дад Ханааности).
0109130097	Кала трин сле чявэ Ноёхкирэ, тай лэндар выджиле народуря, савэ розджилепэ пав пхув.
010914005f	Ноё ачиля тэ терэ бути пхуяґа тай барярэл виноградо.
0109150081	Екхвар вов выпиля мол тай матиля, тай пашлёлас нанго дэ пэхкири катуна.
