2800000016	ማቶስ እንጂለ
2806020113	ህካን እኮቤቺሃ ቡጥቻኖተ ሰደቀተ ኣቴነንተ ወክት መኑ ለኦሰተ አታ መኑ ዱአ አኤኖ ምናን አታሀንገ መኑ ለኡኔ ይቴን አቶኖቼ፤ ሀንቅንከ ያንክዕኔ፤ እሰ ሆጎሰ ዋገ ኣእቶኡ።
280603006f	እኮጎሬ አት ቡጥቻኖተ ሰደቀተ ኣታንት ወክት አዪሁ ደጉዕነ ማጥ ኣስ።
2806040072	መሰንትስ ማጥ ሰደቀተ ኣሱክ ደገኖ መገኑ ጡመ ሆጎክ ወጥ ኣሰኖሄ» ዬእ።
28060500eb	ኢስን «ዱአ አቴነንተ ወክት መኑ ለኦሰተ ዱአ አኤኖ ምናንለከ ዎቄ ገበላን ኡርት አታ መንገ አቶኖቼ፤ ሀንቅንከ ያንክዕኔ፤ እሰ ሆጎሰ ወጥ ኣእቶኡ።
28060600c5	ዱአ አቴነንተ ወክት ምንክ ኣግ ጡፈ ጡፍ ማጠም ዮ አንክ ቤቹ ዱአ አእ፤ ማጤን አኤማሃ ለአኖ መገኑክ ጡመ ሆጎክ ዋገ ባተኖሄ።
28060700f7	ዱአ አታንት ወክት አይሁደ እኮበእ መንገ ፈንቀላንስቴነን ዱአ አቶኖቼ፤ ሁኩ መኑ ፈንቀላንስት ዱአ አቶቤቺሃ መገኑ ሞጮጨኖሳሃ አት ቂራርስት ዱአ አታአ።
2806080081	አዕኑ እሰገ እኮኖቼ፤ እስን ክዕኔ አኑ ሀስሰኖህዕኔሃ ጠዕምቶኑዕነ ሄጭ ደገኖ።
2806090067	«ህካን እኮቤቺሃ «‹ሰማን ዮንቲ ኒ አኑ! ጠሊሉ ሱዕሙክ ሎዕሩን፤
28060a0074	ዎምነቱክ አሜቱን፤ ሃሽኣቱክ ሰማን እኮገን ህትን ኣዱንያ አሌን እኩን።
28060b002d	ከበሬተ እካኔ እቸተ ኣስኔ።
28060c004f	ነኡ ዎሎ መኒ ቤሱ አጉርናምገን ኒ ቤሱሃ አጉርኔ።
28060d0074	ሂለርቺች ጡምስኔ ቤሉ ፌተናን ኣግሶትኔ፤ ኣሚዕን› ይቴነን ዱአ አዕዬ።
28060e0074	«መን ቤሱ አጉርቴንተ ጎሬ ሰማን ዮ አኑክዕኔ ክዕኔ ቤሱሃ አጉረኖህዕኔ።
28060f009b	ጠዉ እኮጎሬ መን ቤሱ አጉሮንስ ይቴንባች ሰማን ዮ አኑክዕኔ ክዕኔ ቤሱሃ አጉረኖህዕኔበአ» ዬእ።
28061000eb	ኢስ «ሶመንቴነንተ ወክት መኑ ለኦሰተ አታ መንገ ሻዞኖቼ፤ እሰ ሶመኑሰ መኑ ለኦተ ይት ሚንሰ ቤሳአ፤ ሀንቅንከ ያንክዕኔ፤ እሰ ሆጎሰ ወጥ ኣእቶኡ።
2806110068	ጠው እኮጎሬ አት ሶመንታንት ወክት ሚንተ ኣዕልት ቡዕለክ ቡዕር።
28061200a7	ህካን አቶንትጎሬ ማጭ ለአኖ አኒክ ቤሉ ዎሉ አዪሁ ለአኖበአ፤ ማጭ ለአኖ አኑክ ሆጎክ ወጥ ኣሰኖሄ» ዬእ።
28061300b6	ኢስ «ሞጋኑት ኣግ ቢጥ ሞግታቤቾኒ፥ ብሉት እታቤቾንለከ ቡሃይ በአኖቤቾን ዱንያክዕኔ ኣዱንያ አሌን ጭምአቶኖቼ።
28061400c4	ጠዉ እኮጎሬ ብሉት እታበእቤቾኒ፥ ቡሃይ በአኖበእቤቾንለከ ሞጋኑት ቢጥ ኣግ ሞግታበእቤቾን ሰማን ዱንያክዕኔ ጭም አእዬ።
2806150060	ህካን እኮቤቺሃ ዱንያክ ዮቤቾን ቀልቡክ ህከኔ ሄአኖ» ዬእ።
280616008e	ኢስን «እልክ ጅስምሀክ ኑርሃን፤ እልክ ፈየተ እኮጎሬ ጅስሙክ ጉዕሙንኩ ኑር እክ ለለኖ።
28061700e4	እልክ ፈየተ እክበጎሬ ጅስሙክ ጉዕሙንኩ ቱንስቹ እሀኖ፤ ህካን እኮቤቺሃ ኬሳን ዮ ኑሩ ቱንስቹ እኮጎሬ ቱንስቹስ ሄንከ በተአኖሃ እሀኖ?» ዬእ።
280618012b	ህትን ኢስ «መቱ መንቹ ለሞ ቀርቺሃ ጠገሞተ አታለኖበአ፤ መቱስ ኢተኖ፤ ዎሉስንገ ግበኖ፤ ህከረንገ መቱስ ሎርሰኖ፤ ዎሉስንገ ህንቀኖ፤ ህትን መገኒሃለከ ብሪሃ ጠገሚሃ አታልቴነንተበአ።
28061900e7	ህካን እኮቤቺሃ አን ኩላንክዕኔ ‹መ እንታም? መ አንጋም? መ ኦደዕናም?› ይቴን ሄእክዕኔተኔሃ ሻዞኖቼ፤ እቲች ሄኡ ኦድኖች ጅስሙ በተአኖበእንዶ?
28061a00f7	ህንዴ ሰማን ብርይታ ጪኡተ ለዕዬ፤ እሰ ዉጣበአ፤ ምዳበአ፤ ቀፎኒ ዎርታበአ፤ ጠዉ እኮጎሬ ሰሜ አኑክዕኔ እትሰኖሰ፤ ህከረ አዕኑ ጪኦች በተኤነንተበእንዶ?
28061b0065	ክዕኔኤች ጨነቀም ኡሙሬንከስ መቱ በር በርጎተ አታለኖሁ አዬት?
28061c00be	ህትን ሚሃ ኦድኖተ ሻዜነንታት? ህንዴ አብሌን ዮ ቦብሉት ነጵታገ ለዕዬ፤ እሰ ገይሀሰ ሆጎን ሆጋበአ ህከረንገ ደዳበአ።
28061d009e	አን ኩላንክዕኔ፤ ሆሮ ዎሙ ሱላይማን ህከን ጉዕመንከ ሎርማንተስ ከን ቦብሎች መትሴገ ኦደዕዮበአ።
28061e00d0	መገኑ ከበር ለልት ጋቴተ ጊራን ቡባ ህጤተ ህት ኦደኣገ አአኖሃ እኮች አዕኑ አመዕነቱ ሆፈዕዮህዕኔሩ ክዕኔተ ቆህሽ ኦዲሰኖህዕኔ።
28061f006c	ህካን እኮች ‹መ እንታም? መ አንጋም? መ ኦደዕናም?› ይቴን ሻዞኖቼ።
280620009b	ህካን አይሁደ እኮበእ መኑሁ ሀሳአ፤ ክዕኔሃ ሁኩ ጉዕሙንኩ ሀስሰኖህዕኔገ ሰሜ አኑክዕኔ ደገኖ።
2806210094	አዕኑ እኮጎሬ ሄጭቴን መገን ዎምነቱስለከ ፈይመስ ሀሼ፤ ሁኩ ጉዕሙንኩ ጠዉ በርገመኖህዕኔ።
2806220091	ህትን ጋቴተክዕኔ ይቴን ሻዞኖቼ፤ ጋት ገዬተሴ ሻዛአ፤ በሪሃስ በሬስ ጭንቀት እካአ» ዬእ።
2807010040	ኢስን «ፈረደመኖህዕኔበእገ ፈረዶኖቼ።
280702008a	መሰንትስ አዕኑ ፈረዴንተገን ፈረደመኖህዕኔ፤ ህትን ብክቴነንተሀኔን ብከመኖህዕኔ።
2807030078	ኪ እሌን ዮ ሎረ ሁረ ለኡዕናን ሀት ኪ አመክ ቤት እሌ ኣዜን ዮ ሁረ ለኣንቲት?
280704009e	ህትን ኪ እሌን ዮ ሎረ ሁረ ከንቱዕነ ኪ አመክቤቱ ‹ህንዴ እሌክ ዮ ሁረ ፉሻም› ይቶተ ሀት አታልተን?
28070500ca	አት አን ሎረሃን ይታንቲሁ፤ ሄጭት እሌክ ዮ ሎረ ሁረ ፉሽ፤ ህከኒች ኤተሮን አመክ ቤት እሌን ዮ ሁረ ፉሽቶተ አጥረመት ለኣንት።
28070600d8	መገኒሃ አደ እኮርቹ ዉሻተ ኣቶኖቼ፤ ህትን ሎካንከሰ ከድ ቤሳበእገ ዎርቀ ቦኬ ብሬን ኡጅቶኖቼ፤ ዉሸንት ፈንቀልት ገዕምታህዕኔ» ዬእ።
2807070086	ህትን ኢስ «ኡጭዬ ኣእቴነንተ፤ ሀሼ ደእቴነንተ፤ ህትን ኡሩተ ቆጭዬ ፈነመኖህዕኔ።
28070800a3	ህካን እኮቤቺሃ አዪሁ ኡጨኖሁ ቶገኖ፤ አዪሁ ሀሾ ጎሬ ደአኖ፤ ህትን አዪሁ ኡሩተ ቆጬጎሬ ፈንተአኖስ።
2807090059	ክዕኔኤች አዪሁ ቤቱስ ዳቡተ ኡጬጎሬ ክኑ ኣሰኖሁ አዬት?
28070a0041	ህትን ቁርጩሜተ ኡጬጎሬ ዎሪቹ ኣሰኖንዶ?
28070b00bc	አዕኑ ሂላኑተ እኬነን እላተክዕኔ ጡመርቹ ኣሱ ደጌንታች ሰማን ዮ አኑክዕኔ ኡጭታሀኑኡተ ጡመርቹ በትሽ ኣሰኖበእንዶ?
28070c00ee	ህካን እኮቤቺሃ መኑ አሶህዕኔተ ኢትቴንታሃ ጉዕመንከ አዕኑ እሳሃ ህትን አዕዬ፤ መሰንትስ መገን ሕጋን ዬማሁለከ ነብያኑት ኩልቶኢሁ ህከኒት» ዬእ።
28070d00c9	ኢስ «ሩካሸ ኡሮን ኣጌ፤ መሰንትስ በእቤቹ መስታ ኡሩት አልባዕሎታን፤ ህትን ዎቆሲ ሎረሃን፤ ህከን ዎቃን ሃመኖ መኑ ልግብያ።
28070e00c5	እኮጎሬ ሄእቤቹ አዎንስታ ኡሩት ሩካሸታን፤ ህትን ዎቆሲ ኦርሰኖሃን፤ ህካን እኮቤቺሃ ህከ ዎቃሃ ደአኖ መኑ ቀዎሃን» ዬእ።
28070f00bc	ኢስ «አዕኑ ክዝብ ነብያኖች አገዕርዬ፤ እሰ ክዕኔቤቹ ሆለተ አጉድ አሜታአ፤ ጠዉ እኮጎሬ ወልቅሽ እተኖ ኦሌገ ዮእረ።
28071000a5	እሰንተ ደጌነንተሳሁ ላልቺንከሳት፤ ኡት ሀቂች ወይነ ዬኖ ላልቹ ህትን ቃልቃልች ኦድ ላልቹ መጤኖበአ።
280711007b	ህትን ጡሙ ሀቁ ጡመ ላልቹ ላለኖ፤ ጠዉ እኮጎሬ ሂሉ ሀቁ ሂለ ላልቹንከ ላለኖ።
2807120071	ጡሙ ሀቁ ሂለ ላልቹ ላሎተ ህትን ሂሉ ሀቁ ጡመ ላልቹ ላሎተ አታለኖበአ።
2807130058	ጡመ ላልቹ ላለኖበእ ሀቀ ጉዕመንከ ሙሬን ጊራን ቡሴኖ።
2807140069	ህካን እኮቤቺሃ ክዝብ ነብያኑተ ሆጎሰ ላልቺን ደጌነንተሰ» ዬእ።
28071500b8	ኢስ «ሰማን ሄአኖ ኢ አን ሃሽኣቱተ ዊንሸኖሀን ቤሉ ‹ቀርቾ! ቀርቾ!› የኖኤሁ ጉዕሙንኩ ሰሜ ዎምነቱ ሆሮ ኣገኖበአ።
280716010d	ፍርድ በር ልግቡ መኑ ‹ቀርቾ! ቀርቾ! ሱዕሚንከክ ራገ ጠወዕንበእንዶ? ሱዕሚንከክ ሩሃንያ ፉሽንበእንዶ? ህትን ሱዕሚንከክ ልግብ አጀብሲሰኖ ጠወ አዕንበእንዶ?› ይታአ።
2807170096	ህከ ወክት ‹አን ሆሮ ደጋንክዕኔበአ፤ አዕኑ መገን ትዛዝ ቶጌንቡሩ ኢች ካጳ ሽቄ› ያም» ዬእ።
280718009d	ኢስ «ህከ ኢ ላገተ ሞጮጭ አገረኖ መንቹ ምንስ ክን አሌን ጠረኝሽ እጃሮ ኤንኬዕናሙ መንቹ አጉደኖ።
28071900c4	ምንስ አሌን ጠረኙ ጤኑ ኡቦ፤ ድርሱንኩ አሜቾ፤ ህትን ቦብሩ ሀንበሎስ፤ ጠዉ እኮጎሬ ምኑ ክን አሌን እጃረሞቤቺሃ ኡቦበአ።
28071a008b	ጠዉ እኮጎሬ ኢ ላገተ ሞጮጭ አገርቡ መንቹ ምንስ ሽፋር አሌን እጃሮ ገወ መንቹ አጉደኖ።
28071b00fe	ምንስ አሌን ጤኑ ኡቦ፤ ድርሱንኩ አሜቾ፤ ህትን ቦብሩ አበ ሀንበላንስ ምኑስ ሽፋር አሌን እጃረሞቤቺሃ ወክትንከስ ኡቦ፤ ሁኩ ምኑንኩ ሂለገ ኡቦ» ይ ተማርሴእ።
28071c0079	ኢስ ህካን ተማርስ ሹሎ ወክት እስ ተማርሴ ትምርታን ኡመቱ አበ አጀብሲጬእ።
28071d0077	መሰንትስ እሰተ ተማርሴኢሁ ሹምነቱ ዮስ መንጋት ቤሉ ሕግ አስተማረጋበአ።
2808010048	ኢስ ቆታች ድሬ ወክት ልግቡ ኡመቱ አዎንቶስ።
28080200de	ህከ ወክት አሌን ፉልታ ጎግ ጥዘነት አፎስ መቱ መንቹ ኢስበ አሜቾ፤ እስን ብሬስ ጉሉጵ «ቀርቾ! ኢትቶንትጎር ነጠ አቶኤተ አታልታንት» ዬእ።
280803009d	ኢስን አንገስ ሂር ህከ መንቹ አፍ «ፈቀጆም ነጠ እህ» ዬእ፤ ህከ ወክት ሁኩ ጎግ ጥዘነት አጉርቶስ።
2808040113	ህከ መንቹ ኢስ «ከ ጠወ አዬሃ ጠወኦት፤ ጠዉ እኮጎሬ ቴሱ መርት ነጠ እሁክ ቂስቺሃ ለልስ፤ ህትን መኒሃ ጉዕሚንከ ምስክር እሆተ ሙስ አዘዦገን መገኒሃ ክትም ሆንጠህስ» ዬእ።
2808050060	ኢስ ቅፍርናሆም ከተመ ኣጎ ወክት መቱ ጥቤ ሀለቁ ኢስበ አሜች
280806006a	«ቀርቾ! ካዲንቹኤ ናፈ እክ አበ ኦርጨቀመን ምኔን ኦሰዕዮኡ» ዬእ።
2808070035	ኢስን «አን መር ፈይሳንስ» ዬስ።
28080800c9	ጠዉ እኮጎሬ ጥቤ ሀለቁ «ቀርቾ! አት ኢ ምኒ ኣጎተ አን በቀዕባ መንቹ፤ ጠዉ እኮጎሬ ጠለዕልመት ላገተ ጠወእ፤ ካድንቹኤ ፈየኖ።
2808090168	አን ገዉንኩእ ኢች አሊን ዮ ዳኚሃ አዘዘማም፤ ህትን ኢች ዎሮን አን አዘዛም ዎታደሩ ዮኤ፤ መቱስ ‹ካጳ ኦሮእ› ዬም ጎሬ ኦሮአኖ፤ ዎሉንገ ‹ከበ አም› ዬም ጎሬ አሜተኖ፤ ኢ ካድንቹንኩ ‹ካን አእ› ዬም ጎሬ አአኖ» ይ ፈንቀሼእ።
28080a00b7	ኢስ ካን ሞጮጬ ወክት አጀብሲጭ አዎንተን ሄኦ መኒሃ «ሀንቅንከ ያንክዕኔ፤ ህትኔ አመዕነቱ እስራኤላን ደጎምበአ።
28080b00dd	ከ ጠወ አጥራመቼ፤ ልግቡ መኑ ሸርቂችለከ ገርቢች አሜት ሰሜ ዎምነቴን እብራሂሚን፥ ኢሳቂንለከ ያቁቢን ሜጡበ እክ ማዳን አፉዕልት እታአ።
28080c0091	ሰሜ ዎምነት እለት አብሌ ቱንስቾን ኡጄናንሰ ህከኔ አልፋቴተለከ እንኩተ እጡ እሀኖ» ዬሰ።
28080d00a3	ህከኒች ኤተሮን ኢስ ጥቤ ሀለቂቹ «ኦሮእ፤ አመዕንቶንትገን እሁን» ዬስ፤ ካድንቹስ ህከ ወክት ፈዬእ።
28080e0087	ኢስ ጴጥሮሴ ምኒ ኣገኖ ወክት ጴጥሮሴ በሉት ፋረ ደሙሜን አበ ጥዣንሴ ኦሰኣን ለዕዮ።
28080f0072	እስ አንገሴ ኡሎ ወክት ፋረት አጉርቶሴ፤ እሴን ኬእ እሰንተ ካደንቶኡ።
28081000d5	ሀዎሬ ወክት ልግቡ መኑ ሩሃንዩ አፎሰ መነ ኢስበ ኤቦኡ፤ እስን ላጋንተስ ልግብ ዶሮረኖ ዱር ፉሼእ፤ ህትን ጥዘናመተ ጉዕመንከ ፈይሾ።
2808110090	ህካን አዕዮሁ ነብዬቾ እስያሴን «እስ ጥዘነኔ ኣኤእ፤ ጥዘነኔ እጄእ» ዬኢሁ ዊሞታት እቅ።
2808120097	ኢስ ልግቡ ኡመቱ እስ መዴን ጭምዬኢሃ ለዕዮ ወክት «ከን ባርች ዉድ አደ ቶሌ» ይ አሳበስ አዘዦ።
28081300ad	ህከኒች ኤተሮን ሕግ አስተማራች መቱ ኢስበ አሜች «አስተማርቾ! አት መርታንትቤቹ ጉዕመንከ አዎናንኬ» ዬስ።
28081400c3	ኢስ «ዎለንጌሃ ኤሎ ዮሰ፤ ሰሜ ጪኦንተ ጎዕምት ዮሰ፤ ጠዉ እኮጎሬ መንች ቤቲሃ ገዉስ ፎሎሲሰኖ ቤቹ ዮስበአ» ይ ፈንቀሼእ።
2808150068	ህትን አሳባችስ መቱ «ቀርቾ! ሄጭ መር አነኤ ሞጎተ ፈቀደኤ» ዬስ።
2808160075	ጠዉ እኮጎሬ ኢስ «ሬዮ መነ ሬዮ መኑንኩ ሞጉን፤ አት ኤሳሃ አዎኔኤ» ዬስ።
2808170065	ህከኒች ኤተሮን ኢስ ጀልባን ኣጎ ወክት አሳባንት ሜጡበ ኣጎኡ።
280818008c	ጠረኙ ቦብሩ ባር አሌን ኬዕያን ዊ ሁሉ ጀልባ ጥምብሶተ እኮ፤ ጠዉ እኮጎሬ ኢስ ግሾ እቅ።
2808190076	አሳበንት ኢስበ ሆንጠክ «ቀርቾ! በዕናሚት፤ ጡምስኔ» ይት ግሰኛች ኬሶኡ።
28081a00e1	ኢስን «አዕኑ አመዕነቱ ሆፈዕዮህዕኔሩ፤ ሚሃት ዋጅቴነንታሁ?» ዬሰ፤ ህከኒች ኤተሮን ኢስ ኬዕይ ቦብረለከ ባረንከ አጉረኖገ ሻቃን ጨለ ዬእ።
28081b007c	መኑ አበ አጀብሲጭ «ቦብሩለከ ባሩ አዘዘመኖሲሁ ኩን ሀትናሙወ መንቹ» ይቶኡ።
28081c0112	ኢስ ገሊለ ባረ ቶል ጌርጌሶን ባዱ አሜቾ፤ ህከኔን ሩሃንዩ አፎሰ ለሙ መኑ ሎድ ኣዚች ፉልት ደቀንቶስ፤ እሰ መነ ምርታእረ እኮቤቺሃ አዪሁ ህከን ዎቄን ህጎተ አታለኖበ እቅ።
28081d00b4	እሰን ያርተን «መገን ቤቶ! ኔሳለከ ኬሳሃ ሚ ደቅንሹ ዮኔ? ወክቱ እሉዕነ ኦርሶኔተ አሜቶንትንዶ?» ይተን ያርቶኡ።
28081e0049	እሳች ቀዉንተ ህግ ቦኬ መሰረት ዘግ ይቶ እቅ።
28081f0080	ዶሮረኖ ዱሩ «ፉሽታንትኔ ጎሬ ህከን ቦኬ መሰራን ኣንጋምገ አእኔ» ይት ኡጭቶኡ።
28082000d0	ኢስን «መሬ» ዬሰ፤ ህከን መኒች ፉልት መርት ቦኬን ኣጎኡ፤ ሁኩ ቦኬ መሰረት ጉዕሙንኩ ቆተ መዲች ደጉደን ባራን ጥንብሰንት ሬቶኡ።
28082100a8	ህከን ቦኬ ዜማኑት ሁንት ከተመ ኣግ ጉዕመንከ ጠወለከ ሩሃንዩ አፎ ለሞንከ መናን እኮ ጠወ መኒሃ ጠወኦኡ።
28082200aa	ህከኒች ኤተሮን ህከን ከተም መኑ ጉዕሙንኩ ኢሰ ለኦተ መርቶኡ፤ ለኦ ወክት ባዱሰ ገፈር ኦሮአኖገ ኡጭቶስ።
2809010049	ኢስ ጀልባን ኣግ ባረ ቶል ገይስ ከተመ አሜቾ።
28090200bd	ህከቤቹንከ መቱ ናፈ መንቹ ዴስን እጅት ኤቦኡ፤ ኢስን አመዕነቱሰ ለዕይ «ኢ ቤቶ! ዋጅቶት፤ ጩቡክ ፈቁን የመሞኡ» ዬእ።
28090300c5	ህከ ወክት ሕግ አስተማራች መት-መቱ ገገዉንኩሰን «ኩ መንቹ መገን አሌን ቦሮር ላገተ ጠወአኖት» ይት ቀልቤንከሰ ሰውይቶኡ።
280904008c	ጠዉ እኮጎሬ ኢስ ቀልብሰ ጠወ ደግ «አዕኑ ሚሃት ሂለ ጠወ ቀልቤንከክዕኔ ሰውይቴነንታሁ?
2809050070	‹ጩቡክ ፈቁን የመሞሄ› ዪችለከ ‹ኬእ ኡርት ሃም› ዪች ሀኩንስ ቆሀኖ?
28090600cf	ጠዉ እኮጎሬ መንች ቤቱ ኣዱንያ አሌን ጩብ ፈቁን ዮተ ወልቀት ዮሲሃ እሁስ ደጌ» ይ ናፈ መንቹ «ኬእ ዴሰክ እጅት ምንክ ኦሮእ» ዬስ።
2809070033	መንቹንኩ ኬዕይ ምንስ ኦሮዕዮ።
280908007c	ኡመቱንኩ ህካን ለኦ ወክት ዋጅት ህትኔ ዎልቀተ መኒሃ ኣሴ መገኑ ገለትጭቶኡ።
28090900d6	ኢስ ህከንቤቺች ኬዕይ ኦሮአን «ማቶሴ» ዬኖ ቀረጠ ሙረኖሃ ቀረጠ ሙረኖ ቤቾን አፉዕሌኢሃ ለዕይ «አወኔኤ» ዬስ፤ እስን ኬዕይ አዎኞስ።
28090a00e6	ህከኒች ኤተሮን ኢስ ማቶሴ ምኔን ማዳን አፉዕሌሀኔን ልግቡ ቀረጠ ሙርታእሩለከ ጩበኛኑት ህከ ቤቹ አሜት እሲንለከ አሳባንን ማዳን አፉዕልቶኡ።
28090b00b2	ህካን ፈርሳውት ለእ አሳበስ «አስተማርቹክዕኔ ጩበኛኖንለከ ቀረጠ ሙርታሀኑኡን ሜጡበ እተኖሁ ሚሃት?» ይቶኡ።
28090c0081	ጠዉ እኮጎሬ ኢስ ህካን ሞጮጭ «ሀኪሙ ሀስሰኖሁ ጥዘናማታት ቤሉ ፈየ መኒሃትበአ።
28090d0129	ኦሮዕዬ ‹አን ኢታሚሁ ማርቱታት ቤሉ ክትምሃትበአ› የመም ከተበሞሃ መሃጎር አጥራመቴን ደጌ፤ አን አሜቾሚሁ ጩበኛኑት ጩብችሰ ፈንቀልታገ ገኦታት ቤሉ ፈየ መነ ገኦታበአ» ይ ፈንቀሼሰ።
28090e00c2	ህከ ወክት ያህይ አዎናኑት ኢስበ አሜት «ነኡለከ ፈርሳውት ሶመን አንፈን ኪ አሳበት ሶመንታበኢሁ ሚሃት?» ይት ጠዕምቶኡ።
28090f00c5	ኢስን «እዜቹ እሳን ሜጡበ ሄአን ጃለት ሻዛእንዶ? ጠው እኮጎሬ እዜቹ እሳች አደ እሀኖ ወክቱ አሜተኖ፤ ህከ ወክት ሶመንታአ።
28091000b5	አዪሁ ኑባጵቶ ኦድኖን ሃዕሮ ቃፈተ ቃፈኖሁ ዮበአ፤ ቃፌጎሬ ኦድኑስ ፊልተኣአ፤ ፊልተኡንኩስ ወዕኔች ባሰ እሀኖ።
280911016f	ህትን ሃዕሮ ጠጀ ኑባጴ ሆቆማዶን ዎሬኖበአ፤ ህካን አኤመ ጎሬ ሃዕሮ ጠጁ ኑባጴ ሆቆማዱ ፊለኖ፤ ጠጁሲ ዱንተአኖ፤ ጠው እኮጎሬ ሃዕሮ ጠጀ ሃዕሮ ሆቆማዶን ዎሬኖረ ጠጁሲ ዱንተአኖበአ፤ ህትን ሆቆማዱንኩ ፊልተአኖበአ» ይ ፈንቀሼእ።
28091200e6	ኢስ ህካን ጠወአንን መቱ ሹሙ ኢስበ አሜች ብሬስ ጉሉጵ «ጩልኤ ቴሱ ሬቶኡ፤ ጠዉ እኮጎሬ አት አሜት አንገክ እሴ አሌን አቶንት ጎር ፈይታአ» ዬእ።
280913004e	ኢስ ኬዕይ አሳባንተስን ሜጡበ ህከ መንቹ አዎኞ።
28091400f5	እሰን ሃንተን ሄኦገን ቶነ ለሙ ዘማን ጅስምችሴ ቄጉ ዱንተአን ኦርጨቀንተን ሄኣ መት መንቹት አሜት ኤተርስ አዲን ኢስ ኦድኖስ ሰኑተ አንጋንተሴ ኡልቶኡ።
2809150073	ህካን አቶኢሁ ቀልቤንከሴ «ኦድኖስ ሰኑተ ኡሎም ጎሬ ፈያም» ይቲት እቅ።
28091600a5	ኢስን ፈንቀል እሴንተ ለዕይ «ኢ ጩሌ! ዋጅቶት፤ አመዕነቱክ ፈይሾሄ» ዬሴ፤ ህከ ወክትንከ እሴ ፈይቶኡ።
