010000000c	ԾՆՆԴՈՑ
01070b00ea	Նոյի կեանքի վեցհարիւրերորդ տարում, երկրորդ ամսի քսանեօթին ժայթքեցին ստորգետնեայ բազում աղբիւրներ, բացուեցին երկնքի ջրվէժները:
01070c0067	Երկրի վրայ անձրեւ թափուեց քառասուն օր ու քառասուն գիշեր:
01070d00b5	Այդ օրը Նոյի հետ տապան մտան Սէմը, Քամը, Յաբէթը՝ Նոյի որդիները, Նոյի կինը եւ նրա որդիների երեք կանայք:
01070e00bd	Նրանք եւ ամէն տեսակ գազան, ամէն տեսակ անասուն, երկրի վրայ սողացող ամէն տեսակ սողուն եւ ամէն տեսակ թռչուն
01070f009e	մտան տապան՝ Նոյի մօտ, երկու-երկու բոլոր այն էակներից, որոնց մէջ կենդանութեան շունչ կար:
01071000c2	Տապան մտնող էակները արու եւ էգ էին, ինչպէս պատուիրել էր Աստուած Նոյին: Տէր Աստուած նրա ետեւից փակեց տապանը:
01071100d6	Երկրի վրայ քառասուն օր ու քառասուն գիշեր ջրհեղեղ եղաւ: Յորդացաւ ջուրն ու բարձրացրեց տապանը, եւ տապանը կտրուեց գետնից:
0107120082	Ջուրն աւելի ու աւելի վարարեց, ողողեց երկիրը, եւ տապանը լողաց ջրերի վրայ:
01071300a4	Ջուրն այնքան սաստկացաւ երկրի վրայ, որ ծածկեց երկնքի տակ գտնուող բոլոր բարձրաբերձ լեռները:
010714007c	Տասնհինգ կանգուն աւելի վեր բարձրացաւ ջուրը եւ ծածկեց բոլոր լեռները:
0107150101	Մեռան երկրի վրայ շարժուող բոլոր կենդանի էակները՝ թռչունները, անասուններն ու գազանները, երկրի վրայ սողացող բոլոր սողուններն ու բոլոր մարդիկ:
0107160089	Ցամաքի վրայ եղած ամէն բան, որ կենդանի շունչ ունէր իր ռունգերի մէջ, ոչնչացաւ:
0107170171	Աստուած բնաջնջեց երկրի երեսին գտնուող ամէն մի էակ՝ մարդուց մինչեւ անասուն, սողուններից մինչեւ երկնքի թռչունները: Նրանք վերացան երկրի երեսից: Կենդանի մնաց միայն Նոյը, նաեւ նրանք, որ նրա հետ տապանում էին:
0107180044	Ջուրը հարիւր յիսուն օր ողողեց երկիրը:
0108010126	Աստուած յիշեց Նոյին, նրա հետ տապանում գտնուող բոլոր գազաններին, բոլոր անասուններին ու բոլոր թռչուններին: Աստուած հողմ բարձրացրեց երկրի վրայ, եւ անձրեւը դադարեց:
01080200ac	Փակուեցին ստորգետնեայ աղբիւրներն ու երկնքի սահանքները, դադարեց նաեւ երկնքից թափուող անձրեւը:
0108030094	Ջուրը գնալով իջնում, քաշւում էր երկրի վրայից, եւ հարիւր յիսուն օր անց այն նուազեց:
0108040068	Եօթներորդ ամսի քսանեօթին տապանը նստեց Արարատ լերան վրայ:
01080500c6	Ջուրը մինչեւ տասներորդ ամիսը քաշւում էր, նուազում: Տասնմէկերորդ ամսի առաջին օրը երեւացին լեռների գագաթները:
010806006b	Քառասուն օր յետոյ Նոյը բացեց իր կառուցած տապանի պատուհանը:
010807009b	Նա արձակեց մի ագռաւ, որը գնաց, բայց չվերադարձաւ, մինչեւ որ ջուրը ցամաքէր երկրի վրայից:
0108080083	Յետոյ նա արձակեց մի աղաւնի՝ տեսնելու, թէ ջրերը քաշուե՞լ են երկրի երեսից:
0108090122	Աղաւնին իր ոտքը դնելու տեղ չգտնելով՝ վերադարձաւ նրա մօտ՝ տապան, որովհետեւ ջուրը դեռ ծածկել էր ողջ երկիրը: Նոյը երկարեց ձեռքը, բռնեց նրան եւ բերեց իր մօտ՝ տապան:
01080a006a	Նա սպասեց եւս եօթը օր ու տապանից դարձեալ արձակեց աղաւնուն:
01080b00e5	Աղաւնին նրա մօտ վերադարձաւ երեկոյեան: Նրա կտուցին ձիթենու մի շիւղ կար: Նոյը դրանից հասկացաւ, որ ջրերը քաշուել են երկրի վրայից:
01080c0095	Նոյն սպասեց եւս եօթը օր ու նորից արձակեց աղաւնուն, որն այլեւս նրա մօտ չվերադարձաւ:
01080d0135	Նոյի կեանքի վեցհարիւրմէկերորդ տարում, առաջին ամսի առաջին օրը ջրերը քաշուեցին երկրի վրայից: Նոյը բացեց իր կառուցած տապանի ծածկը եւ տեսաւ, որ ջուրը քաշուել է երկրի երեսից:
01080e0056	Երկրորդ ամսի քսանեօթներորդ օրը երկիրը ցամաքեց:
01080f002a	Տէր Աստուած Նոյին ասաց.
0108100083	«Դո՛ւրս եկէք այդ տապանից դու, քո կինը, քո որդիները եւ քո որդիների կանայք,
010811017b	նաեւ քեզ հետ եղող բոլոր գազանները, բոլոր էակները՝ թռչուններից մինչեւ անասունները: Դո՛ւրս հանիր քեզ հետ նաեւ երկրի վրայ սողացող բոլոր սողուններին, նրանք թող սողան երկրի վրայ: Աճեցէ՛ք եւ բազմացէ՛ք երկրի վրայ»:
0108120082	Դուրս ելան Նոյը, նրա հետ նաեւ իր կինը, իր որդիներն ու իր որդիների կանայք:
01081300b5	Երկրի բոլոր գազանները, բոլոր սողուններն ու բոլոր թռչունները՝ իրենց տեսակներով, դուրս ելան տապանից:
01081400ff	Նոյը զոհասեղան շինեց Աստծու համար: Նա առաւ բոլոր տեսակի անպիղծ անասուններից, բոլոր տեսակի անպիղծ թռչուններից եւ ողջակիզեց զոհասեղանի վրայ:
01081501ad	Եւ Տէր Աստուած հոտոտեց անուշ բոյրը: Տէր Աստուած իր մտքում ասաց. «Մարդկանց չար արարքների համար ես երկիրն այլեւս չեմ անիծի, որովհետեւ մարդկանց միտքը մանկուց չարի ծառայութեան մէջ է: Ես այլեւս ոչ մի կենդանի էակի չեմ պատուհասի, ինչպէս արեցի:
01081600ce	Այսուհետեւ, քանի դեռ կայ երկիրը, թող չդադարեն սերմն ու հունձը, ցուրտն ու տօթը, ամառն ու գարունը, ցերեկն ու գիշերը»:
01090100c0	Աստուած օրհնելով Նոյին ու նրա որդիներին՝ ասաց նրանց. «Աճեցէ՛ք, բազմացէ՛ք, լցրէ՛ք երկիրն ու տիրեցէ՛ք դրան:
0109020107	Ձեր ահն ու երկիւղը թող լինի երկրի բոլոր գազանների, երկնքի բոլոր թռչունների, երկրի բոլոր զեռունների եւ ծովի բոլոր ձկների վրայ, որ ենթարկել եմ ձեզ:
010903008d	Ամէն մի կենդանի զեռուն թող կերակուր լինի ձեզ, ինչպէս խոտն ու բանջարն եմ տուել:
0109040045	Կենսատու արիւն պարունակող միս չուտէք,
0109050111	քանզի ես էլ ձեր կենսատու արիւնը կը պահանջեմ, բոլոր գազանների, ինչպէս նաեւ մարդու միջոցով կը պահանջեմ այն: Մարդու միջոցով պիտի պահանջեմ իր եղբօր հոգին:
01090600ca	Ով թափի մարդու արիւնը, նրա արեան փոխարէն թող թափուի իր արիւնը, որովհետեւ Աստծու պատկերով եմ ստեղծել ես մարդուն:
0109070078	Իսկ դուք աճեցէ՛ք, բազմացէ՛ք, լցրէ՛ք երկիրը եւ բազմացէ՛ք դրա վրայ»:
010908007b	Տէր Աստուած, դիմելով Նոյին ու նրա որդիներին, որոնք նրա հետ էին, ասաց.
010909007c	«Ահա ես ուխտ եմ դնում ձեզ հետ, ձեզնից յետոյ եկող ձեր սերունդների հետ,
01090a0111	ձեզ հետ եղող բոլոր կենդանի էակների հետ՝ թռչունների, անասունների, երկրի բոլոր գազանների, այդ տապանից դուրս եկած բոլորի եւ երկրի բոլոր կենդանիների հետ:
01090b00c2	Ես ուխտ եմ դնում ձեզ հետ. այլեւս ոչ մի էակ չի մեռնի ջրհեղեղից, ողջ երկիրը ոչնչացնող ջրհեղեղ չի լինի այլեւս»:
01090c00fb	Տէր Աստուած ասաց Նոյին. «Իմ ու ձեր միջեւ, ձեզ հետ եղող ամէն կենդանի էակի միջեւ գալիք բոլոր սերունդների համար իմ հաստատած ուխտի նշանն այս է.
01090d00a7	իմ ծիածանը կը կապեմ ամպերի մէջ: Եւ դա թող լինի իմ ու ողջ երկրի միջեւ յաւիտենական ուխտի նշանը:
01090e0074	Երբ երկրի վրայ ամպեր կուտակեմ, իմ ծիածանը թող երեւայ ամպերի մէջ:
01090f0109	Այնժամ ես կը յիշեմ իմ ուխտը, որ հաստատել եմ իմ ու ձեր միջեւ եւ շնչաւոր բոլոր էակերի միջեւ: Այլեւս ջրհեղեղ չի լինի, որպէսզի բոլոր էակները չոչնչանան:
010910010c	Թող իմ ծիածանը լինի ամպերի մէջ, որպէսզի ես տեսնեմ այն եւ յիշեմ իմ ու երկրի վրայ գտնուող բոլոր շնչաւոր էակների միջեւ իմ հաստատած յաւիտենական ուխտը»:
01091100d8	Տէր Աստուած ասաց Նոյին. «Այս է նշանն այն ուխտի, որ հաստատեցի իմ ու ձեր միջեւ եւ երկրի վրայ գտնուող բոլոր էակների միջեւ»:
0109120092	Նոյի՝ տապանից դուրս եկած որդիներն էին Սէմը, Քամը եւ Յաբէթը: Քամը Քանանի հայրն էր:
01091300a8	Այս երեքն էին Նոյի որդիները, եւ ժողովուրդները սրանցից սերուելով տարածուեցին ողջ երկրի վրայ:
0109140076	Նոյը՝ հողագործ այդ մարդը, առաջինն էր, որ հող մշակեց եւ այգի տնկեց:
0109150059	Նա խմեց դրա գինուց, հարբեց ու մերկացաւ իր տան մէջ:
01091600b7	Քամը՝ Քանանի հայրը, տեսաւ իր հօր մերկութիւնն ու դուրս գնալով՝ այդ մասին պատմեց իր երկու եղբայրներին:
010917013d	Սէմն ու Յաբէթը, երկուսն էլ, հագուստներ առան իրենց ուսերին եւ, յետ-յետ գնալով, ծածկեցին իրենց հօր մերկութիւնը: Նրանք մէջքով էին կանգնած, այնպէս որ իրենց հօր մերկութիւնը չտեսան:
0109180094	Նոյը սթափուելով գինովութիւնից՝ իմացաւ, թէ ինչ է արել իր նկատմամբ իր կրտսեր որդին,
