0100000008	Genesisi
01080e004f	Pazuva ramakumi maviri namanomwe romwedzi wechipiri nyika yakanga yaoma kwazvo.
01080f001b	Ipapo Mwari akati kuna Noa,
0108100046	“Budai muareka, iwe nomukadzi wako navanakomana vako navakadzi vavo.
01081100a5	Budisa mhando dzose dzezvisikwa zvipenyu zvaunazvo, shiri, mhuka nezvisikwa zvose zvinokambaira panyika, kuitira kuti zvibereke uye zvive zvizhinji pamusoro payo.”
010812005f	Saka Noa akabuda, pamwe chete navanakomana vake nomukadzi wake uye navakadzi vavanakomana vake.
010813008e	Mhuka dzose nezvisikwa zvose zvinokambaira panyika neshiri dzose, zvinhu zvose zvinofamba panyika, zvakabuda muareka, rudzi ruchitevera rumwe.
0108140091	Ipapo Noa akavakira Jehovha aritari, uye akatora dzimwe dzemhuka dzose dzakanaka neshiri dzakanaka, akabayira zvipiriso zvinopiswa pamusoro payo.
01081500ec	Jehovha akanzwa kunhuhwira kwakanaka akati mumwoyo make, “Handichazotukazve nyika nokuda kwomunhu, kunyange hazvo kufunga kwomwoyo wake kwakaipa kubva pakuberekwa kwake. Uye handichazoparadzazve zvisikwa zvipenyu zvose, sezvandakaita.
0108160085	“Kana nyika ichingovapo, nguva dzokudyara nedzokukohwa, kutonhora nokupisa, zhizha nechando, masikati nousiku hazvingatongogumi.”
0109010066	Ipapo Mwari akaropafadza Noa navanakomana vake, akati kwavari, “Berekanai muwande uye muzadze nyika.
01090200a5	Mhuka dzose dzenyika neshiri dzose dzedenga dzichakutyai uye dzichakuvhundukai; zvisikwa zvose zvinokambaira panyika, nehove dzose dzegungwa, zvakapiwa mumaoko enyu.
0109030084	Zvinhu zvose zvinorarama nezvinokambaira zvichava zvokudya zvenyu. Sezvandakakupai muriwo munyoro, ndiri kukupai zvino zvinhu zvose.
0109040040	“Asi hamufaniri kudya nyama, ropa rayo roupenyu richiri mairi.
01090500e3	Uye zvirokwazvo ndichatsvaka kuti muzvidavirire nokuda kweropa roupenyu hwenyu. Ndichatsvaka kuti muzvidavirire pamhuka dzose. Uye kubvawo pamunhu mumwe nomumwe, ndichatsvaka kuti azvidavirire nokuda kwoupenyu hwomunhu wokwake.
0109060076	“Ani naani anoteura ropa romunhu, ropa rake richateurwawo nomunhu; nokuti nomufananidzo waMwari, Mwari akaita munhu.
0109070054	Kana murimi, berekanai muwande; muwande panyika uye muwande kwazvo pamusoro payo.”
0109080034	Ipapo Mwari akati kuna Noa navanakomana vaaiva navo,
010909004e	“Zvino ndava kusimbisa sungano yangu newe uye nezvizvarwa zvako zvinotevera,
01090a00a2	uye nezvisikwa zvipenyu zvose zvakanga zvinewe, shiri, zvipfuwo nemhuka dzose dzesango, dzose dziya dzakabuda newe muareka, zvisikwa zvipenyu zvose zviri panyika.
01090b0097	Ndiri kusimbisa sungano yangu newe: Zvipenyu zvose hazvichatongoparadzwizve nemvura yamafashamu; hakuchatongovizve namafashamu okuti aparadze nyika.”
01090c009b	Uye Mwari akati, “Ichi ndicho chiratidzo chesungano yandiri kuita pakati pangu nemi nezvisikwa zvose zvipenyu zvinemi, sungano yamarudzi ose ari kuzouya:
01090d0059	Ndaisa muraravungu wangu mumakore, uye uchava chiratidzo chesungano pakati pangu nenyika.
01090e004e	Pose pandinouyisa makore pamusoro penyika, uye muraravungu ukaonekwa mumakore,
01090f0099	ndicharangarira sungano yangu pakati pangu nemi nezvisikwa zvipenyu zvose zvamarudzi ose. Mvura haingatongoitizve mafashamu kuti iparadze zvipenyu zvose.
010910009c	Pose panoonekwa muraravungu mumakore, ndichaona ndigorangarira sungano yangu isingaperi pakati paMwari nezvisikwa zvipenyu zvose zvemhando dzose panyika.”
010911007e	Saka Mwari akati kuna Noa, “Ichi ndicho chiratidzo chesungano yandakasimbisa pakati pangu nezvipenyu zvose zviri panyika.”
010912005e	Vanakomana vaNoa vakabuda muareka vaiva Shemu, Hamu naJafeti. (Hamu akanga ari baba vaKenani.)
010913006f	Ava ndivo vakanga vari vanakomana vatatu vaNoa, uye kwavari ndiko kwakabva vanhu vakapararira pamusoro penyika.
010914002f	Noa akava murimi, akarima munda wamazambiringa.
010915004a	Akati anwa imwe yewaini yawo, akadhakwa uye akavata akashama mutende rake.
0109160066	Hamu, baba vaKenani, akaona kusasimira kwababa vake akaudza mukoma wake nomununʼuna vake vaiva panze.
01091700df	Asi Shemu naJafeti vakatora nguo vakayiisa pamapfudzi avo; ipapo vakafamba nenhendashure vakafukidza baba vavo pakusasimira kwavo. Zviso zvavo zvakanga zvakatarisa parutivi kuitira kuti varege kuona kusasimira kwababa vavo.
0109180061	Noa akati amuka kubva pawaini yake uye akaziva zvakanga zvaitwa kwaari nomwanakomana wake muduku,
0109190046	akati, “Kenani ngaatukwe! Achava muranda wavaranda kuvakuru vake.”
01091a004d	Akatiwo, “Ngaakudzwe Jehovha, Mwari waShemu! Kenani ngaave muranda waShemu.
01091b0065	Mwari ngaakurise nyika yaJafeti; Jafeti ngaagare mumatende aShemu, uye Kenani ngaave muranda wake.”
01091c004b	Shure kwamafashamu, Noa akararama kwamakore mazana matatu namakumi mashanu.
01091d0054	Pamwe chete, Noa akararama kwamakore mazana mapfumbamwe namakumi mashanu, uye akafa.
010a01006f	Iyi ndiyo rondedzero yamarudzi aShemu, Hamu naJafeti, vana vaNoa, avo vakaitawo vanakomana mushure mamafashamu.
010a020057	Vanakomana vaJafeti vanoti: Gomeri, Magogi, Madhai, Javhani, Jubhari, Mesheki naTirasi.
010a03003a	Vanakomana vaGomeri vanoti: Ashikenazi, Rifati naTogarima.
010a040042	Vanakomana vaJavhani vanoti: Erisha, Tashishi, Kitimi naRodhanimi.
010a05009b	(Kubva kwavari ivava vanhu vomumahombekombe egungwa vakapararira munyika dzavo, nedzimba dzavo pakati pendudzi dzavo, rudzi rumwe norumwe nomutauro warwo.)
010a06003a	Vanakomana vaHamu vanoti: Kushi, Miziraimi, Puti naKenani.
010a070073	Vanakomana vaKushi vanoti: Sebha, Havhira, Sabhata, Rama naSabhiteka. Vanakomana vaRaama vanoti: Shebha naDhedhani.
010a08004a	Kushi akanga ari baba vaNimurodhi, uyo akanga ari murwi ane simba panyika.
010a090076	Akanga ari muvhimi mukuru pamberi paJehovha; ndokusaka zvichinzi, “SaNimirodhi, muvhimi mukuru pamberi paJehovha.”
010a0a005f	Maguta okutanga oumambo hwake akanga ari Bhabhironi, Ereki, Akadhi neKarine, munyika yeShinari.
010a0b0058	Achibva munyika iyoyo akaenda kuAsiria, uko kwaakandovaka Ninevhe, Rehobhoti Iri, neKara
010a0c003f	neReseni, riri pakati peNinevhe neKara; rinova ndiro guta guru.
010a0d0049	Miziraimi akanga ari baba veava: vaRudhi, vaAnami, vaRehabhi, vaNafutuhi,
010a0e0047	vaPaturusi, vaKasiruhi (kunova ndiko kwakabva vaFiristia) navaKafitori.
010a0f003c	Kenani akanga ari baba veava: Sidhoni dangwe rake, navaHiti,
010a100020	vaJebhusi, vaAmori, vaGirigashi,
010a110019	vaHivhi, vaAriki, vaSini,
010a120053	vaAvhadhi, vaZemari navaHamati. (Shure kwaizvozvo dzimba dzavaKenani dzakapararira,
010a13009a	uye miganhu yavaKenani yakasvika kuSidhoni yakananga kuGerari kusvikira kuGaza, uyezve yakananga kuSodhomu, Gomora, Adhima neZebhoimi, kusvikira kuRasha.)
010a14005c	Ava ndivo vanakomana vaHamu nedzimba dzavo uye nemitauro yavo, munyika dzavo nendudzi dzavo.
010a150075	Shemu akaberekerwawo vanakomana, mukoma wake akanga ari Jafeti; Shemu akanga ari tateguru wavanakomana vose vaEbheri.
010a160043	Vanakomana vaShemu vaiti: Eramu, Ashuri, Afakisadhi, Rudhi naAramu.
010a170036	Vanakomana vaAramu vaiti: Uzi, Huri, Geteri naMesheki.
010a180040	Afakisadhi akanga ari baba vaShera, uye Shera ari baba vaEbheri.
010a190089	Ebheri akaberekerwa vanakomana vaviri: Mumwe ainzi Peregi, nokuti pamazuva ake nyika yakakamurwa; zita romununʼuna wake rainzi Jokitani.
010a1a004f	Jokitani akanga ari baba veava vanoti: Arimodhadhi, Sherefi, Hazamavheti, Jera,
010a1b001a	Hadhoramu, Uzari, Dhikira,
010a1c001a	Obhari, Abhimaeri, Shebha,
010a1d0047	Ofiri, Havhira naJobhabhi. Vose ava vakanga vari vanakomana vaJokitani.
010a1e0057	(Dunhu ravaigara raibvira kuMesha rakananga kuSefari, kunyika yezvikomo yokumabvazuva.)
010a1f005d	Ava ndivo vanakomana vaShemu nedzimba dzavo uye nemitauro yavo, munyika dzavo nendudzi dzavo.
010a2000a3	Idzi ndidzo dzimba dzavanakomana vaNoa maererano nezvizvarwa zvavo, pakati pendudzi dzavo. Kubva kuna ava ndudzi dzakapararira pamusoro penyika shure kwamafashamu.
010b010046	Zvino nyika yose yakanga ino rurimi rumwe chete nokutaura kwakafanana.
010b02004b	Vanhu vakati vachitamira kumabvazuva, vakawana bani romuShinari vakagaramo.
010b030095	Vakataurirana vakati, “Uyai, ngatiitei zvidhina tigozvipisa kwazvo.” Vakashandisa zvidhina pachinzvimbo chamabwe, uye bhitumini ikava dhaka ravo.
010b040094	Ipapo vakati, “Uyai, ngatizvivakirei guta neshongwe inosvika kudengadenga, kuti tizviitire mukurumbira uye kuti tirege kupararira panyika yose.”
010b050050	Asi Jehovha akaburuka pasi kuti azoona guta neshongwe yakanga ichivakwa navanhu.
010b0600a7	Jehovha akati, “Kana vanhu ava vava somunhu mumwe, vachitaura rurimi rumwe chete, vakatanga kuita izvi, zvino hapana chinhu chavanoronga kuti vachiite chichavaomera.
010b07004c	Uyai, ngatiburukei tindovapesanisa mutauro wavo kuti varege kunzwisisana.”
010b080052	Saka Jehovha akavaparadzira pamusoro penyika yose ipapo, uye vakarega kuvaka guta.
010b090098	Ndokusaka nzvimbo iyo yakanzi Bhabheri, nokuti ipapo Jehovha akapesanisa mutauro wenyika yose. Kubva ipapo Jehovha akavaparadzira pamusoro penyika yose.
010b0a008b	Iyi ndiyo rondedzero yamarudzi aShemu. Makore maviri shure kwamafashamu, Shemu paakanga ava namakore zana okuberekwa, akabereka Afakisadhi.
010b0b0075	Uye shure kwokubereka Afakisadhi, Shemu akararama kwamakore mazana mashanu uye akava navamwe vanakomana navanasikana.
010b0c0052	Afakisadhi akati ava namakore makumi matatu namashanu okuberekwa, akabereka Shera.
010b0d0083	Uye shure kwokubereka kwake Shera, Afakisadhi akararama kwamakore mazana mana namatatu uye akazova navamwe vanakomana navanasikana.
010b0e0044	Shera akati ava namakore makumi matatu okuberekwa, akabereka Ebheri.
010b0f007f	Uye shure kwokubereka kwake Ebheri, Shera akararama kwamakore mazana mana namatatu uye akazova navamwe vanakomana navanasikana.
010b10004c	Ebheri akati ava namakore makumi matatu namana okuberekwa, akabereka Peregi.
010b110087	Uye shure kwokubereka kwake Peregi, Ebheri akararama kwamakore mazana mana namakumi matatu uye akazova navamwe vanakomana navanasikana.
010b120042	Peregi akati ava namakore makumi matatu, okuberekwa akabereka Reu.
010b130084	Uye shure kwokubereka kwake Reu, Peregi akararama kwamakore mazana maviri namapfumbamwe uye akazova navamwe vanakomana navanasikana.
010b14004b	Reu akati ava namakore makumi matatu namaviri okuberekwa, akabereka Serugi.
010b150080	Uye shure kwokubereka kwake Serugi, Reu akararama kwamakore mazana maviri namanomwe uye akazova navamwe vanakomana navanasikana.
010b160045	Serugi akati ava namakore makumi matatu okuberekwa, akabereka Nahori.
010b170079	Uye shure kwokubereka kwake Nahori, Serugi akararama kwamakore mazana maviri uye akazova navamwe vanakomana navanasikana.
010b180051	Nahori akati ava namakore makumi maviri namapfumbamwe okuberekwa, akabereka Tera.
010b190085	Uye shure kwokubereka kwake Tera, Nahori akazorarama kwamakore zana negumi namapfumbamwe uye akazova navamwe vanakomana navanasikana.
010b1a0062	Shure kwokunge Nahori ava namakore makumi manomwe okuberekwa, akabereka Abhurama, Nahori naHarani.
010b1b0068	Iyi ndiyo rondedzero yavana vaTera. Tera akabereka Abhurama, Nahori naHarani. Uye Harani akabereka Roti.
010b1c0059	Baba vake Tera vachiri vapenyu Harani akafira muUri ravaKaradhea, munyika yaakaberekerwa,
010b1d00b7	vose vari vaviri Abhurama naNahori vakawana. Zita romukadzi waAbhurama rainzi Sarai, uye zita romukadzi waNahori rainzi Mirika; akanga ari mwanasikana waHarani, baba vaMirika naIsika.
010b1e0033	Zvino Sarai akanga asingabereki; akanga asina vana.
010b1f00fb	Tera akatora mwanakomana wake Abhurama, muzukuru wake Roti, mwanakomana waHarani, nomuroora wake Sarai, mukadzi womwanakomana wake Abhurama, uye vakaenda kuUri yavaKaradhea pamwe chete kuti vaende kuKenani. Asi vakati vasvika paHarani, vakagara ipapo.
010b200047	Tera akararama kwamakore mazana maviri namashanu, uye akafira paHarani.
010c010078	Jehovha akanga ati kuna Abhurama, “Siya nyika yako, vanhu vako neimba yababa vako uye uende kunyika yandichakuratidza.
010c020070	“Ndichakuita rudzi rukuru uye ndichakuropafadza; ndichaita kuti zita rako rive guru, uye iwe uchava ropafadzo.
010c03008b	Ndicharopafadza vaya vanokuropafadza, uye ani naani anokutuka ndichamutuka; uye marudzi ose ari panyika acharopafadzwa kubudikidza newe.”
010c0400a7	Saka Abhurama akabva, sezvaakanga audzwa naJehovha; uye Roti akaenda naye. Abhurama akanga ava namakore makumi manomwe namashanu okuberekwa paakasimuka kubva paHarani.
010c0500c1	Akatora mukadzi wake Sarai, mwanakomana womununʼuna wake Roti, pfuma yose yavakanga vava nayo, navanhu vavakanga vawana muHarani, uye vakasimuka vakaenda kunyika yeKenani, uye vakasvika ikoko.
010c06007c	Abhurama akafamba nomunyika kusvikira panzvimbo yomuti mukuru weMore paShekemu. Panguva iyoyo vaKenani vakanga vari munyika.
010c070095	Jehovha akazviratidza kuna Abhurama akati, “Ndichapa nyika iyi kuvana vako.” Saka akavakira Jehovha aritari ipapo, iye akanga azviratidza kwaari.
010c0800d7	Kubva ipapo akaenda mberi akananga kuzvikomo zviri kumabvazuva kweBheteri uye akadzika tende rake ikoko, Bheteri riri kumavirira uye Ai riri kumabvazuva. Akavakira Jehovha aritari ipapo uye akadana kuzita raJehovha.
010c090038	Uye Abhurama akasimuka akaenda mberi akananga kuNegevhi.
010c0a0091	Zvino nzara yakanga iripo panyika, uye Abhurama akaburuka akaenda kuIjipiti kuti andogara ikoko kwechinguva nokuti nzara yakanga iri huru kwazvo.
010c0b0065	Paakanga oda kupinda muIjipiti, akati kumukadzi wake, Sarai, “Ndinoziva kuti uri mukadzi akanakisa.
010c0c0075	Pauchaonekwa navaIjipita, vachati, ‘Uyu ndiye mukadzi wake.’ Ipapo vachandiuraya asi iwe vachakurega uri mupenyu.
010c0d0073	Saka uti uri hanzvadzi yangu, kuti ndigobatwa zvakanaka nokuda kwako uye upenyu hwangu hucharwirwa nokuda kwako.”
010c0e005a	Abhurama akati asvika kuIjipiti, vaIjipita vakaona kuti akanga ane mukadzi akanaka kwazvo.
010c0f0070	Uye machinda aFaro vakati vamuona, vakandomurumbidza kuna Faro, uye vakabva vamutora vakamupinza mumuzinda wake.
010c100093	Akabata Abhurama zvakanaka nokuda kwake, uye Abhurama akava namakwai nemombe, makono embongoro namakadzi, varandarume navarandakadzi uye nengamera.
010c110062	Asi Jehovha akatambudza Faro neveimba yake nehosha yakaipisisa nokuda kwaSarai mukadzi waAbhurama.
010c120066	Saka Faro akadana Abhurama akati, “Waiteiko kwandiri? Wakaregereiko kundiudza kuti uyu mukadzi wako?
010c130087	Seiko wakati, ‘Ihanzvadzi yangu,’ nokudaro ndakamutora kuti ave mukadzi wangu? Naizvozvo zvino, hoyu mukadzi wako. Mutore uende!”
010c14007e	Ipapo Faro akarayira varanda vake pamusoro paAbhurama, vakamurega achienda nomukadzi wake uye nezvinhu zvose zvaakanga anazvo.
010d010087	Saka Abhurama akakwidza achibva kuIjipiti akaenda kuNegevhi, nomukadzi wake uye nezvinhu zvose zvaakanga anazvo, uye Roti akaenda naye.
010d02003e	Abhurama akanga apfuma kwazvo pamombe nesirivha uye negoridhe.
010d030086	Kubva kuNegevhi akafamba nzvimbo nenzvimbo kudzamara asvika kuBheteri, kunzvimbo iri pakati peBheteri neAi kwaimbova netende rake kare
010d04004d	uye kwaakanga atanga kuvaka aritari. Abhurama akadana kuzita raJehovha ikoko.
010d050053	Zvino Roti, uyo akanga achifamba naAbhurama, akanga ana makwai nemombewo namatende.
010d060098	Asi nyika haina kugona kuvaringana kuti vagare pamwe chete, nokuti pfuma yavo yakanga yakawanda kwazvo zvokuti vakanga vasisakwanisi kugara pamwe chete.
010d070080	Uye gakava rakamuka pakati pavafudzi vaAbhurama navafudzi vaRoti. VaKenani navaPerizi vakanga vachigarawo munyika panguva iyoyo.
010d080081	Saka Abhurama akati kuna Roti, “Ngaparege kuva negakava pakati pako neni, kana pakati pavafudzi vako nevangu, nokuti tiri hama.
010d0900a0	Ko, nyika yose iyi haisi pamberi pako here? Ngatiparadzane. Kana ukaenda kuruboshwe, ini ndichaenda kurudyi; kana ukaenda kurudyi, ini ndichaenda kuruboshwe.”
010d0a00db	Roti akatarira kumusoro akaona bani rose reJorodhani kuti rakanga rakanyatsonyorova, sebindu raJehovha, kufanana nenyika yeIjipiti, kwakanangana neZoari. (Panguva iyi Jehovha akanga achigere kuparadza Sodhomu neGomora.)
010d0b0074	Saka Roti akazvisarudzira bani rose reJorodhani uye akasimuka akananga kumabvazuva. Varume vaviri ava vakaparadzana:
010d0c0073	Abhurama akagara munyika yeKenani, Roti akagara pakati pamaguta omumapani uye akadzika matende ake pedyo neSodhomu.
010d0d0045	Zvino varume veSodhomu vakanga vakaipa uye vaitadzira Jehovha kwazvo.
010d0e008e	Jehovha akati kuna Abhurama shure kwokubva kwaRoti, “Simudza meso ako uri pauri ipapo uye utarire kumusoro nezasi, kumabvazuva nokumavirira.
010d0f0040	Nyika yose yauri kuona ndichakupa iwe navana vako nokusingaperi.
010d10008e	Ndichaita kuti vana vako vave seguruva renyika, zvokuti kana pano munhu angagona kuverenga guruva, naizvozvo vana vako vachagona kuverengwawo.
010d11004a	Enda, famba munyika, muurefu nomuupamhi hwayo, nokuti ndichaipa kwauri.”
010d120080	Saka Abhurama akabvisa matende ake uye akandogara pedyo nemiti mikuru yeMamure paHebhuroni, uye akavakira Jehovha aritari ipapo.
010e010072	Panguva iyoyo Amuraferi mambo weShinari, Arioki mambo weErasa, Kedhoraomeri mambo weEramu naTidhari mambo weGoyimi
010e02009c	vakaenda kundorwa naBhera mambo weSodhomu, Bhirisha mambo weGomora, Shinabhi mambo weAdhima, Shemebheri mambo weZebhoimi, uye namambo weBhera (ndiro Zoari).
010e03004f	Madzimambo ose aya akabatana pakurwa muMupata weSidhimi (ndiro Gungwa roMunyu).
010e040065	Vakanga vari varanda vaKedhoraomeri kwamakore gumi namaviri, asi vakamumukira mugore regumi namatatu.
010e0500a2	Mugore regumi namana, Kedhoraomeri namadzimambo ainzwanana naye vakabuda vakandokunda vaRefaiti muAshiteroti Kanaimi, ivo vaZuzi muHamu, vaEmi muShavhe Kiriataimi
010e06004a	navaHori munyika yezvikomo yeSeiri, kusvikira kuEri Parani pedyo negwenga.
010e07009d	Ipapo vakadzokera vakaenda kuEni Mishipati (ndiro Kadheshi), uye vakakunda nyika yose yavaAmareki, pamwe chete navaAmori vakanga vachigara muHazazoni Tamari.
010e0800a2	Ipapo mambo weSodhomu, mambo weGomora, mambo weAdhima, mambo weZebhoimi namambo weBhera (ndiro, Saori) vakabuda vakamira panzvimbo yavo yehondo muMupata weSidhimi
010e0900a0	kuti varwe naKedhoraomeri mambo weEramu, Tidhari mambo weGoyimi, Amuraferi mambo weShinari naArioki mambo weErasa, madzimambo mana achirwa namadzimambo mashanu.
010e0a00a0	Zvino mupata weSidhimi wakanga uzere namakomba etara, uye madzimambo eSodhomu neGomora paakatiza, vamwe varume vakawira maari uye vakasara vakatizira kuzvikomo.
010e0b005a	Madzimambo mana aya akatora pfuma yose yeSodhomu neGomora nezvokudya zvavo zvose vakaenda.
010e0c0062	Vakatorawo Roti mwanakomana womununʼuna waAbhurama nepfuma yake, sezvo akanga achigara muSodhomu.
010e0d00bd	Mumwe akapunyuka akauya akasvikoudza Abhurama muHebheru. Zvino Abhurama akanga achigara pedyo nemiti mikuru yaMamure muAmori, mununʼuna waEshikori naAneri, avo vose vainzwanana naAbhurama.
010e0e00b4	Abhurama akati anzwa kuti hama yake yakanga yatapwa, akadana varume vakanga vadzidziswa kurwa mazana matatu negumi navasere vakaberekerwa mumba make vakavatevera kusvikira paDhani.
010e0f008f	Abhurama akapatsanura vanhu vake panguva dzousiku kuti vandovarwisa, uye vakavakunda, vakavatevera kusvikira paHobhabhi, kumusoro kweDhamasiko.
