2800000007	mathi.h
280616008b	locana. m dehasya pradiipaka. m, tasmaat yadi tava locana. m prasanna. m bhavati, tarhi tava k. rtsna. m vapu rdiiptiyukta. m bhavi. syati|
28061700b1	kintu locane. aprasanne tava k. rtsna. m vapu. h tamisrayukta. m bhavi. syati| ataeva yaa diiptistvayi vidyate, saa yadi tamisrayuktaa bhavati, tarhi tat tamisra. m kiyan mahat|
28061800db	kopi manujo dvau prabhuu sevitu. m na "saknoti, yasmaad eka. m sa. mmanya tadanya. m na sammanyate, yadvaa ekatra mano nidhaaya tadanyam avamanyate; tathaa yuuyamapii"svara. m lak. smii ncetyubhe sevitu. m na "saknutha|
2806190115	aparam aha. m yu. smabhya. m tathya. m kathayaami, ki. m bhak. si. syaama. h? ki. m paasyaama. h? iti praa. nadhaara. naaya maa cintayata; ki. m paridhaasyaama. h? iti kaayarak. sa. naaya na cintayata; bhak. syaat praa. naa vasanaa nca vapuu. m.si ki. m "sre. s.thaa. ni na hi?
28061a00a9	vihaayaso viha"ngamaan vilokayata; tai rnopyate na k. rtyate bhaa. n.daagaare na sa nciiyate. api; tathaapi yu. smaaka. m svargastha. h pitaa tebhya aahaara. m vitarati|
28061b0091	yuuya. m tebhya. h ki. m "sre. s.thaa na bhavatha? yu. smaaka. m ka"scit manuja. h cintayan nijaayu. sa. h k. sa. namapi varddhayitu. m "saknoti?
28061c00a1	apara. m vasanaaya kuta"scintayata? k. setrotpannaani pu. spaa. ni katha. m varddhante tadaalocayata| taani tantuun notpaadayanti kimapi kaaryya. m na kurvvanti;
28061d006a	tathaapyaha. m yu. smaan vadaami, sulemaan taad. rg ai"svaryyavaanapi tatpu. spamiva vibhuu. sito naasiit|
28061e00d7	tasmaat k. sadya vidyamaana. m "sca. h cullyaa. m nik. sepsyate taad. r"sa. m yat k. setrasthita. m kusuma. m tat yadii"scara ittha. m bibhuu. sayati, tarhi he stokapratyayino yu. smaan ki. m na paridhaapayi. syati?
28061f0063	tasmaat asmaabhi. h kimatsyate? ki nca paayi. syate? ki. m vaa paridhaayi. syate, iti na cintayata|
2806200079	yasmaat devaarccakaa apiiti ce. s.tante; ete. su dravye. su prayojanamastiiti yu. smaaka. m svargastha. h pitaa jaanaati|
2806210079	ataeva prathamata ii"svariiyaraajya. m dharmma nca ce. s.tadhva. m, tata etaani vastuuni yu. smabhya. m pradaayi. syante|
280622007b	"sva. h k. rte maa cintayata, "svaeva svaya. m svamuddi"sya cintayi. syati; adyatanii yaa cintaa saadyak. rte pracurataraa|
2807010058	yathaa yuuya. m do. siik. rtaa na bhavatha, tatk. rte. anya. m do. si. na. m maa kuruta|
28070200f2	yato yaad. r"sena do. se. na yuuya. m paraan do. si. na. h kurutha, taad. r"sena do. se. na yuuyamapi do. siik. rtaa bhavi. syatha, anya nca yena parimaa. nena yu. smaabhi. h parimiiyate, tenaiva parimaa. nena yu. smatk. rte parimaayi. syate|
2807030079	apara nca nijanayane yaa naasaa vidyate, taam anaalocya tava sahajasya locane yat t. r.nam aaste, tadeva kuto viik. sase?
28070400b3	tava nijalocane naasaayaa. m vidyamaanaayaa. m, he bhraata. h, tava nayanaat t. r.na. m bahi. syartu. m anujaaniihi, kathaametaa. m nijasahajaaya katha. m kathayitu. m "sakno. si?
280705009e	he kapa. tin, aadau nijanayanaat naasaa. m bahi. skuru tato nijad. r.s. tau suprasannaayaa. m tava bhraat. r rlocanaat t. r.na. m bahi. skartu. m "sak. syasi|
28070600d7	anya nca saarameyebhya. h pavitravastuuni maa vitarata, varaahaa. naa. m samak. sa nca muktaa maa nik. sipata; nik. sepa. naat te taa. h sarvvaa. h padai rdalayi. syanti, paraav. rtya yu. smaanapi vidaarayi. syanti|
2807070095	yaacadhva. m tato yu. smabhya. m daayi. syate; m. rgayadhva. m tata udde"sa. m lapsyadhve; dvaaram aahata, tato yu. smatk. rte mukta. m bhavi. syati|
2807080085	yasmaad yena yaacyate, tena labhyate; yena m. rgyate tenodde"sa. h praapyate; yena ca dvaaram aahanyate, tatk. rte dvaara. m mocyate|
2807090042	aatmajena puupe praarthite tasmai paa. saa. na. m vi"sraa. nayati,
28070a0060	miine yaacite ca tasmai bhujaga. m vitarati, etaad. r"sa. h pitaa yu. smaaka. m madhye ka aaste?
28070b00c2	tasmaad yuuyam abhadraa. h santo. api yadi nijabaalakebhya uttama. m dravya. m daatu. m jaaniitha, tarhi yu. smaaka. m svargastha. h pitaa sviiyayaacakebhya. h kimuttamaani vastuuni na daasyati?
28070c00c7	yuu. smaan pratiitare. saa. m yaad. r"so vyavahaaro yu. smaaka. m priya. h, yuuya. m taan prati taad. r"saaneva vyavahaaraan vidhatta; yasmaad vyavasthaabhavi. syadvaadinaa. m vacanaanaam iti saaram|
28070d008d	sa"nkiir. nadvaare. na pravi"sata; yato narakagamanaaya yad dvaara. m tad vistiir. na. m yacca vartma tad b. rhat tena bahava. h pravi"santi|
28070e0090	apara. m svargagamanaaya yad dvaara. m tat kiid. rk sa. mkiir. na. m| yacca vartma tat kiid. rg durgamam| tadudde. s.taara. h kiyanto. alpaa. h|
28070f00ca	apara nca ye janaa me. save"sena yu. smaaka. m samiipam aagacchanti, kintvantardurantaa v. rkaa etaad. r"sebhyo bhavi. syadvaadibhya. h saavadhaanaa bhavata, yuuya. m phalena taan paricetu. m "saknutha|
2807100071	manujaa. h ki. m ka. n.takino v. rk. saad draak. saaphalaani "s. rgaalakolita"sca u. dumbaraphalaani "saatayanti?
280711005b	tadvad uttama eva paadapa uttamaphalaani janayati, adhamapaadapaevaadhamaphalaani janayati|
2807120082	kintuuttamapaadapa. h kadaapyadhamaphalaani janayitu. m na "saknoti, tathaadhamopi paadapa uttamaphalaani janayitu. m na "saknoti|
2807130051	apara. m ye ye paadapaa adhamaphalaani janayanti, te k. rttaa vahnau k. sipyante|
280714002c	ataeva yuuya. m phalena taan parice. syatha|
28071500aa	ye janaa maa. m prabhu. m vadanti, te sarvve svargaraajya. m pravek. syanti tanna, kintu yo maanavo mama svargasthasya pituri. s.ta. m karmma karoti sa eva pravek. syati|
28071600e5	tad dine bahavo maa. m vadi. syanti, he prabho he prabho, tava naamnaa kimasmaami rbhavi. syadvaakya. m na vyaah. rta. m? tava naamnaa bhuutaa. h ki. m na tyaajitaa. h? tava naamnaa ki. m naanaadbhutaani karmmaa. ni na k. rtaani?
280717006d	tadaaha. m vadi. syaami, he kukarmmakaari. no yu. smaan aha. m na vedmi, yuuya. m matsamiipaad duuriibhavata|
280718007c	ya. h ka"scit mamaitaa. h kathaa. h "srutvaa paalayati, sa paa. saa. nopari g. rhanirmmaatraa j naaninaa saha mayopamiiyate|
280719007f	yato v. r.s. tau satyaam aaplaava aagate vaayau vaate ca te. su tadgeha. m lagne. su paa. saa. nopari tasya bhittestanna patati
28071a0073	kintu ya. h ka"scit mamaitaa. h kathaa. h "srutvaa na paalayati sa saikate gehanirmmaatraa. aj naaninaa upamiiyate|
28071b007b	yato jalav. r.s. tau satyaam aaplaava aagate pavane vaate ca tai rg. rhe samaaghaate tat patati tatpatana. m mahad bhavati|
28071c0057	yii"sunaite. su vaakye. su samaapite. su maanavaastadiiyopade"sam aa"scaryya. m menire|
28071d0055	yasmaat sa upaadhyaayaa iva taan nopadide"sa kintu samarthapuru. saiva samupadide"sa|
280801004b	yadaa sa parvvataad avaarohat tadaa bahavo maanavaastatpa"scaad vavraju. h|
280802008d	eka. h ku. s.thavaan aagatya ta. m pra. namya babhaa. se, he prabho, yadi bhavaan sa. mmanyate, tarhi maa. m niraamaya. m karttu. m "saknoti|
2808030098	tato yii"su. h kara. m prasaaryya tasyaa"nga. m sp. r"san vyaajahaara, sammanye. aha. m tva. m niraamayo bhava; tena sa tatk. sa. naat ku. s.thenaamoci|
28080400dd	tato yii"susta. m jagaada, avadhehi kathaametaa. m ka"scidapi maa bruuhi, kintu yaajakasya sannidhi. m gatvaa svaatmaana. m dar"saya manujebhyo nijaniraamayatva. m pramaa. nayitu. m muusaaniruupita. m dravyam uts. rja ca|
280805007f	tadanantara. m yii"sunaa kapharnaahuumnaamani nagare pravi. s.te ka"scit "satasenaapatistatsamiipam aagatya viniiya babhaa. se,
2808060068	he prabho, madiiya eko daasa. h pak. saaghaatavyaadhinaa bh. r"sa. m vyathita. h, satu "sayaniiya aaste|
2808070055	tadaanii. m yii"sustasmai kathitavaan, aha. m gatvaa ta. m niraamaya. m kari. syaami|
28080800bc	tata. h sa "satasenaapati. h pratyavadat, he prabho, bhavaan yat mama gehamadhya. m yaati tadyogyabhaajana. m naahamasmi; vaa"nmaatram aadi"satu, tenaiva mama daaso niraamayo bhavi. syati|
28080900ce	yato mayi paranidhne. api mama nide"sava"syaa. h kati kati senaa. h santi, tata ekasmin yaahiityukte sa yaati, tadanyasmin ehiityukte sa aayaati, tathaa mama nijadaase karmmaitat kurvvityukte sa tat karoti|
28080a00d0	tadaanii. m yii"sustasyaitat vaco ni"samya vismayaapanno. abhuut; nijapa"scaadgaamino maanavaan avocca, yu. smaan tathya. m vacmi, israayeliiyalokaanaa. m madhye. api naitaad. r"so vi"svaaso mayaa praapta. h|
28080b009d	anyaccaaha. m yu. smaan vadaami, bahava. h puurvvasyaa. h pa"scimaayaa"sca di"sa aagatya ibraahiimaa ishaakaa yaakuubaa ca saakam militvaa samupavek. syanti;
28080c0070	kintu yatra sthaane rodanadantaghar. sa. ne bhavatastasmin bahirbhuutatamisre raajyasya santaanaa nik. sesyante|
28080d00a7	tata. h para. m yii"susta. m "satasenaapati. m jagaada, yaahi, tava pratiityanusaarato ma"ngala. m bhuuyaat; tadaa tasminneva da. n.de tadiiyadaaso niraamayo babhuuva|
28080e0081	anantara. m yii"su. h pitarasya gehamupasthaaya jvare. na pii. ditaa. m "sayaniiyasthitaa. m tasya "sva"sruu. m viik. saa ncakre|
28080f0069	tatastena tasyaa. h karasya sp. r.s. tatavaat jvarastaa. m tatyaaja, tadaa saa samutthaaya taan si. seve|
28081000bc	anantara. m sandhyaayaa. m satyaa. m bahu"so bhuutagrastamanujaan tasya samiipam aaninyu. h sa ca vaakyena bhuutaan tyaajayaamaasa, sarvvaprakaarapii. ditajanaa. m"sca niraamayaan cakaara;
28081100c8	tasmaat, sarvvaa durbbalataasmaaka. m tenaiva paridhaaritaa| asmaaka. m sakala. m vyaadhi. m saeva sa. mg. rhiitavaan| yadetadvacana. m yi"sayiyabhavi. syadvaadinoktamaasiit, tattadaa saphalamabhavat|
280812006c	anantara. m yii"su"scaturdik. su jananivaha. m vilokya ta. tinyaa. h paara. m yaatu. m "si. syaan aadide"sa|
280813007a	tadaaniim eka upaadhyaaya aagatya kathitavaan, he guro, bhavaan yatra yaasyati tatraahamapi bhavata. h pa"scaad yaasyaami|
28081400b9	tato yii"su rjagaada, kro. s.tu. h sthaatu. m sthaana. m vidyate, vihaayaso viha"ngamaanaa. m nii. daani ca santi; kintu manu. syaputrasya "sira. h sthaapayitu. m sthaana. m na vidyate|
280815008e	anantaram apara eka. h "si. syasta. m babhaa. se, he prabho, prathamato mama pitara. m "sma"saane nidhaatu. m gamanaartha. m maam anumanyasva|
280816005a	tato yii"suruktavaan m. rtaa m. rtaan "sma"saane nidadhatu, tva. m mama pa"scaad aagaccha|
2808170049	anantara. m tasmin naavamaaruu. dhe tasya "si. syaastatpa"scaat jagmu. h|
28081800b0	pa"scaat saagarasya madhya. m te. su gate. su taad. r"sa. h prabalo jha nbh"sanila udati. s.that, yena mahaatara"nga utthaaya tara. ni. m chaaditavaan, kintu sa nidrita aasiit|
2808190091	tadaa "si. syaa aagatya tasya nidraabha"nga. m k. rtvaa kathayaamaasu. h, he prabho, vaya. m mriyaamahe, bhavaan asmaaka. m praa. naan rak. satu|
28081a0093	tadaa sa taan uktavaan, he alpavi"svaasino yuuya. m kuto vibhiitha? tata. h sa utthaaya vaata. m saagara nca tarjayaamaasa, tato nirvvaatamabhavat|
28081b0084	apara. m manujaa vismaya. m vilokya kathayaamaasu. h, aho vaatasaritpatii asya kimaaj naagraahi. nau? kiid. r"so. aya. m maanava. h|
28081c00f3	anantara. m sa paara. m gatvaa gideriiyade"sam upasthitavaan; tadaa dvau bhuutagrastamanujau "sma"saanasthaanaad bahi rbhuutvaa ta. m saak. saat k. rtavantau, taavetaad. r"sau praca. n.daavaastaa. m yat tena sthaanena kopi yaatu. m naa"saknot|
28081d00b3	taavucai. h kathayaamaasatu. h, he ii"svarasya suuno yii"so, tvayaa saakam aavayo. h ka. h sambandha. h? niruupitakaalaat praageva kimaavaabhyaa. m yaatanaa. m daatum atraagatosi?
28081e004c	tadaanii. m taabhyaa. m ki ncid duure varaahaa. naam eko mahaavrajo. acarat|
28081f0087	tato bhuutau tau tasyaantike viniiya kathayaamaasatu. h, yadyaavaa. m tyaajayasi, tarhi varaahaa. naa. m madhyevrajam aavaa. m preraya|
28082000bf	tadaa yii"suravadat yaata. m, anantara. m tau yadaa manujau vihaaya varaahaan aa"sritavantau, tadaa te sarvve varaahaa uccasthaanaat mahaajavena dhaavanta. h saagariiyatoye majjanto mamru. h|
2808210080	tato varaaharak. sakaa. h palaayamaanaa madhyenagara. m tau bhuutagrastau prati yadyad agha. tata, taa. h sarvvavaarttaa avadan|
2808220098	tato naagarikaa. h sarvve manujaa yii"su. m saak. saat karttu. m bahiraayaataa. h ta nca vilokya praarthayaa ncakrire bhavaan asmaaka. m siimaato yaatu|
280901004d	anantara. m yii"su rnaukaamaaruhya puna. h paaramaagatya nijagraamam aayayau|
28090200f4	tata. h katipayaa janaa eka. m pak. saaghaatina. m sva. t.topari "saayayitvaa tatsamiipam aanayan; tato yii"suste. saa. m pratiiti. m vij naaya ta. m pak. saaghaatina. m jagaada, he putra, susthiro bhava, tava kalu. sasya mar. sa. na. m jaatam|
2809030067	taa. m kathaa. m ni"samya kiyanta upaadhyaayaa mana. hsu cintitavanta e. sa manuja ii"svara. m nindati|
2809040083	tata. h sa te. saam etaad. r"sii. m cintaa. m vij naaya kathitavaan, yuuya. m mana. hsu k. rta etaad. r"sii. m kucintaa. m kurutha?
280905007b	tava paapamar. sa. na. m jaata. m, yadvaa tvamutthaaya gaccha, dvayoranayo rvaakyayo. h ki. m vaakya. m vaktu. m sugama. m?
28090600d2	kintu medinyaa. m kalu. sa. m k. samitu. m manujasutasya saamarthyamastiiti yuuya. m yathaa jaaniitha, tadartha. m sa ta. m pak. saaghaatina. m gaditavaan, utti. s.tha, nija"sayaniiya. m aadaaya geha. m gaccha|
280907003d	tata. h sa tatk. sa. naad utthaaya nijageha. m prasthitavaan|
2809080097	maanavaa ittha. m vilokya vismaya. m menire, ii"svare. na maanavaaya saamarthyam iid. r"sa. m datta. m iti kaara. naat ta. m dhanya. m babhaa. sire ca|
28090900d6	anantara. m yii"sustatsthaanaad gacchan gacchan karasa. mgrahasthaane samupavi. s.ta. m mathinaamaanam eka. m manuja. m vilokya ta. m babhaa. se, mama pa"scaad aagaccha, tata. h sa utthaaya tasya pa"scaad vavraaja|
28090a00ad	tata. h para. m yii"sau g. rhe bhoktum upavi. s.te bahava. h karasa. mgraahi. na. h kalu. si. na"sca maanavaa aagatya tena saaka. m tasya "si. syai"sca saakam upavivi"su. h|
28090b009c	phiruu"sinastad d. r.s. tvaa tasya "si. syaan babhaa. sire, yu. smaaka. m guru. h ki. m nimitta. m karasa. mgraahibhi. h kalu. sibhi"sca saaka. m bhu. mkte?
28090c0085	yii"sustat "srutvaa taan pratyavadat, niraamayalokaanaa. m cikitsakena prayojana. m naasti, kintu saamayalokaanaa. m prayojanamaaste|
28090d00e6	ato yuuya. m yaatvaa vacanasyaasyaartha. m "sik. sadhvam, dayaayaa. m me yathaa priiti rna tathaa yaj nakarmma. ni|yato. aha. m dhaarmmikaan aahvaatu. m naagato. asmi kintu mana. h parivarttayitu. m paapina aahvaatum aagato. asmi|
28090e00a4	anantara. m yohana. h "si. syaastasya samiipam aagatya kathayaamaasu. h, phiruu"sino vaya nca puna. h punarupavasaama. h, kintu tava "si. syaa nopavasanti, kuta. h?
28090f00f3	tadaa yii"sustaan avocat yaavat sakhiinaa. m sa. m"nge kanyaayaa varasti. s.thati, taavat ki. m te vilaapa. m karttu. m "sakluvanti? kintu yadaa te. saa. m sa. m"ngaad vara. m nayanti, taad. r"sa. h samaya aagami. syati, tadaa te upavatsyanti|
280910008d	puraatanavasane kopi naviinavastra. m na yojayati, yasmaat tena yojitena puraatanavasana. m chinatti tacchidra nca bahukutsita. m d. r"syate|
2809110101	anya nca puraatanakutvaa. m kopi navaanagostaniirasa. m na nidadhaati, yasmaat tathaa k. rte kutuu rvidiiryyate tena gostaniirasa. h patati kutuu"sca na"syati; tasmaat naviinaayaa. m kutvaa. m naviino gostaniirasa. h sthaapyate, tena dvayoravana. m bhavati|
28091200c7	apara. m tenaitatkathaakathanakaale eko. adhipatista. m pra. namya babhaa. se, mama duhitaa praaye. naitaavatkaale m. rtaa, tasmaad bhavaanaagatya tasyaa gaatre hastamarpayatu, tena saa jiivi. syati|
280913004b	tadaanii. m yii"su. h "si. syai. h saakam utthaaya tasya pa"scaad vavraaja|
2809140086	ityanantare dvaada"savatsaraan yaavat pradaraamayena "siir. naikaa naarii tasya pa"scaad aagatya tasya vasanasya granthi. m paspar"sa;
2809150071	yasmaat mayaa kevala. m tasya vasana. m sp. r.s. tvaa svaasthya. m praapsyate, saa naariiti manasi ni"scitavatii|
28091600b1	tato yii"survadana. m paraavarttya taa. m jagaada, he kanye, tva. m susthiraa bhava, tava vi"svaasastvaa. m svasthaamakaar. siit| etadvaakye gaditaeva saa yo. sit svasthaabhuut|
2809170079	apara. m yii"sustasyaadhyak. sasya geha. m gatvaa vaadakaprabh. rtiin bahuun lokaan "sabdaayamaanaan vilokya taan avadat,
2809180062	panthaana. m tyaja, kanyeya. m naamriyata nidritaaste; kathaametaa. m "srutvaa te tamupajahasu. h|
2809190072	kintu sarvve. su bahi. sk. rte. su so. abhyantara. m gatvaa kanyaayaa. h kara. m dh. rtavaan, tena sodati. s.that;
28091a0042	tatastatkarmma. no ya"sa. h k. rtsna. m ta. m de"sa. m vyaaptavat|
28091b00b7	tata. h para. m yii"sustasmaat sthaanaad yaatraa. m cakaara; tadaa he daayuuda. h santaana, asmaan dayasva, iti vadantau dvau janaavandhau procairaahuuyantau tatpa"scaad vavrajatu. h|
28091c00e9	tato yii"sau gehamadhya. m pravi. s.ta. m taavapi tasya samiipam upasthitavantau, tadaanii. m sa tau p. r.s. tavaan karmmaitat karttu. m mama saamarthyam aaste, yuvaa. m kimiti pratiitha. h? tadaa tau pratyuucatu. h, satya. m prabho|
28091d00a8	tadaanii. m sa tayo rlocanaani sp. r"san babhaa. se, yuvayo. h pratiityanusaaraad yuvayo rma"ngala. m bhuuyaat| tena tatk. sa. naat tayo rnetraa. ni prasannaanyabhavan,
28091e0068	pa"scaad yii"sustau d. r.dhamaaj naapya jagaada, avadhattam etaa. m kathaa. m kopi manujo ma jaaniiyaat|
28091f0053	kintu tau prasthaaya tasmin k. rtsne de"se tasya kiirtti. m prakaa"sayaamaasatu. h|
280920006a	apara. m tau bahiryaata etasminnantare manujaa eka. m bhuutagrastamuuka. m tasya samiipam aaniitavanta. h|
28092100a5	tena bhuute tyaajite sa muuka. h kathaa. m kathayitu. m praarabhata, tena janaa vismaya. m vij naaya kathayaamaasu. h, israayelo va. m"se kadaapi ned. rgad. r"syata;
2809220051	kintu phiruu"sina. h kathayaa ncakru. h bhuutaadhipatinaa sa bhuutaan tyaajayati|
28092300e0	tata. h para. m yii"suste. saa. m bhajanabhavana upadi"san raajyasya susa. mvaada. m pracaarayan lokaanaa. m yasya ya aamayo yaa ca pii. daasiit, taan "samayan "samaya. m"sca sarvvaa. ni nagaraa. ni graamaa. m"sca babhraama|
2809240077	anya nca manujaan vyaakulaan arak. sakame. saaniva ca tyaktaan niriik. sya te. su kaaru. nika. h san "si. syaan avadat,
280925003b	"sasyaani pracuraa. ni santi, kintu chettaara. h stokaa. h|
2809260050	k. setra. m pratyaparaan chedakaan prahetu. m "sasyasvaamina. m praarthayadhvam|
280a010097	anantara. m yii"su rdvaada"sa"si. syaan aahuuyaamedhyabhuutaan tyaajayitu. m sarvvaprakaararogaan pii. daa"sca "samayitu. m tebhya. h saamarthyamadaat|
280a0200a5	te. saa. m dvaada"sapre. syaa. naa. m naamaanyetaani| prathama. m "simon ya. m pitara. m vadanti, tata. h para. m tasya sahaja aandriya. h, sivadiyasya putro yaakuub
280a030062	tasya sahajo yohan; philip barthalamay thomaa. h karasa. mgraahii mathi. h, aalpheyaputro yaakuub,
280a040056	kinaaniiya. h "simon, ya ii. skariyotiiyayihuudaa. h khrii. s.ta. m parakare. arpayat|
280a05009a	etaan dvaada"sa"si. syaan yii"su. h pre. sayan ityaaj naapayat, yuuyam anyade"siiyaanaa. m padavii. m "semiro. niiyaanaa. m kimapi nagara nca na pravi"sye
280a060045	israayelgotrasya haaritaa ye ye me. saaste. saameva samiipa. m yaata|
280a070054	gatvaa gatvaa svargasya raajatva. m savidhamabhavat, etaa. m kathaa. m pracaarayata|
280a0800b3	aamayagrastaan svasthaan kuruta, ku. s.thina. h pari. skuruta, m. rtalokaan jiivayata, bhuutaan tyaajayata, vinaa muulya. m yuuyam alabhadhva. m vinaiva muulya. m vi"sraa. nayata|
280a090056	kintu sve. saa. m ka. tibandhe. su svar. naruupyataamraa. naa. m kimapi na g. rhliita|
280a0a009b	anyacca yaatraayai celasampu. ta. m vaa dvitiiyavasana. m vaa paaduke vaa ya. s.ti. h, etaan maa g. rhliita, yata. h kaaryyak. rt bharttu. m yogyo bhavati|
280a0b008c	apara. m yuuya. m yat pura. m ya nca graama. m pravi"satha, tatra yo jano yogyapaatra. m tamavagatya yaanakaala. m yaavat tatra ti. s.thata|
280a0c0044	yadaa yuuya. m tadgeha. m pravi"satha, tadaa tamaa"si. sa. m vadata|
280a0d0077	yadi sa yogyapaatra. m bhavati, tarhi tatkalyaa. na. m tasmai bhavi. syati, nocet saa"siiryu. smabhyameva bhavi. syati|
280a0e00a1	kintu ye janaa yu. smaakamaatithya. m na vidadhati yu. smaaka. m kathaa nca na "s. r.nvanti te. saa. m gehaat puraadvaa prasthaanakaale svapaduulii. h paatayata|
280a0f0074	yu. smaanaha. m tathya. m vacmi vicaaradine tatpurasya da"saata. h sidomamoraapurayorda"saa sahyataraa bhavi. syati|
280a100090	pa"syata, v. rkayuuthamadhye me. sa. h yathaavistathaa yu. smaana prahi. nomi, tasmaad yuuyam ahiriva satarkaa. h kapotaaivaahi. msakaa bhavata|
280a11007e	n. rbhya. h saavadhaanaa bhavata; yatastai ryuuya. m raajasa. msadi samarpi. syadhve te. saa. m bhajanagehe prahaari. syadhve|
280a12007b	yuuya. m mannaamaheto. h "saast. r.naa. m raaj naa nca samak. sa. m taananyade"sina"scaadhi saak. sitvaarthamaane. syadhve|
