0100000016	ሜꬌቴꬃ ማጻፋ
0105050041	ኣዳሜይ ሙሌራ 930 ላይꬅ ዴኢዲ ሃይቂዴስ።
010506003b	ሴቴይ 105 ላይꬅ ዴኢዲ ሄኖሴ ዬሊዴስ፤
0105070084	ሴቴይ ሄኖሴ ዬሊዳፔ ጉዬ 807 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
010508003e	ሴቴይ ሙሌራ 912 ላይꬅ ዴኢዲ ሃይቂዴስ።
0105090040	ሄኖሴይ 90 ላይꬅ ዴኢዲ ቃይናኔ ዬሊዴስ፤
01050a008a	ሄኖሴይ ቃይናኔ ዬሊዳፔ ጉዬ 815 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
01050b0041	ሄኖሴይ ሙሌራ 905 ላይꬅ ዴኢዲ ሃይቂዴስ።
01050c0046	ቃይናኔይ 70 ላይꬅ ዴኢዲ ማላልኤሌ ዬሊዴስ፤
01050d0090	ቃይናኔይ ማላልኤሌ ዬሊዳፔ ጉዬ 840 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
01050e0044	ቃይናኔይ ሙሌራ 910 ላይꬅ ዴኢዲ ሃይቂዴስ።
01050f0043	ማላልኤሌይ 65 ላይꬅ ዴኢዲ ያሬዴ ዬሊዴስ፤
010510008d	ማላልኤሌይ ያሬዴ ዬሊዳፔ ጉዬ 830 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
0105110047	ማላልኤሌይ ሙሌራ 895 ላይꬅ ዴኢዲ ሃይቂዴስ።
010512003e	ያሬዴይ 162 ላይꬅ ዴኢዲ ሄኖኬ ዬሊዴስ፤
0105130087	ያሬዴይ ሄኖኬ ዬሊዳፔ ጉዬ 800 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
0105140041	ያሬዴይ ሙሌራ 962 ላይꬅ ዴኢዲ ሃይቂዴስ።
0105150040	ሄኖኬይ 65 ላይꬅ ዴኢዲ ማቱሳላ ዬሊዴስ፤
01051600a1	ማቱሳላ ዬሊዳፔ ጉዬ ሄኖኬይ 300 ላይꬅ ጾሳ ኡፋይሲሼ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
0105170034	ሄኖኬይ ሙሌራ 365 ላይꬅ ዴኢዴስ፤
0105180063	ኢዚ ጾሳ ኡፋይሲሼ ዲን ጾሲ ኢዛ ኤኪዳ ጊሻስ ቤቶንታ ꬋይዴስ።
0105190041	ማቱሳላይ 187 ላይꬅ ዴኢዲ ላሜኬ ዬሊዴስ፤
01051a008d	ማቱሳላይ ላሜኬ ዬሊዳፔ ጉዬ፥ 782 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
01051b0044	ማቱሳላይ ሙሌራ 969 ላይꬅ ዴኢዲ ሃይቂዴስ።
01051c003f	ላሜኬይ 182 ላይꬅ ዴኢዲ ኣቱማ ና ዬሊዲ፥
01051d0083	«ሃ ናዚ ጎዳይ ቃንጊዳ ቢታ ቦላን ኑና ኑ ዳቡራፔ ሼምፒሳና» ጊዲ ኖሄ ጊ ሱንꬂዴስ።
01051e0084	ላሜኬይ ኖሄ ዬሊዳፔ ጉዬ 595 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
01051f0041	ላሜኬይ ሙሌራ 777 ላይꬅ ዴኢዲ ሃይቂዴስ።
010520004f	ኖሄይ 500 ላይꬅ ዴኢዲ ሴሜ፥ ካሜኔ ያፌቴ ዬሊዴስ።
0106010050	ኣሲ ቢታ ቦላ ዳሪዳ ዎዴ ኣሳስ ማጫ ናይቲ ዬሌቲዳ፤
01060200a6	«ጾሳ ናይታ» ጌቴቲዛ ሜꬌቴꬃቲ ኣሳ ማጫ ናይቲ ሜꬎ ሎኦ ጊዲዳይሳ ቤኢዲ ኢስታፌ ባ ዶሪዳይታ ማቾ ኤኪዳ።
01060300b4	ጎዳይ፥ «ኣሲ ሃይቂዛዛ፤ ኢዛ ላይꬃይካ 120 ላይꬃፌ ዳሬና፤ ሄሳ ጊሻስ ታ ኣያናይ ኣሳ ና ቦላ ሜርናስ ዴና» ጊዴስ።
01060400f8	ሄ ዎዴኔ ሄሳፌ ጉዬ ጾሳ ናይቲ ኣሳ ማጫ ናይታ ማቾ ኤኪን ናይቲ ዬሌቲዳ ዎዴ ዎጋ ዎልቃማ ኣሳቲ ቢታ ቦላን ዴቴስ። ኢስቲካ ቤኒ ዎዴ ኦላስ ሚኖኔ ኤሬቲዳ ኣሳ።
01060500c7	ጎዳይ ሄ ዎዴ ቢታ ቦላን ዲዛ ኣሳ ኢታቴꬂ ዳሪዳይሳኔ ኢስቲ ባ ዎዚናን ቆፒዛይሲ ዉሪ ኡባ ዎዴካ ኢታ ጻላላ ጊዲዳይሳ ቤኢዴስ፤
0106060077	ጎዳይ ኣስ ሃ ቢታ ቦላን ሜꬊዳ ጊሻስ ሞꬌቲዴስ፤ ባ ዎዚናን ኬሂ ሴሌቲዴስ።
010607011a	ሄሳ ጊሻስ ጎዳይ፥ «ታኒ ሜꬊዳ ኣሳ ሃ ቢታ ቦላፌ ኡባ ꬋይሳና፤ ኣሳ፥ ሜሄ፥ ዶኣ፥ ቢታራ ጎሼቲዛ ሜꬌቴꬃታኔ ካፎታ ꬋይሳና፤ ኣይስ ጊኮ ታኒ ኢስታ ሜꬊዳ ጊሻስ ሚሼታዲስ» ጊዴስ።
0106080041	ጊዶ ኣቲን ኖሄይ ጎዳ ሲንꬃን ሳቤቲዴስ።
01060900ce	ኖሄይ ሃኒዳይሲ ሃይሳፌ ካሊዲ ጻፌቲዴስ። ኖሄይ ጺሎ ኣሳ፤ ኢዚ ባ ዎዴን ዲዛ ኣሳ ጊዶን ሱሬ ኣሳ፤ ኖሄይ ጾሳራ ጊጋ ዱስ ዴኢዴስ።
01060a005f	ኖሄይ ሴሜ፥ ካሜኔ ያፌቴ ጌቴቲዛ ሄꬑ ኣቱማ ናይታ ዬሊዴስ።
01060b007f	ሄ ዎዴ ቢታ ቦላ ዲዛ ኣሲ ዉሪ ጾሳ ሲንꬃን ቱኒዴስ፤ ቢታይ ዉሪ ማካላን ኩሚዴስ።
01060c0067	ጾሲ ዱጌ ቢታ ጼሊሺን ቢታ ቦላ ዲዛ ኣሳይ ዉሪ ቱኒዳይሳ ቤኢዴስ።
01060d00d8	ሄሳ ጊሻስ ጾሲ ኖሄ፥ «ታኒ ኣሳ ኡባ ꬋይሳና ጋይስ፤ ኣሳ ጋሶን ቢታይ ማካላን ኩሚዳ ጊሻስ ታኒ ቱማፔ ኣሳኔ ቢታ ቦላ ዲዛዝ ኡባ ꬋይሳና።
01060e00b4	ሄሳ ጊሻስ ሚኖ ሚꬃፌ ኔስ ማርካቤ ኬጻ፤ ሄ ማርካቤዛ ጊዶን ኪፊሌ ኦꬃ፤ ሂስታዳ ሶ ባጋራኔ ካሬ ባጋራ ሺዳን ሜሻ።
01060f008b	ማርካቤዛ ኬጻሼ ኢዛ ኣዱሳቴꬂ 300 ዋꬋ፥ ጎምፓይ 50 ዋꬋ፥ ፑዴ ꬎቃቴꬂ 133 ዋꬋ ሂስታ ኦꬃ።
01061000d3	ማርካቤዛስ ካራ ሜꬋ፤ ካራፔኔ ጎዳፔ ጊዶን ኢሲ ዋꬋ ጊዲዛሶ ዶያ ኣጋ፤ ፔንጌዛ ማርካቤዛስ ሚሌራ ኬሳ፤ ማርካቤዛ ሄꬑ ፖቄ ኬሳ ኬጻ።
01061100b2	«ታኒ ሳሎፔ ጋርሳን ሼምፖራ ዲዛ ሜꬌቴꬃ ኡባ ꬋይሳናስ ሃ ቢታ ቦላን ꬋይሳ ሃꬅ ዬዲኮ ቢታን ዲዛይሲ ዉሪ ꬋያና።
01061200a5	ጊዶ ኣቲን ታኒ ኔናራ ጫቄታና። ኔኒ፥ ኔ ማቺያ፥ ኔ ናይቲኔ ኔ ናይታ ማቼቲ ኔናራ ማርካቤዛን ጌላንዴታ።
01061300bd	ኢስቲ ኔናራ ፓጻ ዳና ማላ ሼምፖራ ዲዛ ሜꬌቴꬃ ኡባፌ ቆሞን ቆሞን ኣዴኔ ማጫ ናምኡ ናምኡ ሂስታዳ ማርካቤዛ ጊዶ ጌልꬃ።
01061400e6	ዱማ ዱማ ቆሞ ካፎታፔ፥ ዱማ ዱማ ቆሞ ሜሄታፔኔ ቢታራ ጎሼቲዛ ዱማ ዱማ ቆሞ ሜꬌቴꬃታፔ ኡባፌ ናምኡ ናምኡ ጊዲዲ ሼምፖራ ፓጻ ኣታና ማላ ኔኮ ያና።
0106150095	ቃሴ ኔኒኔ ኔናራ ዲዛይቲ ማና ማላ ዱማ ዱማ ቆሞ ካꬅ ኤፋዳ ማርካቤዛ ጊዶ ጌልꬃ» ጊ ኣዛዚዴስ።
010616003e	ኖሄይ ኡባካ ጾሲ ኣዛዚዳ ማላ ኦꬂዴስ።
01070100c5	ሄሳፌ ጉዬ ጎዳይ ኖሄ፥ «ኔኒ ሃይሳ ሃ ዎዴ ዬሌታ ጊዶን ጺሎ ጊዲዳይሳ ታ ቤኢዳ ጊሻስ ኔኒ ኔሶ ኣሳ ኡባራ ማርካቤዛ ጊዶ ጌላ።
0107020198	ኔኒ ጌሽ ጊዲዳ ሜሄኔ ዶኣ ኡባፌ ኢዛ ቆሞፌ ቆሞፌ ኣዴኔ ማጫ ላፑን ላፑን፥ ጌሽ ጊዶንታ ሜሄኔ ዶኣ ኡባፌ ኢዛ ቆሞፌ ቆሞፌ ኢሲ ኣዴኔ ኢሲ ማጫ ቃሴ ካፎታፔ ኢዛ ቆሞፌ ቆሞፌ ኣዴኔ ማጫ ላፑን ላፑን፥ ቢታ ኡባ ቦላን ዱማ ዱማ ዜሬꬃይ ፓጻ ዳና ማላ ኔናራ ኤካ ጌላ።
01070400ef	ኣይስ ጊኮ ላፑን ጋላሳፌ ጉዬ ታኒ ኦይዱ ታሙ ጋላሲኔ ኦይዱ ታሙ ቃማ ቢታ ቦላን ኢራ ቡኪሳና፤ ሂስታዳ ታኒ ሜꬊዳ ሜꬌታ ኡባ ቢታ ቦላፌ ꬋይሳና» ጊዴስ።
0107050044	ኖሄይ ጎዳይ ኢዛ ኣዛዚዳይሳ ኡባ ኦꬂዴስ።
010706005a	ꬋይሳ ሃꬂ ቢታ ቦላ ዪዛ ዎዴ ኖሄስ ላይꬃይ ኡሱፑን ጼታ።
010707009b	ኖሄ፥ ኢዛ ኣቱማ ናይቲ፥ ኢዛ ማቼያኔ ኢዛ ናይታ ማቼቲ ꬋይሳ ሃꬃፌ ኣታናስ ማርካቤዛ ጊዶ ጌሊዳ።
010708007f	ጌሻ ሜሄፔኔ ዶኣፔ፥ ጌሽ ጊዶንታ ሜሄፔኔ ዶኣፔ፥ ካፎፔኔ ቢታራ ጎሼቲዛ ኡባፌ፥
0107090081	ጾሲ ኖሄ ኣዛዚዳ ማላካ ኣዴኔ ማጫ ናምኡ ናምኡ ጊዲዲ ኖሄኮ ማርካቤዛ ጊዶ ጌሊን፥
01070a0049	ላፑን ጋላሳፌ ጉዬ ꬋይሳ ሃꬂ ቢታ ቦላ ዪዴስ።
01070b0115	ኖሄስ ኡሱፑን ጼቱ ላይꬅ ጊዲሺን ናምኣንꬆ ኣጊናን ታማኔ ላፑንꬃ ጋላሳን ሄ ጋላሳንካ ቢታ ጊዶን ዲዛ ጊታ ጪማ ፑልቶይ ዉሪ ꬉቂዴስ፤ ሳሎን ዲዛ ሃꬃ ማስኮቴቲካ ዶዬቲ ዎꬊዳ።
01070c0066	ኢራይ ቢታ ቦላን ኦይዱ ታሙ ጋላሲኔ ኦይዱ ታሙ ኦማርስ ቡኪዴስ።
01070d00cc	ሄ ጋላሳን ኖሄይኔ ኢዛ ኣቱማ ናይቲ፥ ሴሜይ፥ ካሜይኔ ያፌቴይ፥ ኖሄ ማቼያኔ ኢዛ ናይታ ሄꬓታ ማቼቲ ኢሲፌ ማርካቤዛ ጊዶ ጌሊዳ።
01070e00f6	ኢስታኔ ዶኣ ኡባፌ ባ ቆሞን ቆሞን፥ ሜሄ ኡባፌካ ባ ቆሞን ቆሞን፥ ቢታራ ጎሼቲዛያታ ኡባፌ ባ ቆሞን ቆሞን፥ ካፎ ኡባፌ ባ ቆሞን ቆሞን ኢስታራ ኢሲፌ ጌሊዳ።
01070f006f	ሼምፖራ ፓጻ ዲዛይቲ ዉሪ ናምኡ ናምኡ ጊዲዲ ኖሄኮ ማርካቤዛን ጌሊዳ፤
01071000c9	ጾሳይ ኖሄ ኣዛዚዳ ማላ ሜꬌታ ኡባፌ ኣዴኔ ማጫ ጊዲዲ ማርካቤዛ ጊዶ ጌሊን ኖሄይ ጊዶን ዲሺን ጎዳይ ማርካቤዛ ፔንጌ ጎርዲዴስ።
010711009e	ꬋይሳ ሃꬂ ኦይዱ ታሙ ጋላስ ቢታ ቦላ ቡኪሼ ጋምኢዴስ፤ ሃꬂ ዳሪዲ፥ ማርካቤዛ ቢታፌ ፑዴ ዴንꬂዴስ።
010712005f	ሃꬃይ ቢታ ቦላን ኬሂ ዳሪን ማርካቤዚ ሃꬃ ቦላን ቶኬቲዴስ።
010713008e	ሳሎፔ ጋርሳራ ዲዛ ꬎቃ ዙማቲ ዉሪ ሚቴታና ጋካናስ ሃꬃይ ቢታ ቦላን ኬሂ ዎልቃፌ ዳሪዴስ።
0107140052	ሃꬃይ ዙማታ ጼራፔ ኣꬊዲ 15 ዋꬋ ጋካናስ ꬎቁ ጊዴስ።
01071500c5	ሂስቲን ቢታ ቦላን ሼምፖራ ፓጻ ቃጺዛ ሜꬌቴꬃቲ ዉሪ፥ ካፎይ፥ ሜሄይ፥ ዶኣይ፥ ቢታ ቦላን ዎጺ ቃጺዛይኔ ኣሲ ዉሪ ሃይቂዴስ።
010716004e	ቢታ ቦላን ዲዛ ሲꬌራ ሼምፒዛይ ዉሪካ ሃይቂዴስ።
01071700f8	ሃ ቢታን ፓጻ ዲዛይ ዉሪ ኣሲ፥ ሜሄይኔ ዶኣይ፥ ቢታራ ጎሼቲዛ ሜꬌቴꬂኔ ሳሎ ካፎቲ ዉሪካ ቢታፌ ፒቴቲ ꬋዪን ኖሄይኔ ኢዛራ ማርካቤ ጊዶን ዲዛይቲ ጻላ ኣቲዳ።
010718004b	ሃꬃይካ 150 ጋላስ ጋካናስ ቢታ ቦላን ጋምኢዴስ።
01080100be	ጊዶ ኣቲን ጾሲ ኖሄ፥ ኢዛራ ማርካቤዛ ጊዶን ዲዛ ዶኣኔ ሜሄ ኡባ ቆፒዲ ቢታ ቦላን ጫርኮ ጫርኪሲን ሃꬃይ ዎꬊ ዎꬊ ቢዴስ።
010802009a	ቃሴ ቢታ ጊዶን ዲዛ ጪማ ፑልቶይኔ ሳሎን ዲዛ ሃꬃ ማስኮቴቲ ጎርዴቲዳ፤ ኢራይካ ሳሎን ቴቄቲዴስ።
0108030067	ሂስቲን ሃꬃይ ዎꬊ ዎꬊ ቢዴስ፤ ሄ 150 ጋላሳፌ ጉዬ ሃꬃይ ዎꬊዴስ።
010804009c	ሃꬃይ ዎꬊን ማርካቤዚ ላፑንꬃ ኣጊናን ታማኔ ላፑንꬃ ጋላሳን ኣራራቴ ጌቴቲዛ ዙማ ቦላ ሼምፒዴስ።
01080500a0	ሃꬃይ ታማንꬆ ኣጊና ጋካናስካ ዎꬊ ዎꬊ ቢዴስ፤ ታማንꬆ ኣጊናን ኮይሮ ጋላስ ዙማታስ ሁኤይ ቤቲዴስ።
0108060069	ኦይዱ ታሙ ጋላሳፌ ጉዬ ኖሄይ ባ ኬጺዳ ማርካቤዛ ማስኮቴዛ ዶይዲ፥
0108070089	ኢሲ ቁሮ ካሬ ኬሲ ዬዲን ቁሮዚ ሃꬂ ቢታ ቦላፌ ሜላና ጋካናስ ያኔ ሃ ፒራꬊሼ ጋምኢዴስ።
0108080071	ቃሴ ኖሄይ ሃꬂ ቢታ ቦላፌ ዎꬊ ዉሪዳኮ ቤያናስ ኢሲ ሃራጴ ካሬ ዬዲዴስ።
0108090112	ጊዶ ኣቲን ሄ ሃራጴያ ሃꬂ ቢታ ኡባ ቦላን ሃኢካ ዲዛ ጊሻስ ሼምፒዛሶ ዴማቤኩ፤ ሄሳ ጊሻስ ሲማዳ ማርካቤዛ ጊዶን ዲዛ ኖሄኮ ዪን ኢዚ ባ ኩሼ ዬዲዲ ባኮ ማርካቤዛ ጊዶ ኤኪዴስ።
01080a0079	ቃሴካ ሃራ ላፑን ጋላስ ጋምኢዲ ሃኢካ ሃራጴዮ ማርካቤዛ ጊዶፌ ኬሲ ዬዲዴስ።
01080b00dc	ሄ ሃራጴያ ጋዴይ ቃሚሺን ኢዛኮ ሲማ ያሼ ዎጋራ ጼራፔ ጪሊላ ሃይꬅ ዱꬃዳ ዶናን ሳጻ ኤካ ዪዳ ጊሻስ ሃꬂ ቢታ ቦላፌ ዎꬊዳይሳ ኖሄይ ኤሪዴስ።
01080c00a0	ቃሴ ኖሄይ ሃራ ላፑን ጋላስ ጋምኢዲ ሄ ሃራጴዮ ዛሪ ዬዲዴስ፤ ጊዶ ኣቲን ሄ ሃራጴያ ኢዛኮ ሲማ ያቤኩ።
01080d00d6	ኖሄይ 601 ላይꬅ ዴኢን ኮይሮ ኣጊናን ኮይሮ ጋላስ ሃꬂ ቢታ ቦላፌ ጾስኪዴስ፤ ኖሄይ ማርካቤዛ ካራ ቃሪ ጼሊዲ ጋዴይ ጾስኪዳይሳ ቤኢዴስ።
01080e006e	ናምኣንꬆ ኣጊናን ናምኡ ታማኔ ላፑንꬃ ጋላሳን ቢታይ ሙሌራ ሜሊዴስ።
01080f0035	ሄ ዎዴ ጾሲ ኖሄ ሂዝጊ ኣዛዚዴስ፥
0108100066	«ኔኒ ኔ ማቾ፥ ኔ ናይታኔ ኔ ናይታ ማቼታ ኤካዳ ማርካቤዛፔ ኬዛ።
01081100e1	ኢስቲ ዬሌቲ ዳሪዲ ጮራታና ማላ ሼምፖራ ዲዛ ሜꬌቴꬃ ኡባፌ ኔናራ ዲዛይታ፥ ካፎታ፥ ሜሄታ፥ ዶኣታኔ ቢታራ ጎሼቲዛይታ ኡባ ኔናራ ኬሳ» ጊዴስ።
0108120076	ኖሄይ ባ ናይታራ፥ ባ ማቼይራኔ ባ ናይታ ማቼታራ ማርካቤዛ ጊዶፌ ኬዚዴስ።
01081300bf	ሜሄይ፥ ዶኣይ፥ ቢታራ ጎሼቲዛ ሜꬌቴꬂ፥ ካፎይኔ ቢታ ቦላን ዎጺ ቃጺዛ ሚሺ ዉሪ ባ ቆሞን ቆሞን ማርካቤዛ ጊዶፌ ኬዚዴስ።
01081400ab	ሄሳፌ ጉዬ ኖሄይ ጎዳስ ያርሺዛሶ ኬሊዲ ጌሻ ሜሄ ኡባፌኔ ጌሻ ካፎ ኡባፌ ኤኪዲ ያርሺዛሶን ጹጊዲ ያርሺዴስ።
010815017f	ሂስቲን ጎዳይ ያርሾዛ ፔኖ ሳዊዛይሳ ሲንጊዲ ባ ዎዚናን፥ «ዬላጋቴꬃፌ ዶሚን ኣሲ ዎዚናን ቆፒዛይሲ ዉሪ ኢታ ጊዲኮካ ታኒ ኣሳ ጊሻስ ጋዳ ናምኣንꬆ ሙሌካ ሃ ቢታ ቃንጊኬ። ቃሴ ታኒ ሃኢ ኦꬂዳ ማላ ፓጻ ዲዛ ሜꬌቴꬅ ኡባ ናምኣንꬆ ሙሌካ ꬋይሲኬ።
01081600c8	ሃ ቢታይ ዲዛ ዎዴ ኡባን ዜሬꬃ ዎዴይኔ ማጻ ዎዴይ ሞጬይኔ ሆምቤይ፥ ቦኔይኔ ባልጎይ፥ ጋላሲኔ ቃማይ ኡባ ዎዴካ ፓጬና» ጊዴስ።
0109010061	ጾሲ ኖሄኔ ኢዛ ናይታ፥ «ዬሌቲቴ፤ ጮራቲቴ፤ ቢታ ኡባ ኩሚቴ።
01090200c3	ቢታ ዶኣቲ፥ ካፎቲ፥ ቢታን ዎጺ ቃጺዛ ሚሻቲኔ ኣባ ጊዶን ዲዛ ሞሌቲ ዉሪ ኢንቴስ ያዬቶኔ ዳጋሜቶ፤ ኢስቲ ኢንቴ ሼኔን ዴቶ።
01090300a3	ታ ኢንቴስ ቢታፌ ሞኪዛ ዱማ ዱማ ካꬃታ ኢሚዳ ማላካ ሼምፖራ ፓጻ ዲዛ ሜꬌቴꬃቲ ዉሪ ኢንቴስ ቁማ ጊዳና።
0109040060	ሼምፖይ ሱꬃ ጊዶን ዲዛ ጊሻስ ሱꬂ ኢዛፔ ጉኮንታ ኣሾ ሞፒቴ።
01090500bf	ታኒ ኢንቴ ሼምፖይ ኢዛን ዲዛ ኢንቴ ሱꬅ ሜሄፔኔ ዶኣ ኡባፌ ቱሙ ታ ኦይቻና፤ ቃሴ ኣሳ ኡባፌካ ኢዛ ማላ ኣሳ ሱꬅ ኦይቻና።
0109060093	ጾሲ ኣስ ባና ሚሳቲሲዲ ሜꬊዳ ጊሻስ ኣሳ ሱꬅ ጉሲዛ ኦናካ ጊዲኮ ኢዛ ሱꬂካ ኣሳ ኩሼን ጉካና።
0109070061	ኢንቴ ዬሌቲቴ፤ ጮራቲቴኔ ቢታ ቦላ ኬሂ ዳሪቴ» ጊ ኣንጂዴስ።
0109080056	ሄሳፌ ጉዬ ጾሲ ኖሄኔ ኢዛራ ዲዛ ኢዛ ናይታ ሂዝጊዴስ፤
010909015a	«ሂስቲን ሃኢ ታኒ ታ ጫቆ ኢንቴናራ፥ ኢንቴፌ ጉዬ ኢንቴ ዜሬꬃራኔ ኔናራ ሼምፖራ ዲዛ ሜꬌቴꬃታራ ጫቄታዲስ፤ ኤ! ታኒ ታ ጫቆ ካፎራ፥ ሜሄራ፥ ቢታ ዶኣ ኡባራኔ ማርካቤፔ ኢንቴናራ ኬዚዳ ፓጻ ዲዛ ሜꬌቴꬅ ኡባራ ጫቄታዲስ።
01090b00dc	ታኒ ኢንቴናራ ጫቄታዲስ፤ ሃይሳፌ ሲንꬃን ፓጻ ዲዛይ ዉሪ ꬋይሲዛ ሃꬃን ሙሌካ ꬋዬና፤ ሃ ቢታ ꬋይሲዛ ሃꬂ ሃይሳፌ ጉዬ ሙሌካ ዴና» ጊዴስ።
01090c00ca	ቃሴካ ጾሲ፥ «ታኒ ታፔኔ ኢንቴፌ፥ ኢንቴናራ ዲዛ ፓጻ ሜꬌቴꬃታስ ኡባፌ ጊዶን ያና ዬሌታ ኡባራ ጫቄቲዛ ጫቆዛስ ማላታይ ሃይሳ፤
01090d009b	ታኒ ታ ዙላ ሳሎ ቦላ ኤሳና፤ ኢዚ ታፔኔ ሃ ቢታ ቦላ ዲዛ ሜꬌቴꬃፌ ጊዶን ዲዛ ጫቆዛስ ማላታ ጊዳና።
01090e0064	ታኒ ቢታፌ ቦላን ሻራ ኤሂዳ ዎዴኔ ሻራ ቦላን ዙላይ ቤቲዳ ዎዴ፥
01090f00fe	‹ፓጻ ዲዛ ሜꬌቴꬅ ኡባ ꬋይሳናስ ሃይሳፌ ሲንꬃን ሙሌካ ꬋይሳ ሃꬂ ዬና› ጋዳ ታፔኔ ኢንቴፌ ፓጻ ዲዛ ዱማ ዱማ ቆሞ ሜꬌቴꬃታ ኡባፌ ጊዶን ጫቂዳ ታ ቃላ ታ ቆፓና።
0109100103	ዙላይ ሻራ ቦላ ቤቲዳ ዎዴ ኣይዴካ ታኒ ኢዛ ቤያዳ ታፔ ጾሳፌኔ ሃ ቢታ ቦላን ፓጻ ዲዛ ዱማ ዱማ ቆሞ ሜꬌቴꬃ ኡባፌ ጊዶን ጫቆ ጌሊዳ ሜርና ጫቆ ቃላ ታ ሃሳኣና» ጊዴስ።
0109110097	ጾሲ ኖሄ፥ «ታኒ ታፔኔ ሃ ቢታ ቦላን ፓጻ ዲዛ ኡባፌ ጊዶን ጫቂዳ ጫቆዛስ ማላታይ ሃይሳ» ጊዴስ።
010912006c	ማርካቤዛፔ ኬዚዳ ኖሄ ናይቲ ሴሜ፥ ካሜኔ ያፌቴ፤ ካሜይ ካናኔ ኣዋ።
010913006c	ሃይቲ ሄꬓይካ ኖሄ ናይታ፤ ቢታ ኡባን ዲዛ ኣሳይ ኢስታፌ ዬሌቲዴስ።
010914004e	ኖሄይ ጎሻንቻ፤ ኢዚ ዎይኔ ሚꬅ ቶኬꬅ ኦይኪዴስ።
0109150088	ኢሲ ጋላስ ኢዚ ዎይኔፔ ኦሴቲዳ ጫጄ ኡዪ ማꬆቲዲ ባ ዱንካኔዛ ጊዶን ፓጻ ካሎ ኢቺዴስ።
010916007b	ካናኔ ኣዋ ካሜይ ባ ኣዋ ካሎቴꬅ ቤኢዲ ካሬ ኬዚዲ ባ ኢሻታ ናምኣታስ ዮቲዴስ።
010917011f	ጊዶ ኣቲን ሴሜይኔ ያፌቴይ ማይኦ ኤኪዲ ናምኣይካ ባ ሃሼ ሃሼ ቦላ ጋꬂ ኦይኪዲ ጉንዲጉꬅ ሄሜቲ ጌሊዲ ባ ኣዋ ካሎቴꬅ ካሚዳ፤ ኢስቲ ባ ኣዋ ካሎቴꬅ ቤኦንታ ማላ ባ ኣይፌሶ ጉዬ ዛሪዳ።
0109180067	ኖሄይ ማꬆይ ኣꬊን ቤጊዲ ኡባፌ ካሎ ናዚ ባ ቦላ ኦꬂዳይሳ ኤሪዲ፥
010919006f	«ካናኔይ ቃንጌቲዳዝ ጊዶ! ኢዚ ባ ኢሻታ ኣይሌታስ ኣይሌ ጊዶ!» ጊዴስ።
01091a0067	ቃሴካ ኖሄይ፥ «ጎዳይ፥ ሴሜ ጾሲ ጋላቴቶ! ካናኔይ ሴሜ ኣይሌ ጊዶ!
01091b008d	ጾሲ ያፌቴ ቢታ ኣሶ! ያፌቴ ዜሬꬃቲ ሴሜ ዜሬꬃታራ ዴቶ! ካናኔይ ያፌቴ ኣይሌ ጊዶ!» ጊዴስ።
01091c0042	ꬋይሳ ሃꬃፌ ጉዬ ኖሄይ 350 ላይꬅ ዴኢዴስ።
01091d003e	ኖሄይ ሙሌራ 950 ላይꬅ ዴዪዲ ሃይቂዴስ።
010a0100b4	ኖሄ ናይታ፥ ሴሜ፥ ካሜኔ ያፌቴ ዬሌታይ ሃይሳፌ ካሊ ጻፌቲዳይሳ፤ ꬋይሳ ሃꬃፌ ጉዬ ኢስታስ ኣቱማ ናይቲ ዬሌቲዳ።
010a020075	ያፌቴ ኣቱማ ናይቲ ጎሜሬ፥ ማጎጌ፥ ማዳዬ፥ ያዋኔ፥ ቱባሌ፥ ሜሼኬኔ ቲራሴ
010a030050	ጎሜሬ ኣቱማ ናይቲ ኣሽኬናዜ፥ ኢራፋቴኔ ቶጋርማ።
010a040054	ያዋኔ ኣቱማ ናይቲ ኤሊሼ፥ ታርሴሴ፥ ኪቲሜኔ ኤሮዴ።
010a0500c3	ሃይታንታፌ ኣባ ዶናን ዲዛ ኣሳይ ዉሪ ባ ቢታን ቢታን፥ ባ ቃላን ቃላን፥ ባ ቆሞን ቆሞኒኔ ባ ካዎቴꬃን ካዎቴꬃን ሻኬቲዴስ።
010a060048	ካሜ ኣቱማ ናይቲ ኩሼ፥ ጊብጼ፥ ፑጼኔ ካናኔ።
