0100000009	መተꬅ
010609009b	ኖሄ ታርከይ ሀይሳፈ ካልድ ፃፈትዳይሳ። ኖሄይ ባ ዎደ ደእያ አሳ ግዶፈ ፆሳ ኡፋይስያነ ሱረ አስ።
01060a0059	ኖሄይ ሴማ፥ ካማነ ያፈታ ጌተትያ ሄꬑ አደ ናይታ የልስ።
01060b006d	ሄ ዎደ ቢታይ ኩመꬅ ፆሳ ስንꬃን ቱንስ፤ ቢታ ኡባይ ጌላተꬃን ኩምስ።
01060c0085	ፆሳይ ሀ ቢታ ፄልያ ዎደ ሳአን ደእያ አሳ ኡባይ ባንታ ኦግያ ቱንስድ ደኤይሳ በእስ።
01060d00dd	ሄሳ ግሾ፥ ፆሳይ ኖሄ ሀይሳዳ ያግድ ኪትስ፤ “ታኒ አሳ ኡባ ꬋይሳና ሀናይስ። ኤንታ ጋሶን ቢታይ ጌላተꬃን ኩምዳ ግሾ፥ አሰ ቢታፈ ꬋይሳና።
01060e00b7	ሄሳ ግሾ፥ ምኖ ምꬃፈ ነዉ ማርካበ ኬፃ። ሄ ማርካብያ ግዶን ዳሮ ቆልአታ ከሳ። ያታዳ ሶራነ ካረራ ማደ መላባን ሜሻ።
01060f0080	ማርካብያ ሀይሳዳ ያታዳ ኬፃ፤ አዱሳተꬃ 300 ዋꬋ፥ ጎምፓ 50 ዋꬋ፥ ጌሳ 30 ዋꬋ ኦꬃ።
01061000e1	ማርካብያስ ካራ መꬋ፤ ካራፐነ ጎዳፐ ግዶን እስ ዋꬋ ግድያ በሲ ዶያ አጋ። ፐንግያ ማርካብያስ ምየ ባጋራ ከሳ፤ ማርካብያ ሄꬑ ፖቀ ከሳዳ ኬፃ።
01061100a7	“ታኒ ሳሎፐ ጋርሳን ሸምፖራ ደእያ መ ተꬃ ኡባ ꬋይሳናዉ ꬋዮ ሃꬃ የዳዳ ሀ ሳኣ ቦላ ደእያባ ኡባ ꬋይሳና።
01061200a1	ሽን ታኒ ታ ጫቁዋ ኔራ ጫቃና። ኔኒ፥ ነ ማችዉ፥ ነ አደ ናይታነ ኤንታ ማቸታ ኤካዳ ማርካብያ ግዶ ገላ።
01061300be	ኤንቲ ኔራ ደኦን ዳና መላ፥ ደኦይ ደእያ መ ተꬃ ኡባፈ ቆሞን ቆሞን አደነ ማጫ ናምአ ናምአ ኦꬃዳ፥ ማርካብያ ግዶ ገልሳ።
01061400ce	ዱማ ዱማ ቆሞ ካፎታፐ፥ ዱማ ዱማ ቆሞ መሄታፐነ ሳአራ ጎሸትያ ዱማ ዱማ ቆሞ መ ተꬃ ኡባፈ ናምአ ናምአ ግድድ ደኦን ዳና መላ ኔኮ ዮ።
0106150088	ቃስ ህንተነ ዶአት ማናዉ ዱማ ዱማ ቆሞ ምያ ካꬅ ኤፋዳ፥ ማርካብያ ግዶን ቆላ” ያግስ።
0106160040	ኖሄይ ኡባባካ ፆሳይ ኪትዳይሳዳ ኦꬅስ።
01070100ea	ሄሳፈ ጉየ ጎዳይ ኖሄ ሀይሳዳ ያግስ፤ “ኔኒ ነ ሶ አሳ ኡባራ ማርካብያ ግዶ ገላ። ሀ ዎድያ የለተꬃ ግዶን ታ ሸንያ ፖልዳይ ነ ፃላላ ግድዳይሳ በአስ።
01070200de	ኔኒ ቱና ግዶና መሄነ ዶአ ኡባፈ እያ ቆሞፈ ቆሞፈ አደነ ማጫ ላፑን ላፑን፥ ቱና መሄነ ዶአ ኡባፈ እያ ቆሞፈ ቆሞፈ እስ አደነ እስ ማጫ ገልሳ።
01070300c7	ቃስ ሳሎ ካፎታፐ እያ ቆሞፈ ቆሞፈ አደነ ማጫ ላፑን ላፑን ኦꬃዳ፥ ቢታ ኡባ ቦላ ዱማ ዱማ ኮቻይ ደኦን ዳና መላ ኔራ ኤካዳ ገላ።
01070400d6	ላፑን ጋላሳፐ ጉየ፥ ታኒ ኦይታሙ ጋላስነ ኦይታሙ ቃማ ሀ ሳኣ ቦላ እራ ቡክሳና። ያታዳ ታኒ መꬍዳ መ ተꬃ ኡባ ቢታ ቦላፈ ቁቻና” ያግስ።
0107050045	ያትን ኖሄይ ጎዳይ እያ ኪትዳ ኡባባ ኦꬅስ።
010706005b	ꬋዮ ሃꬃይ ሀ ሳኣ ቦላ ይዳ ዎደ ኖሄስ ላይꬅ ኡሱፑን ፄታ።
010707009e	ኖሄይ፥ እያ አደ ናይት፥ እያ ማችያነ እያ ናይታ ማቸት ꬋዮ ሃꬃፈ አታናዉ ማርካብያ ግዶ ገልዶሶና።
010708007f	ቱና ግዶና መሄፐነ ዶአፐ፥ ቱና መሄፐነ ዶአፐ ካፎታፐነ ቢታራ ጎሸተይሳታ ኡባፈ
010709008c	ፆሳይ ኖሄ ኪትዳይሳዳ አደነ ማጫስ ናምአ ናምአ ግድድ፥ ኖሄኮ ማርካብያ ግዶ ገልዶሶና።
01070a004d	ላፑን ጋላሳፐ ጉየ፥ ꬋዮ ሃꬃይ ሀ ሳአ ቦላ ይስ።
01070b0110	ኖሄይ ኡሱፑን ፄቱ ላይꬅ ደእን፥ ናምአንꬆ አጌናን፥ ታማነ ላፑንꬃ ጋላሳን፥ ቢታ ግዶን ደእያ ግታ ጪሙዋ ፑልቶ ኡባይ ꬉቅ አግስ። ሳሎን ደእያ ሃꬃ ማስኮተት ዶየትዶሶና።
01070c0056	እራይ ሀ ሳኣ ቦላ ኦይታሙ ጋላስነ ኦይታሙ ቃማ ቡክስ።
01070d00d7	እር ቡካ ዶምዳ ጋላስ ኖሄይነ እያ ማችያ፥ እያ አደ ናይት፥ ሴም፥ ካምነ ያፈት፥ እያ ናይታ ሄꬓታ ማቸት እስፈ ማርካብያ ግዶ ገልዶሶና።
01070e00e6	ዶአ ኡባፈ ባ ቆሞን ቆሞን፥ መሄ ኡባፈ ባ ቆሞን ቆሞን፥ ቢታራ ጎሸትያ ኡባፈ ባ ቆሞን ቆሞን፥ ካፎ ኡባፈ ባ ቆሞን ቆሞን ኤንታራ እስፈ ገልዶሶና።
01070f0074	ሸምፖራ ደኤይሳት ኡባይ ናምአ ናምአ ግድድ ኖሄኮ ማርካብያን ገልዶሶና።
01071000c2	ፆሳይ ኖሄ ኪትዳይሳዳ፥ መ ተꬃ ኡባፈ አደነ ማጫ ግድድ ማርካብያ ግዶ ገልን ኖሄፐ ጉየራ ጎዳይ ማርካብያ ፐንግያ ጎርድስ።
0107110091	ꬋዮ ሃꬃይ ኦይታሙ ጋላስ ሳአ ቦላ ቡክሸ ደእስ። ሃꬃይ ዳርድ ማርካብያ ቢታፈ ፑደ ደንꬅስ።
0107120059	ሃꬃይ ቢታ ቦላ ኬህ ዳርን፥ ማርካበይ ሃꬃ ቦላ ቶከትስ።
010713007a	ሳሎፐ ጋርሳን ደእያ ዙማት ኡባይ ምተታና ጋካናስ ሃꬃይ ሳአ ቦላ ኬህ ዳርስ።
010714005f	ሃꬃይ ዙማታ ፄራፐ አꬍድ፥ ታማነ እቻሹ ዋꬋ ጋካናስ ድጭስ።
010715008b	ያትን ሳአ ቦላ ዎፅ ቃፅያ መ ተꬃት ኡባይ፥ ካፎት፥ መሄይ፥ ዶእነ፥ አስ ኡባይ ሀይቅስ።
010716005e	ቢታ ቦላ ደእያ ባ ሲ ራ ደኦ ሸምፖ ሸምፕያ ኡባይካ ሀይቅስ።
01071700f1	ሳአ ቦላ ደኦይ ደእያ ኡባይ፥ አሳይ፥ መሄይ፥ ዶአይነ ሳሎ ካፎት ኡባይካ ሳአፐ ቁሸትዶሶና። ኖሄይነ እያራ ማርካብያ ግዶን ደኤይሳታ ፃላል አትዶሶና።
0107180056	ሄ ሃꬃይ ፓጮና ፄታነ እሻታሙ ጋላስ ሳአ ቦላ ጋምእስ።
01080100bf	ሽን ፆሳይ ኖሄ፥ እያራ ማርካብያ ግዶን ደእያ ዶአ ኡባነ መሄ ኡባ ቆፕድ ሳአ ቦላ ጫርኮ ጫርክስን ሄ ሃꬃይ ዎꬍ ዎꬍ ብስ።
01080200a6	ቃስ ቢታ ግዶን ደእያ ጪሙዋ ፑልቶይነ ሳሎን ደእያ ሃꬃ ማስኮተት ጎርደትዶሶና፤ እራይካ ሳሎን ተቀትስ።
010803005c	ያንን፥ ሃꬃይ ፄታነ እሻታሙ ጋላስ ጋካናዉ ዎꬍ ዎꬍ ብስ።
010804008f	ሃꬃይ ዎꬍን ላፑንꬃ አጌናን፥ ታማነ ላፑንꬃ ጋላሳን ማርካበይ አራራተ ዙማታ ቦላ ኡትስ።
010805009d	ሃꬃይ ታማንꬃ አጌና ጋካናዉ ዎꬍ ዎꬍ ብስ። ታማንꬆ አጌናስ ኮይሮ ጋላስ ዙማታ ፄራት በንትዶሶና።
010806005b	ኦይታሙ ጋላሳፐ ጉየ፥ ኖሄይ ባ ኬፅዳ ማርካብያ ማስኮትያ
0108070092	ዶይድ እስ ቁሮ ካረ የድን ቁሮይ ሃꬃይ ቢታ ቦላፈ መላና ጋካናስ፥ ያነ ሃነ ፕራꬍሸ ጋምእስ።
010808006e	ቃስ ኖሄይ ሃꬃይ ቢታ ቦላፈ ዎꬍ ዉርዳኮ በአናዉ እስ ሆለ ካረ የድስ።
01080900fd	ሽን ሄ ሆልያ ሃꬃይ ቢታ ኡባ ቦላ ሀእካ ደእያ ግሾ፥ ሸምፕያ በሲ ደማቡኩ። ሄሳ ግሾ ስማዳ፥ ማርካብያኮ ይን፥ ኖሄይ ባ ኩሽያ የድድ፥ ባኮ ማርካብያ ግዶ ኤክስ።
01080a0058	ሄሳፈ ጉየ፥ ላፑን ጋላስ ጋምእድ፥ ሆልዉ ዛሪድ የድስ።
01080b00f0	ሄ ሆልያ ሳእ ኦማርስያ ዎደ እያኮ ስማዳ ያሸ ሻማሆ አጫፐ ዱꬅዳ እርፃ ሀይꬅ ባ ዶናን ሳፃ ኤካዳ ያሱ። ያትን፥ ሃꬃይ ቢታ ቦላፈ ዎꬍዳይሳ ኖሄይ ኤርስ።
01080c0096	ቃስ ኖሄይ ሀራ ላፑን ጋላስ ጋምእድ፥ ሄ ሆልዉ ዛሪድ የድስ። ሽን ሄ ሆልያ እያኮ ስማዳ ያቡኩ።
01080d00f6	ኖሄይ ኡሱፑን ፄታነ እስ ላይꬅ ደእን፥ ኮይሮ አጌናን ኮይሮ ጋላስ፥ ሃꬃይ ቢታ ቦላፈ ፅዝእስ። ኖሄይ ማርካብያ ካማ ቃር ፄልድ፥ ቢታይ ፅዝእዳይሳ በእስ።
01080e0067	ናምአንꬆ አጌናን ላታማነ ላፑንꬃ ጋላሳን፥ ቢታይ ኩመꬅ መልስ።
01080f003f	ፆሳይ ሄ ዎደ ኖሄ ሀይሳዳ ያግድ ኪትስ፤
010810007b	“ኔኒ፥ ነ ማችዉ፥ ነ አደ ናይታነ ነ ናይታ ማቸታ ኤካዳ ማርካብያ ግዶፈ ከያ።
01081100cd	ኤንቲ የለትድ፥ ዳራና መላ ደኦይ ደእያ መ ተꬃ ኡባፈ ኔራ ደኤይሳታ ካፎታ፥ መሄታ፥ ዶአታነ ቢታራ ጎሸትያ ኡባ ኔራ ከሳ” ያግስ።
0108120081	ያትን ኖሄይ ባ አደ ናይታራ፥ ባ ማቸራነ ባ ናይታ ማቸታራ ማርካብያ ግዶፈ ከይስ።
01081300d2	ያንን፥ መሄይነ ዶአይ፥ ሳአራ ጎሸትያ መ ተꬃይ፥ ካፎይነ ሳአ ቦላ ዎፅ ቃፅያባ ኡባይ ባ ቆሙዋን ቆሙዋን ማርካብያ ግዶፈ ከይዶሶና።
01081400db	ሄሳፈ ጉየ፥ ኖሄይ ጎዳስ ያርሾ በሲ ግምብድ ቱና ግዶና መሄነ ዶአ ኡባፈ፥ ቱና ግዶና ካፎ ኡባፈ ኤክድ፥ ጊግስዳ በሳን ያርሾ ኦꬅድ ፁግስ።
0108150181	ያትን፥ ጎዳይ ሄ ያርሹዋ ፔኑዋ ስንግድ፥ ባ ዎዛናን ሀይሳዳ ያግስ፤ “ናአተꬃፈ ዶምድ አስ ዎዛናን ቆፕያባ ኡባይ ኢታ ግድኮካ ታኒ አሳ ቆሆ ግሾ ጋዳ ናምአንꬆ ሀ ሳኣ ባድከ። ቃስ ታኒ ሀእ ኦꬅዳይሳዳ ደኦይ ደእያ መ ተꬃ ኡባ ናምአንꬆ ꬋይስከ።
01081600cc	ሀ ቢታይ ደእዳ ዎደ ኡባን፥ ዘርያ ዎደይነ ጫክያ ዎደይ፥ ሜጎይነ ሆምበይ፥ ቦነይነ ባልጎይ፥ ጋላስነ ቃም ኡባ ዎደ ዳና” ያግስ።
010901008d	ፆሳይ ኖሄነ እያ አደ ናይታ ሀይሳዳ ያግድ አንጅስ፤ “የለትተ፥ ዳርተ፥ ሳአ ኡባ ኩምተ።
01090200c8	ሳኣ ዶአት፥ ሳሎ ካፎት፥ ቢታን ዎፅ ቃፅያባይነ አባን ደእያ ሞሎት ኡባይ ህንተዉ ያሻንነ ዳጋማን ደኦ። ኤንቲ ህንተዉ ሃረቶ።
01090300bd	ታኒ ዶልያ ዱማ ዱማ ጭልኦባታ ህንተዉ እምዳይሳዳ፥ ደኦይ ደእያ ዎፅ ቃፅያ መ ተꬃ ኡባይ ህንተዉ ካꬅ ግዳና መላ እማስ።
0109040064	ሽን ሸምፖይ ግዶን ደእያ ግሾ ሱꬅ እያ ግዶን ደእያ አሾ ሞፕተ።
0109050079	ኦንካ ሸምፖ ዎꬍዳይ ፕርደታና። ቃስ አሳ ሱꬅ ጉስያ ዶአካ ሀይቆን ፕርዳና።
0109060096	ፆሳይ አሰ ባና ዳንስድ መꬍዳ ግሾ፥ አሳ ሱꬅ ጉስያ ኦና ግድኮካ እያ ሱꬃይካ አሳ ኩሸን ጉካና።
0109070062	ህንተ የለትተ፥ ዳርተ፥ ህንተ ሼሻይካ ሳአ ቦላ ዳሮ” ያግስ።
010908006d	ሄሳፈ ጉየ፥ ፆሳይ ኖሄነ እያራ ደእያ እያ አደ ናይታ ሀይሳዳ ያግስ፤
0109090081	“ህዛ፥ ታኒ ታ ጫቁዋ ህንተራ፥ ህንተ ሼሻራነ ደኦይ ደእያ መ ተꬃ ኡባራ ጫቃይስ።
01090a00b8	ታኒ ታ ጫቁዋ ካፎታራ፥ መህያራ፥ ሳአ ዶአ ኡባራነ፥ ማርካብያፐ ህንተራ ከይዳ፥ ደኦይ ደእያ መ ተꬃ ኡባራ ጫቃይስ።
01090b00b7	ታኒ ህንተራ ጫቅዳይሳ መላ ህዛፐ ደኦይ ደእያ መ ተꬃት ꬋዮ ሃꬃን ꬋዮኮና፤ ሀ ሳኣካ ዛር ꬋዮ ሃꬅ ꬋይሰና” ያግስ።
01090c0098	ቃስካ ፆሳይ፥ “ታኒ ታፐነ ህንተፈ፥ ደኦይ ደእያ መ ተꬃ ኡባፈ ግዶን ጫቅያ ጫቁዋ ማላይ ሀይሳ፤
01090d008e	ታኒ ታ ዙላ ሻራን ኤሳስ። እ ታፐነ ሳአ ቦላ ደእያ መ ተꬃ ግዶን ደእያ ጫቁዋስ ማላ ግዳና።
01090e0050	ታ ሳሉዋ ሻራ ማይዝዳ ዎደነ ሻራን ዙል ኤቅዳ ዎደ፥
01090f00eb	ታፐነ ህንተፈ ግዶን፥ ደኦይ ደእያ ዱማ ዱማ መ ተꬃ ኡባፈ ግዶን ጫቅዳ ታ ጫቁዋ አኬካና። ደኦይ ደእያ መ ተꬃ ኡባ ꬋይሳናዉ ህዛፐ ጉየ ꬋዮ ሃꬅ ዬና።
01091000c0	ዙል ሻራን ኤቅዳ ዎደ ታ እያ በአዳ ታፐነ ሳአ ቦላ ደእያ ዱማ ዱማ መ ተꬃ ኡባፈ ግዶን ጫቅዳ መርና ጫቁዋ አኬካና” ያግስ።
0109110098	ፆሳይ ኖሄ፥ “ታኒ ታፐነ ሳአ ቦላ ደኦይ ደእያባ ኡባፈ ግዶን ጫቅዳ ጫቁዋ ማላይ ሀይሳ” ያግስ።
0109120070	ማርካብያፐ ከይዳ ኖሄ አደ ናይት ሴማ፥ ካማነ ያፈታ፤ ካም ካናነ አዋ።
0109130069	ሀ ሄꬓት ኖሄ ናይታ፤ ሳአ ኡባን ደእያ አሳይ ኤንታፈ የለትዶሶና።
0109140048	ኖሄይ ጎሻንቾ፤ እ ዎይነ ቶከꬃን ኮይሮ አስ።
0109150081	እስ ጋላስ ኖሄይ ሄ ዎይንያፐ ኡይድ ማꬆትድ ባ ዱንካንያ ግዶን ፅረ ካሎ ዝንእስ።
0109160075	ካናነ አዋ ካም ባ አዋ ካሉዋ በእድ፥ ካረ ከይድ፥ ባ ናምኡ እሻታስ ኦድስ።
0109170139	ሽን ሴምነ ያፈት አፍላ ኤክድ፥ ናምአይካ ባንታ ሀሽያራ ሀሽያራ ጋꬅ ኦይክድ፥ ጉየ ጉꬁ ሄመት ገልድ፥ ባንታ አዋ ካሉዋ ካምዶሶና። ኤንቲ ባንታ አዋ ካሉዋ በኦና መላ ባንታ አይፍያ ሀራሶ ዛርዶሶና።
0109180062	ኖሄይ ማꬆይ አꬍን፥ ባርክድ፥ እያ ካሎ ናአይ ኦꬅዳባ ኤርስ።
0109190081	ኖሄይ እያኮ፥ “ካናነይ ባደትዳባ ግዶ! እ ባ እሻታስ ዉርሰꬃ አይለ ግዶ” ያግስ።
01091a006d	ቃስካ ኖሄይ፥ “ጎዳይ፥ ሴማ ፆሳይ ጋላተቶ! ካናነይ ሴማ አይለ ግዶ፤
01091b0095	ፆሳይ ያፈታ ቢታ አሶ። ያፈታ ሼሻይ ሴማ ሼሻራ ዎላ ደኦና፤ ካናነይ ያፈታ አይለ ግዶ” ያግስ።
01091c0059	ꬋዮ ሃꬃፈ ጉየ፥ ኖሄይ ሄꬑ ፄታነ እሻታሙ ላይꬅ ደእስ።
01091d0051	ኖሄይ ኡዱፉን ፄታነ እሻታሙ ላይꬅ ደእድ ሀይቅስ።
010a0100bd	ኖሄ ናይታ፥ ሴማ፥ ካማነ ያፈታ የለተꬃይ ሀይሳፈ ካልድ ፃፈትዳይሳ። ꬋዮ ሃꬃፈ ጉየ፥ ኤንታዉ አደ ናይት የለትዶሶና።
010a020078	ያፈታ አደ ናይት፥ ጎመራ፥ ማጎገ፥ ማዳያ፥ ያዋና፥ ቱባላ፥ ሞሳሀነ ትራሳ።
010a030050	ጎመራ አደ ናይት፥ አስካናዛ፥ እርፋታነ ቶጋርማ።
010a040051	ያዋና አደ ናይት፥ ኤልሻ፥ ታርሰሳ፥ ክፅማነ ሮዳ።
010a050102	ሀይሳቲ ዩሾይ አባን ተቀትዳ ቢታን ደእያ ያፈታ ሼሻታስ ማይዛታ። ኤንቲ ባንታ ቢታን ቢታን፥ ባንታ ዶናን ዶናንነ ባንታ ካዎተꬃን ካዎተꬃን ሻከትድ ደእያ ደረታ።
010a060048	ካማ አደ ናይት፥ ኩሻ፥ ግብፀ፥ ሊበነ ካናነ።
010a070090	ኩሻ አደ ናይት፥ ሳባ፥ ሀውላ፥ ሳብታ፥ ራእማነ ሳብታካ። ራእመ አደ ናይት፤ ሳባነ ደዳና።
010a08006f	ኩሽ ናምሩደ የልስ፤ ናምሩደይ ሀ ሳአን ኮይሮ ዎልቃማ ኦላንቾ ግድስ።
010a0900ba	ጎዳ ማደን ዎልቃማ ሻንካንቾ ግድስ። አሳይ፥ “ናምሩደዳ ጎዳይ ነና ዎልቃማ ሻንካንቾ ከሶ” ግድ አንጀይ ሄሳ ግሾሳ።
010a0a0088	እያ ካዎተꬃስ ኮይሮ ካታማት ሳናኦራ ቢታን ደእያ ባብሎነ፥ ኤረካ፥ አርካዳነ ካልነ።
010a0b0059	እ ሄ ቢታፈ አሶረ ብድ፥ ናናወ፥ ረሆቦታነ ካላሀ ኬፅስ።
010a0c004e	ቃስ ናናወፐነ ካላሀ ካታማፐ ግዶን ረሴና ኬፅስ።
010a0d0055	ምፅራይም፥ ሉደታ፥ አናምመታ፥ ላሀበታ፥ ናፍቱሄታ፥
010a0e0066	ፓትሮሳታነ ፍልስፄመ ኮቻ የልዳ ካስሉሄማታነ ቃፍቶረታ ማይዛ።
010a0f0042	ካናነይ ባ ባይራ ናአ ስዶናነ ሄታ የልስ።
010a10004d	ቃስ ካናነ ሼሻት ያቡሰታ፥ አሞረታ፥ ገርገሰታ፥
010a110029	ህወታ፥ አርከታ፥ ሲናታ፥
010a12008f	አርዋደታ፥ ፃማራታነ ሀማታታ የልስ። ሄሳፈ ጉየ፥ ካናነ ሼሻት ዱማ ዱማ በሲ ላለትዶሶና።
010a1300b4	ካናነ ቢታ ዛዋይ ስዶናፐ ዶምድ፥ ጋራራነ ጋዛራ ጋክድ፥ ሶዶመነ ጋሞራ፥ አዳማነ ፃቦይማ ብድ፥ ላሻአ ጋክ ኤቅስ።
010a140085	ሀይሳቲ ካማ ሼሻታ፤ ኤንታዉ ዱማ ዱማ ዶን፥ ዱማ ዱማ ቢትነ ዱማ ዱማ ካዎተꬅ ደኤስ።
010a150079	ሴማስ ናይት የለትዶሶና። እ ያፈታስ ባይራ እሻነ ኤቦራ ናይታ ኡባስ ማይዛ።
010a160061	ሴማ አደ ናይት፥ ኤላማ፥ አሶረ፥ አርፋክሳደ፥ ሉደነ አራመ።
010a17004b	አራመ አደ ናይት፥ ኡፃ፥ ሁላ፥ ገተራነ ማሸካ።
010a180044	አርፋክሳድ ሳላ የልስ። ሳል ኤቦራ የልስ።
010a1900d3	ኤቦራስ ናምኡ አደ ናይት የለትዶሶና። ሳአን ደእያ አሳይ እያ ዎደ ሻከትዳ ግሾ እሱዋ ፐለጋ ግድ ሱንꬅስ። እያ እሻ ሱንꬃይ ዮቅፃና።
010a1a0073	ዮቅፃና ሼሻት ሀይሳታ። ኤንትካ አልሞዳዳ፥ ሳለፋ፥ ሀሰርሞታ፥ ያራሀ፥
010a1b0029	ሀዶራማ፥ ኡዛላ፥ ድቅላ፥
010a1c0026	ኦባላ፥ አብማላ፥ ሳባ፥
010a1d0057	ኦፍራ፥ ሀውላነ ዮባባ። ሀይሳቲ ኡባይ ዮቅፃና ሼሻታ።
010a1e007e	ኤንቲ ደእዳ ሄራይ ሜሳፐ ብድ ዶሎሀ ባጋራ ደእያ ደረይ ዳርያ ሳፋራ ቢታ ጋኬስ።
010a1f008f	ሀይሳቲ ኡባይ ሴማ ሼሻታ፤ ኤንታዉ ዱማ ዱማ ዶን፥ ዱማ ዱማ ቢትነ ዱማ ዱማ ካዎተꬅ ደኤስ።
010a2000de	ሀይሳቲ ኡባይ ባንታ ሼሻን ሼሻንነ ባንታ ካዎተꬃን ካዎተꬃን ፃፈትዳ ኖሄ ናይታ። ꬋዮ ሃꬃፈ ጉየ ካዎተꬃት ሀይሳታፐ ሳአ ኡባ ላለትዶሶና።
010b010053	ሳአ ቦላ ደእያ አስ ኡባይ ኮይሮ እስ ዶናን ኦደቴስ።
010b020084	ኤንቲ ዶሎሀ ባጋፈ ደንድድ ብዳ ዎደ ሳናኦራ ቢታን ደምባ በሲ ደምድ ያን ኡትዶሶና።
010b0300ca	ኤንቲ እሶይ እሱዋኮ፥ “ሃ ዪተ፥ ፁበ መꬍድ፥ ምናና መላ ታማን ፁጎስ” ያግዶሶና። ኤንቲ ሹቻ ግሾ ፁበ፥ ኡርቃ ግሾ ማደ መላባ፥
010b0400d9	ኤክድ፥ “ሃ ዪተ፥ ኑ ሱንꬃ ፄግሳናዉነ ቃስ ኑኒ ሀ ሳአ ቦላ ላለቶና አታና መላ እስ ግታ ካታማነ ፄራይ ሳሎ ጋክያ ፖቀ ኬፆስ” ያግዶሶና።
010b050063	ሽን ጎዳይ አሳት ኬፅዳ ግታ ካታማነ ፖቅያ በአናዉ ዱገ ዎꬍስ።
010b060112	ጎዳይ ሀይሳዳ ያግስ፤ “ሄኮ፥ ኤንቲ እስ አስ፤ ኤንቲ ኡባይካ እስ ዶናን ኦደትዶሶና። ኤንቲ ሀእ ሀይሳ ኦꬃናዉ ዶምዶሶና። ኤንቲ ባንታዉ ኦꬃናዉ ሀልችዳባ ፖሎና አጎኮና።
010b0700a2	ያንያ ግሾ፥ ሃይተ፤ ዱገ ዎꬍድ ኤንቲ እሶይ ሃሳይያ ዶና እሶይ ኤሮና መላ ኤንታ ዶና ዱማዮስ” ያግስ።
010b080076	ጎዳይ ኤንታ ሄሳፈ ሳአ ኡባ ቦላ ላልን፥ ኤንቲ ካታማ ኬፀይሳ አጋግዶሶና።
010b0900bb	ጎዳይ ሳአን ደእያ አሳ ዶና ያን ቡቅዳ ግሾ ሄ ካታማ ሱንꬃይ ባብሎነ ጌተትስ። ጎዳይ ኤንታ ሄሳፈ ሳአ ኡባ ቦላ ላልስ።
010b0a00d5	ሴማ የለተꬃይ ሀይሳፈ ካልድ ፃፈትዳይሳ፤ ꬋዮ ሃꬃፈ ጉየ፥ ናምኡ ላይꬅ ግድን፥ ሴማስ ላይꬅ ፄታ ግድዳ ዎደ፥ ሴም አርፋክሳደ የልስ።
010b0b0091	ሴም አርፋክሳደ የልዳፐ ጉየ፥ እቻሹ ፄቱ ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010b0c0043	አርፋክሳድ 35 ላይꬅ ደእድ፥ ሳላሀ የልስ።
010b0d0084	አርፋክሳድ ሳላ የልዳፐ ጉየ፥ 403 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010b0e0037	ሳል 30 ላይꬅ ደእድ፥ ኤቦራ የልስ።
010b0f007b	ሳል ኤቦራ የልዳፐ ጉየ፥ 403 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010b10003a	ኤቦሪ 34 ላይꬅ ደእድ፥ ፐለጋ የልስ።
010b11007e	ኤቦሪ ፐለጋ የልዳፐ ጉየ፥ 430 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010b120037	ፐለግ 30 ላይꬅ ደእድ፥ ራአ የልስ።
010b130078	ፐለግ ራአ የልዳፐ ጉየ 209 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010b140037	ራእ 32 ላይꬅ ደእድ፥ ሳሩጋ የልስ።
010b15007b	ራእ ሳሩጋ የልዳፐ ጉየ፥ 207 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010b16003a	ሳሩግ 30 ላይꬅ ደእድ፥ ናኮራ የልስ።
010b17007e	ሳሩግ ናኮራ የልዳፐ ጉየ፥ 200 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010b180037	ናኮር 29 ላይꬅ ደእድ፥ ታራ የልስ።
010b19007b	ናኮር ታራ የልዳፐ ጉየ፥ 119 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
