0100000018	ကမ္ဘာ​ဦး
01040b0135	သို့ဖြစ်၍ သင့် ညီ ၏ အသွေး ကိုခံယူ ခြင်းငှါ ၊ မိမိ ပစပ် ကိုဖွင့် သော မြေကြီး ၏ ကျိန် ခြင်းကို သင် သည် ခံရသောကြောင့်၊
01040c016a	ယခုမှစ၍မြေ ၌လုပ် သောအခါ ပကတိ အတိုင်း အသီးအနှံ ကို မ ရရ။ မြေကြီး ပေါ် မှ ပြေးရသောသူ၊ အရပ်ရပ်လည် ရသောသူဖြစ် ရလိမ့်မည်ဟု မိန့် တော်မူ၏။
01040d00a1	ကာဣန ကလည်း အကျွန်ုပ် အပြစ် သည် မဖြေ နိုင်အောင် ကြီး ပါသလော။
01040e0265	အကျွန်ုပ် ကို မြေကြီး ပြင် မှယနေ့ နှင်ထုတ် တော်မူပြီ၊ မျက်နှာ တော်ကိုလည်း မမြင် ရ။ မြေကြီး ပေါ် မှာ ပြေးရသောသူ၊ အရပ်ရပ်လည်ရသောသူဖြစ် ပါရမည်။ တွေ့ သမျှ သောသူတို့ သည် အကျွန်ုပ် ကိုသတ် ပါလိမ့်မည် ဟု ထာဝရဘုရား ကို လျှောက် ဆို၏။
01040f022e	ထာဝရဘုရား ကလည်း သို့ဖြစ်၍ ကာဣန ကို သတ် သောသူမည်သည်ကား၊ ခုနစ် ဆသောအပြစ် ဒဏ်ကိုခံ ရလိမ့်မည်ဟု မိန့် တော်မူပြီးလျှင်၊ ကာဣန ကိုတွေ့ သောသူ တစုံတယောက် မျှ မ သတ် စေခြင်းငှါ၊ ထာဝရဘုရား သည် သူ ၌ အမှတ် ပေး တော်မူ၏။
01041000d6	ကာဣန သည် ထာဝရဘုရား ထံ တော်မှ ထွက်သွား ၍ ၊ ဧဒင် ပြည် အရှေ့ ၊ နောဒ ပြည် တွင် နေ လေ၏။
01041101f7	ထိုအခါ ကာဣန သည် မိမိ မယား နှင့် ဆက်ဆံ သဖြင့်၊ သူ သည် ပဋိသန္ဓေစွဲယူ၍ ၊ သားဧနောက် ကို ဘွားမြင် လေ၏။ ကာဣန သည်လည်း မြို့ ကိုတည် ၍ မိမိ သား ၏ အမည် အလိုက် ၊ ထိုမြို့ ကို ဧနောက် မြို့ဟု သမုတ် လေ၏။
01041200fc	ဧနောက် သားကား၊ ဣရဒ် ၊ ဣရဒ် သားကား၊ မဟုယေလ ၊ မဟုယေလ သားကား၊ မသုရှလ ၊ မသုရှလ သားကား၊ လာမက် တည်း။
01041300d3	လာမက် သည်၊ အာဒ နှင့် ဇိလ အမည် ရှိသောမိန်းမ နှစ် ယောက်နှင့် အိမ်ထောင် ဘက်ပြု၍၊
010414013d	အာဒံ သည် သားယာဗလ ကိုဘွား မြင်လေ၏။ ထိုသားကား၊ တဲ ၌နေ သောသူ ၊ သိုး နွားစသည်တို့ကို မွေးသောသူတို့ ၏ အဘ ဆရာ ဖြစ် လေသတည်း။
0104150131	ယုဗလ အမည် ရှိသောညီ မူကား၊ စောင်း မျိုး၊ နှဲခရာ မျိုးတို့ကို တီးမှုတ် တတ်သောသူ အပေါင်း တို့၏ အဘ ဆရာဖြစ် လေသတည်း။
010416016f	ဇိလ သည်လည်း ၊ သားတုဗလကာဣန ကို ဘွားမြင် လေ၏။ သူသည် ပန်းတဉ်း သမား၊ ပန်းပဲ သမား အပေါင်း တို့၏ဆရာ ဖြစ်လေ၏။ တုဗလကာဣန ၏နှမ ကား၊ နေမ အမည်ရှိ၏။
0104170201	လာမက် ကလည်း အာဒံ နှင့် ဇိလ ၊ ငါ ပြော သံကို မှတ် ကြလော့။ လာမက် မယား တို့၊ ငါ့ စကား ကို နားထောင် ကြလော့။ ငါ့ ကိုထိခိုက် သော လူ တယောက်တည်းဟူသော ၊ ငါ့ ကိုညှဉ်းဆဲ သောလူပျို တယောက်ကို ငါသတ် ခဲ့ပြီ။
010418014c	ကာဣန သည် ခုနစ် ဆသောတရား ကိုရလျှင်၊ အကယ်၍ လာမက် သည်၊ အဆခုနှစ် ဆယ် ခုနစ် ဆသော တရားကို ရလိမ့်မည်ဟု မိမိမယားတို့ကိုပြောဆို၏။
010419026a	အာဒံ သည်လည်း မိမိ မယား နှင့် တဖန် ဆက်ဆံ ပြန်လျှင်၊ မယားသည် သား ကို ဘွားမြင် ၍ ရှေသ ဟူသောအမည် ဖြင့် မှည့် လေ၏။ အကြောင်းမူကား ၊ ကာဣန သတ် သော အာဗေလ ကိုယ်စား တပါး သောအနွယ် ကို အကျွန်ုပ် အဘို့ ဘုရား သခင်၌ ခန့်ထားတော်မူပြီဟု ဆိုသတည်း။
01041a013d	ရှေသ သည်လည်း သား ကိုရ ၍ ဧနုတ် ဟူသောအမည် ဖြင့် မှည့် လေ၏။ ထိုကာလ၌ ထာဝရဘုရား ၏ နာမတော် ကို အမှီပြု၍ ကိုးကွယ်စ ပြုကြလေ၏၊
010501014a	အာဒံ ၏သားစဉ်မြေးစက် စာရင်း ဟူမူကား၊ လူ ကို ဖန်ဆင်း တော်မူသောကာလ ၌ ၊ မိမိ ပုံသဏ္ဍာန် နှင့်အညီ၊ ဘုရား သခင်ဖန်ဆင်း တော်မူ၏။
010502014a	လူယောက်ျား လူမိန်းမ ကို ဖန်ဆင်း ၍ ၊ ကောင်းကြီး ပေးတော်မူ၏။ ဖန်ဆင်း သောနေ့ ၌ လည်း သူ တို့ကို အာဒံ အမည် ဖြင့် မှည့် တော်မူ၏။
0105030132	အာဒံ သည် အသက် တရာ့ သုံး ဆယ်ရှိသော်၊ မိမိ ပုံသဏ္ဍာန် နှင့်အညီသဏ္ဍာန် တည်းသားကိုမြင် ရ၍ ရှေသ အမည် ဖြင့် မှည့် လေ၏။
01050400e8	ရှေသ ကို ဘွားမြင် သောနောက် အာဒံ သည် အနှစ် ရှစ် ရာ အသက်ရှင်၍၊ သား သမီး များကိုမြင် လေ၏။
0105050098	အာဒံ သည် အသက် နှစ် ပေါင်း ကိုး ရာ သုံး ဆယ် စေ့သော် သေ လေ၏။
010506009a	ရှေသ သည် အသက် တရာ ငါး နှစ် ရှိသော်၊ သားဧနုတ် ကို မြင် လေ၏။
0105070109	ဧနုတ် ဘွားမြင် သောနောက် ၊ ရှေသ သည် အနှစ် ရှစ် ရာ ခုနှစ် နှစ် အသက် ရှင်၍ ၊ သား သမီး များကို မြင် လေ ၏။
01050800a7	ရှေလ သည် အသက် နှစ် ပေါင်းကိုး ရာ တဆယ် နှစ် နှစ် စေ့သော် သေ လေ၏။
0105090096	ဧနုတ် သည် အသက် ကိုး ဆယ်ရှိသော်၊ သား ကာဣနန် ကို မြင် လေ၏။
01050a010f	ကာဣနန် ဘွားမြင် သောနောက် ၊ ဧနုတ် သည် အနှစ် ရှစ် ရာ တဆယ် ငါး နှစ် အသက် ရှင်၍ သား သမီး များ ကို မြင် လေ၏။
01050b009a	ဧနုတ် သည် အသက် နှစ် ပေါင်းကိုး ရာ ငါး နှစ် စေ့ သော်သေ လေ၏။
01050c009b	ကာဣနန် သည် အသက် ခုနစ် ဆယ်ရှိသော်၊ သားမဟာလေလ ကို မြင် လေ၏။
01050d0104	မဟာလေလ ဘွား မြင်သောနောက် ၊ ကာဣနန် သည် အနှစ် ရှစ် ရာ လေး ဆယ်အသက် ရှင်၍ ၊ သား သမီး များကို မြင် လေ၏။
