0100000008	Postanak
010b060084	I reče Gospod: Gle, narod jedan, i jedan jezik u svih, i to počeše raditi, i neće im smetati ništa da ne urade šta su naumili.
010b070052	Hajde da siđemo, i da im pometemo jezik, da ne razumeju jedan drugog šta govore.
010b080041	Tako ih Gospod rasu odande po svoj zemlji, te ne sazidaše grada.
010b090069	Zato se prozva Vavilon, jer onde pomete Gospod jezik cele zemlje, i odande ih rasu Gospod po svoj zemlji.
010b0a005a	Ovo je pleme Simovo: beše Simu sto godina, kad rodi Arfaksada, druge godine posle potopa.
010b0b004d	A rodiv Arfaksada požive Sim pet stotina godina, rađajući sinove i kćeri.
010b0c0036	A Arfaksad požive trideset i pet godina, i rodi Salu;
010b0d0057	a rodiv Salu požive Arfaksad četiri stotine i tri godine, rađajući sinove i kćeri.
010b0e002d	A Sala požive trideset godina, i rodi Evera;
010b0f0054	a rodiv Evera požive Sala četiri stotine i tri godine, rađajući sinove i kćeri.
010b100038	A Ever požive trideset i četiri godine, i rodi Faleka;
010b11005a	a rodiv Faleka požive Ever četiri stotine i trideset godina, rađajući sinove i kćeri.
010b12002f	A Falek požive trideset godina, i rodi Ragava;
010b13004f	a rodiv Ragava požive Falek dvesta i devet godina, rađajući sinove i kćeri.
010b140035	A Ragav požive trideset i dve godine, i rodi Seruha;
010b15004f	a rodiv Seruha požive Ragav dvesta i sedam godina, rađajući sinove i kćeri.
010b16002f	A Seruh požive trideset godina, i rodi Nahora;
010b170047	a rodiv Nahora požive Seruh dvesta godina, rađajući sinove i kćeri.
010b180035	A Nahor požive dvadeset i devet godina, i rodi Taru;
010b19004f	a rodiv Taru požive Nahor sto i devetnaest godina, rađajući sinove i kćeri.
010b1a0040	A Tara požive sedamdeset godina, i rodi Avrama, Nahora i Arana.
010b1b004a	A ovo je pleme Tarino: Tara rodi Avrama, Nahora i Arana; a Aran rodi Lota.
010b1c0045	I umre Aran pre Tare oca svog na postojbini svojoj, u Uru haldejskom.
010b1d0076	I oženi se Avram i Nahor, i ženi Avramovoj beše ime Sara a ženi Nahorovoj ime Melha, kći Arama oca Melhe i Jeshe.
010b1e002c	A Sara beše nerotkinja, i ne imaše poroda.
010b1f00d4	I uze Tara sina svog Avrama i Lota sina Aronovog, unuka svog, i Saru snahu svoju, ženu Avrama sina svog; i pođoše zajedno iz Ura haldejskog da idu u zemlju hanansku, i dođoše do Harana, i onde se nastaniše.
010b20003f	I požive Tara svega dvesta i pet godina; i umre Tara u Haranu.
010c01006e	I reče Gospod Avramu: Idi iz zemlje svoje i od roda svog i iz doma oca svog u zemlju koju ću ti ja pokazati.
010c020068	I učiniću od tebe velik narod, i blagosloviću te, i ime tvoje proslaviću, i ti ćeš biti blagoslov.
010c030088	Blagosloviću one koji tebe uzblagosiljaju, i prokleću one koji tebe usproklinju; i u tebi će biti blagoslovena sva plemena na zemlji.
010c04007a	Tada pođe Avram, kao što mu kaza Gospod, i s njim pođe Lot. A beše Avramu sedamdeset i pet godina kad pođe iz Harana.
010c0500aa	I uze Avram Saru ženu svoju i Lota sina brata svog sa svim blagom koje behu stekli i s dušama koje behu dobili u Haranu; i pođoše u zemlju hanansku, i dođoše u nju.
010c060061	I pođe Avram tu zemlju do mesta Sihema i do ravnice moreške; a behu tada Hananeji u toj zemlji.
010c070078	I javi se Gospod Avramu i reče: Tvom semenu daću zemlju ovu. I Avram načini onde žrtvenik Gospodu, koji mu se javio.
010c0800be	Posle otide odande na brdo, koje je prema istoku od Vetilja, i onde razape šator svoj, te mu Vetilj beše sa zapada a Gaj s istoka; i onde načini Gospodu žrtvenik, i prizva ime Gospodnje.
010c090027	Odande otide Avram dalje idući na jug.
010c0a006c	Ali nasta glad u onoj zemlji, te Avram siđe u Misir da se onde skloni; jer glad beše velika u onoj zemlji.
010c0b0064	A kad se približi da već uđe u Misir, reče Sari ženi svojoj: Gle, znam da si žena lepa u licu.
010c0c0064	Zato kad te vide Misirci reći će: Ovo mu je žena. Pa će me ubiti, a tebe će ostaviti u životu.
010c0d005f	Nego hajde kaži da si mi sestra, te će meni biti dobro tebe radi i ostaću u životu uz tebe.
010c0e0041	I kad dođe Avram u Misir, videše Misirci ženu da je vrlo lepa.
010c0f0059	I videše je knezovi Faraonovi, i hvališe je pred Faraonom. I uzeše je u dvor Faraonov.
010c100073	I on činjaše dobro Avramu nje radi, te imaše ovaca i goveda i magaraca i sluga i sluškinja i magarica i kamila.
010c110050	Ali Gospod pusti velika zla na Faraona i na dom njegov radi Sare žene Avramove.
010c12005c	Tada dozva Faraon Avrama i reče mu: Šta mi to učini? Zašto mi nisi kazao da ti je žena?
010c130056	Zašto si kazao: Sestra mi je? Te je uzeh za ženu. Sad eto ti žene, uzmi je, pa idi.
010c140054	I Faraon zapovedi ljudima za nj, te ga ispratiše i ženu njegovu i šta god imaše.
010d01005e	Tako otide Avram iz Misira gore na jug, on i žena mu i sve što imaše, takođe i Lot s njim.
010d020032	A beše Avram vrlo bogat stokom, srebrom i zlatom.
010d03006c	I iđaše svojim putevima od juga sve do Vetilja, do mesta gde mu prvo beše šator, između Vetilja i Gaja,
010d04004e	do mesta, gde pre beše načinio žrtvenik; i onde prizva Avram ime Gospodnje.
010d05003f	A i Lot koji iđaše s Avramom imaše ovaca i goveda i šatora.
010d060064	I zemlja ne mogaše ih nositi zajedno, jer blago njihovo beše veliko da ne mogoše živeti zajedno,
010d07007f	i beše svađa među pastirima Avramove stoke i pastirima Lotove stoke. A u to vreme živehu Hananeji i Ferezeji u onoj zemlji.
010d080063	Pa Avram reče Lotu: Nemoj da se svađamo ja i ti, ni moji pastiri i tvoji pastiri; jer smo braća.
010d090082	Nije li ti otvorena cela zemlja? Odeli se od mene. Ako ćeš ti na levo, ja ću na desno; ako li ćeš ti na desno ja ću na levo.
010d0a00b8	Tada Lot podiže oči svoje i sagleda svu ravnicu jordansku, kako celu natapaše reka, beše kao vrt Gospodnji, kao zemlja misirska, sve do Zagora, pre nego Gospod zatre Sodom i Gomor.
010d0b005f	I Lot izabra sebi svu ravnicu jordansku, i otide Lot na istok; i razdeliše se jedan od drugog:
010d0c0079	Avram življaše u zemlji hananskoj, a Lot življaše po gradovima u onoj ravnici premeštajući svoje šatore do Sodoma.
010d0d003a	A ljudi u Sodomu behu nevaljali, i grešahu Gospodu veoma.
010d0e0091	A Gospod reče Avramu, pošto se Lot odeli od njega: Podigni sada oči svoje, pa pogledaj s mesta gde si na sever i na jug i na istok i na zapad.
010d0f003f	Jer svu zemlju što vidiš tebi ću dati i semenu tvom do veka.
010d10007f	I učiniću da semena tvog bude kao praha na zemlji; ako ko uzmože izbrojati prah na zemlji, moći će izbrojati i seme tvoje.
010d110048	Ustani, i prolazi tu zemlju u dužinu i u širinu; jer ću je tebi dati.
010d120077	I Avram diže šatore, i dođe i naseli se u ravnici mamrijskoj, koja je kod Hevrona, i onde načini žrtvenik Gospodu.
010e010065	A kad beše Amarfal car senarski, Arion car elasarski, Hodologomor car elamski i Targal car gojimski,
010e0200a1	zavojevaše na Valu cara sodomskog, i na Varsu cara gomorskog, i na Senara cara adamskog, i na Simovora cara sevojimskog i na cara od Valake, koja je sada Sigor.
010e03003f	Svi se ovi skupiše u dolini sidimskoj koja je sada slano more.
010e04004e	Dvanaest godina behu služili Hodologomoru, pa trinaeste godine odmetnuše se.
010e050098	A četrnaeste godine dođe Hodologomor i carevi koji behu s njim, i pobiše Rafaje u Astarotu karnajimskom i Zuzeje u Amu i Omeje u polju kirijatajskom,
010e060045	i Horeje u planini njihovoj Siru do ravnice faranske pokraj pustinje.
010e070097	Od tuda vrativši se dođoše u En-Mispat, koji je sada Kadis, i isekoše sve koji živehu u zemlji amaličkoj, i Amoreje koji živehu u Asason-Tamaru.
010e080090	Tada iziđe car sodomski i car gomorski i car adamski i car sevojimski i car od Valake, koje je sada Sigor, izađoše na njih u dolinu sidimsku,
010e09008b	na Hodologomora cara elamskog, i na Targala cara gojimskog, i na Amarfala cara senarskog, i na Arioha cara elasarskog, četiri cara na pet.
010e0a0095	A u dolini sidimskoj beše mnogo rupa iz kojih se vadila smola; i pobeže car sodomski i car gomorski, i onde padoše, a šta osta pobeže u planinu.
010e0b0045	I uzeše sve blago u Sodomu i Gomoru i svu hranu njihovu, i otidoše.
010e0c0055	Uzeše i Lota, sinovca Avramovog, i blago njegovo, i otidoše, jer živeše u Sodomu.
010e0d009c	A dođe jedan koji beše utekao, te javi Avramu Jevrejinu, koji živeše u ravni Mamrija Amorejina, brata Esholu i brata Avnanu, koji behu u veri s Avramom.
010e0e008d	A kad Avram ču da mu se zarobio sinovac, naoruža sluge svoje, trista osamnaest, koji se rodiše u njegovoj kući, i pođe u poteru do Dana.
010e0f007b	Onde razdelivši svoje udari na njih noću sa slugama svojim, i razbi ih, i otera ih do Hovala, koji je na levo od Damaska,
010e100054	i povrati sve blago; povrati i Lota sinovca svog s blagom njegovim, i žene i ljude.
010e11008e	A car sodomski iziđe mu na susret kad se vrati razbivši Hodologomora i careve što behu s njim, u dolinu Savinu, koje je sada dolina careva.
010e120052	A Melhisedek car salimski iznese hleb i vino; a on beše sveštenik Boga Višnjeg.
010e130059	I blagoslovi ga govoreći: Blagosloven da je Avram Bogu Višnjem, čije je nebo i zemlja!
010e140070	I blagosloven da je Bog Višnji, koji predade neprijatelje tvoje u ruke tvoje! I dade mu Avram desetak od svega.
010e15003f	A car sodomski reče Avramu: Daj meni ljude, a blago uzmi sebi.
010e160071	A Avram reče caru sodomskom: Dižem ruku svoju ka Gospodu Bogu Višnjem, čije je nebo i zemlja, zaklinjući se:
010e170067	Ni konca ni remena od obuće neću uzeti od svega što je tvoje, da ne kažeš: Ja sam obogatio Avrama;
010e180077	osim što su pojeli momci, i osim dela ljudima koji su išli sa mnom, Esholu, Avnanu i Mamriju, oni neka uzmu svoj deo.
010f010083	Posle ovih stvari dođe Avramu reč Gospodnja u utvari govoreći: Ne boj se, Avrame, ja sam ti štit, i plata je tvoja vrlo velika.
010f020088	A Avram reče Gospode, Gospode, šta ćeš mi dati kad živim bez dece, a pa kome će ostati moja kuća to je Elijezer ovaj Damaštanin?
010f030061	Još reče Avram: Eto meni nisi dao poroda, pa će sluga rođen u kući mojoj biti moj naslednik.
010f040072	A gle, Gospod mu progovori: Neće taj biti naslednik tvoj, nego koji će izaći od tebe taj će ti biti naslednik.
010f050087	Pa ga izvede napolje i reče mu: Pogledaj na nebo i prebroj zvezde, ako ih možeš prebrojati. I reče mu: Tako će ti biti seme tvoje.
010f060031	I poverova Avram Bogu, a On mu primi to u pravdu.
010f070060	I reče mu: Ja sam Gospod, koji te izvedoh iz Ura haldejskog da ti dam zemlju ovu da bude tvoja.
010f080044	A on reče: Gospode, Gospode, po čemu ću poznati da će biti moja?
010f09006a	I reče mu: Prinesi mi junicu od tri godine i kozu od tri godine i ovna od tri godine i grlicu i golupče.
010f0a005e	I on uze sve to, i raseče na pole, i metnu sve pole jednu prema drugoj; ali ne raseče ptice.
010f0b003d	A ptice sletahu na te mrtve životinje; a Avram ih odgoniše.
010f0c0059	A kad sunce beše na zalasku, uhvati Avrama tvrd san, i gle, strah i mrak velik obuze ga.
010f0d0096	I Gospod reče Avramu: Znaj zacelo da će seme tvoje biti došljaci u zemlji tuđoj, pa će joj služiti, i ona će ih mučiti četiri stotine godina.
010f0e0053	Ali ću suditi i narodu kome će služiti; a posle će oni izaći s velikim blagom.
010f0f004e	A ti ćeš otići k ocima svojim u miru, i bićeš pogreben u dobroj starosti.
010f100055	A oni će se u četvrtom kolenu vratiti ovamo; jer gresima amorejskim još nije kraj.
010f11006f	A kad se sunce smiri i kad se smrče, gle, peć se dimljaše, i plamen ognjeni prolažaše između onih delova.
010f12007b	Taj dan učini Gospod zavet s Avramom govoreći: Semenu tvom dadoh zemlju ovu od vode misirske do velike vode, vode Efrata,
010f130023	kenejsku, kenezejsku i kedmonejsku,
010f140023	i hetejsku i ferezejsku i rafajsku,
010f150034	i amorejsku i hananejsku i gergesejsku i jevusejsku.
0110010056	Ali Sara žena Avramova ne rađaše mu dece. A imaše robinju Misirku, po imenu Agara.
011002008f	Pa reče Sara Avramu: Gospod me je zatvorio da ne rodim; nego idi k robinji mojoj, ne bih li dobila dece od nje. I Avram prista na reč Sarinu.
011003009a	I Sara žena Avramova uze Agaru Misirku robinju svoju, i dade je za ženu Avramu mužu svom posle deset godina otkako se nastani Avram u zemlji hananskoj.
0110040059	I on otide k Agari, i ona zatrudne; a kad vide da je trudna, ponese se od gospođe svoje.
01100500a1	A Sara reče Avramu: Uvreda moja pade na tebe; ja ti metnuh na krilo robinju svoju, a ona videvši da je trudna ponese se od mene. Gospod će suditi meni i tebi.
011006008f	A Avram reče Sari: Eto, robinja je tvoja u tvojim rukama, učini s njom šta ti je volja. I Sara je stade zlostavljati, te ona pobeže od nje.
0110070052	Ali anđeo Gospodnji nađe je kod studenca u pustinji, kod studenca na putu u Sur.
011008006b	I reče joj: Agaro, robinjo Sarina, otkud ideš, kuda li ideš? A ona reče: Bežim od Sare gospođe svoje.
0110090048	A anđeo joj Gospodnji reče: Vrati se gospođi svojoj, i pokori joj se.
01100a0067	Opet joj reče anđeo Gospodnji: Umnožiću veoma seme tvoje, da se neće moći prebrojati od množine.
01100b007a	Još joj reče anđeo Gospodnji: Eto si trudna, i rodićeš sina, i nadeni mu ime Ismailo; jer je Gospod video muku tvoju.
01100c007b	A biće čovek ubica; ruka će se njegova dizati na svakog a svačija na njega, i nastavaće na pogledu svoj braći svojoj.
01100d007d	Tada Agara prizva ime Gospoda koji govori s njom: Ti si Bog, koji vidi. Jer govoraše: Zar još gledam iza Onog koji me vide?
01100e005f	Toga radi zove se studenac onaj studenac Živoga koji me vidi; a on je između Kadisa i Varada.
01100f0053	I rodi Agara Avramu sina; i nadede Avram sinu svom, kog mu rodi Agara, ime Ismailo.
0110100042	A beše Avramu osamdeset i šest godina kad mu Agara rodi Ismaila.
0111010084	A kad Avramu bi devedeset i devet godina, javi mu se Gospod i reče mu: Ja sam Bog Svemogući, po mojoj volji živi, i budi pošten.
011102003f	I učiniću zavet između sebe i tebe, i vrlo ću te umnožiti.
0111030036	A Avram pade ničice. I Gospod mu još govori i reče:
0111040041	Od mene evo zavet moj s tobom da ćeš biti otac mnogim narodima.
0111050065	Zato se više nećeš zvati Avram nego će ti ime biti Avraam, jer sam te učinio ocem mnogih naroda;
011106005e	daću ti porodicu vrlo veliku, i načiniću od tebe narode mnoge, i carevi će izaći od tebe.
0111070097	A postavljam zavet svoj između sebe i tebe i semena tvog nakon tebe od kolena do kolena, da je zavet večan, da sam Bog tebi i semenu tvom nakon tebe;
0111080077	i daću tebi i semenu tvom nakon tebe zemlju u kojoj si došljak, svu zemlju hanansku u državu večnu, i biću im Bog.
011109005b	I reče Bog Avramu: Ti pak drži zavet moj, ti i seme tvoje nakon tebe od kolena do kolena.
01110a007c	A ovo je zavet moj između mene i vas i semena tvog nakon tebe koji ćete držati: da se obrezuju između vas sve muškinje.
01110b004a	A obrezivaćete okrajak tela svog, da bude znak zaveta između mene i vas.
01110c00ac	Svako muško dete kad mu bude osam dana da se obrezuje od kolena do kolena, rodilo se u kući ili bilo kupljeno za novce od kojih god stranaca, koje ne bude od semena tvog.
01110d007e	Da se obrezuje koje se rodi u kući tvojoj i koje se kupi za novce tvoje; tako će biti zavet moj na telu vašem zavet večan.
01110e0073	A neobrezano muško, kome se ne obreže okrajak tela njegovog, da se istrebi iz naroda svog, jer pokvari zavet moj.
01110f005f	I još reče Bog Avramu: A Saru ženu svoju ne zovi je više Sara nego neka joj bude ime Saara.
0111100086	I ja ću je blagosloviti, i daću ti sina od nje; blagosloviću je, i biće mati mnogim narodima, i carevi narodima izaći će od nje.
011111009a	Tada pade Avram ničice i nasmeja se govoreći u srcu svom: Eda će se čoveku od sto godina roditi sin? I Sari? Eda će žena od devedeset godina roditi?
0111120036	I Avram reče Bogu: Neka živ bude Ismailo pred Tobom!
011113009f	I reče Bog: Zaista Sara žena tvoja rodiće ti sina, i nadećeš mu ime Isak; i postaviću zavet svoj s njim da bude zavet večan semenu njegovom nakon njega.
01111400a9	A i za Ismaila uslišio sam te; evo blagoslovio sam ga, i daću mu porodicu veliku, i umnožiću ga veoma; i rodiće dvanaest knezova, i načiniću od njega velik narod.
011115004a	A zavet svoj učiniću s Isakom kad ti ga rodi Sara, do godine u ovo doba.
0111160028	I Bog izgovorivši otide od Avrama gore.
01111700cd	I Avram uze Ismaila sina svog i sve koji se rodiše u domu njegovom i koje god beše kupio za svoje novce, sve muškinje od domaćih svojih; i obreza okrajak tela njihovog u isti dan, kao što mu kaza Bog.
