0100000006	Senesi
01051d00c6	Pea naʻa ne ui hono hingoa ko Noa, ʻo pehē, “Ko eni ia ʻe fakafiemālie kiate kitautolu ʻi heʻetau ngāue, mo e ongosia ʻa hotau nima, koeʻuhi ko e kelekele kuo fakamalaʻia ʻe Sihova.”
01051e00ab	Pea hili ʻae fanauʻi ʻa Noa naʻe moʻui ʻa Lemeki ʻi he taʻu ʻe nimangeau ma nimangofulu ma nima, pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine:
01051f0069	Pea ko e ngaahi ʻaho kotoa pē ʻo Lemeki ko e taʻu ʻe fitungeau ma fitungofulu ma fitu: pea pekia ia.
0105200062	Pea ko Noa, naʻe nimangeau taʻu hono motuʻa: pea fakatupu ʻe Noa ʻa Semi, mo Hami, mo Sepeti.
0106010093	Pea naʻe hoko ʻo pehē, ʻi he fakaʻaʻau ke tokolahi ʻae kakai ʻi he funga ʻo māmani, naʻe fanauʻi ʻae ngaahi ʻofefine kiate kinautolu,
01060200a9	Pea mamata ʻe he ngaahi foha ʻoe ʻOtua ki he ngaahi ʻofefine ʻoe tangata ʻoku nau hoihoifua; pea naʻa nau fili mei ai ʻae ngaahi uaifi ʻo maʻu kiate kinautolu.
01060300ba	Pea naʻe folofola ʻa Sihova, “E ʻikai ʻahiʻahi maʻuaipē ʻa hoku Laumālie mo e tangata, he ko e kakano foki ia: ka ʻe hoko hono ngaahi ʻaho ki he taʻu ʻe teau ma uofulu.”
010604011f	‌ʻI he ngaahi ʻaho ko ia naʻe ai ʻae kakai lalahi ʻi māmani; pea hili ia foki, ʻi he ʻalu ʻae ngaahi foha ʻoe ʻOtua ki he ngaahi ʻofefine ʻoe tangata, pea nau fānau kiate kinautolu, naʻe mālohi lahi ʻae kau tangata ko ia, ʻae kau tangata ongoongo ʻoe muʻaki kuonga.
01060500a1	Pea naʻe ʻafio ʻe he ʻOtua kuo lahi ʻae angahala ʻae tangata ʻi māmani, pea kuo kovi maʻuaipē ʻae filioʻi kotoa pē ʻoe ngaahi mahalo ʻa hono loto.
0106060078	Pea naʻe fakatomala ʻa Sihova koeʻuhi kuo ne ngaohi ʻae tangata ʻi māmani, pea naʻe mamahi ai ʻa hono finangalo.
01060700ef	Pea naʻe folofola ʻa Sihova, “Te u fakaʻauha mei he funga ʻo māmani ʻae tangata ʻaia kuo u ngaohi; ko e tangata, mo e manu, mo e meʻa totolo, mo e fanga manu ʻoe ʻatā; he ʻoku ou fakatomala ʻi heʻeku ngaohi ʻakinautolu.”
0106080031	Ka naʻe ʻofeina ʻa Noa ʻi he ʻao ʻo Sihova.
0106090087	Ko eni ʻae tala hohoko kia Noa ko e tangata angatonu mo haohaoa ʻa Noa ʻi hono toʻutangata, pea naʻe ʻaʻeva ʻa Noa mo e ʻOtua.
01060a0050	Pea naʻe fakatupu ʻe Noa ʻae foha ʻe toko tolu, ko Semi, mo Hami, mo Sefeti.
01060b0069	Naʻe fakalielia foki ʻa māmani ʻi he ʻao ʻoe ʻOtua, pea naʻe fonu ʻa māmani ʻi he fakamālohi.
01060c008a	Pea naʻe ʻafioʻi ʻe he ʻOtua ki māmani, pea vakai kuo kovi ia; he naʻe fakalieliaʻi ʻe he kakano kotoa pē hono hala ʻi māmani.
01060d00df	Pea naʻe folofola ʻe he ʻOtua kia Noa, “Kuo hoko ki hoku ʻao ʻae ngataʻanga ʻoe kakano kotoa pē; he kuo fonu ʻa māmani ʻi he fakamālohi ʻiate kinautolu; pea vakai, te u fakaʻauha ʻakinautolu mei he māmani.
01060e0093	Ngaohi kiate koe hā vaka mei he ʻakau ko e kofa; te ke ngaohi ʻae ngaahi ʻana ʻi he vaka, pea te ke vali ʻaki ia ʻae pulu ʻi loto mo tuʻa.
01060f00af	Pea ko eni ʻae anga ʻo hono ngaohi, Ko hono lōloa ʻoe vaka ko e hanga ʻe onongeau, ko hono māukupu ko e hanga ʻe teau pea ko hono māʻolunga ko e hanga ʻe onongofulu.
01061000e0	Te ke ngaohi ha kātupa ʻi he vaka pea te ke fakaʻosi ia ʻi he hanga ʻe ua ki ʻolunga; pea te ke ʻai ʻae matapā ʻoe vaka ʻi hono kaokao; pea te ke ngaohi ʻae fata ʻi lalo, mo hono ua, mo hono tolu, [ki ʻolunga].
01061100ef	Pea vakai, ko au, ʻio, ko au, ʻoku ou ʻomi ʻae lōmaki ʻoe ngaahi vai ki māmani, ke fakaʻauha ʻae kakano kotoa pē mei he lalo langi, ʻaia ʻoku ʻi ai ʻae mānava ʻoe moʻui; pea ʻe mate ʻae meʻa kotoa pē ʻoku ʻi māmani.
010612009e	Ka te u fokotuʻumaʻu mo koe ʻeku fuakava; pea te ke haʻu ki he vaka, ʻa koe, mo ho ngaahi foha, mo ho uaifi, mo e ngaahi uaifi ʻo ho ngaahi foha mo koe.
010613009f	Pea te ke ʻomi ki he vaka ʻo tautau toko ua mei he meʻa moʻui kotoa pē ʻoe kakano kotoa pē, ke fakamoʻui ʻakinautolu mo koe; ko e fefine mo e tangata.
01061400df	Ko e fanga manupuna ʻi honau faʻahinga, mo e fanga manu ʻi honau faʻahinga, mo e ngaahi meʻa totolo kotoa pē ʻoe fonua ʻi hono faʻahinga, ʻe haʻu kiate koe ʻae toko ua ʻi he faʻahinga kotoa pē, ke fakamoʻui.
0106150090	Pea ke toʻo kiate koe ʻi he meʻakai kotoa pē ʻoku kai, pea te ke tānaki ia kiate koe; pea ko e meʻakai ia kiate koe, pea mo kinautolu.”
010616006b	Naʻe fai pehē ʻe Noa; ʻo hangē ko ia kotoa pē naʻe fekau kiate ia ʻe he ʻOtua, ko ia naʻa ne fai.
01070100ab	Pea naʻe folofola ʻa Sihova, kia Noa, “Haʻu koe mo ho fale kotoa pē ki he vaka; he kuo u vakai kiate koe ʻoku ke māʻoniʻoni ʻi hoku ʻao ʻi he toʻutangata ni.
01070200b1	Te ke toʻo kiate koe ʻo tautau toko fitu ʻi he fanga manu maʻa kotoa pē ko e tangata mo e fefine; pea tautau toko ua ʻi he fanga manu taʻemaʻa, ko e tangata mo e fefine.
010703008d	Ke tautau toko fitu ʻi he fanga manu foki ʻoe ʻatā, ko e tangata mo e fefine; ke fakamoʻui ʻae hako ʻi he funga ʻo māmani kotoa pē.
01070400e0	He ʻoku toe ʻae ngaahi ʻaho ʻe fitu, pea te u pule ke ʻuha ki māmani ʻi he ʻaho ʻe fāngofulu mo e pō ʻe fāngofulu; pea te u fakaʻauha mei he funga ʻo māmani ʻae ngaahi meʻa moʻui kotoa pē kuo u ngaohi.”
0107050051	Pea naʻe fai ʻe Noa ʻo hangē ko ia kotoa pē naʻe fekau ʻe Sihova kiate ia.
0107060062	Pea naʻe onongeau ʻae taʻu ʻo Noa, feʻunga mo e hoko ʻae lōmaki ʻoe ngaahi vai ki māmani.
0107070099	Pea naʻe hū ʻa Noa ki he vaka mo hono ngaahi foha, mo hono uaifi, mo e ngaahi uaifi ʻo hono ngaahi foha mo ia, koeʻuhi ko e ngaahi vai ʻoe lōmaki.
0107080077	Ko e fanga manu maʻa, mo e fanga manu taʻemaʻa, mo e fanga manupuna, mo e meʻa kotoa pē ʻoku totolo ʻi he fonua,
010709007c	Naʻe ʻalu atu kia Noa ʻi he vaka ʻo tautau toko ua, ko e tangata mo e fefine, ʻo hangē ko e fekau ʻae ʻOtua kia Noa.
01070a0061	Pea ʻi heʻene hili mai ʻae ʻaho ʻe fitu, naʻe hoko ki māmani ʻae ngaahi vai ʻoe lōmaki.
01070b00fc	ʻI he taʻu ʻe onongeau ʻoe moʻui ʻa Noa, ʻi hono ua ʻoe māhina, mo hono hongofulu ma fitu ʻoe ʻaho ʻi he māhina, ko e ʻaho ko ia naʻe fakapā hake ai ʻae ngaahi matavai ʻoe moana lahi, pea naʻe toʻo ai ʻae ngaahi matavai ʻoe langi.
01070c0059	Pea naʻe tō ʻae ʻuha ki māmani, ʻi he ʻaho ʻe fāngofulu mo e pō ʻe fāngofulu.
01070d00c8	‌ʻI he ʻaho pe ko ia naʻe hū ai ki he vaka ʻa Noa, mo Semi, mo Hami, mo Sefeti, ko e ngaahi foha ʻo Noa, mo e uaifi ʻo Noa, mo e ngaahi uaifi ʻe toko tolu ʻa hono ngaahi foha, mo kinautolu.
01070e011c	‌ʻAkinautolu, mo e fanga manu ʻoe vao ʻi hono faʻahinga kotoa pē, mo e fanga manu kotoa pē ʻi honau faʻahinga, mo e meʻa totolo kotoa pē ʻoku ngaolo ʻi he fonua ʻi hono faʻahinga, mo e fanga manupuna kotoa pē ʻi hono faʻahinga, ʻae manu kapakau kehekehe kotoa pē.
01070f0080	Pea naʻa nau ʻalu kia Noa ki he vaka, ʻo tautau toko ua ʻi he kakano kotoa pē, ʻaia naʻe ʻi ai ʻae mānava ʻoe moʻui.
01071000a9	Pea ko ia naʻe hū ai, naʻe ʻalu ko e tangata mo e fefine ʻi he kakano kotoa pē, ʻo hangē ko e fekau ʻae ʻOtua kiate ia; pea naʻe tāpuni ia ʻi ai ʻe Sihova.
01071100aa	Pea naʻe ʻi he fonua ʻae lōmaki ʻi he ʻaho ʻe fāngofulu; pea naʻe hake ʻae ngaahi vai, pea maʻanu ai ʻae vaka, pea naʻe tētē ia ʻi ʻolunga, ʻi he fonua.
0107120072	Pea naʻe mālohi ʻae ngaahi vai, pea tupu lahi ʻi he funga fonua; pea naʻe tētē ʻae vaka ʻi he fukahi vai.
01071300a0	Pea naʻe mālohi ʻaupito ʻae ngaahi vai ʻi he funga fonua; pea naʻe fakangalo ai ʻae ngaahi moʻunga māʻolunga kotoa pē, ʻaia naʻe ʻi he lalo langi.
0107140073	Naʻe mālohi ʻae ngaahi vai; naʻe hake ia ko e hanga ʻe tolungofulu, pea naʻe ʻūfia ai ʻae ngaahi moʻunga.
01071500d9	Pea naʻe mate ʻae kakano kotoa pē ʻaia naʻe ngaue ʻi māmani, ko e fanga manupuna, mo e fanga manu lalata, mo e fanga manu ʻoe vao, mo e meʻa totolo kotoa pē ʻoku ngaolo ʻi he fonua, mo e tangata kotoa pē:
010716007a	Ko ia kotoa pē naʻe ʻi honau avaʻi ihu ʻae mānava ʻoe moʻui, ʻaia kotoa pē naʻe ʻi he fonua mōmoa naʻe mate.
0107170123	Pea naʻe fakaʻauha ʻae meʻa moʻui kotoa pē ʻaia naʻe ʻi he funga kelekele, ʻae tangata, mo e fanga manu, mo e ngaahi meʻa totolo, mo e fanga manupuna ʻoe ʻatā; pea naʻe fakaʻauha ʻakinautolu mei he māmani; pea naʻe toe pe ʻa Noa, mo kinautolu naʻe ʻiate ia ʻi he vaka.
0107180053	Pea naʻe mālohi ʻae ngaahi vai ʻi māmani ʻi he ʻaho ʻe teau ma nimangofulu.
01080100f1	Pea naʻe manatu ʻae ʻOtua kia Noa, mo e meʻa moʻui kotoa pē, mo e fanga manu kotoa pē ʻaia naʻe ʻi he vaka mo ia: pea naʻe pule ʻe he ʻOtua ke ʻalu atu ʻae matangi ʻi he funga ʻo māmani, pea naʻe matuku ai ʻae ngaahi vai;
010802007c	Naʻe tāpuni foki ʻae ngaahi matavai ʻoe moana mo e ngaahi matavai ʻoe langi, pea naʻe taʻofi ʻae ʻuha mei he langi;
010803008f	Pea naʻe fakaʻaʻau ke matuku ʻae ngaahi vai mei māmani: pea ʻi he fakaʻosi ʻae ʻaho ʻe teau ma nimangofulu kuo siʻi ʻae ngaahi vai.
010804008b	Pea naʻe toka ʻae vaka ʻi he ngaahi moʻunga ʻo ʻAlalate, ʻi hono fitu ʻoe māhina, ʻi he ʻaho ʻe hongofulu ma fitu ʻoe māhina.
01080500d1	Pea naʻe fakasiʻisiʻi maʻuaipē ʻae ngaahi vai ʻo aʻu ki hono hongofulu ʻoe [māhina]: naʻe ha hake ʻae tumutumu ʻoe ngaahi moʻunga ʻi hono hongofulu māhina, ʻi he ʻuluaki [ʻaho] ʻoe māhina.
0108060071	Pea ʻi he hili ange ʻae ʻaho ʻe fāngofulu, naʻe toʻo ʻe Noa ʻae matapā ʻoe vaka ʻaia naʻa ne ngaohi:
0108070078	Pea naʻa ne tukuange ha leveni, ʻaia naʻe feʻaluʻaki, kaeʻoua ke matuʻu ʻae ngaahi vai mei he funga ʻo māmani.
010808006c	Naʻa ne tukuange foki ha lupe meiate ia, ke vakai pe kuo matuku ʻae ngaahi vai mei he funga ʻoe kelekele;
01080900f8	Ka naʻe ʻikai ʻilo ʻe he lupe ha tuʻuʻanga ki hono ʻaofi vaʻe, pea naʻe foki ia kiate ia ki he vaka, he naʻe ʻi he funga ʻo māmani kotoa ʻae ngaahi vai: pea naʻe mafao atu ʻe ia hono nima, ʻo toʻo pea ʻomi ia kiate ia ki he vaka.
01080a0059	Pea naʻe toe tatali ia ʻi he ʻaho ʻe fitu; pea ne toe tukuange ʻae lupe mei he vaka;
01080b00b8	Pea naʻe haʻu ʻae lupe kiate ia ʻi he efiafi; pea vakai, kuo ʻi hono ngutu ʻae lauʻi ʻolive kuo ne pakiʻi: pea toki ʻilo ai ʻe Noa kuo matuku ʻae ngaahi vai mei he māmani.
01080c006e	Pea toe tatali ia ʻi he ʻaho ʻe fitu; pea tuku atu ai ʻae lupe; pea naʻe ʻikai toe foki mai ia kiate ia.
01080d010a	Pea ʻi he hoko ki hono onongeau ma taha taʻu, ʻi he ʻuluaki [māhina], ʻi he ʻuluaki [ʻaho] ʻoe māhina, naʻe matuʻu ai ʻae ngaahi vai mei he fonua; pea naʻe hiki ʻe Noa ʻae ʻufiʻufi ʻoe vaka, ʻo sio, pea vakai, kuo mōmoa ʻae funga ʻoe kelekele.
01080e0066	Pea naʻe mōmoa ʻae fonua ʻi hono ua ʻoe māhina, ʻi hono uofulu ma fitu ʻoe ʻaho ʻoe māhina.
01080f0032	Pea naʻe folofola ʻae ʻOtua kia Noa, ʻo pehē,
010810006f	“ʻAlu atu mei he vaka, ʻa koe, mo ho uaifi, mo ho ngaahi foha, mo e ngaahi uaifi ʻo ho ngaahi foha mo koe.
0108110113	Omi mo koe ʻae ngaahi meʻa moʻui kotoa pē ʻoku ʻiate koe, ʻi he kakano kotoa pē, mo e fanga manupuna, mo e fanga manu, pea mo e meʻa totolo kotoa pē ʻoku ngaolo ʻi he fonua; koeʻuhi kenau fanafanau ʻo lahi ʻi he fonua pea tupu, pea fakatokolahi ʻi māmani.”
010812006e	Pea naʻe ʻalu atu ʻa Noa, mo hono ngaahi foha, mo hono uaifi, mo e ngaahi uaifi ʻo hono ngaahi foha mo ia:
01081300bb	Naʻe ʻalu atu mei he vaka, ʻi honau faʻahinga, ʻae fanga manu kotoa pē, mo e ngaahi meʻa totolo kotoa pē, mo e fanga manupuna kotoa pē, mo ia kotoa pē ʻoku totolo ʻi he fonua.
01081400d7	Pea naʻe fokotuʻu ʻe Noa ha ʻesifeilaulau kia Sihova; pea naʻa ne toʻo mei he fanga manu maʻa kotoa pē, pea mei he fanga manupuna naʻe maʻa, pea ʻohake ai ʻae ngaahi feilaulau tutu ʻi he ʻesifeilaulau.
0108150153	Pea naʻe nanamu ʻa Sihova ki hono ngangatu lelei, pea naʻe pehē ʻe Sihova ʻi hono finangalo, “ʻE ʻikai te u toe fakamalaʻiaʻi ʻae fonua koeʻuhi ko e tangata; he ʻoku kovi ʻae ngaōʻi ʻoe loto ʻoe tangata mei heʻene kei siʻi; pea ʻe ʻikai te u toe taaʻi ʻae ngaahi meʻa moʻui kotoa pē ʻo hangē ko ia kuo u fai.
01081600b3	Lolotonga ʻae tuʻu ʻa māmani, ʻe ʻikai tuku ʻae tō taʻu mo e ututaʻu, mo e momoko mo e pupuha, mo e faʻahitaʻu mafana mo e faʻahitaʻu momoko, mo e ʻaho mo e pō.”
0109010097	Pea naʻe tāpuakiʻi ʻe he ʻOtua ʻa Noa mo hono ngaahi foha, pea ne pehē kiate kinautolu, “Mou tupu, mo fakatokolahi, pea fakakakai ʻa māmani.
0109020102	Pea ʻe ʻi he fanga manu kotoa pē ʻo māmani ʻae manavahē mo e ilifia kiate kimoutolu, pea ʻi he fanga manupuna kotoa pē ʻoe ʻatā, mo ia kotoa pē ʻoku ngaue ʻi he fonua, pea ki he ngaahi ika kotoa pē ʻoe tahi; kuo tuku kotoa pē ki homou nima.
010903009d	Ko e meʻa moʻui kotoa pē ʻoku ngaue, ko hoʻo mou meʻakai ia; ʻio, ʻo hangē ko e ʻakau mata kuo u foaki ʻae ngaahi meʻa kotoa pē kiate kimoutolu.
0109040058	Ka ko e kakano ʻoku ʻi ai ʻae moʻui, [ʻaia] ko hono toto, ʻe ʻikai te mou kai ia.
01090500e8	He ko e moʻoni, teu ʻekeʻi ʻae toto ʻa hoʻomou moʻui; teu ʻekeʻi ia ʻi he nima ʻoe fanga manu kotoa pē; pea mei he nima ʻoe tangata; teu ʻekeʻi ʻae moʻui ʻae tangata mei he nima ʻoe kāinga ʻoe tangata kotoa pē.
0109060088	Ko ia ʻoku lilingi ʻae toto ʻoe tangata, ʻe lilingi hono toto ʻe he tangata: he naʻe ngaohi ʻae tangata ʻi he tatau ʻoe ʻOtua.
010907006f	Pea ko kimoutolu, ke mou tupu, pea fakatokolahi mo fanafanau lahi ʻi he fonua, pea tupu ke tokolahi ʻi ai.”
010908004b	Pea naʻe folofola ʻae ʻOtua kia Noa, pea ki hono ngaahi foha, ʻo pehē,
0109090063	“Vakai, ko au, ʻoku ou fokotuʻu ʻeku fuakava kiate kimoutolu, mo homou hako ʻe tupu fakaholo;
01090a010e	Pea ki he ngaahi meʻa moʻui kotoa pē ʻoku ʻiate kimoutolu, ʻae fanga manupuna, mo e fanga manu lalata, mo e fanga manu vao kotoa pē ʻoe fonua ʻoku ʻiate kimoutolu; ʻaia kotoa pē ʻoku ʻalu atu mei he vaka, pea mo e fanga manu vao kotoa pē ʻe ʻi he fonua.
01090b00bf	Pea te u fokotuʻu ʻeku fuakava mo kimoutolu; pea ʻe ʻikai toe motuhi ʻae kakano kotoa pē ʻe he ngaahi vai ʻo ha lōmaki; pea ʻe ʻikai toe ai ha lōmaki ke fakaʻauha ʻa māmani.”
01090c00be	Pea naʻe pehē ʻe he ʻOtua, “Ko eni ʻae fakaʻilonga ʻoe fuakava kuo u fai mo kimoutolu mo e ngaahi meʻa moʻui kotoa pē ʻoku ʻiate kimoutolu, ki he ngaahi toʻutangata taʻetuku:
01090d006d	‌ʻOku ou ai ʻeku ʻumata ʻi he ʻao, pea ʻe fakaʻilonga ʻaki ia ʻae fuakava ʻiate au mo māmani.”
01090e005d	Pea ʻe pehē, “O kau ka ʻomi ʻae ʻao ki he fonua, ʻe hā mai ʻae ʻumata ʻi he ʻao:
01090f00d5	Pea te u manatu ki heʻeku fuakava, ʻaia kuo u fai mo kimoutolu mo e ngaahi meʻa moʻui kotoa pē ʻoe kakano kotoa pē; pea ʻe ʻikai toe hoko ʻae ngaahi vai, ko e lōmaki ke fakaʻauha ʻae kakano kotoa pē.
01091000c7	Pea ʻe ʻi he ʻao ʻae ʻumata; pea te u vakai ki ai, koeʻuhi ke u manatu ki he fuakava taʻengata ʻae ʻOtua mo e ngaahi meʻa moʻui kotoa pē ʻoe kakano kotoa pē, ʻaia ʻoku ʻi māmani.”
010911009f	Pea naʻe folofola ʻe he ʻOtua kia Noa, “Ko eni ʻae fakaʻilonga ʻoe fuakava, ʻaia kuo u fokotuʻu ʻiate au mo e kakano kotoa pē ʻoku ʻi māmani.”
0109120081	Pea ko e ngaahi foha ʻo Noa, ʻaia naʻe ʻalu atu mei he vaka, ko Semi, mo Hami, mo Sefeti: pea ko Hami ko e tamai ʻa Kēnani.
0109130062	Ko eni ʻae foha ʻe toko tolu ʻo Noa pea naʻe fakakakai ʻa māmani kotoa pē ʻiate kinautolu.
0109140045	Pea naʻe kamata ʻa Noa ke tauhi ngoue, pea ne tō ʻae ngoue vaine:
0109150058	Pea inu ʻe ia ʻi he uaine, pea kona ai: pea naʻe telefua ia ʻi hono fale fehikitaki.
010916007f	Pea naʻe mamata ʻa Hami, ko e tamai ʻa Kēnani, ki he telefua ʻo ʻene tamai, pea tala ʻe ia ki hono ongo tokoua ʻituʻa.
01091700f0	Pea naʻe toʻo ʻe Semi mo Sefeti ʻae kofu, pea na ai ia ki hona uma, pea naʻa na fakaholomui, pea ʻufiʻufi ʻae telefua ʻo ʻena tamai, pea naʻe hanga kimui hona mata, pea naʻe ʻikai mamata ʻekinaua ki he telefua ʻo ʻena tamai.
0109180068	Pea naʻe ʻā ʻa Noa mei heʻene uaine, pea ʻilo ʻe ia ʻaia naʻe fai kiate ia ʻe hono foha kimui.
0109190075	Pea pehē ʻe ia, “Ke malaʻia ʻa Kēnani. ʻE hoko ia ko e tamaioʻeiki ʻoe kau tamaioʻeiki ki hono kāinga.”
01091a0072	Pea pehē ʻe ia, “Ke monūʻia ʻa Sihova ko e ʻOtua ʻo Semi; pea ʻe hoko ʻa Kēnani ko ʻene tamaioʻeiki.
01091b008f	E fakalahi ʻe he ʻOtua ʻa Sefeti, pea ʻe nofo ia ʻi he ngaahi fale fehikitaki ʻo Semi; pea ʻe hoko ʻa Kēnani ko ʻene tamaioʻeiki.”
01091c0055	Pea naʻe moʻui ʻa Noa hili ʻae lōmaki ʻi he taʻu ʻe tolungeau ma nimangofulu.
01091d005b	Pea naʻe hivangeau ma nimangofulu taʻu ʻae ngaahi ʻaho kotoa pē ʻo Noa: pea pekia ia.
010a010095	Ko eni ʻae tala hohoko ʻoe ngaahi foha ʻo Noa, ko Semi, mo Hami, mo Sefeti: pea naʻe fanauʻi kiate kinautolu ʻae ngaahi foha hili ʻae lōmaki.
010a020069	Ko e ngaahi foha ʻo Sefeti; ko Komela, mo Mekoki, mo Metai, mo Savani, mo Tupale, mo Meseke, mo Tailasa.
010a030046	Pea ko e ngaahi foha ʻo Komela; ko ʻAsekinasa, mo Lifata, mo Tokama.
010a040053	Pea ko e ngaahi foha ʻo Savani; ko ʻElaisa, mo Taʻasisi, mo Ketimi, mo Totenimi.
010a0500ad	Naʻe vahevahe kiate kinautolu ni ʻae ngaahi fonua ʻoe ngaahi puleʻanga ke nau fonua ʻaki; ke taki taha ʻi hono lea mo honau faʻahinga, pea mo honau ngaahi puleʻanga.
010a060049	Pea ko e ngaahi foha ʻo Hami; ko Kusa, mo Misilemi, mo Futi, mo Kēnani.
010a070086	Pea ko e ngaahi foha ʻo Kusa; ko Sipa, mo Havila, mo Sapita, mo Leama, mo Sapetika: pea ko e ongo foha ʻo Leama; ko Sipa, mo Titani.
010a080057	Pea naʻe tupu ia Kusa, ʻa Nimilote: pea naʻe hoko ia ko e tokotaha lahi ʻi māmani.
010a0900af	Ko e tangata tuli manu fakamanavahē ia ʻi he ʻao ʻoe ʻEiki: ko ia ʻoku ai ʻae lea ʻoku pehē, “ʻO hangē ko Nimilote ko e tuli manu lahi ʻi he ʻao ʻoe ʻEiki.”
010a0a006e	Pea ko e kamataʻanga ʻo hono puleʻanga ko Pepeli, mo ʻIleke, mo ʻAkata, mo Kalina, ʻi he fonua ko Saina.
010a0b0068	Naʻe ʻalu atu ʻa ʻAsilia mei he fonua ko ia, pea ne langa ʻa Ninive, mo e kolo ko Leopote, mo Kela,
010a0c003f	Mo Lisini ʻi he vahaʻa ʻo Ninive mo Kela: ko e kolo lahi ia.
010a0d0050	Pea naʻe tupu ia Misilemi ʻa Lutimi, mo ʻAnamemi, mo Lehapimi, mo Nafituhemi,
010a0e004f	Mo Patilusime, mo Kasiluhemi, (naʻe tupu mei ai ʻa Filisitia,) mo Kafitolime.
010a0f0040	Pea naʻe tupu ia Kēnani ʻa Saitoni ko hono ʻuluaki, mo Heti,
010a10002e	Mo e kakai Sepusi, mo e ʻAmoli, mo e Keakasa,
010a110023	Mo e Hevi, mo e ʻAlaka, mo e Sina,
010a120068	Mo e ʻAvati, mo e Semali, mo e Hemati; pea hili ia naʻe movete atu ʻae ngaahi faʻahinga ʻo Kēnani.
010a1300ba	Pea ko e ngataʻanga fonua ʻoe kakai Kēnani naʻe [fai] mei Saitoni, ʻi hoʻo haʻu mei Kilai ki Kesa; ʻi hoʻo ʻalu ai ki Sotoma mo Komola, mo ʻAtima, mo Sipoimi ʻo aʻu ki Lesa.
010a140084	Ko e ngaahi foha eni ʻo Hami, ʻi honau ngaahi faʻahinga, mo e nau ngaahi lea, ʻi honau ngaahi fonua, mo honau ngaahi puleʻanga.
010a150087	Ko Semi foki, ʻaia ko e tamai ʻae fānau kotoa pē ʻa ʻIpela, ko e tehina ʻo Sefeti ko e lahi, naʻe ai foki ʻae fānau kiate ia.
010a160052	Ko e fānau ʻa Semi; ko ʻIlami, mo ʻAsuli, mo ʻAfakisati, mo Luti, mo ʻElami.
010a170042	Pea ko e fānau ʻa ʻElami; ko ʻUsi, mo Uli, mo Ketali, mo Masi.
010a18004a	Pea naʻe tupu ia ʻAfakisati ʻa Sela, pea fakatupu ʻe Sela ʻa ʻIpela.
010a1900b4	Pea naʻe fanauʻi kia ʻIpela ʻae ongo foha; ko e hingoa ʻoe tokotaha ko Peleki: he naʻe vahevahe ʻae fonua ʻi hono ngaahi ʻaho; pea ko e hingoa ʻo hono tokoua ko Sokitani.
010a1a004e	Pea naʻe tupu ia Sokitani ʻa ʻAlimotate, mo Silefi, mo Hesamevete, mo Sela,
010a1b0023	Mo Hatolame, mo ʻUsali, mo Tikila,
010a1c0023	Mo ʻOpale, mo ʻApimaeli, mo Sipa.
010a1d004e	Mo ʻOfeli, mo Havila, mo Sopapi: ko e ngaahi foha eni kotoa pē ʻo Sokitani.
010a1e0068	Pea ko honau nofoʻanga naʻe [fai] mei Mesa, ʻi hoʻo ʻalu ʻo aʻu ki Sefa ko e moʻunga ʻi hahake.
010a1f0083	Ko e ngaahi foha eni ʻo Semi, ʻi honau ngaahi faʻahinga, mo e nau ngaahi lea, mo honau ngaahi fonua, mo honau ngaahi puleʻanga.
010a2000d1	Ko eni ʻae ngaahi faʻahinga ʻoe ngaahi foha ʻo Noa, mo honau ngaahi toʻutangata, ʻi honau ngaahi puleʻanga: pea naʻe vahe vahe ʻiate kinautolu ni ʻae ngaahi puleʻanga ʻo māmani, hili ʻae lōmaki.
010b01003a	Pea naʻe ngutu taha pe ʻa māmani kotoa, mo lea taha pe.
010b020076	Pea naʻe hoko, ʻi heʻenau fononga mei hahake, naʻa nau ʻilo ai ʻae toafa ʻi he fonua ko Saina; pea nau nofo ai.
010b0300b1	Pea naʻa nau fepehēʻaki, “Vakai, ke tau ngaohi ʻae makaʻumea, pea taʻo ia ke vela ʻaupito. Pea naʻa nau maka ʻaki ʻae makaʻumea, mo nau lahe ʻaki ʻae kelepulu.”
010b0400ec	Pea naʻa nau pehē, “Vakai, ke tau langa moʻotautolu ha kolo mo e fale māʻolunga, kae aʻu hono tuʻa fale ki langi; pea tau fakaongoongoa ʻa hotau hingoa, telia naʻa fakamovetevete ʻakitautolu ki he funga ʻo māmani kotoa.”
010b05007d	Pea naʻe hāʻele hifo ʻa Sihova, ke ʻafio ki he kolo mo e fale māʻolunga, ʻaia naʻe langa ʻe he fānau ʻae tangata.
010b0600cc	Pea naʻe pehē ʻe Sihova, “Vakai, ʻoku taha pe ʻae kakai, pea ʻoku nau lea taha pe; pea kuo nau kamata fai eni: pea ko eni, ʻe ʻikai taʻofia ʻakinautolu, ʻi ha meʻa kuo nau fakakaukau ke fai.
010b070061	Vakai, ke tau ʻalu hifo, pea veuveuki ʻenau lea, koeʻuhi ke ʻoua naʻa nau feʻiloaki lea.”
010b08007c	Ko ia naʻe fakamovetevete ai ʻakinautolu ʻe Sihova ki he funga ʻo māmani kotoa pē: pea naʻa nau tuku ʻae langa kolo.
