0100000018	ഉല്പത്തി
01041400d1	ആദാ യാബാലിനെ പ്രസവിച്ചു; അവൻ കൂടാരവാസികൾക്കും പശുപാലകർക്കും പിതാവായിരുന്നു.
0104150117	അവന്‍റെ സഹോദരന് യൂബാൽ എന്നു പേർ. ഇവൻ കിന്നരവും ഓടക്കുഴലും വായിക്കുന്ന എല്ലാവർക്കും പിതാവായിത്തീർന്നു.
0104160160	സില്ലാ തൂബൽകയീനെ പ്രസവിച്ചു; അവൻ ചെമ്പുപണിക്കാരുടെയും ഇരിമ്പുപണിക്കാരുടെയും ഗുരുവായിരുന്നു; നയമാ ആയിരുന്നു തൂബൽകയീൻ്റെ സഹോദരി.
010417026a	ലാമെക്ക് തന്‍റെ ഭാര്യമാരോടു പറഞ്ഞത്: “ആദയും സില്ലയും ആയുള്ളോരേ, എന്‍റെ വാക്കു കേൾക്കുവിൻ; ലാമെക്കിൻ ഭാര്യമാരേ, എന്‍റെ വചനത്തിനു ചെവിതരുവിൻ! എന്നെ മുറിപ്പെടുത്തിയ ഒരു പുരുഷനെയും എന്നെ പരിക്കേൽപ്പിച്ച ഒരു യുവാവിനെയും ഞാൻ കൊന്നു.
01041800f9	കയീനുവേണ്ടി ഏഴിരട്ടി പകരം ചെയ്യുമെങ്കിൽ ലാമെക്കിനുവേണ്ടി എഴുപത്തേഴു ഇരട്ടി പകരം ചെയ്യും.”
01041901d0	ആദാം തന്‍റെ ഭാര്യയെ പിന്നെയും പരിഗ്രഹിച്ചു; അവൾ ഒരു മകനെ പ്രസവിച്ചു: “കയീൻ കൊന്ന ഹാബെലിനു പകരം ദൈവം എനിക്ക് മറ്റൊരു സന്തതിയെ തന്നു” എന്നു പറഞ്ഞ് അവനു ശേത്ത് എന്നു പേരിട്ടു.
01041a010c	ശേത്തിനും ഒരു മകൻ ജനിച്ചു; അവനു ഏനോശ് എന്നു പേരിട്ടു. ആ കാലത്ത് യഹോവയുടെ നാമത്തിലുള്ള ആരാധന തുടങ്ങി.
010501011b	ആദാമിന്‍റെ വംശപാരമ്പര്യമാണിത്: ദൈവം മനുഷ്യനെ സൃഷ്ടിച്ചപ്പോൾ ദൈവത്തിന്‍റെ സാദൃശ്യത്തിൽ അവനെ ഉണ്ടാക്കി.
0105020127	ആണും പെണ്ണുമായി അവരെ സൃഷ്ടിച്ചു; സൃഷ്ടിച്ച നാളിൽ അവരെ അനുഗ്രഹിക്കുകയും അവർക്ക് ആദാമെന്നു പേരിടുകയും ചെയ്തു.
0105030157	ആദാമിന് നൂറ്റിമുപ്പത് (130) വയസ്സായപ്പോൾ അവൻ തന്‍റെ സാദൃശ്യത്തിലും സ്വരൂപപ്രകാരം ഒരു മകന് ജന്മം നൽകി; അവനു ശേത്ത് എന്നു പേരിട്ടു.
0105040111	ശേത്തിനു ജന്മം നൽകിയശേഷം ആദാം എണ്ണൂറു വർഷം (800) ജീവിച്ചിരുന്നു; അവനു പുത്രന്മാരും പുത്രിമാരും ഉണ്ടായി.
01050500e4	ആദാമിന്‍റെ ആയുഷ്കാലം ആകെ തൊള്ളായിരത്തിമുപ്പതു (930) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
010506009d	ശേത്തിന് നൂറ്റഞ്ചു (105) വയസ്സായപ്പോൾ അവൻ ഏനോശിനു ജന്മം നൽകി.
010507012b	ഏനോശിനെ ജനിപ്പിച്ച ശേഷം ശേത്ത് എണ്ണൂറ്റേഴു (807) വർഷം ജീവിച്ചിരുന്നു പുത്രന്മാർക്കും പുത്രിമാർക്കും ജന്മം നൽകി.
01050800ee	ശേത്തിൻ്റെ ആയുഷ്കാലം ആകെ തൊള്ളായിരത്തി പന്ത്രണ്ട് (912) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
0105090093	ഏനോശിന് തൊണ്ണൂറു (90) വയസ്സായപ്പോൾ അവൻ കേനാനു ജന്മം നൽകി.
01050a015f	കേനാനെ ജനിപ്പിച്ച ശേഷം ഏനോശ് എണ്ണൂറ്റിപ്പതിനഞ്ചു (815) വർഷം ജീവിച്ചിരുന്നു പുത്രന്മാർക്കും പുത്രിമാർക്കും ജന്മം നൽകി ജനിപ്പിച്ചു.
01050b00db	ഏനോശിൻ്റെ ആയുഷ്കാലം ആകെ തൊള്ളായിരത്തിയഞ്ചു (905) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
01050c0098	കേനാന് എഴുപത് (70) വയസ്സായപ്പോൾ അവൻ മഹലലേലിനെ ജനിപ്പിച്ചു.
01050d013d	മഹലലേലിനെ ജനിപ്പിച്ച ശേഷം കേനാൻ എണ്ണൂറ്റിനാല്പത് (840) വർഷം ജീവിച്ചിരുന്നു പുത്രന്മാർക്കും പുത്രിമാർക്കും ജന്മം നൽകി.
01050e00e1	കേനാന്‍റെ ആയുഷ്കാലം ആകെ തൊള്ളായിരത്തിപ്പത്തു (910) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
01050f00a8	മഹലലേലിന് അറുപത്തഞ്ചു (65) വയസ്സായപ്പോൾ അവൻ യാരെദിനു ജന്മം നൽകി.
010510013d	യാരെദിനെ ജനിപ്പിച്ച ശേഷം മഹലലേൽ എണ്ണൂറ്റിമുപ്പതു (830) വർഷം ജീവിച്ചിരുന്നു പുത്രന്മാർക്കും പുത്രിമാർക്കും ജന്മം നൽകി.
01051100f6	മഹലലേലിന്‍റെ ആയുഷ്കാലം ആകെ എണ്ണൂറ്റിത്തൊണ്ണൂറ്റഞ്ചു (895) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
01051200c3	യാരെദിന് നൂറ്ററുപത്തിരണ്ടു (162) വയസ്സായപ്പോൾ അവൻ ഹാനോക്കിനെ ജനിപ്പിച്ചു.
0105130127	ഹാനോക്കിനെ ജനിപ്പിച്ച ശേഷം യാരെദ് എണ്ണൂറു (800) വർഷം ജീവിച്ചിരുന്നു പുത്രന്മാരെയും പുത്രിമാരെയും ജനിപ്പിച്ചു.
01051400f7	യാരെദിൻ്റെ ആയുഷ്കാലം ആകെ തൊള്ളായിരത്തി അറുപത്തിരണ്ടു (962) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
01051500b1	ഹാനോക്കിന് അറുപത്തഞ്ചു (65) വയസ്സായപ്പോൾ അവൻ മെഥൂശലഹിനെ ജന്മം നൽകി.
010516016b	മെഥൂശലഹിനെ ജനിപ്പിച്ച ശേഷം ഹാനോക്ക് മുന്നൂറു (300) വർഷം ദൈവത്തോടുകൂടെ നടക്കുകയും പുത്രന്മാരെയും പുത്രിമാരെയും ജനിപ്പിക്കുകയും ചെയ്തു.
01051700ba	ഹാനോക്കിൻ്റെ ആയുഷ്കാലം ആകെ മുന്നൂറ്റി അറുപത്തഞ്ചു (365) വർഷമായിരുന്നു.
01051800c2	ഹാനോക്ക് ദൈവത്തോടുകൂടെ നടന്നു, ദൈവം അവനെ എടുത്തുകൊണ്ടതിനാൽ കാണാതെയായി.
01051900bb	മെഥൂശലഹിന് നൂറ്റെൺപത്തേഴു (187) വയസ്സായപ്പോൾ അവൻ ലാമെക്കിനു ജന്മം നൽകി.
01051a0159	ലാമെക്കിനെ ജനിപ്പിച്ച ശേഷം മെഥൂശലഹ് എഴുനൂറ്റി എൺപത്തിരണ്ടു (782) വർഷം ജീവിച്ചിരുന്നു പുത്രന്മാർക്കും പുത്രിമാർക്കും ജന്മം നൽകി.
01051b00fd	മെഥൂശലഹിൻ്റെ ആയുഷ്കാലം ആകെ തൊള്ളായിരത്തി അറുപത്തൊമ്പതു (969) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
01051c00bc	ലാമെക്കിന് നൂറ്റെൺപത്തിരണ്ടു (182) വയസ്സായപ്പോൾ അവൻ ഒരു മകനു ജന്മം നൽകി.
01051d0183	“യഹോവ ശപിച്ച ഭൂമിയിൽ നമ്മുടെ പ്രവൃത്തിയിലും നമ്മുടെ കൈകളുടെ അദ്ധ്വാനത്തിലും ഇവൻ നമ്മെ ആശ്വസിപ്പിക്കും” എന്നു പറഞ്ഞ് അവനു നോഹ എന്നു പേർ ഇട്ടു.
01051e014c	നോഹയെ ജനിപ്പിച്ച ശേഷം ലാമെക്ക് അഞ്ഞൂറ്റി തൊണ്ണൂറ്റഞ്ചു (595) വർഷം ജീവിച്ചിരുന്നു പുത്രന്മാരെയും പുത്രിമാരെയും ജനിപ്പിച്ചു.
01051f00e4	ലാമെക്കിൻ്റെ ആയുഷ്കാലം ആകെ എഴുനൂറ്റെഴുപത്തേഴു (777) വർഷമായിരുന്നു; പിന്നെ അവൻ മരിച്ചു.
