2900000006	Marcos
29100e00f7	Hin bandan huli, kaban nanangana labinggiha nan tagahunul, nagpaakit mêt hi Apu Jesus kanla. Pinannunghungan nay libun ati ta ah hila nananampalataya buy mangatigasaꞌ pusu la. Ta alwa hilan naniniwala ha kuwintun nakaakit kanan nabyay yan uman.
29100f0076	Ambalan Apu Jesus kanla, “Maku kawu ha buun kalutaan, ipangaral yuy Mahampataꞌ Balita tungkul kangku ha laat tawu.
2910100075	Hay laataꞌ manampalataya buy magpabawtismu, maligtas ha kaparusaan, nuwa hay laataꞌ ahê manampalataya, parusaan.
29101100b2	Buy atiyaꞌ palatandaanaꞌ maakit ha tawtawung nananampalataya kangku. Ha kangkun kapangyarian, magpaalih hilan anitu, mannunghung hilan kanayun salitan ahê pun naitudu kanla.
291012008a	Nu mandamput hilan awꞌutan u makaênêm hitalagyuman lasun, ah hila mapahamak. Nu patungan lan gamêt lay mayin hakit, gumaling hila.”
291013005d	Pagkayarin nannunghung Apu Jesus kanla, indakêy ya ha langit ta nitnu ya ha kanan Apu Diyus.
29101400b0	Nakuy namanaꞌ tawtagahunul na ha iba iban rugal ha kalutaan ta nangaral. Tinulungan hilan Panginuun manggawan hawhimala. Haatin, pinapêtgan nay libun pangangaral Apu Jesus.]
3100000005	Efeso
3101010098	Haku hi Pabloy alagad Apu Jesu Cristo ayun ha kaluuban Apu Diyus. Nanyulataku kayun libun tiga Efeso ya pinilin Apu Diyus buy tapat kan Apu Jesu Cristo.
3101020083	Indadalangin kun mapakayuy kahampatan buy kapayapaanaꞌ ibat ha Bapa tamun hi Apu Diyus buy ha Panginuun tamun hi Apu Jesu Cristo.
3101030169	Puriin tamu hi Apu Diyus ya Bapan Panginuun tamun hi Apu Jesu Cristo. Ta ha pakikigiha tamu kan Apu Jesus, inꞌibi na kantamuy laataꞌ pagpapalan ibat ha langit. Bayu na pun likhaênaꞌ mundu, ha pamêmêêtan pakikigiha tamu kan Apu Jesu Cristo, pinili nay na kitamu takay magin banal buy alan maakitaꞌ malaêt ha pamalayan na. Ta ha pagmamaal na kantamu,
310105008a	hinhatu puniꞌ intalaga nay na kitamu takay magin awꞌanak na ha pamêmêêtan Apu Jesu Cristo. Ta habayinaꞌ labay na buy kaluuban na,
3101060078	taêmên puriin tamu hi Apu Diyus ta ha makapagtaka nang biyayan inꞌibi na kantamu ha pamêmêêtan minamaal nan Anak.
31010700d5	Ha pamêmêêtan dayan Apu Jesus, tinubus kitamuy na, ya hay labay sabin pinatawadanay kawkasalanan tamu. Alan katbuhaꞌ biyayan impagkaluub kantamun Apu Diyus, ta binyanan na kitamun kabiyahaan buy pagkatêbêk,
310109005d	takay matêbêkaꞌ lihimaꞌ planu na ya labay nan matupad ha pamêmêêtan Apu Jesu Cristo.
31010a008a	Atiyaꞌ planu na: paglatêng takdang panawun paggihaên nay dilag ha langit buy ha luta, ya magin sakupanan kapangyarian Apu Jesu Cristo.
31010b00b1	Ginagawan Apu Diyus ya laataꞌ bagay ayun ha planu buy kaluuban na. Buy ayun ha planu na hinhatu pun, pinili na kami takay magin kana ha pamêmêêtan pakikigiha kan Apu Jesus.
31010c0051	Ginawa nay habatu takay hakamin ni unan nanampalataya kan Apu Jesus magpuri kana.
31010d00ee	Hakaw man nakigiha kawu kan Apu Jesu Cristo hin nalêngê yuy kapêtêgan, ya hay Mahampataꞌ Balita nu pakapakun kawun miligtas. Ta ha pananampalataya yu kana, inꞌibi nay Ispiritu na ya impangaku na bilang tanda ya pagꞌaari na kawu.
31010e00e9	Hay Banalaꞌ Ispirituy inꞌibi na kantamu taêmên magpatunayaꞌ matanggap tamuy ibat ha Apu Diyus ya impangaku na kantamun awꞌanak na, anggan ha matanggap tamuy lubusaꞌ kaligtasan. Dahilan kayti puriin ya ta ha kahampatan na!
31010f0072	Kaya ban, hin nabalitꞌan kuy pananampalataya yu ha Panginuun Jesus buy hay pagmamaal yu ha pawpinilin Apu Diyus,
3101100056	panayaꞌ pasasalamat ku kan Apu Diyus dahilan kayu. Buy panay kitawun impapanalangin.
31011100be	Impipikikwa ku kan Apu Diyus, ya dakilan Bapan Panginuun tamun hi Apu Jesu Cristo, ya biyan na kawun kabiyahaan buy pagkatêbêkaꞌ ibat ha Banalaꞌ Ispiritu takay lalu yu ya pun makilala.
31011200bc	Impapanalangin ku mêtaꞌ pahawangên nay pusu yu buy ihipan takay matêbêk yuy pagꞌasan inlaan na kantamu, hay maalaga buy kasaganaanaꞌ pagpapala ya impangaku na ha libun pinili na.
31011300f7	Impapanalangin ku mêt kan Apu Diyus ya matandan yuy alan katbuhaꞌ kapangyarihan na para kantamun mananampalataya na. Hay kapangyarihanaꞌ atiyaꞌ ginamit na hin binyay nan uman hi Apu Jesus, buy hin pinaitnu nay na ha kanan na istu ha langit.
31011500f9	Kaya dilag ha lalên kapangyarihan Apu Jesus ya laataꞌ anitun naghahari, namamaala, awꞌanitun namumunu buy mayin kapangyarihan. Hay tungkulin nay ahê mapantayan hitalagyuman, alwan dili ha panawunaꞌ ati, nu alwan ha lumatêng punaꞌ panawun.
3101160081	Impagkatiwalan Apu Diyus kan Apu Jesu Cristoy laataꞌ bagay, buy ginawa yan pinunun laat ha ikahampat mananampalatayan miaawyun,
310117007d	ya hiyan pinakanawinin Apu Jesus. Hay laataꞌ mananampalatayan miaawyun hilay pinakanawinin Apu Jesus ya hiyay kabuuan laat.
3102010058	Hin hatu, inturing kawun natin Apu Diyus ta ha ah yu paghunul buy ha libun kasalanan yu.
31020200ce	Nanabiyay kawun nambuh ha tawtawung makamundu. Buy nagpasakup kawu ha kapangyarihan Satanas, ya harin libun anitu ha mundu ya hiya mêtaꞌ anitun manguna ha pusun tawtawu ya ahê hinuhumunul kan Apu Diyus.
31020300f0	Hinhatu, nanabiyay kitamun mêt laat katbuh la. Nanabiyay kitamu ha malaêtaꞌ kalabayan nawini tamu, buy hinuhunul tamuy mangalaêtaꞌ labay nawini tamu buy kaihipan. Ha kalagayan tamun bantu, awyun kitamu mêt hana ha parusan Apu Diyus.
3102040048	Nuwa maiingaluunaꞌ Apu Diyus buy talagan dakilay pagmamaal na kantamu,
3102050095	ta maski inturing na kitamun nati gawan ha libun kasalanan tamu, binyay na kitamun uman kaawyun Apu Jesus. Buy ha biyayan Apu Diyus, niligtas kitamu.
310206008d	Buy binyay kitamun Apu Diyus kaawyun Apu Jesu Cristo ta ha pakikigiha tamu kana, takay makaawyun na kitamun maghari ha kaharian na ha langit.
31020700ac	Ginawa nay habaytu takay ha lumatêngaꞌ panawun, maipakit na ha laataꞌ ah mapantayanaꞌ kasaganaan biyaya na ha kahampatan na kantamu ha pamêmêêtan Apu Jesu Cristo.
310208009e	Ta ha pamêmêêtan biyayan Apu Diyus, niligtas kawu hin nanampalataya kawu kan Apu Jesus, alwan ibataꞌ ati ha sarili yu nu alwan kaluubaꞌ atin Apu Diyus.
310209006a	Ah kawu miligtas ha pamêmêêtan libun mangahampataꞌ gawa yu, takay alan maipagyabangaꞌ hitalagyuman.
31020a00cb	Ta inlikha kitamun Apu Diyus. Buy ha pakikigiha tamu kan Apu Jesu Cristo, binyanan na kitamun bayun biyay, takay manggawa kitamun kahampatanaꞌ hinhatu puniꞌ intalagay nan Apu Diyus ya gawꞌên tamu.
31020b00f6	Kaya hakawun libun alwan Judio, ihipin yuy kalagayan yu hinhatu. Impanganak kawun alwan Judio buy innununghung libun Judio ya ah kawu nangingilala kan Apu Diyus ta ah la kawu katbuhaꞌ tuli. Nuwa hay pagkakatuli la, ha nawini dili ya gawan tawu.
31020c00e9	Pakaihipin yu mêtaꞌ hinhatun ah yu pun kilala hi Apu Jesu Cristo, ah kawu kabilang ha tiga Israel buy ah kawu sakup ha libun kasunduan Apu Diyus ayun ha pangaku na. Nabyay kawu ha mundun atin alan pagꞌasa buy alan kilalan Diyus.
31020d0068	Hinhatu madayu kawu kan Apu Diyus, nuwa hapaêg ha pamêmêêtan dayan Apu Jesus, naidani kawuy na kana.
31020e00f3	Hi Apu Jesu Cristoy pinangibatan kapayapaan tamu ta pinaggiha nay Hawjudio buy hay alwan Hawjudio. Buy ha pamêmêêtan pagkapaku na ha krus, inalih nay kapuutan ha balang giha nambuh pagkagiban padiraꞌ mamihiyay ha Hawjudio buy alwan Judio.
31020f00ad	Winalꞌan nan alagay kautuhan, kaawyunaꞌ libun utuh buy libun patakaran ati. Ginawa nay ati takay paggihaênaꞌ Hawjudio buy alwan Judio, ta baistu magkasunduy nay luwa.
3102100095	Hapaêgaꞌ gigihay nawini kitamuy na ha pamêmêêtan pagkamatiꞌ na ha krus, inalih nay nay patiyan tamu buy impagkasundu na kitamu kan Apu Diyus.
3102110100	Naku hi Apu Jesu Cristo kayti ha mundu takay ipangaral nay Mahampataꞌ Balitan naykasundu kayun alwan Hawjudio ya hin una madayu kawu kan Apu Diyus. Maski kanyan mêtaꞌ Hawjudio ya madani kan Apu Diyus, impangaral na mêt kanyanaꞌ Mahampataꞌ Balita.
3102120090	Hapaêg, pariparihu kitamuy nan makadani kan Apu Diyus ha pamêmêêtan kagigihay Banalaꞌ Ispiritu ta ha ginawan Apu Jesu Cristo para kantamu.
31021300a7	Kaya hakawun alwan Hawjudio, alwa kawuy nan dayuhan u tiga ibang bansa, nu alwan kabilang kawuy na ha pawpinilin Apu Diyus buy kabilang kawuy na ha pamilyan Apu Diyus.
31021400b0	Hakitamun libun mananampalataya, maiitbuh ha gihay biyagaꞌ batu ya hay haligi, hay awꞌalagad buy libun tagapannunghung, buy hay maalagan batun pundasyun hi Apu Jesu Cristo.
310215007d	Ha pamêmêêtan Apu Jesu Cristo, magkakatugnuy laat kagamitan ha biyagaꞌ batu buy magin gihay banalaꞌ timplun Panginuun.
31021600a4	Hakawun alwan Hawjudio ta ha pakikigiha yu kan Apu Jesu Cristo, naitugnu kawuy na ha libun Judio, ya nambuh kagamitan ha Timplun pinamimirmiyan Ispiritun Apu Diyus.
310301009f	Ta habatuy ginawan Apu Diyus, hakun hi Pabloy nabilanggu ta ha paglilingkud ku kan Apu Jesu Cristo ha pamêmêêtan awun panunudu ku para kayun alwan Hawjudio.
3103020061	Siguradun nabalitꞌan yun impagkatiwala kangkun Apu Diyus ya panunudun Mahampataꞌ Balita kayu.
310303005c	Katbuh ha innunghung ku ha sulataꞌ ati, impatanda kangkun Apu Diyus ya lihimaꞌ planu na.
3103040079	Kaban binabasa yuy sulat kun ati, matandan yuy pagkatêbêk ku ha lihimaꞌ planun Apu Diyus tungkul kan Apu Jesu Cristo.
31030500b3	Alwan impatandan Apu Diyus ya planun ati ha tawtawu hinhatu, nuwa hapaêg, ha pamêmêêtan Banalaꞌ Ispiritu, impangaral nay ati ha libun alagad na buy libun tagapannunghung na.
3103060101	Ati bayaꞌ planun Apu Diyus. Ha pamêmêêtan Mahampataꞌ Balita tungkul kan Apu Jesu Cristo, hay alwan Hawjudio, tagapagmana mêt pangakun Apu Diyus kaawyunaꞌ Hawjudio, buy nambuh mêtanaꞌ hilan gigihay nawini ta ha pakikigiha la kan Apu Jesu Cristo.
310307006a	Ta ha biyayan Apu Diyus buy ha pamêmêêtan kapangyarihan na, nagin tagapangaralakun Mahampataꞌ Balita.
31030800a7	Maski hakuy pinakamayêpa ha laat mananampalataya, piniliyaku pun Apu Diyus takay ipangaral ku ha alwan Hawjudioy ahê mapantayanaꞌ biyayan ibat kan Apu Jesu Cristo,
310309008b	buy ipatanda ku ha laat nu pakapakun matupadaꞌ planun Apu Diyus. Hi Apu Diyusaꞌ naylikhan laataꞌ bagay, hin una inlihim nay planu na,
31030a00b9	taêmên ha pamêmêêtan mananampalatayan miaawyun, maipatanda ha libun anghilaꞌ namumunu buy mayin katungkulan ha langit, hay kabiyahaan Apu Diyus ya naipangaral ha iba iban paraan.
31030b0067	Ati ya planu na hin umpisa pun, buy natupadanay ati ha pamêmêêtan Apu Jesu Cristo ya Panginuun tamu.
31030c008a	Ta ha pakikigiha kan Apu Jesu Cristo buy ha pananampalataya tamu kana, makadani kitamuy na kan Apu Diyus ya alan limu buy alan alinlangan.
31030d007a	Kaya hinihiling kun ah kawu hana pangꞌinaan luub ta ha libun pagꞌiirapaꞌ dinadanas ku, ta para ha ikahampat yuy ati.
31030e0040	Nu naaalala kuy planun Apu Diyus, magluhudaku ya magpupuri kana.
31030f0054	Hiyay Bapan libun dilag ha langit buy dilag ha luta ya intuturing nan buung pamilya.
3103100088	Impapanalangin ku kana ya palakasên nay luub yu ha pamêmêêtan Ispiritu na, ayun ha alang angganaꞌ kahampatan buy kapangyarihan na,
31031100a7	taêmên mamirmi hi Apu Jesu Cristo ha pawpusu yu ha pamêmêêtan pananampalataya yu. Impapanalangin ku mêtaꞌ magin matibay kawu buy matatag ha pagmamaal Apu Diyus
310312009c	takay matêbêk yu buy kanayun mêtaꞌ pinilin Apu Diyus nu antun kamhak, kakadang, katagꞌay buy nu pakapakun kalalêy pagmamaal Apu Jesu Cristo kantamu.
3103130069	Labay kun madanasan yuy alwan mapantayanaꞌ pagmamaal na taêmên magin ganap kawuy katangian Apu Diyus.
310314008c	Kaya puriin tamu hi Apu Diyus ya makagawan higit pun ha impipikikwa u inaasahan tamu ha pamêmêêtan kapangyarihan nan kinukumilus kantamu.
3103150078	Puriin tamu hi Apu Diyus makanuman ta ha ginawa na para ha mananampalatayan miaawyun ya dilag kan Apu Jesu Cristo. Amen.
3104010085	Kaya bilang gihay bilanggu ta ha paglilingkud ha Panginuun, hinihiling kun mabyay kawun karapatdapat bilang libun binawêg Apu Diyus.
3104020089	Magin mahinahun kawu, mapagpakayêpa, maunawaên buy mapagpasinsiya ha pagkukulang balan giha bilang pagpapakit pagmamaal ha balang giha.
3104030073	Pagsikapan yun ahê maalihaꞌ pagkakagiha yu ibat ha Ispiritun Apu Diyus ha pamêmêêtan mapayapan pamiaawyun yu.
3104040095	Ta gigihay nawini kitamun dili ya mayin gigihay Ispiritun Apu Diyus, buy gigiha mêtaꞌ pagꞌasang inꞌibi kantamu hin binawêg kitamun Apu Diyus.
310405005c	Gigihay Panginuun tamun hi Apu Jesus, gigihay pananampalataya, buy gigiha mêtaꞌ bawtismu.
310406006f	Gigiha hi Apu Diyus ya hiyay Bapa tamun laat. Naghahari ya ha laat, kinukumilus ya buy namimirmi kantamun laat.
3104070073	Nuwa maski bahagiꞌ kitamun gigihay nawini, binyanan nay balang giha kantamun kakayaan ayun ha kaluuban Apu Jesus.
310408008b	Katbuh ha innununghung ha Kasulatan, “Hin nagdakêy ya ha langit, gintan nay kanan nangadakêp buy binyanan nay naman biyayay tawtawu.”
3104090096	Hapaêg, hita kayay kaulugan awun, “Nagdakêy ya ha langit?” Hay labay sabin ati, bayu ya nagdakêy uman ha langit, nagtabuy ya pun kayti ha luta.
31040a0091	Buy hay nagtabuy kayti ha luta, hiya mêtaꞌ nagdakêy ha katagꞌay tagꞌayan langit takay magin lubusaꞌ kapangyarihan na ha laataꞌ bagay.
31040b00e9	Hay kanayun ginawa nan alagad, hay kanayun ginawa nan tagapannunghung Apu Diyus, buy hay kanayun ginawa nan maypatandan Mahampataꞌ Balita, buy hay kanayunaꞌ naman ginawa nan mangalênggêp libun mananampalataya buy maytudu kanla.
31040c007c	Ginawa nay ati takay ihanday pawpinili na ha paglilingkud, buy takay lumagu buy magin matatag hila bilang nawinin Apu Jesus.
31040d00c3	Ha paraanaꞌ ati, maabut tamun laataꞌ pagkakagiha ha pananampalataya buy pagkakilala ha Anak Apu Diyus, buy lumagu kitamun mananampalataya anggan ha magin ganap kitamun katbuh Apu Jesu Cristo.
31040e00a4	Ta nu maabut tamuy nay ati, alwa kitamuy nan katbuh anakaꞌ pabayuꞌbayuy ihip ya naaagkat tawtawu ha kamalaêtan, ya hay hangad la, gitanaꞌ tawtawu ha malukê.
31040f00a1	Ha halip, mannunghung kitamun kapêtêgan ya mayin pagmamaal takay ha laat bagay magin katbuh kitamun Apu Jesus ya hiyan pinakaꞌ u tamun libun mananampalataya.
310410010d	Ha pamêmêêtan na, pinitutugnu nay laataꞌ bahagin nawini na, ya alan kanayun nu alwan hay libun mananampalataya buy hay balang gihay mitutulung. Buy hay balan hinuhumunul ha impapagawan Apu Jesu Cristo ya mayin pagmamaal, inlulumagu buy tinutumatagaꞌ buun nawini.
3104110087	Ha lagyun Panginuun, impipilit kun ah kawuy na mamuhay katbuh tawtawung alwan nakakakilala kan Apu Diyus. Ta alan silbiyaꞌ inihip la,
31041200a4	buy ah la natêtêbêkaꞌ libun kapêtêganaꞌ tungkul kan Apu Diyus. Ta ha ala hilan tanda buy mangatigasaꞌ u la, ala hilan bayun biyay ya inꞌibin Apu Diyus.
3104130089	Alay na hilan kadêdêngꞌêyan, kaya nagpasakupanaꞌ hila ha mangaalaya kalabayan nawini la buy labay lan panay manggawan kadêmêkan.
3104140043	Nuwa hakawu, alwan habatuy natandan yu tungkul kan Apu Jesu Cristo.
310415005d	Nalêngê yuy nay tungkul kan Apu Jesus buy natuduwanan kawuy nan kapêtêganaꞌ dilag kana.
31041600af	Kaya alihin yuy nay daan yun pamumuhay ta gawꞌênaꞌ atin daan yung pagkatawu. Hay pagkatawu yun ati ya naypapahamak kayu ta ha mangalaêtaꞌ kalabayanaꞌ nanluluku kayu.
3104170037	Paulayên yun bayuun Apu Diyus ya ihip yu buy ugali yu.
3104180070	Ipakit yun binayu kawuy nan Apu Diyus buy binyan na kawun bayun biyay ya matuynung buy malinis katbuh Apu Diyus.
310419007d	Kaya ah kawuy na magsinungaling. Kapêtêgan tanay nunghungun yu ha pawpatêl yu, ta miaawyun kitamun laat ha gigihay nawini.
31041a007b	Nu mapuut kawu, ah yu paulayênaꞌ magkasala kawu. Buy ah yu paulayên dumanaꞌ allêwaꞌ puut kawu pun ha pawpatêl yu.
31041b0024	Ah yu biyan pagkakatawun hi Satanas.
31041c0070	Hay magnanakaw, andi yana manakaw, nu alwan magtrabahu yan marangal takay makatulung ya mêt ha nangangaylangan.
31041d0079	Ah kawu mannunghung malaêt nu alwan hay makahampat dili buy angkup ha kalagayan takay magin pakinabang ha nakakalêngê.
31041e0093	Buy ah yu palungkutanaꞌ Ispiritun Apu Diyus. Ta hay Ispirituy tatak ya kan Apu Diyus kawu, buy hiyay katibayan kaligtasan yu pangalatêng allêw.
31041f0087	Alihin yuy hitamanaꞌ hakit nakêm, puut, patiyan, pambubulas, panghihira ha kaparihu, pati laataꞌ kalasin mangalaêtaꞌ hangarên.
31042000a6	Ha halip, magin mabait kawu buy magin maingaluun ha balang giha. Buy magpatawad kawu ha balang giha katbuh pagpapatawad Apu Diyus kayu, ta ha ginawan Apu Jesu Cristo.
3105010048	Kaya tubhun yu hi Apu Diyus, ta hakawun laataꞌ minamaal nan awꞌanak.
310502009f	Mamuhay kawun mayin pagmamaal ha kaparihu yu katbuh pagmamaal kantamun Apu Jesus. Inꞌalay nay sarili na kantamu bilang kalugudlugudaꞌ handug kan Apu Diyus.
3105030067	Ta pinili na kawu, ah kawu dapat kalêngꞌan manggawan malaswa, mangaalay buy sakimaꞌ giha man kayu.
310504008e	Buy andi dapat malêngê kayuy mangalaswa u alan silbi ya nunghungan u mangalaêtaꞌ biru. Nu alwan panay kawun mapagpasalamat kan Apu Diyus.
31050500bf	Tandaan yu, alan tawun mapaawyun ha kaharian Apu Jesu Cristo buy Apu Diyus ya nakikitakpi, mangaalay ya pamumuhay, u sakim. Ta hay tawun sakim katbuh mêt nanampalataya ha libun diyusdiyusan.
31050600ac	Ah kawu magpaguluy ha alan silbin pangangatwiran kanayun tungkul ha mangalaêt lan gawaên. Ta ha bawbagayaꞌ ati, puutaꞌ puut hi Apu Diyus ha libun ah hinuhumunul kana.
3105070032	Kaya ah kawu makiawyun ha ginagawan tawtawung ati.
310508009e	Hinhatu nanabiyay kawu ha kadlêman, nuwa hapaêg, nahawangan kawuy na ta nakigiha kawuy na ha Panginuun. Kaya ipakit yu ha pamumuhay yuy nahawangan kawuy na.
310509005b	Ta nu hay gihay tawuy nahawanganana, maakit kanay kahampatan, katuynungan, buy kapêtêgan.
31050a0030	Pakatandan yu nu hita kalugudlugud ha Panginuun.
31050b007e	Ah kawu makiaawyun ha libun alan silbi ya ginagawan tawtawung dilag ha kadlêman, ha halip, ipatanda yu kanlay kamalaêtan la.
31050c0062	Ta kadêngꞌêy dêngꞌêy sabin maski pinununghungan diliyaꞌ bawbagayaꞌ ginagawa lan lihim.
31050d007a	Nuwa nu patandan yu hila ha mangalaêtaꞌ gawaên la, mahawangan hila buy matandan lan malaêt bayaꞌ libun ginagawa la.
31050e00a0	Ta hay laat maabut kapêtêgan, mahawanganana. Kaya bay innununghung, “Mapukaw ka, hakan natutuluy, mibangun ka ibat ha nawnati buy hawangan kan Apu Jesus.”
31050f0085	Kaya magꞌingat kawu nu pakapakun kawun mamuhay. Ah kawu mamuhay katbuh libun alwan biyaha, nu alwan mamuhay kawun katbuh bawbiyaha.
310510007c	Ah yu sayangênaꞌ panawun yu. Gamitin yuy ati ha panggawan mahampat, ta dêlay nanggagawan kamalaêtan ha panawunaꞌ ati.
3105110060	Kaya ah kawu magin muwmulala, nu alwan pakatandan yu nu hita kaluuban Panginuun ya gawꞌên yu.
310512007b	Ah kawu maglahing ta nakakahiday ati ha mahampataꞌ pamumuhay. Ha halip, paulayan yung mapuspus kawun Ispiritun Apu Diyus.
3105130088	Ha pamiaawyun yu, magkantaan kawun libun ibaꞌiban kalasin kanta para kan Apu Diyus. Buun pusu kawun magkanta buy magpuri ha Panginuun.
310514006e	Panay kawun magpasalamat kan Apu Diyus ya Bapa tamu ha laataꞌ bagay bilang mananampalatayan Apu Jesu Cristo.
3105150043	Magpasakup kawu ha balan giha bilang paggalang kan Apu Jesu Cristo.
310516004f	Bawbabayi, magpasakup kawu ha kayung ahawa katbuh pagpapasakup yu ha Panginuun.
31051700b2	Ta hay liyaki hiyay pinaka u awun ahawa na, katbuh Apu Jesus ya pinaka u awun mananampalataya ya hiyan pinakanawini na, buy hiya mêtaꞌ tagapagligtas mananampalatayan miaawyun.
3105180099	Kaya nu pakapakun nagpapasakupaꞌ mananampalatayan miaawyun kan Apu Jesus, habatu mêtaꞌ bawbabayi magpasakup mêt hila ha ahawa la ha laataꞌ bagay.
310519009c	Kaliyakyan, maalên yuy ahawa yu, katbuh pagmamaal Apu Jesu Cristo ha mananampalatayang miaawyun. Inꞌalay nay sarili na para ha mananampalatayang miaawyun
31051a006e	taêmên magin banal hila pagkayarin linisin ha pamêmêêtan pagbawtismu ha lanêm buy ha nunghung Apu Diyus.
31051b008f	Ginawa nay ati takay maiarap nay kanang sarili ha libun mananampalatayan miaawyun ya banal, alan kapintasan, buy alan hitamanaꞌ bahid dungis.
31051c009c	Habatu mêtaꞌ naman, dapat maalên liyaki hay kanang ahawa katbuh pagmamaal na ha kanang sarili. Ta hay nagmamaal ha kanang ahaway nagmamaal ha sarili na.
31051d00d6	Alan tawun nasusuklam ha sarili nan nawini, ha halip, pinapakan nay ati buy inaalênggêp. Habatu mêtaꞌ ginagawan Apu Jesus kantamu ya binabawêgaꞌ mananampalatayan miaawyun ta bahagiꞌ kitamuy nan nawini na.
31051f0082	Innununghung ha Kasulatan, “Itayak liyaki ya bapa na buy indu na buy makiawyun ya ha kanang ahawa buy hilan luway magin giha.”
3105200075	Malalêy kapêtêganaꞌ impahayag Apu Diyus. Impapakit kaytiya ugnayan awun Apu Jesus buy mananampalatayan miaawyun.
3105210087	Kaya hakawun libun kaliyakiyan, maalên yuy ahawa yu katbuh pagmamaal yu ha sarili yu. Buy hakawun bawbabayi, igalang yuy kayung ahawa.
3106010071	Hakawun awꞌanak, hunulun yuy mangatuwa yu ta habatuy dapat gawꞌên bilang libun mananampalataya ha Panginuun.
3106020054	“Igalang yuy bapa yu buy indu.” Atiyaꞌ unan utuh ya mayin kaawyunaꞌ pangaku.
310603005a	“Nu igalang yuy mangatuwa yu magin mahampat buy kumadangaꞌ biyay yu kayti ha mundu.”
31060400ba	Buy hakawuy namanaꞌ mangatuwa, ah kawu manggawan bagayaꞌ ikahakit nakêm awꞌanak yu. Ha halip, pakamhakên yu hilan mahampat buy tuduwanan yu hilan awꞌaralaꞌ ibat ha Panginuun.
3106050093	Hakawun awꞌalipên, hunulun yuy awꞌamu yu kayti ha luta ya mayin katapatan, paggalang buy pagkalimun dapay hi Apu Jesus ya pinaglilingkuran yu.
31060600a4	Gawꞌên yuy atin mayin kusan luub nakabalay man hila u alwa takay matula hila, ta awꞌalipên kawun Apu Jesu Cristo ya buun pusun nanggagawan kaluuban Apu Diyus.
3106070066	Maglingkud kawun buun pusu dapay ha Panginuun ya talagan pinaglilingkuran yu buy alwan dilin hay tawu.
310608006b	Alalahanên yuy gantimpalan Panginuun ha balan giha kayu ayun ha ginawa nan kahampatan, alipên man u alwa.
31060900bb	Buy hakawuy namanaꞌ awꞌamu, pakisamaan yun mahampataꞌ kayung awꞌalipên. Ah yu hila palimun, ta tanda yuy naman ya hakawu buy hila mayin gigihay amu ha langit, buy ah ya namimili.
31060a0067	Atiyaꞌ pagtatapus sulat ku, magpakatatag kawu ha Panginuun ha pamêmêêtan dakilan kapangyarihan na.
31060b007f	Gamitin yuy laataꞌ kagamitanaꞌ pandigma ya inꞌibi kayun Apu Diyus takay malabanan yuy libun mangalaêtaꞌ gawan Satanas.
31060c00a6	Ta hay kalaban tamuy alwan tawtawu nu alwan awꞌanitu ha babun luta, pawpinunu, mayin kapangyarihan buy libun tagapamaalan kadlêmanaꞌ namamayaniꞌ ha mundun ati.
31060d00bc	Kaya gamitin yuy laataꞌ kagamitan pandigma ya inꞌibi kayun Apu Diyus, takay ha urasaꞌ lumatêngaꞌ kamalaêtan, matatag kawu, buy pagkayari yun makipaglaban, manatili kawun malakas.
31060e007a	Kaya magin handa kawu. Gawꞌên yun sinturunaꞌ kapêtêgan. Isuut yuy pagkamatuynung yu bilang panyanga ha dêbdêb yu.
31060f005a	Isuut yu bilang sapatus ya nakahandang manudun Mahampataꞌ Balitan nanamꞌin kapayapaan.
3106100094	Alwan dilin hayin, gamitin yu mêt bilang panyangay pananampalataya yu takay ah kawu tablan libun panunuksun Satanas ya dapay panaꞌ ya nagliliyab.
3106110070	Ihambalilu yuy tinanggap yun kaligtasan, buy gamitin yu bilang katanay nunghung Apu Diyus ya kaluub Ispiritu na.
31061200cf	Buy manalangin kawu ha laataꞌ uras ha tulung Ispiritun Apu Diyus. Nu manalangin kawu magmakaingalu kawu buy mikikwa kana. Ah kawu magpabaya buy patuluy kawun manalangin laluy na para ha laataꞌ pinili na.
31061300a3	Ipanalangin yu ku mêt amun mangaralaku, ya biyan nakun Apu Diyus taman pannungnunghung takay maipangaral kun buun tapangaꞌ Mahampataꞌ Balitan inlihim hinhatu.
31061400b0	Ta inꞌutuhakun Apu Diyus takay mangaral awun Mahampataꞌ Balita ya dahilan pagkakakulung ku. Kaya ipanalangin yun maipangaral kun buung tapangaꞌ ati ta atiyaꞌ nararapat.
31061500ab	Hi Tykicus, ya minamaal tamun patêl buy tapataꞌ lingkud Panginuun, ya maybalita kayun laat tungkul kangku, takay matandan yuy kalagayan ku buy nu hita panggawꞌên ku.
310616006a	Atiyaꞌ dahilan angkaya pinalaku ku ya kayu takay matandan yuy tungkul kanyan buy palakasên nay luub yu.
3106170087	Pawpatêl, dalangin kun mapakayuy kapayapaan, pagmamaal buy pananamapalatayang ibat kan Apu Diyus ya Bapa tamu buy kan Apu Jesu Cristo.
3106180055	Labay kun mamirmi ya kahampatan Apu Jesu Cristo ha laat nagmamaal kanan alang anggan.
3200000007	Filipos
