0100000010	Яритилиш
01071000d5	Киргәнләр Худаниң Нуһқа буйруғинидәк әт егилириниң һәртүриниң әркәк-чишиси еди. Андин Пәрвәрдигар ишикни етивәтти.
01071100b4	Топан йәр йүзини уда қириқ күн бесип, сулар улғийип кәтти. Кемә йәр үстидин көтирилип ләйләп қалди.
010712008c	Су улғийип, йәр үстидә техиму егизләп кәтти; кемә су үстидә давалғуп туратти.
01071300ac	Сулар йәр йүзидә толиму улғийип, пүткүл асманниң астидики барлиқ егиз тағларниму бесип кәтти.
0107140083	Сулар [тағлардин] йәнә он бәш гәз өрләп, тағ чоққилириму су астида қалди.
010715012c	Буниң билән йәр йүзидә жүргүчи һәммә әт егилири, учар-қушлар, мал-чарвилар, явайи һайванлар, йәрдә өмилигүчи һәммә җаниварлар, җүмлидин пүткүл адәмләр һәммиси өлди;
0107160088	қуруқлуқта яшиғучи, бурнида һаятлиқ тиниқи бар болғанларниң һәммиси өлди.
01071701a7	Йәр йүзидики җени барларниң һәммиси, инсан болсун, мал-чарвилар болсун, өмилигүчи һайванлар болсун, асмандики қушлар болсун, һәммиси һалак болуп йәр йүзидин йоқ қилинди; пәқәт Нуһ вә кемидә униң билән биллә турғанлар қутулуп қалди.
0107180057	Бир йүз әллик күнгичә йәр йүзини су бесип турди.
010801015f	Худа Нуһни, шундақла кемидә униң билән биллә болған барлиқ явайи һайванлар билән барлиқ мал-чарвиларни әслиди. Шуниң билән Худа бир шамал чиқирип йәр йүзини йәлпүтти вә сулар йенишқа башлиди.
01080200c3	Чоңқур деңизларниң тәглиридики булақлар вә асманниң пәнҗирилири етилип, асмандин төкүлгән ямғур тохтиди.
0108030092	Сулар барғансери йәр йүзидин янди; бир йүз әллик күн өткәндин кейин хелә азлиди.
01080400a8	Йәттинчи айниң он йәттинчи күни, кемә Арарат тағ тизмилиридики бириниң үстидә тохтап қалди.
01080500b4	Сулар онинчи айғичә барғансери азийип, онинчи айниң биринчи күни тағ чоққилири көрүнүшкә башлиди.
0108060069	Қириқ күндин кейин Нуһ кемигә өзи орнатқан дәризини ечип,
010807009f	бир қузғунни сиртқа чиқарди. У йәр йүзидики сулар тартилип болғичә уян-буян учуп жүрди.
01080800ba	Униңдин кейин Нуһ суларниң йәр йүзидин тартилған-тартилмиғанлиғини билиш үчүн, бир кәптәрни чиқарди.
010809014f	Лекин сулар техичә пүткүл йәр йүзини қаплап турғачқа, кәптәр путини қойғидәк җай тапалмай, Нуһниң қешиға кемигә йенип кәлди. Шуниң билән Нуһ қолини сунуп уни тутуп, кемигә әкиривалди.
01080a006d	У йәттә күн сақлап, бу кәптәрни кемидин йәнә сиртқа чиқарди.
01080b011c	Кәптәр кәчтә униң қешиға йенип кәлди; мана, униң тумшуғида йеңи үзүвалған зәйтун йопурмиғи бар еди. Буни көрүп Нуһ суларниң йәр йүзидин тартилғинини билди.
01080c00bb	У йәнә йәттә күн сақлап, кәптәрни йәнә сиртқа чиқарди, амма бу қетим кәптәр униң йениға қайтип кәлмиди.
01080d0117	Нуһ алтә йүз бир яшқа киргән жили, биринчи айниң биринчи күнидә су йәр йүзидин қуруған еди. Нуһ кеминиң қапқиқини ечип қаривиди, йәрниң қуруғинини көрди.
01080e007b	Иккинчи айниң жигирмә йәттинчи күни, йәр йүзи пүтүнләй қуруп болди.
01080f00a7	У вақитта Худа Нуһқа сөз қилип: — Сән өзүң, аялиң, оғуллириң вә келинлириң кемидин чиқиңлар.
01081101fb	Өзүң билән биллә болған барлиқ әт егилиридин һәр бир түрдики җаниварларни, йәни учар-қанатларни һәм мал-чарвиларни, йәрдә өмилигүчи һайванларниң һәммисини өзүң билән қошуп кемидин елип чиққин; шуниң билән улар йәр йүзидә тарилип-тарқилип, нәсиллинип зиминда көпәйсун, — деди.
