2900000006	Markus
29050f008f	Kǝ ɓatnda thlǝmmat Yǝso, nak ndǝ nifi nak soh tǝ ɓǝɓi shemecha fǝyu, ɗas tǝ njelecha fa mǝlla hur iɗi'en thlaakǝnnda lechik nda.
2905100095	Fichile sǝt fichi ǝnnat kǝnna hwaniteng na ndǝyu, ndǝkǝn chekandǝndǝ ɗwaachik kǝnna kanda, i kǝs kǝ lǝ ɓǝɓi shemeɗiyu tǝ katuchiyu.
290511004c	Thlaakǝ nofchikǝn hwanang ndǝ Yǝso kǝ mallǝn thlet hǝmteng nandǝ hi.
2905120069	Kǝ nat Yǝso yimta kommbawal, nifi soh nak tǝ ɓǝɓi shemeɗi fiiyu hwanaǝn Yǝso wa nan ɗǝtkakǝn.
2905130098	Nat tǝ kichu Yǝso ngǝmmawusuwa, ndaǝnwa ɗu huri kǝ mbǝɗa fahchuwa, kǝ mbwa'angna kanda witǝ pǝktat ichi sutǝ Lǝmwanda tǝ haɗi haɗandufa.
29051400a9	Thlaakǝ nifiyu pǝɗakǝn ɗǝk na nata mbu i sandǝ ficha Dikafolis sakkǝtkǝn hǝmchǝ kum witǝ pǝktat i chi sandǝ Yǝso. Uf nofcha pǝɗang ǝnnatkǝn kandǝ fa.
2905150083	Yim kǝ Yǝso hur kommbawal chaǝn kǝ mi chicheng le, ɓak nofchi oiya kǝtwurangndǝhi mǝllan paɗ mǝlla mi chicheng hawurkǝn.
290516007b	Yunǝsǝ ǝrta naka kapat nifa a mbǝt humta Yahudawechihi, thlǝmkǝn wa Yayirus. Kǝ natǝn Yǝso himkǝnhi mbanitǝkǝn,
290517009f	nakna hwanandǝ ka'ǝn tǝ ndatwa: "Hwe'engna le nak nguɗeh, kǝ nuhhweya mǝlla miya murta, nja hwanuta tama kǝ ɗǝnna tǝkaharfa kǝthlǝm kǝ kǝnkaɗi."
2905180047	Pǝɗak Yǝso tǝndi, kuwurkǝ nofchi kandǝ oi nangnda njekkathlǝndi.
290519004a	Nuhnifǝssa mbǝnniyu hurak kum ngǝrǝnsǝ chap tǝ hafat thlǝrfwara fa.
29051a0099	A sheetǝ pwanchǝ oi a hara fafǝr hamɓǝɓecha, tuɓwaɗǝ i nak sǝ'en nat, chika tǝ kichu mbǝsutǝ sǝmmǝchitwa hafatkǝn nakǝn kǝmban kǝmban.
29051b0068	Kǝ sǝktǝn kussheng Yǝso, ɗǝkǝn tǝ ɗifitǝkǝn tǝ hur terǝ nofchiyu tǝka'ǝn hara njela'enfa.
29051c0039	Nak na yarǝwa: "Matǝkaɗi hara njela'enfa ni kǝndaɗi"
29051d0044	Chatkichuyu thlarkǝ thlǝrfwarkǝn hi, sǝkkǝnsa fat'enwa kinaɗi.
29051e008a	Chatkichuyu sǝkkǝ Yǝso cheɗ alchǝta kishsha fat'en, tǝɓɓǝrkǝn hi hur terǝ nofcha ndakǝnwa: "Wun tǝkang hara njele'engnǝ fa?"
29051f005f	Ngǝmang kimshechi'en wa: "Sa nat nofchǝ njekthlǝnjekthla, kanna ndatwa, wun tǝkukǝ harfa?"
2905200038	Kǝlak Yǝso hi kǝthlǝm kǝ nan ndu wun tǝkang harfa.
2905210064	Nuhiyu kǝ sǝntǝn i sǝka fat'en lechikǝn, ɓakna mbǝsndi kopkǝnhi mbwaǝn nat kitchit i'sǝka.
2905220057	Ndaǝnwa: "Hwe'engna, fǝrkitchiɗeku kǝnuɗaɗi. Pǝɗu ngwalngwal, kinhafaɗekuɗi."
2905230086	Mǝlla ɗar shunda chat ɓak funa mbǝɗa Yayirus kapat nifa ndangnduwa: "Hwe'eku teppa miri! mǝ sǝk natu ɓahandǝ Malɗǝm paɗi?"
2905240077	Nattǝ kicchu Yǝso ɗufutǝ i'nda i nannda mbutuwa, ndangna kapat nifǝkǝnwa: "Mǝlechinuwa, so kǝn fǝru kit ndak."
290525005d	Malautǝ, chikka wun kǝ kurǝn ndǝwa tǝrkǝn Bitrus tǝ Yakubu tǝ Yohanna hwamman Yakubu.
2905260050	Kǝ saatǝnda hura'a Yayirus kapat nifa, nak Yǝso nofcha kanda tita funa hwata.
290527007a	Yimkǝnna hurikǝn, ndangnakandǝwa: "Kǝthlǝm mǝ natuni tita kǝ nuni nata hwata? Nuhhwaniya mǝruwa, tǝnakasaɓweni."
29052800b2	Nangnda masanda masǝ njirfata. Chaǝn nofchi kisha hurikǝn nat, akǝn shin hwankǝn tǝ mankǝn, tǝ kimshechi'en fichile naka thlǝmmatkǝn, yimkǝnnda mbǝɗi nat nuhhwaniyu.
2905290057	Kǝskǝn har'en ndaǝnwa: "Talita kumi." (sakǝtkǝnwa: "Hannuhhweya, ndakiwa thla'u").
29052a0080	Chat kichuyu thlaakǝ nuhhwaniyu nakna witahi. (hurat'en kumngǝrǝnsǝ chap). Nofchi naka mbǝnniyu pǝɗang ǝnatkǝnkandǝfa.
29052b0069	Kahang Yǝso thlǝmmachengnandǝ tǝ ndatwa mǝ sǝni nifǝ isǝkyawa, fǝramǝn ɗǝsǝmtǝ kǝ sǝmǝn.
2906010056	Malkǝ Yǝso mbǝnnihiyu ngǝraǝn inna hǝmtǝ'en, kimshechi'en paɗ kuwurkǝndǝndi.
290602010a	Kǝ saatǝ farǝ yipta, tǝrkaakǝn sakandaɗa mbǝt humta Yahudawechihi. Nofchǝ oi naka kathlǝmmata, paɗ pǝɗang ǝnnatkǝn kandǝfa nakndandatwa: "A'ai mbǝstǝ nifiya witǝ ichiya? witǝ sǝnmǝ fǝra ndǝ fichǝ kicheya? ɓatna nata sǝt ǝnat sheka i'nniya?
29060300c5	Leya nga mǝllan naka lǝ kukwat ichiyuwa, hweya Maryamu hwamman nda Yakubu, tǝ Yusufu, tǝ Yahuda, tǝ Siman? Hwamman chikǝn kǝ nishcha nga kandang ni thlǝmmat nǝm yawowa?" Cherkǝndǝndǝfa.
290604006e	Ndang Yǝso kandǝwa: "Tapǝna'a ɓahutǝ mwanduwa manga himtǝ'en tǝ hur hwammanchikǝn, tǝ hur hura'enwa."
290605008a	Yǝso mbǝla'u tǝ sǝt tor ǝnnat fǝr sheka i'nda mbǝnniyuwa, kǝnaǝnfunaɗi ɗimek hur fichile nak hahchin tǝ ɗǝffa hara kanda in.
2906060067	Pǝɗang ǝnatkǝnfa tǝ ɓah fǝr kitchǝɗengnanda. A wu'yaǝn han hǝmcha, nakna sakanda kandǝ har.
2906070076	Akǝn kimshechi'en kumngǝrǝnsǝ chap, thlinkǝn kanndǝ chap chap, a fǝraǝn alchita kanda i rǝk ɓǝɓi shemecha.
29060800b9	Ɓokang na kandǝwa makunna pǝɗata mǝtǝriɗuni ǝn inwa, chika ɗǝsǝmta, chika yokta, chika ɗǝngla, chika hanɗǝɓǝlta kǝ hur kwandangchengnuniwa, sǝssal ndak natuni tǝrta.
2906090039	Tǝ paɗ kǝ puni pahamcha, mǝ hummaɗuni njelaa chapwa.
29060a0059	Ndangna kandǝ paɗwa: "Uf huri'i yimtunisi, kǝ sokkuni mbǝnniyu kǝ farinatuni thlata.
29060b00b0	Uf mbǝɗi cher tǝ ndǝ kuni paɗ kawundǝ thlǝmmata kuniwa, manuni pǝɗata, kǝ tǝppanguni tǝnnayiɗa sarǝchengnuni kǝthlǝm kǝ sokka ǝnnat sinnda ɗar inndengnanda."
29060c0061	Pǝɗangda nataɓasanda nofchisi tǝ ndatwa kǝtǝrndǝhi kǝ malangndǝ ɓǝɓichitfechengnanda.
29060d0060	A chang ndǝ ɓǝɓi shemechakish oi, pa'angndǝ fiɗɗetafichile nak hahchin oi kǝnkǝnndaɗi.
29060e00dc	Hiridus kutura sǝkkǝn kusheng shuwun Yǝso kǝthlǝm fen thlǝmkǝnhi chika tǝteni funa ndatwa: "Yohanna lǝsǝt Baptisma thla'a ndǝ ficha hur mǝmatcha, ndǝkǝn sǝk natǝn tǝ alchit sǝt ǝnnat fǝr sheka i'nda."
29060f0056	Ndakfunuwa: "Iliya tapǝna'a" funǝ paɗ ndakndǝwa, "Nda ǝrta hur tapǝnechi sohyu."
290610006b	Kǝ sǝktǝ Hiridus shuwunkǝn, ndakǝnwa, Yohanna nǝyu, le thlendi i'ndǝ ennaɗi thlaaka hur mǝmatcha."
29061100c8	Kǝthlǝm Hiridus tǝ i'ndǝ'en mbukǝ tǝ ndatwa kǝ kǝssang fichǝ Yohanna, kǝ kǝnnang ficha kǝ ɗǝndǝ tǝnda pursuna. Sǝk Hiridus kichu kǝthlǝm Hirudiya, Nuh Filibus hwanmankǝn kahandǝn.
290612005d	Kǝthlǝm Yohanna lǝnakna mbwa'anda Hiridus wa, "Ngǝmawu kus kǝ kahangnǝ nuh hwanyatuwa".
290613007e	Awi Hirudiya mǝlla kǝs kommbǝl Yohanna a hur hanɗǝkiketǝ'en, a yahkǝn kǝ ɓǝllaǝn. Nat tǝkichu mbǝsutǝ mbandǝwa,
2906140132	Kǝthlǝm Hiridus lechaɗa Yohanna, A shinwa mǝllan ka nifǝnakǝn, a shin tǝ ndatwa nakǝn chiɗchiɗ, lǝ ɗwachit paɗ, ndǝkǝn sǝk Hiridus kǝstǝn Yohanna har ndiichin, lǝ shekɗang i'nda ma mǝlla sǝk Yohanna mǝlla shundǝ tǝndi, nat tǝkichu lǝ nakna mbǝnandǝfa ma mǝlla sǝk shundǝ'en.
29061500ad	A mweshitkǝn ɓak Hirudiya mbǝs mbanda. A farǝ mbǝnfat thlahmbǝt ngǝtta Hiridus, akǝn pǝktat nofcha, funa ngomnati, funa hurfathlǝrhwata, tǝ pǝktat nofchi Galili.
290616009d	Kǝ yimtǝ hweya Hirudiyasi kǝ nuhhweya, rǝmkǝn mbǝnang na Hiridus fa tǝ tahǝt romchi naksi. Ndang kutura nuhhwaniyuwa: "Hwanitǝn i yahtu, ni furuta."
2906170050	Akǝn ichimi tǝ ndatwa, hwanitin i yahtu nifuruta chika mbuth kuturichiɗengna.
290618008a	Thlaakǝ nuhhwaniyu cheknakish kambǝs mankǝn mbwa'ǝn tǝ ndatwa: "Mǝnati hwanada" Ngǝmmang mankǝnwa i'nda Yohanna lǝ sǝt Baptisma.
290619009f	Chatkichuyu ngǝraǝn inna mbǝnda kutura tǝ wesha hwanan tǝ ndatwa, yahkǝsi nakǝn nakǝnya kǝ fǝrikǝnnǝ i'nda Yohanna lǝ sǝt Baptisma a hur tǝpɓi.
29061a00a0	Sǝɓkǝ hanndǝkiketa kuturaɗǝ ka'ǝn. Paɗ ngu mbǝlla cherǝfuwa kǝthlǝm teppa eɗtǝ ichimi mbanitǝ nofcha, kǝthlǝm ngu mbǝlla talandǝ i mbutǝnwa.
29061b0097	Chatkichuyu thlǝnkǝn yuna hur fapundǝ har ndaǝnwa, kǝ ɗa ɓattǝ i'nda Yohanna, pǝɗak nifiyu kǝ pursunatǝkǝn ɗǝkna thlandǝ i'nda Yohanna,
29061c005b	ɓakǝn tǝ inkǝnna hur tǝpɓi fǝrangna nuhhwaniyu, thlǝk nuhhwaniyu fǝrangna mankǝn.
29061d0052	Kǝ sǝktǝ kimshecha Yohanna kichuyu, pǝɗaknda tǝr fatkǝn ɗǝknda thlohanda.
29061e005f	Kǝ ɓat fathlǝncha Yǝso ɗi ngomkǝndǝhi mbwa'ang ndǝ i sǝtndǝ uf, tǝ i sakandǝndaɗi.
29061f00ae	Nak nofchǝ oiya ɓata funa pǝɗata, Yǝso tǝ fathlǝnchi'en mbǝsundǝ har sǝmɗǝsǝmtuwa. Ndǝkǝn ndandǝnna kanndǝwa tama katmbǝt har nguɗuk, kǝthlǝm kǝ yipuni.
2906200036	Pǝɗaknda hur kommbawal kǝ mbǝt nguɗuk ichitnanda.
290621008c	Awi neɗ nofchǝ kandǝ oi kanda pǝɗata, paɗ shinndǝ kanda, rahkǝnda tǝ sarǝcha a hur thlet hǝmchikǝn laknda mbǝɗi natnda ɗǝta.
29062200ab	Cheta Yǝso kissha hur kommbawaltǝkǝn, nakǝn nofchǝ oi haɗangndǝfa, kǝthlǝm nakndǝ nda shohrecha le nguchit lǝ hǝrǝmtǝsi. A tǝrkaakǝn saka ichakandǝhar oi.
2906230076	Nak mbǝta hulta ɓak kimshechi'ena mbǝsndi, ndangndǝwa: "Mbǝɗi natǝmya nguɗuk nifǝsǝwa, tǝpaɗ mbǝta hulta.
290624006a	Ndandǝna nofchiyawa kǝpǝɗanda kǝ kahǝmcha tǝthlet hǝmchi ndukndukya kǝɗǝnda hi i nanndasǝmta."
29062500b6	Paɗ ngǝmmang Yǝso tǝ ndatwa: "Kunang fǝramǝn ɗǝsǝmta kanndǝ kǝ sǝmnda." Ndǝkǝn ndandǝndǝwa, kǝ ɗani hi njohma i dinari aruchap kǝ fǝrangani kandǝ kǝ chiindǝwa?
290626007f	Ndangna kandǝwa, njohmǝ kurmi naksengnuni? ɗama kǝllamǝn ɗǝknda kǝllanda ndangndǝwa, njohmǝ ɗurman tǝ tinchǝ chap.
290627006c	Ndang Yǝso kimshechi'enwa kǝ ndangnda nofchiyuwa kǝ sokndǝhi tǝnglǝng-tǝnglǝng kǝ ɗar nduhwelecha.
2906280054	A sokkǝndǝhi tǝnglǝng-tǝnglǝng, funǝ kumchit kum, funǝ paɗ kumchit ɗurman.
29062900af	Tǝrkǝn njohǝmchi ɗurmanyu tǝ tinchi chap yu, kǝlangna afshi saǝn usoko Fara, saka'ǝnhi fǝrang na kimsechi'en, kǝ sakangnda nofcha. Sǝkǝn kichu tǝ tinchikǝn paɗ.
29062a001f	Uf nda sǝmkǝnnda ngalkǝnnda.
29062b0047	Ngomang kimshechi'en fishirchikǝn nihǝɗ inaftǝ kumngǝrǝnsǝ chap,
29062c004e	Terǝ nofchi sǝmkǝ ɗǝsǝmkǝn, hishchǝ, sheendǝ aru kumchit kum ɗurman.
29062d0086	Chatkichuyu ndang Yǝso kimsechi'en wa, kǝ yimnda hur kommbawal, kǝ landǝ cheta kǝ Betsaida, mǝlan paɗ kalkǝn terǝ nofchihiyu.
29062e0047	Ɗiffitǝ kalǝ nofchihi tǝrkǝna ɗar shohlata kǝthlǝm kǝ hwanǝn.
29062f005f	Sǝk farǝ hufta, kommbawal tiyu a hur ɗiffiti hawurta, Yǝso paɗ mǝlla hachahai i'chitkǝn.
29063000c7	Kǝ natin kimshechi'ena ɓahtǝhi tǝ koharǝkǝn, kǝthlǝm rǝnna'a ɓahandǝ kanda, keeke tǝ kukwara ɗekta katǝtɓǝta, mǝlla ɓata mbǝskandǝ tǝ wita ɗar hawurkǝn. Yarkǝnwa na lata mban.
2906310054	Kǝ natndǝndi mǝlla wita ɗar ama, naknda muh hanhara naǝn kandǝhiwa ɗǝhanifa.
2906320072	Kǝthlǝm ufnda neɗndǝndi, lechiknda, chatkichuyu "Shunaǝn kandǝ tǝ ndatwa ǝnsuwa, njeta, mǝ lechiɗuniwa."
2906330069	Mbǝnniyu yimkǝna kommbawal tǝ kanda, chatkichuyu thlarkǝ rǝnnikǝnhi. Shekɗang i'ndǝkandǝ ka'ǝn.
290634007d	Kǝthlǝm sunundǝ sakǝt sǝma'ǝn nofchi aru kumchit ɗurmanyu tǝ njohmǝwa, kǝthlǝm kwaakwaachit hanɗǝkikechengnanda.
2906350088	Kǝ chandǝndǝ hawurkǝn kǝ kishitǝle, tǝrkǝnda haya a thlet hǝmǝt Jenisarat, kǝnangndǝ kommbawal tǝkǝnhi kǝmi chichengkǝn.
290636003b	Kǝchet nda kisha hur kommbawal mbǝssang nofchuwa mǝllan.
2906370086	Rahkǝnda hur hǝmchikǝn, naknda ɓat tǝ fichile nak haachin a ɗar mbǝt hunechengnanda kǝ mbǝɗi sǝktǝndǝwa mǝlla mbǝnniyu.
29063800dd	Nat mbǝɗi yimtǝn, thlet hwan hǝmchǝ tǝ hǝmcha, la naknda ɗǝt tǝ haachǝ kǝmbǝɗ'en paɗ tǝmi lumocha, a lanaknda hwananda kǝthlǝm kǝ tǝkangndǝ hara chika mi njela'enfa, nat le tǝkang harfa kǝnkǝnaɗi.
2907010063	Farisawecha tǝ malɗǝmcha fichile la sakang kussa ɗi ɓaka Urshelima, ngomkǝnda thlǝmat Yǝso.
290702005d	A mbǝssangndǝ tǝ ndatwa kimshechi'en kanda sǝmɗǝsǝmtǝ tǝ tǝkǝmharcha sapawundǝwa.
290703008c	(Kǝthlǝm Farisawecha tǝ tahǝt Yahudawecha sǝmundǝ ɗǝsǝmtǝ kichu sapundǝ harwa, kǝthlǝm tor murta pǝktechengnanda nakǝn kichu.
29070400d6	Ma ɓennda ɗa lumo, manga tǝ fanndǝ nda i mbutǝ tor murtengnandǝwa ngunda sǝmɗǝsǝmtǝwa. Tor murtengnandǝsi paɗ lela kuwur tǝnda, nda sap tǝpsat 'amcha, tǝ ɓicha, tǝ kuppecha tǝ kǝtǝn sǝm'ǝna.)
29070500d9	Kǝthlǝm ndǝkǝn sahang Farisawecha tǝ pǝktat malɗǝmcha fasakandǝ shuwun kussa Musaɗi: "Kǝthlǝm mi kimsecheku yahundǝ kuwur tor murcha pǝktechengnaniwa, mashiɗ kǝnnanda sǝmɗǝsǝmta tǝ tǝkǝmharcha?"
29070600c7	A ngǝmang Yǝso tǝ ndatwa: "Kohat nofcha keekesi fǝrtǝ Ishaya sakǝtkǝn kǝ ɗarnuni, nda i yarandǝ ficha. Nofchiya a mi ɗeng nannda mwanita, paɗ hanɗǝkikechengnanda nakǝn langnga tǝ nji.
290707006e	Poffǝn lǝnannda mwanandǝ thlǝmna, kussi ti la natnda sakandaɗi, i nofchǝ ɗeng, ɗar ndatwa shunda Fara.
2907080044	Lamallanguni i ndat Faruwa kǝ suni, nakuni kuwur tor murta nofcha."
290709005c	Ndangnakandǝwa: "Awi nuni mbǝllamalandǝ kussi Fara kǝthlǝm kǝ kuruni tor murchengnuni!
29070a0075	Kǝthlǝm ndak Musa wa, 'fǝran mwanda suka tǝ yatu paɗ le erkǝ shinkǝn tǝ mankǝn keekesi kǝ ɓǝllang ficha.'
29070b0085	Paɗ landakuniwa: ''Nat i nat shinchinuni tǝ manchinuni ɓǝsta mbǝɗa nifǝ soh sokkǝn nda korban" (sakǝtkǝnwa fǝrraɗi Fara).
29070c0052	kǝthlǝm ndǝkǝn mwawuni mallandǝ kǝ kǝssaǝn tora shinkǝnsi tǝ mankǝn wa.
29070d0076	Tǝkichu la natuni, cherǝ pathla Fara, tǝ pathlǝ kuwur tormurchengnuni, paɗ la nakuni ɗahhanda witǝ ichiniyu in.
29070e0065	Ngǝrkǝ Yǝso at nofcha mbǝɗ'en, ndangnakandǝwa kami thlǝmmat uffuni, paɗ kǝsununisi ndiichin.
29070f005d	Nga i lasǝmtǝ nifa hur na tǝkmandǝhiwa, i la cheka hur handǝkiketǝ la tǝkmang nifǝhi.
290710002f	[Uf le nat thlǝmmatsǝktǝ'ensi kǝ sǝkkǝn.]
290711005a	Kǝ saktǝnhi tǝ nofchi oiyu yimkǝnna huri, sahang kimsechi'en sakǝt i'sakandǝnaɗiyu.
290712006b	Ndangnakandǝwa: "Awi kunang paɗ sǝnwuni sakǝtkǝn tǝ ndatwa i sǝmtǝ nifa hur, ɓahwa tǝkmandǝhiwa.
290713009b	Kǝthlǝm nga la yimkǝnna hur hanɗǝkiketǝwa la yimkǝnna hur kǝhapangkaɗi. A hurra shuniya cheɗkǝ Yǝso wa i sǝka ɗǝsǝmta tǝkǝmtǝsa fi'enwa.
2907140052	Ngǝr kǝnna ndatwa i lachekakissha hur hanɗǝkiketa nifa ndǝkǝn na tǝkmanghi.
2907150076	Kǝthlǝm a hur hanɗǝkiketa nifa la chetɓǝɓi'ichakish, ndanda ɓǝɓiyara, fǝllawichita, herketa, tǝ ɓǝlfata,
2907160050	Katnishcha nofcha, sǝɓfata, lekta, sǝrǝhta, mwa'inda, ɓokta, tǝ ɓomchita.
290717004b	Uf ɓǝɓi'ichiniyu lǝ chekna hanɗǝkiketa, ndǝkǝn la tǝkmang nifǝhi.
2907180093	Mbǝnniyu malkǝ Yǝso Galilihi pǝɗakna thlet hǝmmǝt Taya tǝ Sidon. yimkǝnna hura'a yuna, a yahu kǝ sǝnfichiwa. Nat tǝ kichu ɓuɓwe'iuwa.
2907190086	Chatkichuyu nuhnifǝsi, tǝ hwe'ensi kǝ nuhhweya naktǝ ɓǝbi shemeɗafa, kǝ sǝktǝn kusheng Yǝso, ɓakna hǝmtǝhi mbanitǝkǝn.
29071a00a1	Nuhhiyu witǝ Helinawechǝ nakǝn, a thlet hǝmǝt Finikiya ngǝttǝfichǝndi, a hachahai Suriya. A hwanaǝn Yǝso wa kǝ kǝtaǝn ɓǝɓi luwurchaɗa fa hwe'en.
29071b0083	Ndang Yǝso wa: "Suku kǝ ngal hwechǝ kwaɗǝn, kǝthlǝm kamusi kǝ tǝr fichǝ ɗǝsǝmta hwecha kǝ fǝrang ficha hǝɗechuwa."
29071c0097	A ngǝmang nuhiyu tǝ ndatwa: "Ə, kichuyu malɗǝm, chikatǝ kichu hǝɗecha la sǝmkǝnndǝ fishirchikǝnti ka tebǝr lela hǝhatka haya miya hwecha.
29071d005c	Ndǝkǝn ndandǝ Yǝso wa: "Kǝthlǝm shundeku, ɗuɗaɗi, ɓǝɓilura shekhi tǝ 'hwe'eku."
29071e006e	Ngǝrang nuhnifǝkǝn inna ɗi ɗǝkna mbǝssandǝ hwe'en ɗuk a mbǝthunata ɓǝɓi luriyu tepa keltǝndǝhi.
29071f0076	Malkǝ Yǝso thlet hǝmǝt Tayahi, kuwurkǝn tǝ Sidon ɗǝkna hawur Galili. A mbanda kwirtǝ thlet Hǝmchǝ shee Kum.
2907200061	A mbǝnniyu ɓang ndǝ ɓomma, le lakweekǝ shunda, a hwanangnda kǝthlǝm kǝ ɗǝfaǝn hara in.
29072100cf	Kaɓkǝ Yǝso ɓommiyu kǝkǝllar, mbahkǝnndaɗa thlǝmat nofchiyu kǝ mbǝɗi nguchit nifǝsi. Pakǝn hanharchi'enna hur thlǝmmecha nifiyu, chahkǝn yahta hanhar'en, tǝka'ǝn hara hanshunda nifǝkǝn fa.
2907220054	Kǝlak na afshi kahkǝn yiptǝ langnga, ndakǝnwa: "Iffata!" sakǝtkǝnwa: "Innuhi!"
2907230079	Kǝ mbutǝn kichu inkǝ thlǝmmecha nifǝkǝnhi, i kǝnnang hanshundǝ'en paɗ kwaskǝnhi, tǝr kaakǝn shundǝ ndiichin.
2907240066	Ɓokang Yǝso kandǝwa mǝ mbwa'anda chika wunwa, nattǝ ɓoki ɓokandǝnnakanda nak mbukǝnna chekta.
2907250078	Shekɗang i'ndǝ kandǝ ka'ǝn, ndakndǝwa shiitǝ ichindiichin oi! Sokkǝn ɓomchasǝkmbǝta, tippengcha kanda shunda".
2908010081	A hur hanmunchiniyu, nofchǝ oi paɗ ɓaka mbǝs Yǝso. A nakǝn ǝnsǝ nannda sǝmtǝwa, ak Yǝso kimshechi'en ndangna kandǝwa:
290802006a	"Nofchiya haɗitǝfa, kǝthlǝm munkǝndǝ mǝkkan nakǝnya kanda thlǝmatna mwa'u ndǝsǝmtengnandǝsuwa,
2908030071	Ma ɗeɗi nakǝnyawa kǝ pǝɗandaɗaɗi tǝ mita, na funa hǝhattǝhi mbacha. Kǝthlǝm funǝ ɓakndǝ langnga."
2908040067	Ndǝkǝn ngǝmmandǝ kimshechi'enwa: "Nakma mbǝs njohma aiya hurhweli'iya na sǝmma ǝn nofchi natya?"
2908050055	Sahang Yǝso kimshechiken'enwa: "njohmǝ kurmǝ naksengnuni?" Ngǝmangndǝwa: "Muɗ."
29080600bd	Ndangna nofchiyuwa kǝ sokndǝhi kǝ hachahaya. Ndǝkǝn hartǝn njohhomchi muɗ yu, saǝn usoko Fara, chichaǝnhi, fǝrangna kimshechi'en kǝ sakangnda nofchiyu, sǝk kimshechi'en kichuyu.
2908070062	Tǝ paɗ tinchisǝ ɗimek. Yǝso saǝn usoko Fara, ndangna kimshechi'enwa leya paɗ sakamna kanda.
2908080066	Sǝmkǝnda ngalkǝndǝ nda i yahtǝnda. Ɗiffitǝkǝn ngomang kimshechi'en fishirchikǝn inaftǝ muɗ.
2908090050	A farǝkǝn shee nifǝ aru kumchit fwaɗɗa. Paɗ ndang Yǝso kandǝwa pǝɗama.
29080a0067	Chatkichuyu thlaakǝ Yǝso tǝ kimshechi'en yimkǝnda hur kommbawal pǝɗaknda thlet hǝmǝt Dalmanuta.
29080b0087	Ɓak Farisawecha tǝrkaakǝndǝ sahami Yǝso. Kǝthlǝm yahndǝssa kǝkaɗanda, sahangndǝ kǝ cheɗaǝn sakǝtkǝna kanda a hur afshi.
29080c00be	Kǝtkǝn yiptǝ langnga hur shemeɗ'en ndakǝnwa: "Kǝthlǝm mǝ nat nofchi kishi'i nakǝnya katsakǝtkǝn? Kitchitkǝn ni mbwa'anda kuni sakǝtkǝnsi nat ficha fǝranda kishi'i nakǝnyawa."
29080d004e	Thlaakǝn malkǝnkandǝhi, yimkǝnda hur kommbawal pǝɗakǝn kǝ chicheng le.
29080e0076	A nakǝn mbutandǝ kimshecha Yǝso kǝ tǝrndi njohmǝ in, njohmǝ ǝrtǝ ndak naka harengnanda hur kommbawal tǝkǝn.
29080f0071	Ndang Yǝso kimshechǝkǝn'enwa: "Ndǝfam ǝndisǝ ndiichin kǝ ndǝsǝcha Farisawecha tǝ i Hiridus nda mehnda."
290810005d	Tǝrkaakǝndǝ shundǝ tǝndani tǝ ndatwa: "Mbukǝn i'ya kǝthlǝm njohmǝsa harrengnǝmwa."
2908110103	Shin Yǝso i nat kimshechǝkǝna shunda ɗarkǝn, ndǝkǝn sahandǝn mǝ kandǝwa: "Kǝthlǝm mǝ natu ni ndandandaniwa njohmǝ nguchiksa harengnuni?" Awi paaya a sǝnwuniwowa? Tǝpaɗɗaa paaya a mbǝsawuniwowa? Paaya mwaakǝ hanndǝkikechengnuni kwaakwaawa?
2908120060	Hwanichengnunisi, nuwuni mbǝtwowa? Thlǝmmechengnunisi, sǝkwuni mbǝtwowa? Kuɗukwunniharwowa?
29081300b2	Fari chichandi njohmihi ɗurman chiitǝ nofchǝ aru kumchit ɗurman yu, inaftǝ kurmi ngomanduni fishirchikǝn tiiyu?" Ngǝmang kimshechǝkǝn wa: "I'naftǝ kumngǝrǝnsǝ chap."
29081400a3	Ngǝrkǝn ndanda kandǝwa njohmi muɗ chichandǝhi chiiti nofchǝ aru kumchit fwaɗɗa yu i'naftǝ kurmi ngomanduni fishirchikǝn?" Ngǝmangndǝwa "i'naftǝ muɗ."
290815003a	Paɗ sahaǝnmi kandǝwa: "Kananat paaya a mbǝsawuniwowa?"
2908160072	Yǝso tǝ kimshechi'en ɓaknda Betsaida, ɓak nofchǝ tǝ nifǝ kǝ kukomta, hwanang nofchiyu kǝ tǝka'ǝn harfa.
29081700b9	Kǝskǝn haara kukomǝyu, chekǝntǝnda kish a hur thlet hǝmǝtkǝn. Chahkǝ Yǝso yahta hwanicha kukomǝyu sǝkkǝn harchi'enna hwanicha kukomǝyu, sahang Yǝso wa: "Sa nat mbǝt wa?"
290818004c	Kǝllakna afshi a ndakǝnwa: "Nja nat nofcha nakndǝ nda afchǝ naka wiita."
290819008c	Ngǝrkǝ Yǝso sǝt harchi'enna hwanicha kukomǝyu, nakǝnya kǝllak nifiyu ndiichin, ǝnkǝ hwanichi'en hi nakna nat chikamǝhi chiɗchiɗ.
29081a0054	Ndǝkǝn ndandǝ Yǝso wa: "Ɗuɗaɗi kǝ huri, mǝ ngǝrina thlet hǝmǝɗiniyuwa."
29081b009b	Thlaakǝ Yǝso tǝ kimshechi'en kǝ thlet hǝmcha hachahai Kaisariya Filibi. Nak nda wita ndǝkǝn sahandǝn kimshechi'enwa: "La tǝrkǝ nofchuwa wunnaki?"
