010000000c	Olubereberye
01080e0055	Ku lunaku olw’amakumi abiri mu omusanvu olw’omwezi ogwokubiri ensi yali ekalidde.
01080f0021	Awo Katonda n’agamba Nuuwa nti,
0108100045	“Vva mu lyato, ggwe, ne mukazi wo, ne batabani bo ne bakazi baabwe.
0108110092	Fulumya buli kiramu ekiri naawe: ebinyonyi, n’ensolo, na buli kiramu ekitambula ku ttaka, biryoke bizaale byale ku nsi, byeyongerenga obungi.”
0108120051	Awo Nuuwa n’afuluma ne batabani be, ne mukazi we wamu ne bakazi ba batabani be.
010813007b	N’ensolo n’ebitonde byonna ebitambula ku ttaka, n’ebinyonyi byonna, byonna ne biva mu lyato bibiri bibiri mu bibinja.
0108140092	Awo Nuuwa n’azimbira Mukama ekyoto, n’addira ku zimu ku nsolo ennongoofu ne ku binyonyi ebirongoofu n’awaayo ekiweebwayo ekyokebwa ku kyoto.
01081500ff	Mukama n’awulira akawoowo akalungi akamusanyusa, n’ayogera mu mutima gwe nti, “Sikyaddayo kukolimira nsi olw’omuntu, newaakubadde ng’endowooza y’omutima gwe mbi okuva mu buto bwe. Sikyaddayo na kuzikiriza bitonde byonna ebiramu, nga bwe nkoze.
0108160097	“Ensi ng’ekyaliwo, okusiga n’amakungula, obunnyogovu n’ebbugumu, ebiseera eby’omusana n’eby’obutiti, emisana n’ekiro, tebiggwengawo.”
0109010072	Awo Katonda n’awa Nuuwa ne batabani be omukisa n’agamba nti, “Muzaale mwale mweyongerenga nnyo mujjuze ensi.
010902009e	Ensolo zonna ez’omu nsiko, n’ebinyonyi eby’omu bbanga, na buli ekitambula ku nsi, buli ekiri mu nnyanja, byonna binaakutyanga, mbikuwadde mu mikono gyo.
010903005e	Buli kintu ekiramu, ekitambula onookiryanga. Nga bwe nakuwa ebimera, kaakano nkuwa buli kintu.
0109040036	“Naye toolyenga nnyama ng’ekyalimu omusaayi gwayo.
0109050088	Era ndivunaana ayiwa omusaayi gwammwe ne nvunaana n’omuntu olw’omusaayi gw’ensolo ne muvunaana n’olw’omusaayi gwa muntu munne.
0109060084	“Buli anaayiwanga omusaayi gw’omuntu, n’ogugwe gunaayiibwanga, kubanga mu kifaananyi kya Katonda, Katonda mwe yakolera omuntu.
0109070046	Naye ggwe onoozaalanga ne weeyongera obungi. Oneeyongeranga ku nsi.”
0109080032	Awo Katonda n’agamba Nuuwa ne batabani bwe baali
0109090057	nti, “Laba nkola endagaano yange nammwe ne bonna abaliva mu mmwe oluvannyuma lwammwe,
01090a00a8	era na buli kitonde ekiramu ekiri naawe: ebinyonyi, n’ensolo ez’awaka n’ez’omu nsiko zonna, ne byonna bye muvudde nabyo mu lyato, ne buli kitonde kyonna ku nsi.
01090b007f	Nkola endagaano yange eno nammwe: tewaabengawo mataba gazikiriza bulamu bwonna, tewakyaddayo kubaawo mataba gasaanyaawo nsi.”
01090c0092	Katonda n’agamba nti, “Kano ke kabonero ke nteeka wakati wange nammwe, na buli kitonde ekiramu ekiri nammwe, era n’ab’emirembe egiriddawo.
01090d0052	Nteeka musoke wange mu kire, nga ke kabonero ak’endagaano wakati wange n’ensi.
01090e0057	“Kale olunaatuukanga, bwe nnaaleetaanga ekire ku nsi, musoke anaalabikiranga ku bire,
01090f005e	ne nzijukira endagaano yange nammwe na buli kiramu; era amazzi tegakyaddayo kuzikiriza biramu.
0109100096	Musoke bw’anaabanga ku bire, nnaamutunuuliranga ne nzijukira endagaano eteriggwaawo eriwo wakati wa Katonda na buli kitonde ekiramu ekiri ku nsi.”
010911007a	Katonda n’agamba Nuuwa nti, “Kano ke kabonero ak’endagaano gye ntaddewo wakati wange ne buli kiramu ekiri ku nsi.”
0109120061	Batabani ba Nuuwa abaava mu lyato ye Seemu, ne Kaamu ne Yafeesi. Kaamu ye yali kitaawe wa Kanani.
0109130056	Bonna abasatu be baali batabani ba Nuuwa; era okuva mu bano ensi yonna yajjula abantu.
0109140031	Nuuwa n’atandika okulima n’asimba emizabbibu;
0109150046	n’anywa omwenge n’atamiira, ne yeebaka mu weema ng’ali bwereere.
0109160069	Kaamu kitaawe wa Kanani n’alaba obwereere bwa kitaawe, n’abuulirako baganda be ababiri abaali ebweru.
010917006f	Awo ne bateeka olugoye ku bibegabega byabwe ne batambula ekyennyumannyuma, ne babikka ku bwereere bwa kitaabwe.
0109180059	Omwenge bwe gwamwamukako, Nuuwa n’azuukuka n’ategeera mutabani we omuto ky’amukoze.
010919006e	N’akolimira ezzadde lya Kaamu n’agamba nti, “Kanani akolimirwe, abeere muddu wa baddu eri baganda be.”
01091a005a	Era n’agamba nti, “Mukama Katonda wange, awe Seemu omukisa, Kanani abeere muddu we.”
01091b0047	Katonda yaza Yafeesi, abeere mu weema za Seemu, Kanani abeere muddu we.
01091c0052	Oluvannyuma lw’amataba Nuuwa yawangaala emyaka emirala ebikumi bisatu mu ataano.
01091d0051	Emyaka gyonna Nuuwa, gye yamala ku nsi ne giba lwenda mu amakumi ataano, n’afa.
010a01005c	Bano be bazzukulu ba Nuuwa, Seemu ne Kaamu, ne Yafeesi be baazaala oluvannyuma lw’amataba.
010a02005c	Batabani ba Yafeesi: Gomeri, ne Magogi, ne Madayi, ne Yivani, ne Tubali ne Meseki ne Tirasi.
010a03003f	Batabani ba Gomeri be bano: Asukenaazi, ne Lifasi, ne Togaluma.
010a040046	Batabani ba Yivani baali: Erisa, ne Talusiisi, ne Kittimu ne Dodanimu.
010a0500b5	(Mu bano mwe mwava abo abaabuna olubalama lw’ennyanja. Bano be batabani ba Yafeesi mu bitundu byabwe, buli bamu mu nnimi zaabwe ng’ennyumba zaabwe n’amawanga gaabwe bwe biri.)
010a060041	Batabani ba Kaamu be bano: Kuusi, ne Misiri, ne Puuti, ne Kanani.
010a070077	Batabani ba Kuusi be bano: Seeba, ne Kavira, ne Sabuta, ne Laama ne Sebuteka. Batabani ba Laama baali: Seeba ne Dedani.
010a08004e	Kuusi ye yazaala Nimuloodi; ye yasooka okuba omuntu ow’amaanyi ennyo ku nsi.
010a090080	Yali muyizzi kkungwa, mu maaso ga Mukama, kyekyava kigambibwa nti, “Afaanana Nimuloodi omuyizzi kkungwa mu maaso ga Mukama.”
010a0a005e	Obwakabaka bwe bwatandikira Baberi, ne Eneki ne Akudi ne Kalune, nga byonna bya mu nsi Sinali.
010a0b005a	Bwe yava mu nsi eyo n’agenda mu Bwasuli, n’azimba Nineeve, ne Lekobosiyira, ne Kala ne
010a0c0044	Leseni, wakati wa Nineeve ne Kala; Leseni kye kyali ekibuga ekikulu.
010a0d0053	Mizulayimu oba Misiri ye kitaawe wa Ludimu, ne Anamimu, ne Lekabimu, ne Nafutukimu,
010a0e0041	ne Pasulusimu, ne Kasulukimu (omwava Abafirisuuti) ne Kafutorimu.
010a0f003b	Kanani ye yazaala Sidoni, omwana we omubereberye, ne Keesi,
010a10002d	n’Abayebusi, n’Abamoli, n’Abagirugaasi,
010a110028	n’Abakiivi, n’Abaluki, n’Abasiini,
010a120057	n’Abaluvada, n’Abazemali, n’Abakamasi n’ebika eby’omu Kanani ne babuna wonna.
010a1300a0	Ekitundu kya Kanani kyava ku Sidoni, okwolekera Gerali n’okutuukira ddala e Gaza okwolekera Sodomu, ne Ggomola, ne Aduma, ne Zeboyimu okutuukira ddala e Lasa.
010a140061	Abo be bazzukulu ba Kaamu, mu nda zaabwe ne nnimi zaabwe, mu bitundu byabwe ne mu mawanga gaabwe.
010a150056	Seemu kitaawe w’abo bonna abaava mu Eberi, mukulu wa Yafeesi naye yazaalirwa abaana.
010a16004c	Abaana ba Seemu be bano: Eramu, ne Asuli, ne Alupakusaadi, ne Ludi ne Alamu.
010a170035	Batabani ba Alamu: Uzi, ne Kuuli, ne Ggeseri ne Masi.
010a18003c	Alupakusaadi ye kitaawe wa Seera. Seera ye kitaawe wa Eberi.
010a19006f	Omu ku batabani ba Eberi yali Peregi, kubanga we yazaalirwa ensi yali yeesazeemu, muganda we ye yali Yokutaani.
010a1a004e	Yokutaani ye yali kitaawe wa Alumodaadi, ne Serefu, ne Kazalumaveesi, ne Yera,
010a1b0022	ne Kadolaamu, ne Uzali, ne Dikula,
010a1c0022	ne Obali, ne Abimayeeri, ne Seeba,
010a1d0046	ne Ofiri, ne Kavira ne Yobabu; bano bonna baali batabani ba Yokutaani.
010a1e0077	Ekitundu mwe baali kyava ku Mesa okwolekera Serali, okutuukira ddala ku kitundu eky’ensozi ku luuyi olw’ebuvanjuba.
010a1f006c	Abo be bazzukulu ba Seemu, mu nnyumba zaabwe, ne mu nnimi zaabwe, ne mu bitundu byabwe ne mu mawanga gaabwe.
010a2000b9	Abo ze nnyumba za batabani ba Nuuwa ng’okuzaalibwa kwabwe bwe kwali, n’amawanga gaabwe; era okuva mu bano amawanga gonna mwe gaayalira ne gabuna ensi yonna oluvannyuma lw’amataba.
010b01003f	Ensi yonna yalina olulimi lumu, nga bakozesa ebigambo bye bimu.
010b02005e	Abantu bwe baava oluuyi olw’ebuvanjuba ne batuuka mu lusenyi nsi ya Sinaali ne babeera omwo.
010b030090	Ne bateesa nti, “Mujje tukole amatoffaali, tugookye bulungi.” Ne baba n’amatoffaali mu kifo ky’amayinja, ne kolaasi mu kifo ky’ettosi.
010b040095	Awo ne bagamba nti, “Mujje twezimbire ekibuga, tutuuse omunaala gwakyo ku ggulu; twekolere erinnya, tuleme okusaasaanyizibwa okubuna ensi yonna.”
010b050054	Naye Mukama nakka okulaba ekibuga n’omunaala, abaana b’abantu kye baali bazimba.
010b0600b4	Mukama n’ayogera nti, “Laba, bali omuntu omu, era boogera olulimi lumu! Era eno ntandikwa butandikwa ey’ebyo bye banaakola; era tewali kye banaateesa kukola ekinaabalemerera.
010b07004a	Mujje, tukke wansi tutabuletabule olulimi lwabwe, baleme kutegeeragana.”
010b08005d	Bw’atyo Mukama n’abasaasaanya ne babuna ensi yonna, n’ekibuga kyabwe ne batakimaliriza.
010b0900ad	Ekibuga ekyo erinnya lyakyo kye lyava liyitibwa Babiri, kubanga eyo Mukama gye yatabuliratabulira olulimi lw’ensi yonna. Eyo Mukama gye yabasaasaanyiza okubuna ensi yonna.
010b0a0092	Bino bye bifa ku b’olulyo lwa Seemu: Seemu bwe yali ng’aweza emyaka kikumi, n’azaala Alupakusaadi nga wakayita emyaka ebiri okuva ku mataba.
010b0b007c	Seemu n’amala emyaka ebikumi bitaano nga Alupakusaadi amaze okusaalibwa. N’azaaliramu abaana aboobulenzi n’aboobuwala.
010b0c0040	Alupakusaadi bwe yaweza emyaka asatu mu etaano n’azaala Seera,
010b0d0091	Alupakusaadi bwe yamala okuzaala Seera n’awangaala emyaka emirala ebikumi bina mu esatu, omwo n’azaaliramu abaana aboobulenzi n’aboobuwala.
010b0e0037	Seera bwe yaweza emyaka amakumi asatu n’azaala Eberi,
010b0f0096	ate Seera n’aweza emyaka emirala ebikumi bina mu asatu ng’amaze okuzaala Eberi, era omwo n’azaaliramu abaana abalala aboobulenzi n’aboobuwala.
010b10003f	Eberi bwe yaweza emyaka amakumi asatu mu ena n’azaala Peregi.
010b110093	Eberi bwe yamala okuzaala Peregi n’awangaala emyaka ebikumi bina mu amakumi asatu, omwo n’azaaliramu abaana abalala aboobulenzi n’aboobuwala.
010b120038	Peregi bwe yaweza emyaka amakumi asatu n’azaala Leewo,
010b130082	bwe yamala okuzaala Leewo n’awangaala emyaka emirala ebikumi bibiri mu mwenda, n’azaaliramu abaana aboobulenzi n’aboobuwala.
010b140041	Leewo bwe yaweza emyaka amakumi asatu mu ebiri n’azaala Serugi.
010b15006e	N’awangaala emyaka emirala ebikumi bibiri mu musanvu. Omwo n’azaaliramu abaana aboobulenzi n’aboobuwala.
010b160039	Serugi bwe yaweza emyaka amakumi asatu n’azaala Nakoli,
010b17007e	bwe yamala okuzaala Nakoli n’awangaala emyaka emirala ebikumi bibiri. Omwo n’azaaliramu abaana aboobulenzi n’aboobuwala.
010b180042	Nakoli bwe yaweza emyaka amakumi abiri mu mwenda n’azaala Teera.
010b19008c	Bwe yamala okuzaala Teera n’awangaala emyaka emirala kikumi mu kkumi na mwenda, era omwo n’azaaliramu abaana aboobulenzi n’aboobuwala.
010b1a0049	Teera bwe yaweza emyaka nsanvu, n’azaala Ibulaamu, ne Nakoli ne Kalani.
010b1b007a	Bino bye bifa ku b’olulyo lwa Teera: Teera ye kitaawe wa Ibulaamu, ne Nakoli ne Kalani; Kalani ye yali kitaawe wa Lutti.
010b1c0057	Kalani yafa nga kitaawe Teera tannafa. Yafiira mu Uli ey’Abakaludaaya mwe yazaalirwa.
010b1d009d	Ibulaamu ne Nakoli ne bawasa; erinnya lya mukazi wa Ibulaamu lyali Salaayi, ate mukazi wa Nakoli nga ye Mirika, muwala wa Kalani, kitaawe wa Mirika ne Isika.
010b1e0025	Salaayi yali mugumba, teyalina mwana.
010b1f00e7	Teera n’atwala Ibulaamu mutabani we Lutti muzzukulu we mutabani wa Kalani, ne Salaayi muka mutabani we Ibulaamu, ne bagenda bonna okuva mu Uli eky’Abakaludaaya okugenda mu nsi ya Kalani; bwe baatuuka mu Kalani, ne babeera omwo.
010b20004c	Emyaka gya Teera gyali ebikumi bibiri mu etaano; Teera n’afiira mu Kalani.
010c01007d	Awo Mukama n’agamba Ibulaamu nti, “Vva mu nsi yannyo ne mu bantu bo ne mu nnyumba ya kitaawo ogende mu nsi gye ndikulaga.
010c020072	“Nange ndikufuula eggwanga eddene, era ndikuwa omukisa, n’erinnya lyo ne ndifuula kkulu, olyoke obeere mukisa.
010c030097	Ndiwa omukisa abo abakusabira omukisa, era buli alikukolimira nange namukolimiranga; era mu ggwe amawanga gonna ag’omu nsi mwe galiweerwa omukisa.”
010c040098	Bw’atyo Ibulaamu n’agenda nga Mukama bwe yamugamba, ne Lutti n’agenda wamu naye. Ibulaamu we yaviira mu Kalani yali aweza emyaka nsanvu mu etaano.
010c0500d6	Ibulaamu n’atwala Salaayi mukazi we, ne Lutti mutabani wa muganda we ne byonna bye baalina bye baali bafunye, n’abantu baabwe be baafunira mu Kalani, ne basitula okugenda mu Kanani. Ne batuuka mu nsi ya Kanani.
010c060083	Ibulaamu n’ayita mu nsi n’atuuka mu kifo ekiyitibwa Sekemu awali emivule gya Mole. Mu biro ebyo Abakanani be baali mu nsi omwo.
010c070098	Awo Mukama n’alabikira Ibulaamu n’agamba nti, “Ensi eno ndigiwa abo abaliva mu ggwe.” Awo Ibulaamu n’azimbira eyo Mukama ekyoto eyamulabikira.
010c0800ee	Bw’atyo n’alaga ku lusozi ku luuyi olw’ebuvanjuba obwa Beseri, n’asimba eweema ye nga Beseri ali ku luuyi olw’ebugwanjuba, ne Ayi ngali ku luuyi olw’ebuvanjuba, n’azimbira eyo Mukama ekyoto, n’akoowoola erinnya lya Mukama.
010c090038	Ibulaamu ne yeeyongera okutambula ng’ayolekera Negevu.
010c0a0079	Ne wagwa enjala mu nsi. Bw’atyo Ibulaamu n’aserengeta e Misiri asengukireko eyo, kubanga enjala nnyingi eyali mu nsi.
010c0b007b	Bwe yali anaatera okuyingira mu Misiri, n’agamba Salaayi mukazi we nti, “Mmanyi ng’oli mukazi mulungi era mubalagavu,
010c0c006c	era Abamisiri bwe balikulabako baligamba nti, ‘Ono ye mukazi we,’ kale balinzita, naye ggwe ne bakuleka.
010c0d007a	Ogambanga nti, Oli mwannyinaze ndyoke mbeere bulungi ku lulwo, n’obulamu bwange buleme kubaako kabi, buwone ku lulwo.”
010c0e0056	Ibulaamu bwe yayingira mu Misiri, Abamisiri ne balaba Salaayi nga mukazi mulungi nnyo.
010c0f0060	N’abakungu ba Falaawo bwe baamulaba ne bamutendera Falaawo ne bamutwala mu lubiri lwa Falaawo.
010c1000be	Ku lwa Salaayi, Falaawo n’ayisa bulungi Ibulaamu. Ibulaamu n’aweebwa endiga, n’ente, n’endogoyi, n’abaweereza abasajja, n’abaweereza abakazi, n’endogoyi enkazi, n’eŋŋamira.
010c110063	Naye Mukama n’aleetera Falaawo n’ennyumba ye endwadde enkambwe olwa Salaayi mukazi wa Ibulaamu.
010c12006c	Awo Falaawo n’ayita Ibulaamu n’amugamba nti, “Kiki kino ky’onkoze? Lwaki tewantegeeza nti mukazi wo?
010c13006e	Lwaki wagamba nti mwannyoko, ne mmutwala okuba mukazi wange? Kale kaakano mukazi wo wuuno mmutwale mugende.”
010c14007a	Falaawo n’alagira basajja be ebikwata ku Ibulaamu, ne bamusindiikiriza n’ava mu nsi ne mukazi we ne byonna bye yalina.
010d010077	Bw’atyo Ibulaamu n’ayambuka okuva mu Misiri ye ne mukazi we, ne byonna bye yalina, ne Lutti ne bayingira mu Negevu.
010d02004e	Mu kiseera ekyo Ibulaamu yalina ente nnyingi, ne ffeeza ne zaabu nnyingi nnyo.
010d030071	N’atambula okuva e Negevu n’atuuka e Beseri, mu kifo eweema ye we yali olubereberye, wakati wa Beseri ne Ayi,
010d04005d	mu kifo we yasooka okuzimbira Mukama ekyoto, Ibulaamu n’akoowoolera eyo erinnya lya Mukama.
010d05006e	Ne Lutti eyagenda ne Ibulaamu naye yalina ebisibo by’endiga n’amagana g’ente n’ab’enju ye nga bangi,
010d06004a	ekitundu mwe baali nga tekibamala bombi. Obugagga bwabwe bwali bungi nnyo,
010d07006b	ate nga n’abasumba baabwe bayombagana. Mu kiseera ekyo Abakanani n’Abaperezi nabo baabanga mu nsi omwo.
010d080099	Awo Ibulaamu n’agamba Lutti nti, “Tewasaana kubaawo kuyombagana wakati wange naawe, wadde wakati w’abalunzi bo n’abange, kubanga tuli baaluganda.
010d0900b4	Ensi yonna teri mu maaso go? Leka twawukane. Bwonoolonda oluuyi olwa kkono, nze n’alaga ku luuyi olwa ddyo, bw’onoolaga ku luuyi olwa ddyo nze n’alaga ku luuyi olwa kkono.”
010d0a00fc	Lutti n’ayimusa amaaso ge, n’alaba ekiwonvu kya Yoludaani nga kirungi, nga kirimu amazzi buli wantu nga kifaanana ng’ennimiro ya Mukama; nga kiri ng’ensi ya Misiri ku luuyi olwa Zowaali. Kino kyaliwo nga Mukama tannazikkiriza Sodomu ne Ggomola.
010d0b0074	Bw’atyo Lutti ne yeeronderawo olusenyi lwa Yoludaani n’agenda ku luuyi olw’ebuvanjuba; bwe batyo ne baawukana.
010d0c0089	Ibulaamu n’abeera mu nsi ya Kanani, ye Lutti n’abeera mu bibuga eby’omu lusenyi n’atwala eweema ye n’agisimba okumpi ne Sodomu.
010d0d0041	Abasajja aba Sodomu baali babi era nga boonoonyi nnyo eri Mukama.
010d0e00bf	Mukama n’agamba Ibulaamu ng’amaze okwawukana ne Lutti nti, “Yimusa amaaso go ng’osinziira mu kifo mw’oli, otunule ku bukiikakkono, ne ku bukiikaddyo, n’ebuvanjuba n’ebugwanjuba;
010d0f0047	kubanga ensi gy’olaba ndigikuwa ggwe n’ezzadde lyo emirembe gyonna.
010d10007c	Ndyaza ezzadde lyo ng’enfuufu ey’oku nsi; omuntu bw’alisobola okubala enfuufu ey’oku nsi, n’ezzadde lyo aliribala.
010d110047	Situka, tambula obuwanvu n’obukiika obw’ensi kubanga ngikuwadde.”
010d12008c	Awo Ibulaamu n’asimbula eweema ye n’agenda n’abeera okumpi n’emivule gya Mamule, ekiri e Kebbulooni, n’azimbira eyo Mukama ekyoto.
010e010087	Mu biro bya Amulafeeri kabaka wa Sinaali, ne Aliyooki kabaka wa Erasali, ne Kedolawomeeri kabaka wa Eramu ne Tidali kabaka wa Goyiyimu,
010e0200bb	bakabaka bano ne balumba ne balwana ne Bbeera kabaka wa Sodomu, ne Bbiruusa kabaka wa Ggomola, ne Sinaabu kabaka wa Aduma, ne Semebeeri kabaka wa Zeboyiyimu ne kabaka wa Bera, ye Zowaali.
010e03005d	Bano bonna abooluvannyuma ne beegatta wamu mu kiwonvu kya Sidimu (y’Ennyanja ey’Omunnyo).
010e040080	Baamala emyaka kkumi n’ebiri nga baweereza Kedolawomeeri kabaka we Eramu, naye mu mwaka ogw’ekkumi n’esatu ne bamujeemera.
010e0500b4	Mu mwaka ogw’ekkumi n’ena Kedolawomeeri ne bakabaka abaali naye ne balumba Abaleefa mu Asuterosikalumayimu ne babawangula, n’Abazuuzi mu Kaamu, n’Abemi mu Savekiriyasayimu,
010e06005e	n’Abakooli mu nsi ey’ensozi eya Seyiri n’okutuukira ddala Erupalaani okumpi n’eddungu.
010e070084	Ate ne bakyuka ne bajja e Nuumisupaati, ye Kadesi ne bawangula ensi yonna ey’Abamaleki n’Abamoli abaabeeranga mu Kazazonutamali.
010e0800a3	Awo kabaka wa Sodomu ne kabaka wa Ggomola, ne kabaka wa Aduma, ne kabaka wa Zeboyiyimu ne kabaka wa Bera, ye Zowaali ne beegatta mu lutalo mu kiwonvu ky’e Sidimu
010e0900bb	okulwanyisa Kedolawomeeri kabaka wa Eramu, ne Tidali kabaka wa Goyiyimu ne Amulafeeri kabaka wa Sinaali awamu ne Aliyooki kabaka wa Erasali, bakabaka bana nga balwanyisa bakabaka bataano.
010e0a00a7	Ekiwonvu ky’e Sidimu kyali kijjudde ebinnya ebirimu kolaasi; bakabaka b’e Sodomu ne Ggomola bwe baddukanga ng’abamu babigwamu, n’abalala ne baddukira ku nsozi.
010e0b0078	Awo bakabaka abana ne batwala ebintu byonna ebyali mu Sodomu ne Ggomola, n’emmere yaabwe yonna gye baalina ne bagenda.
010e0c008d	Era ne batwala ne Lutti, mutabani wa muganda wa Ibulaamu eyali mu Sodomu, n’ebintu bye ne bagenda nabyo kubanga naye yali abeera mu Sodomu.
010e0d00b8	Awo Omwamoli omu eyali abadduseeko n’ajja n’ategeeza Ibulaamu Omwebbulaniya, eyali abeera okumpi n’emivule gya Mamule, muganda wa Esukoli ne Aneri abaalina endagaano ne Ibulaamu.
010e0e00d1	Ibulaamu bwe yawulira nti muganda we atwalibbwa nga munyage, n’akulembera basajja be abatendeke, abazaalirwa mu nnyumba ye, ebikumi bisatu mu kkumi na munaana, ne bawondera abaatwala Lutti okutuuka e Ddaani.
010e0f0097	Mu kiro n’ayawulamu eggye lye, n’abalumba, ye n’abaddu be ne bagoberera abantu bali okutuuka e Kkoba, ku luuyi olw’obukiikakkono obwa Damasiko.
010e100071	Awo n’akomyawo ebintu byonna, era n’akomyawo ne muganda we Lutti n’ebintu bye n’abakazi n’abantu bonna.
010e1100af	Ibulaamu bwe yakomawo ng’amaze okuwangula Kedolawomeeri ne bakabaka abaali naye, kabaka wa Sodomu n’afuluma okumusisinkana mu kiwonvu ky’e Save (kye kiwonvu kya kabaka).
010e120070	Ne Merukizeddeeki kabaka wa Ssaalemi eyali kabona wa Katonda Ali Waggulu Ennyo n’aleeta omugaati n’envinnyo.
010e13007d	N’asabira Ibulaamu omukisa ng’agamba nti, “Katonda Ali Waggulu Ennyo Omutonzi w’eggulu n’ensi awe Ibulaamu omukisa.
010e14008d	Era Katonda Ali Waggulu Ennyo agulumizibwe agabudde abalabe bo mu mikono gyo.” Awo Ibulaamu n’amuwa ekitundu eky’ekkumi ekya buli kimu.
010e150051	Ne kabaka wa Sodomu n’agamba Ibulaamu nti, “Mpa abantu, gwe otwale ebintu.”
