0100000019	ማዢንቲ ማፃኣፔ
01040d0099	ቃኣዔኤሌ ናንጊና ናንጋ ጎዳ ኮራ፦ «ሃይ ታ ጎሞሮ ዓጊንቴ ጋዳማ ታኣኒ ኬዳኒ ዳንዳዓሢኮ ዑሣኬ፤
01040e00e9	ዓካሪ ኔኤኒ ታና ሳዓፓ ዳውሴሢሮ ኔ ቤርታፓ ታኣኒ ዓኣሺንቲ ሳዖይዳ ዳኪንቴያና ሜታዻያና ማዓንዳኔ፤ ዖኦኒያ ታና ዴንቄ ዓሲ ዎዎዻንዳኔ» ጌዔኔ።
01040f0188	ናንጊና ናንጋ ጎዳሢ ጋዓንቴ፦ «ዖኦኒያ ኔና ካኣማዓኬ፤ ጋዓንቴ ዓሲ ኔና ዎዼቶ ኔና ሄሌ ጋዳሞይዳፓ ላንካይ ጳንጬ ማዓ ባሼ ጋዳማ ዬያ ሄላንዳኔ» ጌዔኔ። ዬያሮ ናንጊና ናንጋ ጎዳ ቃኣዔኤሌ ዖኦኒያ ዴንቄቴ ዎዹዋጉዲ ዔርዛ ዱማ ማላታ ዒዛም ጌሤኔ።
01041000bd	ዬካፓ ቃኣዔኤሌ ጎዳ ቤርታፓ ሃኪ ዴንዳዖ፥ ዔዴኔኮ ዓባ ኬስካ ዛላ ሴካ ሃንጋ ጌዒ ሜታዺ ሃንቲሢ ቤሲ ጎዖ ዓጫ ናንጌኔ።
010411013a	ቃኣዔኤሌ ፔ ማቾና ላሃዛ፥ ዒዛ ጎጳዻዖ ዓቲንቄ ናይ ሾዔኔ፤ ሱንፆዋ ዒዛኮ ዔያታ «ሄኖኬ» ጌዒ ጌሤኔ፤ ቃኣዔኤሌ ዬኖ ዎዶና ካታማ ማዣያታዖ ማዢ ጋፒሴሢኮ ጊንፃ ካታሜሎኮ ሱንፆ «ሄኖኬ» ጌይ ጌሤኔ።
0104120093	ሄኖኬ ዒራዴ ሾዔኔ፤ ዒራዴ ሜሁያዔኤሌ፥ ሜሁያዔኤሌ ሜቱሻዔኤሌ ሜቱሻዔኤሌያ ላሜኬ ሾዔኔ፤
010413004b	ላሜኬ ዓዳና ፂላና ጌይንታ ላምዖ ላኣሊ ዔካዛ፥
01041400bd	ዓዳ ጎዖ ላኣሌላ ያቤሌ ጎዖ ናይ ሾዔኔ፤ ያቤሌ ጎዖሢ ቆልሞ ሄንቂ ሄንቂ ቦኦላ ዓፒላና ማዦ ማኣሪዳ ናንጋ ዓሶኮ ዓዶኬ።
0104150065	ዒዛኮ ጌኤዚ ዩባሌ ጎዖሢ ጎኦላና ሹሉንጎና ዋርቃ ዓሶኮ ዓዶኬ።
01041600cf	ፂላ ጎዖ ላኣሌላ «ቱባልቃይኔ» ጎዖያ ዓቲንቄ ናይ ሾዔኔ፤ ዒዚያ ዱማ ዱማ ዓንጊ ዹዓያኬ፤ ቱባልቃይኔኮ ናዒማ ጌይንታ ጌራ ዓኣኔ።
01041700b4	ላሜኬ ፔኤኮ ማቾንሢ ዓዳና ፂላና ዔኤላዖ፦ «ላሜኬ ላኣላ ሂንዳ ዋይዙዋቴ፤ ፔቴ ዼጌ ታና ጳርቄሢሮ ታ ዒዛ ዎዼኔ፤
01041800c8	ቃኣዔኤሌ ዎዻሢ ላንካይ ጳንጬ ጋዳማ ሄላንዳኔ ጌይንቴቶ ታና ዎዻያም ላንካይታሚ ላንካይ ጳንጬ ጋዳማ ዒዛ ሄላንዳኔ» ጌዔኔ።
0104190109	ዓዳኣሜኮ ማቻ ሃሣ ላሚ ጎጳዻዖ ዓቲንቄ ናይ ሾዔኔ፤ ዒዛኣ፦ «ቃኣዔኤሌ ዎዼ፥ ዓኣቤኤሌ ቤዛ ፆኦሲ ታኣም ዓቲንቄ ናይ ዒንጌኔ» ጋዓዖ ዒዛኮ ሱንፆ «ሴኤቴ» ጌዒ ጌሤኔ።
01041a009e	ሴኤቴያ «ሄኖሴ» ጌይንታ ዓቲንቄ ናይ ሾዔኔ፤ ዬኖ ዎዶናኬ ዓሳ ናንጊና ናንጋ ጎዳ ካሽኪሢ ዓርቄሢ።
0105010094	ዓዳኣሜ ዜርፆኮ ሱንፃ ሃይፓ ዴማ ፓይዲንታሢ ጉዴያኬ፤ ፆኦሲ ዓሲ ማዤ ዎዶና ፔ ማሎና ማዤኔ፤
0105020076	ዓቲንቄና ላኣሊና ማሂ ማዣዖ ዓንጄኔ፤ «ዓሲ» ጌዒያ ሱንሢ ዔያቶም ጌሤኔ።
01050300a9	ዓዳኣሜኮ ሌዓ ፄኤታና ሃይሢታሚና ሌዔ ማዔ ዎዶና ዒዛ ማላያ ዓቲቄ ናይ ሾዓዖ፥ ሱንፆ «ሴኤቴ» ጌዒ ጌሤኔ።
0105040073	ዬካፓ ዓዳኣሜ ሳሊ ፄኤታ ሌዔ ናንጋዖ ሃሣ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
0105050066	ሌዓ ዒዛኮ ዎሊ ዑፃ ታዞጳ ፄኤታና ሃይሢታሚ ሌዔ ማዓዛ ሃይቄኔ።
0105060055	ሴኤቴ ፄኤታና ዶንጎ ሌዔና ማዓዛ ሄኖሴ ጎዖሢ ሾዔኔ፤
0105070080	ዬካፓ ሴኤቴ ሳሊ ፄኤታና ላንካይ ሌዔና ናንጊ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
010508006a	ዎሊ ዑፃ ዒዛኮ ሌዓ ታዞጳ ፄኤታና ታጶ ላምዖ ሌዔና ማዓዛ ሃይቄኔ።
0105090065	ሴኤቴ ናኣዚ ሄኖሴኮ ሌዓ ታዞጲታሚ ማዓዛ ቃይናኔ ጎዖሢ ሾዓዖ፥
01050a007a	ዬካፓ ሳሊ ፄኤታና ታጶ ዶንጎ ሌዔና ናንጊ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
01050b0063	ዎሊ ዑፃ ዒዛኮ ሌዓ ታዞጳ ፄኤታና ዶንጎ ሌዔና ማዓዛ ሃይቄኔ።
01050c0071	ሄኖሴ ናኣዚ ቃይናኔኮ ሌዓ ላንካይታሚ ማዓዛ ሜላሊዔኤሌ ጎዖሢ ሾዔኔ፤
01050d0073	ዬካፓ ሳሊ ፄኤታና ዖይዲታሚ ሌዔ ናንጊ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዒ፥
01050e0060	ዎሊ ዑፃ ሌዓ ዒዛኮ ታዞጳ ፄኤታና ታጶ ሌዔና ማዓዛ ሃይቄኔ።
01050f0075	ቃይናኔ ናኣዚ ሜላሊዔኤሌኮ ሌዓ ላሂታሚ ዶንጎ ማዓዛ ያሬዴ ጎዖሢ ሾዔኔ፤
0105100076	ዬካፓ ሳሊ ፄኤታና ሃይሢታሚ ሌዔ ናንጊ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
0105110066	ሌዓ ዒዛኮ ዎሊ ዑፃ ሳሊ ፄኤታና ታዞጲታሚ ዶንጎ ማዓዛ ሃይቄኔ።
0105120062	ያሬዴኮ ሌዓ ፄኤታና ላሂታሚ ላምዖ ማዓዛ ሄኖኬ ጎዖሢ ሾዔኔ፤
0105130063	ዬካፓ ሳሊ ፄኤታ ሌዔ ናንጊ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
0105140066	ሌዓ ዒዛኮ ዎሊ ዑፃ ታዞጳ ፄኤታና ላሂታሚ ላምዖ ማዓዛ ሃይቄኔ።
0105150058	ሄኖኬኮ ሌዓ ላሂታሚ ዶንጎ ማዓዛ ማቶሳላ ጎዖሢ ሾዔኔ፤
0105160097	ዬካፓ ሄኖኬ ፆኦሲና ጊኢጊ ሃንቲሢና ሃይሦ ፄኤታ ሌዔ ናንጊ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
0105170074	ሄኖኬኮ ሌዓ ሃይሦ ፄኤታና ላሂታሚ ዶንጎ ማዓንዳያ ሄላንዳኣና ናንጌኔ፤
01051800aa	ዬያጉዴ ሌዔ ዒዚ ናንጌሢ ፆኦሲና ጊኢጊ ሃንቲሢናኬ፤ ዬካፓ ፆኦሲ ዒዛ ዔኬሢሮ ሃይቁዋዖ ጉሪ ዒ ባባይቄኔ።
010519007f	ሄኖኬ ናኣዚ ማኣቶሳላኮ ሌዓ ፄኤታና ሳሊታሚ ላንካይ ማዓዛ ላሜኬ ጎዖሢ ሾዔኔ፤
01051a0083	ዬካፓ ላንካይ ፄኤታና ሳሊታሚ ላምዖ ሌዔ ናንጊ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
01051b006a	ሌዓ ዒዛኮ ዎሊ ዑፃ ታዞጳ ፄኤታና ላሂታሚ ታዞጳ ማዓዛ ዒ ሃይቄኔ።
01051c0062	ላሜኬኮ ሌዓ ፄኤታና ሳሊታሚ ላምዖ ማዓዛ ዓቲንቄ ናይ ሾዔኔ፤
01051d00ca	«ዬይ ናዓሢ ናንጊና ናንጋ ጎዳ ጋዳንቄ ሳዔሎይዳ ፑኡፖ፥ ዶዶ ማዻፓ ኑና ሃውሺሳንዳኔ» ጋዓዖ፥ ሱንፆ ዒዛኮ «ኖሄ» ጌዒ ጌሤኔ።
01051e0090	ዬካፓ ላሜኬ ዶንጎ ፄኤታና ታዞጲታሚ ዶንጎ ሌዔ ናንጊ፥ ሜሌ ዓቲንቄና ዉዱሮ ናይና ሾዔኔ፤
01051f0072	ሌዓ ዒዛኮ ዎሊ ዑፃ ላንካይ ፄኤታና ላንካይታሚ ላንካይ ማዓዛ ሃይቄኔ።
01052000b3	ኖሄኮ ሌዓ ዶንጎ ፄኤታ ማዔስካፓ ሃይሦ ዓቲንቄ ናይ ሾዔኔ፤ ዔያቶኮ ሱንፃ ሴኤሜ፥ ካኣሜ፥ ያኣፔቴ ጌይንታያኬ።
0106010076	ዓሲኮ ዜርፃ ሳዖይዳ ሚርጊ ሚርጊ ዓኣዼ ዎዶና ሚርጌ ዉዱሮ ናይ ሾይንቴኔ፤
01060200b7	ዬኖ ዎዶና ፆኦሲ ዓቲንቆ ናኣቶ ማዔዞንሢ ዬያቶ ዉዱሮ ናኣቶኮ ሚዛጱሞ ዛጋዖ ዔያቶም ማዓንዳያ ዶኦሪ ላኣሊ ዔኬኔ።
0106030135	ናንጊና ናንጋ ጎዳሢ፦ «ዓሲም ሼምፖ ዒንጋ ታኣኮ ዓያና ዓሲና ዎላ ናንጊና ማይ ናንጊንዱዋሴ፤ ዓይጎሮ ጌዔቶ ዓሲ ሃይቃያ ማዔሢሮ ሃካፓ ሴካ ፄኤታና ላማታሚ ሌዔናፓ ዑሣ ዓኣዼ ናንጋዓኬ» ጌዔኔ።
0106040107	ዬኖ ዎዶና ዔርቴ ዓሶ ዉዱሮ ናኣቶና ዬንሢ ፆኦሲ ዓቲንቆ ናኣቶ ማዔዞንሢፓ ዎልቄና ዼኤፒ ሚርጌ ዓሲ ሾይንቴኔ፤ ዔያታ ሚናኣ ዎዶና ዒጊቻያ ማዔ፥ ዔርቴ ዎልቄ ዓሲኬ።
01060500a1	ጉቤ ዎዴና ሳዖይዳ ዓኣ ዓሳ ቢያ ዓይሢንቱዋያና ማሊፃኣ ፑርቱሞ ሌሊ ማዔሢ ናንጊና ናንጋ ጎዳ ዛጋዖ፥
0106060080	ዓሲ ማዢ ሳዖይዳ ናንጋንዳጉዲ ማሂፆና «ዓይጎሮዋ ታ ማዤይ» ጌዒ ሚርጌና ዖዬኔ።
010607012c	ዬያፓ ዔቄያና ፆኦሲ፦ «‹ዓሲ ታኣኒ ዓይጋ ማዤይ› ጌዒ ዒና ታኣኮ ዖዬኔ፤ ዬያሮ ዬያ ታ ማዤ ዓሶንታ ቦዖ ዻኮንታ ዼኤፖንታ፥ ቆሎንታ፤ ሃሣ ካፖዋ ዓይሱዋዖ ሳዖይዳፓ ታ ባይዛንዳኔ» ጌዔኔ።
0106080081	ጋዓንቴ ዒማና ፔቴ ኖሄ ጌይንታ ናንጊና ናንጋ ጎዳ ዎዛሳ ናንጊ ናንጋ ዓሲ ዓኣኔ።
0106090092	ኖሄኮ ሃይሳ ያዺኬ፤ ኖሄ ፔ ናንጎ ሌዖ ቢያይዳ ፒዜ ማዔያና ፆኦሲና ጊኢጊ ሃንታ ኮሺ ዓሲኬ፤
01060a0068	ኖሄ፦ ሴኤሜ፥ ካኣሜና ያኣፔቴ ጌይንታ ሃይሦ ዓቲንቄ ናይ ሾዔኔ።
01060b0099	ዬኖ ዎዶና ሳዖይዳ ዓኣ ዓሳ ቢያ ፆኦሲ ቤርታ ፑርታ ዎቦ ማዔሢሮ ጌኔ ማዾ ዓጮ ቢያይዳ ማዺንታኔ።
01060c007a	ፆኦሲ ሳዖ ቢያ ዛጋዛ ፑርቴያ ማዔሢና ዒኢካ ናንጋ ዓሳ ቢያ ዎቦታሢ ዴንቄኔ።
01060d00ff	ዬያሮ ፆኦሲ ኖሄም፦ «ዓሲኮ ዜርፆ ሳዖይዳፓ ቢያ ታኣኒ ባይዛኒ ማሌኔ፤ ዓይጎሮ ጌዔቶ ሳዓ ዓሶኮ ጌኖ ማዾና ኩሜሢሮ ዓሲ ጋዓ ባኣዚ ሳዖይዳፓ ታኣኒ ባይዛንዳኔ፤
01060e00af	ኔኤም ጋዓንቴ ቃራ ሚሢዳፓ ዋኣሢ ካኣሚሌ ማዤ፤ ጋራ ሚርጌ ቆልዓና ዓኣያ ማሂ ማዢጋፓ ጋሮና ዙሎና ሺዲና ሺዴ።
01060f0091	ዖዶሱማ ሃይሦ ፄኤታ ዋዻ፥ ጋሮ ዳልጉማ ዶንጊታሚ ዋዻ፥ ቱሮ ዔጳ ሃይሢታሚ ዋዻ ማዔያ ኮሼ፤
010610010f	ዋኣፆ ካኣሚሎኮ ቶኦካ ማኣሪ ማዤ፤ ኮጮና ሳኮና ካኣማ ካሮኮ ፔቴ ዋዻ ኩሙዋ ቤሲ ሃሼ፤ ዋኣፆ ካኣሚሎኮ ዎሊ ዑፃ ዑፃ ሃይሦ ኩባ ዓኣያ ማሂ ማዣዖ ካሮ ጎኦቦ ዛሎና ማሂ ማዤ፤
01061100a7	ሳዖይዳፓ ሼምፓ ዓኣ ባኣዚ ባይዛኒ ባይሲንታ ዋኣሢ ታ ኬሳዛ፥ ሳዖይዳ ሼምፓ ዓኣ ማዢንታ ቢያ ኩዳንዳኔ።
01061200c5	ኔና ታ ባይዚንዱዋያ ማዔሢ ታኣኒ ኔኤም ጫኣቃንዳኔ፤ ኔኤና ኔ ማቾና ኔ ናኣቶና ዔያቶኮ ላኣሎና ዋኣፆ ካኣሚሎ ጋሮ ጌሉዋቴ።
01061300ce	«ኔኤና ዎላ ናንጊ ዓታንዳጉዲ ሼምፓ ዓኣ ማዢንቶኮ ዜርፃፓ ዜርፃፓ ላምዖ ላምዖ ዓዴና ዒንዴና ዔኪ ዔኪ ዋኣፆ ካኣሚሎ ጋሮ ጌልዜ፤
01061400ca	ባይሲንታፓ ዓታንዳጉዲ ዱማ ዱማ ካፖ ዜርፃፓ፥ ቆልሞይዳፓ፥ ካዮ ቦዖ ዻኮንታ ዼኤፖንታይዳፓ ላምዖ ላምዖ ማዒ ኔ ኮራ ሙኮንጎ።
010615009d	ዬካፓ ኔናንታ ዬንሢ ማዢንቶም ቢያ ጊዳንዳ ዱማ ዱማ ሙኡዚ ዋኣፆ ካኣሚሎ ጋራ ቡኩሴ» ጌዒ ኬኤዜኔ።
010616003b	ኖሄያ ፆኦሲ ዒዛ ዓይሤሢ ቢያ ማዼኔ።
01070100ce	ናንጊና ናንጋ ጎዳ ኖሄም ጋዓዖ፦ «ሃኖ ዎዶ ሾይንቶ ባኣካ ኮሺ ዓሲ ኔና ሌሊ ማዔሢሮ ኔኤኒ ኔ ማኣሮ ዓሶና ዋኣፆ ካኣሚሎ ጋሮ ጌሌ።
010702015e	ፆኦሲም ዒንጊንታኒና ሙዒንታኒ ዳንዳዓ ቆልሞና ቦዖናይዳፓ ቢያ ላንካይ ላንካይ ዓዴና ዒንዴና ኔኤና ዎላ ዋኣፆ ካኣሚሎይዳ ጌልዜ፤ ፆኦሲም ዒንጊንታኑዋያና ሙዒንቱዋ ቆልሞይዳፓ ቢያ ፔቴ ፔቴ ዓዴና ዒንዴና ሌሊ ጌልዜ።
010703010c	ፔቴ ፔቴ ካፖ ዜርፃፓ ላንካይ ላንካይ ዓዴና ዒንዴና ጌልዜ፤ ዬያ ኔ ማዻንዳሢ ፔቴ ፔቴ ቆልሞንታ ካዮ ቦዖንታ ካፖንታ ሳዛና ናንጋንዳጉዲና ሳዖይዳ ዜርሢ ዓታንዳጉዲኬ።
01070400f2	ታኣኒ ማዤ ሼምፓ ዓኣ ማዢንቶ ቢያ ሳዖ ቢያይዳፓ ባይዛኒ ላንካይ ኬሊኮ ጊንፃፓ ዖይዲታሚ ኬሊ ሮኦሪና ዋንቴና ቢያ ጋፑዋ ዒርዚ ታ ዋርቂሳንዳኔ» ጌዔኔ።
0107050053	ኖሄያ ናንጊና ናንጋ ጎዳ ዒዛ ዓይሤ ባኮ ቢያ ማዼኔ።
0107060059	ባይሲንቶ ዋኣፃ ሳዓ ማዔ ዎዶና ኖሄኮ ሌዓ ላሆ ፄኤታኬ።
0107070094	ኖሄ፥ ማቻ፥ ናኣቶንታ ዔያቶኮ ላኣላኣ ባይሲንቶ ዋኣፆይዳፓ ዓታኒ ዋኣፆ ካኣሚሎይዳ ጌሌኔ።
0107080075	ሙኡዚም ማዓያና ማዑዋ ፔቴ ፔቴ ቆሎንታ ካዮ ቦዖንታ፤ ሃሣ ካፖንታይዳፓ፥
010709009e	ላምዖ ዓዴና ዒንዴና ማዒ ማዒ ኖሄ ኮራ ሙኬኔ፤ ፆኦሲ ዓይሤ ጎይፆና ዋኣፆ ካኣሚሎይዳ ኖሄ ጌልዛዛ፥
01070a004a	ላንካይ ኬሊኮ ጊንፃፓ ባይሲንቶ ዋኣፃ ሙኬኔ።
01070b0119	ኖሄኮ ሌዓ ላሆ ፄኤታ ማዔ ዎዶና ላምዓሳ ዓጊኖኮ ታጶ ላንካሳ ኬሎ ሳዖኮ ዴማ ዓኣ ፑኡፖ ዋኣፆኮ ዓልቃ ካራ ቢያ ዔርቱዋንቴ ዳርዓዛ፥ ጫሪንጮይዳ ዓኣ ዋኣፆኮ ካራ ቢያ ቡሊንቴኔ።
01070c006a	ዒራ ዖይዲታሚ ሮኦሪና ዖይዲታሚ ዋንቴና ሃሹዋዖ ሳዖይዳ ዋርቄኔ።
01070d00d4	ዒራ ዋርቂፆ ዓርቄ ኬሎ ኖሄ፥ ማቻ፤ ዔያቶኮ ናኣታ ሴኤሜ፥ ካኣሜ፥ ያኣፔቴያ ዔያቶኮ ሃይሦ ላኣሎንሢና ዎላ ዋኣፆ ካኣሚሎይዳ ጌሌኔ።
01070e00e0	ቆልሞይዳፓ፥ ካዮ ቦዖ ዻኮንታ ዼኤፖንታይዳፓ፤ ሃሣ ጫሪንጫ ባራና ካፖናይዳፓ ፔቴ ፔቴ ፔኤኮ ዜርፆጉዴያ ዔያቶና ዎላ ዋኣፆ ካኣሚላ ጌሌኔ።
01070f0088	ያዒዲ ፔቴ ፔቴ ሼምፓ ዓኣ ማዢንታፓ ላምዖ ላምዖ ማዒ ኖሄና ዎላ ዋኣፆ ካኣሚላ ጌሌኔ፤
01071000f0	ማዢንታ ቢያ ዓዴና ዒንዴና ማዒ ዋኣፆ ካኣሚላ ጌሌሢ ፆኦዛሢ ዓይሤ ጎይፆ ጉዴያናኬ፤ ዬካፓ ናንጊና ናንጋ ጎዳ ኖሄኮ ዙሎና ዋኣፆ ካኣሚሎኮ ካሮ ዎዼኔ።
01071100da	ባይሲንቶ ዋኣፃ ዖይዲታሚ ኬሊ ሄላንዳኣና ኩሚ ኩሚ ዓኣዼኔ፤ ዋኣፃ ቃሲንቲ ቃሲንቲ ዓኣዼሢሮ ዋኣፆ ካኣሚሎ ሳዖይዳፓ ዑፃ ዼግ ዼጊዴኔ።
010712009a	ዋኣፆኮ ሳዖይዳፓ ዼጉማ ቃሲንቴ ዎዶና ዋኣፆ ካኣሚላ ዋኣፆ ዑፃ ሴካ ሃንጋ ጌዒ ሃንቲሢ ዓርቄኔ።
010713006b	ዋኣፃ ጫሪንጮኮ ዴማ ዓኣ ፑኡፖ ዹኮ ባይዛንዳያ ሄላንዳኣና ዼጌኔ።
0107140050	ዋኣፃ ዹኮኮ ዑሣ ዓኣዺ ታጶ ዶንጎ ዋዻ ዼጊ ጌዔኔ።
01071500b2	ካፓ፥ ቆልማ፥ ካዮ ቦዖ ዻኮንታ ዼኤፖንታ ዓሶንታ ቢያ ዓቱዋዖ ሃይቃዛ ሳዓ ዓኣ ሼምፓ ዓኣ ማዢንታ ቢያ ባይቄኔ።
0107160046	ሳዖ ዑፃ ናንጋ ሼምፓ ዓኣ ባኣዚ ቢያ ጋፔኔ።
0107170143	ናንጊና ናንጋ ጎዳ ሳዖ ዑፃ ሼምፓ ዓኣ ማዢንቶ ቢያ፥ ዓሶንታ ቆልሞንታ ካፖንታ ካዮ ቦዖ ዻኮንታ ዼኤፖንታ ዓይሱዋዖ ቢያ ባይዛዛ ሃይባፓ ዓቴዞንሢ ኖሄና ዒዛና ዎላ ዋኣፆ ካኣሚሎ ጋራ ዓኣ ባኮንሢ ሌሊኬ።
010718006a	ባይሲንቶ ዋኣፃ ፄኤታና ዶንጊታሚ ኬሊ ሄላንዳኣና ሚጩዋዖ ዴዔኔ።
01080100cf	ፆኦሲ ኖሄና ዒዛና ዎላ ዋኣፆ ካኣሚሎ ጋራ ዓኣ ካዮ ቦዖንታ ቆልሞንታም ቢያ ማላዖ ሳዖይዳ ዢባሬ ዢባርሺሳዛ ዋኣፃ ኬዲሢ ዓርቄኔ።
01080200ab	ሳዖኮ ዴማፓ ቱሮ ዋኣፃ ዓልቃ ካሮና ጫሪንጫ ዓኣ ዋኣፃኣ ኬዳ ካራ ዎዺንቴኔ፤ ጫሪንጫፓ ዋርቃ ዒራኣ ዔቄኔ።
010803008a	ዋኣፃ ዻካ ዻካ ሳዓፓ ኬዲሢ ዓርቃዖ ፄኤታና ዶንጊታሚ ኬሊ ሄላንዳኣና ሚጪ ሚጪ ዻኬኔ።
01080400ce	ባይሲንቶ ዋኣፃ ኩሚፆ ዓርቄሢዳፓ ላንካሳ ዓጊኖኮ ታጶ ላንካሳ ኬሎ ዋኣፆ ካኣሚላ ዓራራቴ ጌይንታ ዹኮኮ ፔቴያ ቶኦካ ሄሊ ዔቄኔ።
0108050069	ዋኣፃ ታጳሳ ዓጊኖኮ ዓይፆይዳ ታሢ ታሢ ኬዳዛ ዹኮኮ ቶኦካ ጴዼኔ።
0108060072	ዖይዲታሚ ኬሊኮ ጊንፃፓ ኖሄ ዋኣፆ ካኣሚሎኮ ፑልቶ ካራፓ ፔቴማ ቡላዖ፥
0108070097	ቁራኬ ኬሲ ዳካዛ ቁራካሢያ ዋኣፃ ሚጫንዳያ ሄላንዳኣና ሴካ ሃንጋ ጌዒ ጌዒ ባራኒ ሌሊ ባራኔኔ።
010808005d	ዬካፓ ኖሄ ሃሣ ዋኣፃ ዓኣ ቤዛፓ ኬዴቶ ዔራኒ ዶኦሌ ዳኬኔ።
0108090105	ጋዓንቴ ዋኣፃ ሃጊ ሳዖ ባይዚ ዓኣሢሮ ዶኦሌላ ዴዖንዶ ቤሲ ዴንቃኒ ዳንዳዒባኣሢሮ ኖሄ ባንሢ ማዒ ሙካዛ ኖሄ ኩጮ ዋኣፆ ካኣሚላፓ ኬሲ ዶኦሌሎ ፔ ባንሢ ዓርቂ ዔኬኔ።
01080a004e	ላንካይ ኬሊ ዴዔስካፓ ዶኦሌሎ ጊንሣ ማሂ ዳኬኔ።
01080b00ac	ዶኦሌላ ዓባ ጌላኣና ዓኣዔ ሪሚቲኮ ዒላሺ ዻንጋ ዔኪ ኖሄ ባንሢ ሙኬሢሮ ኖሄያ ዋኣፃ ዓኣ ቤዛፓ ኬዴሢ ዔሬኔ።
01080c0080	ሃሣ ላንካይ ኬሊኮ ጊንፃፓ ኖሄ ዶኦሌሎ ኬሲ ዳካዛ ዬማፓ ዶኦሌላ ማዒ ሙኪባኣሴ።
01080d010c	ኖሄኮ ላሆ ፄኤታና ፔቴ ሌዔና ማዓዛ ቤርታሳ ዓጊኖኮ ቤርታሳ ኬሎና ዋኣፃ ሳዓፓ ሚጬኔ፤ ኖሄያ ዋኣፆ ካኣሚሎኮ ዑፆ ቡላዖ ኮይሎ ቢያ ዛጊ ዋኣፃ ሚጪ ሳዓ ፃኣዼሢ ዴንቄኔ።
01080e008c	ዋኣፃ ሚጮ ዓርቄስካፓ ላምዓሳ ዓጊኖኮ ላማታሚ ላንካሳ ኬሎና ሳዓ ጋፒንሢ ፃኣዺ ሜሌኔ።
01080f0016	ፆኦሲ ኖሄም፦
0108100072	«ኔኤና ኔ ማቾና ኔ ናኣቶና ዔያቶኮ ላኣሎና ዎላ ዋኣፆ ካኣሚላፓ ኬስኬ፤
01081100fb	ዳልጊ ሚርጊ ሳዖ ቢያ ዔያታ ኩማንዳጉዲ ኔኤና ዎላ ዓኣ ሼምፓ ዓኣ ማዢንቶ ቢያ ካፖንታ ቆልሞንታ ሃንጎ ሃሣ ካዮ ቦዖ ዻኮንታ ዼኤፖንታ ቢያ ዔኪ ኬስኬ» ጌዔኔ።
010812005e	ዬካፓ ኖሄና ማቾና ዒዛኮ ናኣቶንታ ናኣዚ ማቾንሢንታ ዎላ፥
01081300b5	ሃሣ ቆልሞንታ ካፖንታ ካዮ ቦዖ ዻኮንታ ዼኤፖንታ ቢያ ፔኤኮ ፔኤኮ ዜርፃ ዎሊ ጊንፆ ማዒ ዋኣፆ ካኣሚላፓ ኬስኬኔ።
0108140140	ኖሄ ናንጊና ናንጋ ጎዳም ዒንጎ ባኮ ዒንጊ ካኣሽካኒ ሹቺና ቤዞ ኮሻዖ፥ ሙኡዚም ማዓ ቆልሞና ካፖናይዳፓ ፔቴ ፔቴ ዔኪ ናንጊና ናንጋ ጎዳም ዒንጎ ዒንጊሢ ማዓንዳጉዲ ቢያሢ ዒዚ ኮሼ ቤዞይዳ ሚቺ ዒንጌኔ።
01081501e5	ዬካፓ ሚቺ ዒንጎና ባኮኮ ሳዋ ናንጊና ናንጋ ጎዳሢ ዎዛሴሢሮ ናንጊና ናንጋ ጎዳ ፔ ማሊፆና ሂዚ ጌዔኔ፦ «ዓሲ ፑርቲሳ ዻቢንቶሮ ቢያ ሃይካፓ ሴካ ታኣኒ ሳዖ ጋዳንቃዓኬ፤ ዓይጎሮ ጌዔቶ ዓሲ ሃጊ ናይ ዓኣላ ዓኣዖ ፑርቱሞ ማዾ ኮዓያ ማዔሢሮ ሃሢ ታኣኒ ማዼሢጉዲ ሼምፓ ዓኣ ማዢንቶ ቢያ ሃይፓ ሴካ ታ ባይዛዓኬ።»
010816012a	ናንጊና ናንጋ ጎዳ ሃሣ ቃሳዖ፦ «ሳዓ ዓኣ ጎይሣ ዓኣንቴ ጎሺ ጎሽኪሢ፥ ሃኣኮ ቡኩሲሢ፥ ጪኢሺ፥ ዖይዺሢ፥ ዖጎሢንታ ባርጊንታ፥ ሮኦሪንታ ዋንቴንታ ቢያ ዎዴ ዓኣያ ማዒ ናንጋንዳኔ» ጌዔኔ።
0109010072	ፆኦሲ ኖሄና ናኣቶና ዓንጃዖ፦ «ሚርጉዋቴ፤ ዳልጉዋቴ፤ ሳዖዋ ኩሙዋቴ፤
