1300000005	Psalm
13130e00fe	Auch vor Frechen beschirme deinen Knecht, / Daß sie mich nicht beherrschen! / Dann bin ich unsträflich / Und frei von schwerer Schuld. So nimm denn gnädig auf die Worte meines Mundes / Und meines Herzens Sinnen, / Jahwe, / Mein Fels und mein Erlöser!
1314010022	Dem Sangmeister. Ein Psalm Davids.
1314020072	(Der levitische Sängerchor:) / Es erhöre dich Jahwe am Tage der Not, / Der Name des Gottes Jakobs schütze dich!
1314030041	Er sende dir Hilfe vom Heiligtum / Und stütze dich von Zion her!
131404004c	Er gedenke all deiner Speisopfer, / Und dein Brandopfer sei ihm wert! (Sela)
1314050049	Er gebe dir, was dein Herz begehrt, / Und all deine Wünsche erfülle er!
1314060081	Dann wollen wir jauchzen ob deiner Hilfe / Und im Namen unsers Gottes das Banner schwingen. / Jahwe gewähre dir all dein Bitten!
131407009c	(Eine Einzelstimme:) / Nun weiß ich, daß Jahwe seinem Gesalbten hilft, / Aus seinem heiligen Himmel erhört er ihn / Durch gewaltige Taten seiner Rechten.
1314080062	Diese vertrauen auf Wagen und jene auf Rosse, / Wir aber rufen an den Namen Jahwes, unsers Gottes.
13140900b1	Sie sinken nieder und fallen, / Wir aber stehen und halten uns aufrecht. (Schlußruf des ganzen Sängerchors:) / Jahwe, rette den König! / Erhör uns heut, da wir zu dir flehn!
1315010022	Dem Sangmeister. Ein Psalm Davids.
1315020081	(Der levitische Sängerchor:) / Ob deiner Macht, o Jahwe, freut sich der König / Und ob deiner Hilfe — wie jauchzt er so sehr!
1315030061	Seines Herzens Verlangen hast du ihm erfüllt, / Seiner Lippen Begehren ihm nicht versagt. (Sela)
1315040058	Ja, reichsten Segen hast du ihm geschenkt, / Ihm aufs Haupt gesetzt eine Krone von Gold.
1315050048	Um Leben bat er — du gabst es ihm, / Langes Leben für immer und ewig.
131506004b	Durch deine Hilfe ist groß sein Ruhm, / Glanz und Hoheit legst du auf ihn.
131507004a	Ja, du machst ihn zum Segen auf ewig, / Erfüllest ihn mit Freude vor dir.
1315080068	(Eine Einzelstimme:) / Denn der König vertrauet auf Jahwe, / Durch des Höchsten Gnade wanket er nicht.
1315090054	Deine Hand wird treffen all deine Feinde, / Deine Rechte erreichen, die dich hassen.
13150a007e	Du machst sie gleich einem Feuerofen, wenn du erscheinst. / Jahwe verderbt sie in seinem Zorn, / Und Feuer wird sie verzehren.
13150b0059	Ihre Kinder wirst du von der Erde vertilgen, / Ihr Geschlecht von den Menschen ausrotten.
13150c0047	Sinnen sie Böses wider dich, / Erdenken sie Tücke — es ist umsonst!
13150d00be	Denn du schlägst sie in die Flucht, / Deine Pfeile richtest du gegen sie. (Schlußruf des ganzen Sängerchors:) / Erheb dich, Jahwe, in deiner Macht! / Dann preisen wir singend deine Kraft.
1316010056	Dem Sangmeister, nach (der Melodie von:) "Hindin der Morgenröte". / Ein Psalm Davids.
1316020065	Mein Gott, mein Gott, warum hast du mich verlassen?! / Ohne Hilfe zu finden, muß ich zu dir schrein.
131603007d	Mein Gott, ich rufe am Tage, doch du hörest mich nicht; / Auch (ruf ich) des Nachts, / Aber mein Klagen wird nicht gestillt.
1316040045	Und dennoch bist du der Heilige, / Über Israels Lobliedern thronend.
131605004c	Dir haben unsre Väter vertraut, / sie haben vertraut: du hast sie errettet.
131606005c	Sie schrien zu dir und wurden frei, / Sie vertrauten dir und sind nicht zuschanden geworden.
1316070059	Ich aber bin ein Wurm und kein Mensch, / Von den Leuten verhöhnt und verachtet vom Volk.
1316080050	Alle, die mich sehen, spotten mein, / Verziehen die Lippen, schütteln den Kopf:
1316090054	"Befiehl dich Jahwe — der rette ihn, / Er reiß ihn heraus, hat er Freude an ihm!"
13160a005d	Ja, du hast mich gezogen aus Mutterschoß, / Mit Vertrauen mich erfüllt an der Mutter Brust.
13160b0050	Auf dich bin ich gewiesen von Anfang an, / Seit meiner Geburt bist du mein Gott.
13160c004f	Sei nicht fern von mir, denn Not ist nah — / Ich habe ja sonst keinen Helfer!
13160d0043	Viele Stiere haben mich umringt, / Die Starken Basans umgeben mich.
13160e004c	Ihren Rachen öffnen sie wider mich / Wie ein reißender, brüllender Löwe.
13160f008b	Wie Wasser bin ich hingegossen, / All meine Gebeine sind auseinandergereckt. / Es ist mein Herz wie Wachs, / Zerschmolzen in meinem Innern.
1316100077	Vertrocknet wie eine Scherbe ist meine Kraft, / Die Zunge klebt mir am Gaumen, / Und du lagerst mich in den Todesstaub.
1316110075	Ja, es haben mich Hunde umringt, / Eine Bösewichterrotte hat mich umkreist, / Sie durchbohren mir Hände und Füße.
1316120049	Zählen könnt ich all meine Gebeine; / Sie aber freuen sich meiner Qual.
131613004b	Sie teilen meine Kleider unter sich / Und werfen das Los über mein Gewand.
1316140044	Du aber, Jahwe, bleib nicht fern! / Meine Stärke, eil mir zu Hilfe!
1316150047	Rette mein Leben vom Schwert, / Aus der Hunde Gewalt reiß meine Seele.
1316160050	Hilf mir doch aus des Löwen Rachen, / Aus der Büffel Hörnern mache mich frei!
131617005a	Dann will ich meinen Brüdern deinen Namen künden, / Inmitten der Gemeinde dir lobsingen:
1316180077	"Die ihr Jahwe fürchtet, preist ihn, / Alle Nachkommen Jakobs, ehret ihn / Und scheut euch vor ihm, alle Israelsöhne!
1316190093	Denn nicht verachtet, nicht verschmäht er des Armen Qual, / Nicht hat er sein Antlitz vor ihm verborgen, / Und als er schrie, hat er ihn erhört."
13161a005a	Dir gilt mein Lobpreis in großer Gemeinde. / Meine Gelübde bezahl ich vor allen Frommen.
13161b0077	Essen sollen Demütige und satt werden; / Preisen werden Jahwe, die ihn suchen: / "Euer Herz soll sich laben auf ewig!"
13161c0082	Des gedenkend werden sich wenden zu Jahwe / Alle Enden der Erde; / Und niederfallen werden vor dir / Alle Geschlechter der Heiden.
13161d0040	Denn Jahwes ist das Königtum, / Er ist aller Völker Herrscher.
13161e00c0	Niederfallen werden vor ihm alle Großen der Erde, / Wenn sie gegessen haben. / Vor ihm werden auch alle knien. / Die hinabfahren in des Grabes Staub / Und die ihr Leben nicht fristen können.
13161f00b0	Die Nachwelt soll ihm dienen, / Man wird vom Herrn erzählen dem künftigen Geschlecht. Sie werden kommen und seine Treue verkünden / Dem spätern Volk, daß er es vollbracht!
1317010011	Ein Psalm Davids.
1317020075	Jahwe ist mein Hirt: mir mangelt nichts. / Auf grünen Auen läßt er mich ruhn, / Zu stillen Wassern führt er mich.
1317030054	Er labet meine Seele, / Er leitet mich auf rechten Pfaden / Um seines Namens willen.
1317040099	Auch wenn ich wandre durch ein Tal des Todesschattens, / Fürcht ich kein Leid. / Denn du bist bei mir; dein Hirtenstab und Stecken, / Die trösten mich.
1317050072	Du deckest mir den Tisch / Vor meiner Dränger Augen. / Du salbst mein Haupt mit Öl, / Mein Becher fließt über.
131706007e	Nur Glück und Gnade folgen mir / Mein Leben lang, / Und wieder weilen werde ich in Jahwes Haus / Bis an das Ende meiner Tage.
13180100ae	Ein Psalm Davids. / (Der Festchor, während er mit der Bundeslade den Berg Zion hinaufsteigt:) / Jahwe ist die Erde und was sie erfüllt, / Der Erdkreis mit seinen Bewohnern.
131802004a	Denn er hat sie auf Meere gegründet / Und über Ströme sie aufgerichtet.
1318030062	(Eine Einzelstimme:) / Wer darf Jahwes Berg besteigen, / Wer darf treten an seine heilige Stätte?
1318040086	(Der Festchor:) / Wer schuldlose Hände hat und reines Herzens ist, / Wer nicht auf Lüge sinnt / Und nicht betrügerisch schwört —
1318050045	Der wird Segen empfangen von Jahwe / Und Hilfe vom Gott seines Heils.
131806004b	So sind, die nach ihm fragen: / Die dein Antlitz suchen, sind Jakob. (Sela)
13180700a2	(Der Festchor oben vor den Toren der Zionsburg:) / Erhebt, ihr Tore, eure Häupter, / Ja, reckt euch empor, uralte Pforten, / Damit der König der Ehren einziehe!
13180800bf	(Eine Einzelstimme drinnen, die gleichsam eine Antwort der Tore ist:) / Wer ist denn der König der Ehren? / (Der Festchor:) / Jahwe ist's, ein Starker, ein Held, / Jahwe, ein Held im Streit!
131809006e	Erhebt, ihr Tore, eure Häupter, / Ja reckt euch empor, uralte Pforten, / Damit der König der Ehren einziehe!
13180a00aa	(Wieder die Einzelstimme drinnen:) / Wer ist denn der König der Ehren? / (Der Festchor draußen:) / Jahwe (der Herr) der Heerscharen, er ist der König der Ehren. (Sela)
1319010038	Von David. / Auf dich, o Jahwe, ist mein Herz gerichtet.
1319020080	Bei dir, mein Gott, fühl ich mich sicher; / Laß mich nicht zuschanden werden! / Laß meine Feinde nicht über mich frohlocken!
1319030060	Gar niemand, der dein harret, wird zuschanden. / Zuschanden werden, die ohn Ursach treulos sind.
131904003a	Deine Wege, Jahwe, tu mir kund, / Deine Steige lehre mich!
1319050077	Halt mich auf dem Pfade deiner Wahrheit, lehre mich! / Denn der Gott, der mir hilft, bist du. / Dein harr ich allezeit.
131906004c	Sei eingedenk, o Jahwe, deiner Huld und Gnade, / Denn sie sind von Ewigkeit.
1319070085	Gedenke nicht der Sünden meiner Jugend / noch meiner Missetaten! / Gedenk du mein nach deiner Gnade / Um deiner Güte willen, Jahwe!
1319080054	Treugesinnt ist Jahwe und voll Güte; / Drum zeigt er Sündern auch den rechten Weg.
1319090042	Im Rechte leitet er Demütige / Und lehret die Elenden seinen Weg.
13190a0088	Kann's anders sein, als daß die Wege Jahwes / alle Gnade sind und Wahrheit / Für die, die da bewahren seinen Bund und seine Zeugnisse?
13190b005f	Laß, Jahwe, doch um deines Namens willen / Vergebung werden meiner Schuld, denn sie ist groß.
13190c004e	Mit Jahwes Furcht erfülltem Mann / Zeigt Gott den Weg, den er erwählen soll.
13190d0058	Nicht nur ihm selber wird es wohl ergehn, / Nein, auch sein Same wird das Land besitzen.
13190e0061	Sein Wohlgefallen schenkt Jahwe denen, die ihn fürchten, / Und seinen Bund läßt er sie wissen.
13190f005f	Auf Jahwe richten sich beständig meine Augen; / Denn er wird aus dem Netze ziehen meinen Fuß.
1319100050	Prüfend wende dich zu mir und sei mir gnädig! / Denn einsam bin ich und elend.
1319110046	Zermalmend trifft die Angst mein Herz; / Aus meinen Nöten rette mich!
1319120051	Ruhn laß dein Aug auf meinem Leid und Ungemach, / Vergib mir alle meine Sünden!
1319130062	Richte deinen Blick auf meine Feinde, wie sie zahlreich sind / Und wie sie ohne Grund mich hassen.
1319140062	Schütze meine Seele und errette mich! / Laß mich nicht zuschanden werden, denn dir vertraue ich.
1319150045	Treue und Aufrichtigkeit mögen mich behüten, / Denn ich harre dein!
131916002f	Elohim, erlöse Israel aus allen seinen Nöten!
131a010088	Von David. / Hilf mir zu meinem Recht, o Jahwe; / denn in Unschuld bin ich gewandelt, / Und auf Jahwe hab ich vertrauet, ohne zu wanken.
131a020049	Prüfe mich, Jahwe, erprobe mich, / Erforsche meine Nieren und mein Herz!
131a03004e	Denn deine Gnade ist mir stets vor Augen, / Und in deiner Wahrheit wandle ich.
131a04004d	Ich sitze nicht bei falschen Leuten, / Mit Hinterlistigen verkehre ich nicht.
131a05004a	Ich hasse der Bösen Versammlung, / Und bei den Gottlosen sitze ich nicht.
131a06005a	Ich will meine Hände in Unschuld waschen / Und möchte wandeln, o Jahwe, um deinen Altar,
131a070043	Laut anzustimmen den Lobgesang / Und zu erzählen all deine Wunder.
131a080056	Lieb hab ich, Jahwe, deines Hauses Stätte / Und den Ort, da deine Herrlichkeit wohnt.
131a09004c	Raffe meine Seele nicht hin mit Sündern / Noch mit Blutmenschen mein Leben:
131a0a0044	An ihren Händen klebt Schandtat, / Ihre Rechte ist voll Bestechung.
131a0b004d	Ich aber will in meiner Unschuld wandeln; / Errette mich und sei mir gnädig!
131a0c0049	Mein Fuß steht auf ebenem Weg; / In der Gemeinde will ich Jahwe preisen.
131b010091	Von David. / Jahwe ist mein Licht und mein Heil! / Vor wem sollt ich mich fürchten? / Jahwe ist meines Lebens Schutz! / Vor wem sollt ich zagen?
131b020087	Dringen Frevler auf mich ein, / Mein Fleisch zu fressen; / Kommen meine Dränger und Feinde heran: / Sie müssen straucheln und fallen.
131b030085	Lagert sich auch ein Heer wider mich — / Mein Herz ist ohne Furcht. / Erhebt sich Krieg gegen mich — / Auch dann bin ich getrost.
131b0400b6	Eins nur erbitt ich von Jahwe, / Dies wäre mein Wunsch: / Daß ich in Jahwes Hause bleiben darf / Mein Leben lang, / Um Jahwes Huld zu schauen / Und immer seinen Tempel zu besuchen.
131b050081	Denn er bringt mich in seine Hütte / Am Unglückstage, / Schirmt mich in seines Zeltes Schirm, / Auf einen Fels erhöht er mich.
131b060089	So erhebt sich mein Haupt über meine Feinde ringsum. / Opfer des Jubels will ich opfern in seinem Zelt, / Will Jahwe singen und spielen.
131b070042	Höre, Jahwe, ich rufe laut! / Sei mir denn gnädig, erhöre mich!
131b080069	Zu dir spricht mein Herz: (da du geboten:) 'Suchet mein Antlitz!' / "Dein Antlitz, Jahwe, such ich auch."
131b0900a5	Verbirg dein Antlitz nicht vor mir! / Weise nicht ab im Zorn deinen Knecht! / Meine Hilfe bist du. So verwirf mich nicht / Und verlaß mich nicht, Gott meines Heils!
131b0a003d	Wenn mich Vater und Mutter verlassen, / Nimmt Jahwe mich auf.
131b0b0053	Zeige mir, Jahwe, deinen Weg, / Leit mich auf ebner Bahn / Um meiner Feinde willen.
131b0c007a	Gib mich nicht preis meiner Dränger Wut; / Denn es erheben sich gegen mich falsche Zeugen, / Leute, die Frevel schnauben.
131b0d0073	Glaubte ich nicht, noch Jahwes Güte zu schauen / In der Lebendigen Land — (ich wäre vergangen in meinem Elend.)
131b0e0040	Hoff auf Jahwe! Sei getrost und unverzagt! / Ja, hoff auf Jahwe!
131c010098	Von David. / Zu dir, o Jahwe, rufe ich, / Mein Fels, gib mir doch Antwort! / Denn hörst du mich nicht, / So gleiche ich denen, die in die Grube fahren.
131c02006d	Höre mein lautes Flehn, wenn ich zu dir schreie, / Wenn ich meine Hände erhebe / Zu deinem Allerheiligsten.
131c030084	Raff mich nicht weg mit Frevlern und Übeltätern, / Die freundlich reden mit ihren Nächsten, / Während sie Böses im Sinne haben.
131c040081	Vergilt du ihnen nach ihrem Tun und ihren bösen Werken! / Nach ihrer Hände Tat gib ihnen, / Vergilt du ihnen, was sie verdient!
131c050069	Wenn sie nicht achten auf Jahwes Tun und seiner Hände Werk, / So reiß er sie nieder und baue sie nicht!
131c06003b	Gelobt sei Jahwe! / Denn er hat mein lautes Flehen gehört.
131c0700ab	Jahwe ist mein Schutz und mein Schild. / Auf ihn hat mein Herz vertraut, / Und ich hab Hilfe gefunden! / Drum jubelt mein Herz, / Und mit meinem Liede will ich ihm danken.
131c080041	Jahwe schütze sein Volk! / Ein Heilsort ist er seinem Gesalbten.
131c090047	O hilf deinem Volk und segne dein Erbe, / Weide und trage sie ewiglich!
131d010054	Ein Psalm Davids. / Bringet Jahwe, ihr Gottessöhne, / Bringet Jahwe Ehre und Preis!
131d020045	Bringt Jahwe seines Namens Ehre! / Huldigt Jahwe in heiligem Schmuck!
131d03006e	Jahwes Stimme schallt über den Wassern: / Der Gott der Ehre donnert, / Jahwe thront über mächtigen Wassern.
131d040048	Jahwes Stimme erschallt mit Macht, / Jahwes Stimme erschallt mit Pracht.
131d05004e	Jahwes Stimme zerschmettert Zedern, / Jahwe zerschmettert des Libanons Zedern.
131d060046	Er läßt hüpfen wie Kälber, / Libanon und Sirjon wie junge Büffel.
131d070023	Jahwes Stimme sprüht Feuerflammen.
131d080051	Jahwes Stimme läßt beben die Wüste, / Beben läßt Jahwe die Wüste von Kades.
131d090068	Jahwes Stimme läßt Hinden gebären, / Entblättert die Wälder. / In seinem Tempel ruft alles: "Ehre!"
131d0a0051	Jahwe thronte einst über der Sintflut, / Jahwe wird thronen als König auf ewig.
131d0b0048	Jahwe verleiht seinem Volke Macht, / Jahwe segnet sein Volk mit Frieden!
131e010092	Ein Psalm. Nach dem Liede der Hausweihe. Von David. Ich erhebe dich, Jahwe: Du hast mich errettet, / Daß meine Feinde nicht über mich jauchzten.
131e02003c	Jahwe, mein Gott, ich schrie zu dir: / Du hast mich geheilt.
131e03005b	Jahwe, du hast mich dem Tode entrissen, / Mich neubelebt, daß ich nicht in die Grube sank.
131e040047	Lobsinget Jahwe, ihr, seine Frommen, / Und dankt seinem heiligen Namen!
131e050086	Denn nur einen Augenblick währet sein Zorn, / Doch lebenslang seine Huld. / Am Abend kehret Weinen ein, / Des Morgens aber ist Jubel.
131e06003d	Ich dachte in meinem Glück: / "Ich werde nimmermehr wanken!"
131e070081	Jahwe, in deiner Huld / Hattest du meinem Berge Macht verliehn. / Dann aber verbargst du dein Antlitz — / Da war ich bestürzt.
131e080036	Zu dir, o Jahwe, rief ich, / Zu Jahwe hab ich gefleht:
131e090097	"Was nützt dir's, daß du mein Blut vergießt, / Daß ich niederfahre zur Grube? / Kann denn der Staub dich preisen? / Kann er deine Treue verkünden?
131e0a0043	O höre, Jahwe, sei mir doch gnädig! / Jahwe, sei mir ein Helfer!"
131e0b006e	Du hast mir ja stets schon mein Klagen in Reigen verwandelt, / Meinen Sack gelöst, mich mit Freude gegürtet,
131e0c005d	Damit ich dir singe und nimmer verstumme. / Jahwe, mein Gott, immerdar will ich dich preisen!
131f01008f	Dem Sangmeister. Ein Psalm Davids. Bei dir, o Jahwe, suche ich Zuflucht: / Mög ich nimmer zuschanden werden! / Nach deiner Treue errette mich!
131f02006f	Neige dein Ohr zu mir, befreie mich eilends! / Sei mir ein schützender Fels, / Eine feste Burg, mir zu helfen!
131f030057	Ja, mein Fels, meine Burg bist du, / Ob deines Namens wirst du mich führen und leiten.
131f040062	Herausziehn wirst du mich aus dem Netz, / Das man mir heimlich gelegt; / Denn du bist mein Schutz.
131f050052	In deine Hand befehl ich meinen Geist! / Du erlösest mich, Jahwe, du treuer Gott.
131f060047	Verhaßt sind mir, die nichtigen Götzen dienen; / Ich traue auf Jahwe.
131f07007a	Jubeln will ich und fröhlich sein ob deiner Gnade; / Denn du siehest mein Elend an, / Du merkst auf die Not meiner Seele.
131f080053	Du gibst mich nicht in des Feindes Hand, / Du stellst meine Füße auf freien Raum.
131f090058	Sei mir gnädig, Jahwe, denn mir ist angst! / Mir schwindet in Gram Aug, Seele und Leib.
131f0a0087	In Kummer vergehet mein Leben, / Meine Jahre entrinnen in Seufzen. / Ob meiner Sünde wankt meine Kraft, / Und meine Gebeine verfallen.
