2800000008	Mateusza
28081d006d	—Czego od nas chcesz, Synu Boży?—zaczęli krzyczeć. —Czemu przyszedłeś przed czasem nas dręczyć?!
28081e002f	W oddali zaś pasło się wielkie stado świń.
28081f004a	—Jeśli już nas wypędzasz, poślij nas w te świnie—prosiły demony.
28082000ad	—Dobrze!—zezwolił im. —Idźcie! Opuściły więc ludzi i weszły w świnie, po czym całe stado rzuciło się pędem ze stromego zbocza wprost do jeziora i utonęło.
280821006b	Pasterze stada uciekli wtedy do pobliskiego miasta i o wszystkim tam opowiedzieli—również o opętanych.
2808220073	Wkrótce całe miasto wyszło Jezusowi na spotkanie. Gdy Go zobaczyli, zaczęli prosić, aby odszedł z ich okolic.
2809010049	Jezus wsiadł więc do łodzi i odpłynął do swojego miasta, Kafarnaum.
28090200a9	Tam kilku mężczyzn przyniosło do Niego na noszach sparaliżowanego. Widząc ich wiarę, Jezus rzekł do chorego: —Bądź dobrej myśli, synu. Odpuszczam ci grzechy!
280903005e	„To jawne bluźnierstwo!”—z oburzeniem pomyślało sobie kilku przywódców religijnych.
280904003f	Jezus, znając ich myśli, zapytał: —Dlaczego was to oburza?
2809050056	Co jest łatwiej powiedzieć: „Odpuszczam ci grzechy” czy: „Wstań i chodź!”?
28090600a4	Udowodnię wam, że Ja, Syn Człowieczy, mogę odpuszczać grzechy. I zwrócił się do sparaliżowanego: —Jesteś uzdrowiony! Zabierz swoje nosze i idź do domu!
2809070022	A chory wstał i odszedł do domu.
280908005e	Po zebranych przeszedł dreszcz lęku. I wielbili Boga za to, że dał taką moc człowiekowi!
28090900ca	Odchodząc stamtąd, Jezus zobaczył niejakiego Mateusza, poborcę podatkowego, który właśnie tam pracował. —Chodź ze Mną—zwrócił się do niego. A on natychmiast wstał i poszedł z Jezusem.
28090a00ac	Później, gdy Jezus i Jego uczniowie byli u niego w domu, zebrało się wokół stołu wielu nieuczciwych poborców podatkowych i innych ludzi, uważanych za grzeszników.
28090b0065	Widząc to, faryzeusze mówili do uczniów: —Dlaczego wasz nauczyciel zadaje się z takimi ludźmi?
28090c0054	Jezus usłyszał to i odpowiedział: —To chorzy potrzebują lekarza, a nie zdrowi!
28090d00cf	Idźcie i zastanówcie się nad słowami Pisma: „Pragnę waszej miłości, a nie ofiar”. Nie przyszedłem wzywać do opamiętania się tych, którzy uważają się za dobrych, ale właśnie grzeszników.
28090e00da	Pewnego razu przyszli do Jezusa uczniowie Jana Chrzciciela i zapytali Go: —My i faryzeusze, stosując się do religijnych zaleceń, często powstrzymujemy się od posiłków. Dlaczego Twoi uczniowie tego nie czynią?
28090f00af	—Przecież goście na weselu, będąc z panem młodym, nie mogą się smucić!—odrzekł Jezus. —Ale nadejdzie czas, gdy zabiorą im pana młodego. Wtedy będą pościć.
280910007e	Nikt nie używa nowego materiału do łatania starego ubrania, bo nowa łata się kurczy i jeszcze bardziej rozdziera ubranie.
280911010b	Nie wlewa się też świeżego wina do starych, stwardniałych bukłaków. Mogłyby przecież popękać, a wtedy i wino by się rozlało, i bukłaki zniszczyły. Świeże wino wlewa się do nowych, miękkich bukłaków. W ten sposób i jedno, i drugie się zachowuje.
28091200c7	Gdy jeszcze o tym mówił, podszedł do Niego przełożony miejscowej synagogi. Pokłonił się i powiedział: —Przed chwilą zmarła moja córeczka. Ale jeśli przyjdziesz i dotkniesz jej, ożyje.
2809130039	Jezus wstał i wraz z uczniami poszedł za przełożonym.
2809140076	Tymczasem pewna kobieta, od dwunastu lat cierpiąca na krwotok, podeszła do Niego od tyłu i dotknęła Jego ubrania.
2809150053	Pomyślała bowiem: „Jeśli tylko dotknę Jego płaszcza, zostanę uzdrowiona”.
28091600ac	Jezus odwrócił się, dostrzegł ją i rzekł: —Bądź dobrej myśli, córko! Uwierzyłaś, więc zostałaś uzdrowiona! I w tej samej chwili kobieta odzyskała zdrowie.
280917005b	Gdy przybył do domu przełożonego synagogi, zobaczył żałobników i lamentujący tłum.
2809180068	—Odejdźcie stąd—powiedział. —Dziewczynka nie umarła, tylko śpi. Ale oni śmiali się z Niego.
2809190076	W końcu jednak wyproszono tłum. Jezus wszedł do środka, wziął dziewczynkę za rękę, a ona natychmiast wstała!
28091a0027	Wieść o tym obiegła całą okolicę.
28091b008e	Jezus właśnie stamtąd odchodził, gdy zjawili się dwaj niewidomi, którzy wołali za Nim: —Potomku króla Dawida, zmiłuj się nad nami!
28091c00a2	Szli tak za Nim aż do domu, gdzie się zatrzymał. Wtedy podeszli bliżej, a On ich zapytał: —Wierzycie, że mogę to zrobić? —Tak, Panie!—odpowiedzieli.
28091d004d	—Niech będzie tak, jak wierzycie—powiedział Jezus i dotknął ich oczu.
28091e0050	I nagle przejrzeli! Wówczas On surowo im nakazał: —Nikomu o tym nie mówcie.
28091f0035	Ale oni odeszli i zaraz wszędzie o tym opowiedzieli.
280920006a	W tym właśnie czasie przyprowadzono do Jezusa kolejnego człowieka—niemowę zniewolonego przez demona.
2809210098	Po wypędzeniu demona, człowiek ten zaczął mówić. A tłumy nie mogły wyjść z podziwu: —Coś takiego nigdy się nie zdarzyło w całym Izraelu!
280922005a	—Wypędza demony, bo władca demonów Mu w tym pomaga—twierdzili natomiast faryzeusze.
28092300a1	A Jezus odwiedzał wszystkie okoliczne miasta i wioski. Nauczał w synagogach, głosił dobrą nowinę o królestwie i uzdrawiał z każdej choroby i słabości.
280924007f	Gdy patrzył na otaczające Go tłumy, ogarniała Go litość. Ludzie byli bowiem udręczeni i zagubieni jak owce bez pasterza.
2809250044	—Żniwo jest wielkie—mówił uczniom—a tak mało pracujących!
2809260047	Proście więc gospodarza, aby posłał więcej pracowników na żniwa.
280a010097	Pewnego dnia Jezus przywołał dwunastu uczniów i dał im władzę uwalniania ludzi od złych duchów i uzdrawiania wszelkich chorób i dolegliwości.
280a02005d	Byli to: Szymon (zwany też Piotrem) i Andrzej—jego brat, Jakub i Jan—synowie Zebedeusza,
280a030057	Filip, Bartłomiej, Tomasz, Mateusz (poborca podatkowy), Jakub—syn Alfeusza, Tadeusz,
280a040048	Szymon Gorliwy i Judasz z Kariotu—ten, który później wydał Jezusa.
280a05007a	Tych dwunastu uczniów Jezus posłał, dając im następujące wskazówki: —Nie chodźcie do pogan ani do miast Samarii.
280a06004b	Idźcie jedynie do Izraelitów, którzy jak zagubione owce odeszli od Boga.
280a070033	Mówcie im: „Nadchodzi królestwo niebieskie!”.
280a080092	Uzdrawiajcie chorych, wskrzeszajcie zmarłych, leczcie trędowatych i uwalniajcie od demonów. Róbcie to za darmo, bo za darmo to otrzymaliście!
280a090021	Nie bierzcie ze sobą pieniędzy,
280a0a0080	torby z zapasową odzieżą i obuwiem ani laski podróżnej. Ten bowiem, kto pracuje, powinien otrzymać to, co mu się należy.
280a0b0094	Wchodząc do jakiegoś miasta lub wsi, dowiedzcie się, kto tam jest godnym człowiekiem. Pozostańcie u niego aż do opuszczenia tej miejscowości.
280a0c0043	Wchodząc do jego domu, pozdrówcie tych, którzy w nim mieszkają.
280a0d005b	Jeśli to pobożni ludzie, Bóg obdarzy ich pokojem. Jeśli nie—pokój pozostanie z wami.
280a0e0091	Jeśli nie zostaniecie przyjęci i nie będą chcieli was słuchać, odchodząc z tego domu i miasta, strząśnijcie z nóg nawet tamtejszy kurz.
280a0f005e	Zapewniam was: W dniu sądu złym mieszkańcom Sodomy i Gomory lżej będzie niż temu miastu.
280a100069	Posyłam was jak owce między wilki. Bądźcie więc sprytni jak węże, ale nieskazitelni jak gołębie.
280a110054	Uważajcie na siebie! Postawią was przed sądami, będą was biczować w synagogach
280a1200a8	oraz oskarżać przed władzami za to, że Mnie naśladujecie. Będzie to dla was okazja do przedstawienia im dobrej nowiny. W ten sposób dotrze ona do wielu narodów.
280a130063	Nie martwcie się jednak, co i jak macie mówić. We właściwym czasie otrzymacie stosowne słowa.
280a140052	Bo to nie wy będziecie mówić, lecz Duch waszego Ojca będzie mówił przez was!
280a150069	Bracia będą wzajemnie się wydawać na śmierć, ojcowie zdradzą własne dzieci, a dzieci—rodziców.
280a160087	Wszyscy was znienawidzą za to, że należycie do Mnie. Ale ci, którzy wytrwają do końca i nie zaprą się Mnie, zostaną uratowani!
280a1700ab	Gdy spotka was prześladowanie w jednym mieście, uciekajcie do drugiego! Zapewniam was: Nie zdążycie obejść wszystkich miast Izraela, a Ja, Syn Człowieczy powrócę.
280a18003a	Uczeń nie przewyższa nauczyciela, a sługa—swego pana.
280a190096	Wystarczy, że będą jak ich nauczyciel lub pan. Skoro Mnie, pana domu, nazwano Belzebubem, władcą demonów, to tym bardziej spotka to domowników.
280a1a005f	Ale nie bójcie się ich! Nie ma bowiem niczego ukrytego, co by ostatecznie nie wyszło na jaw.
280a1b0082	To, co teraz mówię wam pod osłoną nocy, rozpowiadajcie z nastaniem dnia. To, co słyszycie na ucho, rozgłaszajcie publicznie!
280a1c0099	Nie bójcie się tych, którzy uśmiercają ciało, lecz nie mogą zabić duszy! Lękajcie się Boga, który i duszę, i ciało może zatracić w piekle.
280a1d009a	Ile kosztuje para wróbli? Można ją kupić już za kilka drobnych monet. A jednak żaden z nich nie spadnie na ziemię bez wiedzy waszego Ojca w niebie.
280a1e0035	Przecież On wie nawet ile macie włosów na głowie!
280a1f0050	Nie bójcie się więc! Jesteście dla Niego cenniejsi niż całe stado wróbli!
280a200088	Jeśli więc jakiś człowiek wyzna przed innymi ludźmi, że należy do Mnie, to i Ja przyznam się do Niego przed moim Ojcem w niebie.
280a21005e	Lecz jeśli ktoś wyprze się Mnie wobec ludzi, i Ja się go wyprę przed moim Ojcem w niebie.
280a220062	Nie myślcie, że przyszedłem przynieść na ziemię pokój! Wręcz przeciwnie—miecz podziału!
280a230054	Przyszedłem poróżnić syna z ojcem, córkę—z matką, a synową—z teściową.
280a240025	Nawet najbliżsi staną się wrogami!
280a25008b	Kto kocha ojca lub matkę bardziej niż Mnie, nie jesteś Mnie godny. I kto kocha syna lub córkę bardziej niż Mnie, nie jest Mnie godny.
280a260048	Kto nie bierze swojego krzyża i nie idzie ze Mną, nie jest Mnie godny.
280a27005e	Kto zabiega o swoje życie, utraci je. Lecz ten, kto poświęci życie dla Mnie, odnajdzie je.
280a28005e	Kto was przyjmuje, Mnie przyjmuje. A kto Mnie przyjmuje, przyjmuje Ojca, który Mnie posłał.
280a2900cf	Kto przyjmuje proroka—dlatego, że jest on prorokiem—otrzyma nagrodę należną prorokowi. Kto przyjmuje prawego człowieka—dlatego, że jest on prawy—otrzyma nagrodę należną prawemu człowiekowi.
280a2a0097	Nawet jeśli ktoś poda kubek wody najmniejszemu z moich uczniów—właśnie dlatego, że jest on moim uczniem—zapewniam was: nie ominie go nagroda!
280b01006d	Gdy Jezus zakończył wydawanie poleceń dwunastu uczniom, udał się do okolicznych miast, aby tam nauczać.
280b02006b	Jan Chrzciciel, będąc w więzieniu, usłyszał o dokonaniach Mesjasza i posłał do Niego swoich uczniów
280b030064	z pytaniem: „Czy to Ty jesteś spodziewanym Mesjaszem, czy też mamy oczekiwać kogoś innego?”.
280b040056	—Wracajcie do Jana—rzekł im Jezus—i powiedzcie o tym, co widzicie i słyszycie:
280b050092	niewidomi widzą, kalecy chodzą, trędowaci odzyskują zdrowie, głusi słyszą, umarli powracają do życia, ubogim głoszona jest dobra nowina.
280b060034	Szczęśliwy jest ten, kto nie straci wiary we Mnie.
280b070098	Gdy oni odeszli, Jezus zaczął mówić do tłumu o Janie: —Kogo chcieliście zobaczyć, idąc na pustynię? Kogoś chwiejnego jak trzcina na wietrze?
280b080073	Kogo przyszliście obejrzeć? Dobrze ubranego człowieka? Tacy mieszkają w królewskich pałacach, nie na pustyni.
280b090062	A może proroka się spodziewaliście? Zapewniam was, że Jan to nawet ktoś większy niż prorok.
280b0a006c	To o nim mówi Pismo: „Oto wysyłam przed Tobą mojego posłańca, który przygotuje dla Ciebie drogę”.
280b0b009f	Zapewniam was: Nie urodził się na ziemi człowiek większy od Jana Chrzciciela. A jednak najmniejszy obywatel królestwa niebieskiego jest większy od niego!
280b0c006f	Od czasu pojawienia się Jana, aż do teraz, wielu ludzi usilnie stara się dostać do królestwa niebieskiego.
280b0d0053	Księgi Prawa i proroków zapowiadały co ma się wydarzyć aż do nadejścia Jana.
280b0e0051	Możecie się zgodzić lub nie, ale to właśnie on jest zapowiedzianym Eliaszem.
280b0f0032	Kto ma uszy do słuchania, niech słucha uważnie!
280b100089	Do kogo można porównać to pokolenie?—kontynuował Jezus. —Do bawiących się na placu dzieci, które narzekają na rówieśników:
280b110066	„Graliśmy wam wesołą melodię, a nie tańczyliście. Zagraliśmy smutną, a nie płakaliście”.
280b12008b	Gdy pojawił się Jan Chrzciciel, nie pił wina i powstrzymywał się od posiłków. Powiedzieli więc: „Jest zniewolony przez demona”.
280b1300cb	Gdy Ja, Syn Człowieczy, jem i piję—mówią: „Co za żarłok i pijak, przyjaciel poborców podatkowych i innych grzeszników!”. No cóż, mądrość poznaje się po wypływających z niej czynach.
280b140071	Wtedy zaczął czynić wyrzuty miastom, w których dokonał najwięcej cudów, że mimo to się nie opamiętały.
280b1500cf	—Marny wasz los, Korozain i Betsaido! Gdyby cuda, których u was dokonałem, wydarzyły się w zepsutym Tyrze i Sydonie, ich mieszkańcy już dawno by się opamiętali, siedząc w worze pokutnym i popiele.
280b160044	Wiedzcie, że w dniu sądu Tyrowi i Sydonowi będzie lżej niż wam!
280b1700a7	A ty, Kafarnaum? Chcesz być wywyższone aż do nieba? Upadniesz aż do piekła! Gdyby cuda, które się tu wydarzyły, działy się w Sodomie, przetrwałaby do dziś.
280b18003b	Wiedz zatem: W dniu sądu Sodomie będzie lżej niż tobie!
280b1900ac	Następnie Jezus modlił się: „Uwielbiam Cię, Ojcze, Panie nieba i ziemi! Ukryłeś bowiem swoją prawdę przed mędrcami i znawcami, a objawiłeś ją prostym ludziom.
280b1a001f	Tego właśnie pragnąłeś”.
280b1b00ad	—Ojciec powierzył Mi całą prawdę—wyjaśniał Jezus zebranym. —Nikt nie zna Syna, tylko Ojciec. I nikt nie zna Ojca, tylko Syn oraz ten, komu On zechce Go objawić.
280b1c006c	Przyjdźcie do Mnie wy wszyscy, którzy jesteście zmęczeni i przeciążeni, a ja zapewnię wam odpoczynek!
280b1d006d	Weźcie na siebie moje jarzmo i uczcie się ode Mnie, bo jestem łagodny i pokorny—a wasze dusze odetchną.
280b1e0030	Moje jarzmo jest wygodne, a mój ciężar lekki.
280c010086	Pewnego razu, w szabat, Jezus szedł przez pole. Idący z Nim uczniowie poczuli głód. Zaczęli więc zrywać kłosy i jeść ziarno.
280c02006c	Zauważyli to oczywiście faryzeusze i oburzyli się: —Twoi uczniowie robią rzeczy niedozwolone w szabat!
280c03007c	—Czy nie czytaliście, co zrobił król Dawid, gdy wraz z towarzyszami podróży poczuł głód?—odpowiedział im Jezus.
280c040083	—Wszedł do świątyni i wziął dla siebie oraz swoich towarzyszy poświęcony chleb, który wolno było jeść tylko kapłanom.
280c05008a	Czy nie czytaliście w Prawie Mojżesza, że kapłani, pracujący w szabat w świątyni, łamią nakaz odpoczynku, a mimo to są niewinni?
280c06004a	Mówię wam: Macie tu do czynienia z czymś ważniejszym niż świątynia!
280c070080	Gdybyście wiedzieli, co znaczą słowa: „Pragnę waszej miłości, a nie ofiar”, wówczas nie potępialibyście niewinnych.
280c08002f	Ja, Syn Człowieczy, mam władzę nad szabatem.
280c09002b	Następnie udał się stamtąd do synagogi.
280c0a00d4	Znajdował się tam człowiek ze sparaliżowaną ręką, faryzeusze zapytali więc Jezusa: —Czy taką pracę, jak uzdrawianie, również można wykonywać w szabat?—szukali bowiem pretekstu do oskarżenia Go.
280c0b0075	—Czy jeśli któraś z waszych owiec wpadłaby w szabat do dołu, to nie wyciągnęlibyście jej?—zapytał Jezus.
280c0c0056	—O ile bardziej cenny jest człowiek! Oczywiście, że w szabat wolno czynić dobro.
280c0d0081	—Wyciągnij rękę!—zwrócił się do chorego. Ten posłuchał i natychmiast jego ręka stała się równie zdrowa jak druga.
280c0e0042	Wtedy faryzeusze odeszli i zaczęli się naradzać, jak Go zabić.
280c0f006f	On jednak poznał ich plany i opuścił synagogę. Tłum podążył za Nim i wszyscy chorzy zostali uzdrowieni.
280c10002b	Zabronił im jednak opowiadać o tym innym.
280c110031	W ten sposób spełniło się proroctwo Izajasza:
280c12007e	„To jest mój Sługa, którego wybrałem, mój ukochany, w którym mam upodobanie! Dam Mu swojego Ducha, by sądził narody.
280c130057	Nie będzie się sprzeczał ani krzyczał, nikt nie usłyszy Jego podniesionego głosu.
280c14006f	On nie dołamie nawet nadłamanej trzciny ani nie zgasi wątłego płomyka. Zwycięsko przeprowadzi swój sąd,
280c150038	a Jego imię będzie źródłem nadziei dla narodów”.
280c16008d	Przyprowadzono wtedy do Jezusa człowieka niemego i ślepego—zniewolonego przez demona. Jezus uzdrowił go, przywracając mu wzrok i mowę,
