010000000c	U̱r-Taku̱n
01040c0096	Da-u̱ bo̱ no̱me̱ u̱r-to̱m bo̱ za kwu̱m-du̱ no̱m-tu̱ u̱r-to̱m da, bo̱ de̱ u̱t-shu̱'u̱t wa-za u̱r-hure̱ wa riig-tu̱ m-zan u-dak.”
01040d0047	Se̱ Kayinu zu̱ Yawe, “kwu̱p-du̱ u̱s-rem ri, ze̱k be̱b-u̱r ri.
01040e00cb	Bo̱ yanu̱g me̱ du̱gu̱ u-dak, tu̱msu̱ du̱gu̱ shu̱ ró, tu̱msu̱ u̱m de̱ u̱t-shu̱'u̱t wa-za u̱r-hure̱ u̱ riig-tu̱ m-zan u-dak. Tu̱msu̱ ko̱wana hyane̱ me̱ wa de̱ ho̱-du̱ me̱.”
01040f00d9	Tu̱msu̱ Yawe zu̱ wu̱n, “Iya-o̱ da! Ko̱wana ho̱ bo̱, u̱m de̱ to̱p-u̱ bo̱ u̱r-mag u-u̱so u-ta'er.” Se̱ Yawe wa'-u̱ Kayinu u̱s-nap su̱ u̱t-him remu̱ u̱zu̱ ko̱wana hyanu̱ wa, wa za ho̱ wa da.
010410006f	Kayinu yu̱ne̱ wa aru̱k du̱gu̱-du̱ Yawe, wa do̱'e̱ wa shu̱'u̱t u̱ dak-u̱ No̱d, u-dom u̱ Idin ne̱.
01041100b9	Kayinu roog u̱ ne̱ta wa ne̱, wa no̱m u̱t-me̱n se̱ wa mu̱t E̱no̱k. U̱ da-u o̱ Kayinu o̱ ma-du̱ o̱ko̱n bo̱-o̱, se̱ wa te̱'e̱ bo̱-u o̱ dim-du̱ zwar-u̱ wa E̱no̱k.
01041200a9	E̱no̱k o̱tte̱ zwar wu̱ na foge̱ Irad, tu̱msu̱ Irad wa mate̱ Mehujaye̱r, tu̱msu̱ Mehujaye̱r wa mate̱ Metushaye̱r, tu̱msu̱ Metushaye̱r wa mate̱ Rame̱k.
0104130063	Rame̱k gaag ne̱ta-ne̱ yu̱r, wa u̱r-taku̱n na zu̱ wa Ada, wa-u-yu̱ru̱mse̱ na zu̱ wa Zira.
0104140073	Ada wa mate̱ Jabar, wu̱na o̱ ne̱t u̱r-taku̱n wu̱ he̱e̱se̱ gwat-du̱ u̱t-bisa tu̱msu̱ wa yi u̱t-rimpa.
0104150074	Dim-du̱ o̱r-u̱ wu̱n wa na zu̱ye̱ Jubar, wu̱na o̱ taku̱n-du̱ a o̱s-du̱ u-mo̱ro̱ u̱r-tu̱kku̱rma ne̱.
01041600ed	Zira wu̱ o̱ye̱ ne̱ta u-yu̱ru̱mse̱, wa mate̱ Tubar-Kayinu wa shu̱'u̱te̱ wu̱ tak-ne̱ m-ank u̱ kwam-tu̱ bu̱-mu̱ u-dak tu̱ shik tu̱ no̱m-du̱ to̱ko̱n no̱m-to̱ ne̱. Hu̱no-u̱ wa-ne̱ta Tubar-Kayinu dim-u̱r wa Naama.
01041700f4	De̱ku̱n ho̱-de̱ Ramek zu̱ ne̱ta-u̱t wa, “Ada e̱ Zira, ganu̱n u̱t-to̱ u̱du̱-ri, ne̱ta-u̱t Rame̱k, ho̱go̱n no̱m-u̱ u̱m de̱ waru̱ no̱. U̱m ho̱o̱g wa'-u̱ zwar, Remu̱ zu̱ wa zwargu̱n me̱ tu̱msu̱ wa ho̱nse̱ me̱.
01041800ac	A mu̱ne̱ u̱zu̱ na ya'u̱ wu̱ ho̱ye̱ Kayinu u̱r-ko̱b u-so u-ta'er, ko̱wana ho̱ me̱, wa de̱ swadu̱ u̱r-ko̱b u-so u̱t-shik u̱t-tu̱t u̱ o̱p-u̱ ta'e̱r.”
01041900ed	Adamu roog u̱ ne̱ta wa ne̱ tu̱msu̱. Hawa no̱m u̱t-me̱n, wa sur m-mat ya-du̱ u̱r-campa. Hawa te̱'e̱ wa u̱r-dim Se̱t. Wa zu̱, “Ru̱-u̱ yaag me̱ de̱ku̱n ya-du̱ u̱r-campa de̱ u̱ swas-m Habira wu̱ Kayinu ho̱ye̱.”
01041a0082	Da-u̱ Se̱t rogme̱ wa kum zwar wu̱ na zu̱ye̱ E̱no̱sh. U̱ da-u o̱ ne̱t-tu̱ he̱e̱se̱ no̱mu̱ dim-u̱r Yawe u̱t-huuk.
010501006a	Tun-to̱ o̱ dim-tu̱ ya'ag-u̱ ko̱-u̱r Adamu. Da-u̱ Ru̱-u̱ no̱me̱ ne̱t, wa nom wa u̱ka sha-m wa.
010502007b	Wa no̱mu̱g campa u̱ ne̱ta-ne̱, se̱ wa wa'-u̱ e̱ nu-u so̱-o̱. Da-u̱ wa no̱mu̱ u̱n, wa foge̱ “u̱t-ne̱t.”
01050300ba	Da-u̱ Adamu no̱me̱ u̱r-yu̱ u̱s-hak u-ko̱k u-gan u̱r-shik u̱ o̱p, wa kum zwar wu̱ o̱tte̱ sha-m wa, u̱-me̱ ryu̱n-u wa u̱ sha-m wa; tu̱msu̱ wa te̱'e̱ wa u̱r-dim Se̱t.
01050400b4	Ba Adamu mate̱ Se̱t, Adamu no̱m u̱r-yu̱ u̱s-hak u̱t-ko̱k u̱t-nas u̱ te̱k-u̱ hak-su̱ u̱t-ko̱k u̱t-nas wa kum e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
010505005f	Adamu no̱ng u̱r-yu̱ u̱s-hak u̱t-ko̱k u̱t-jwu̱u̱r u̱r-shik u̱ o̱p se̱ wa mu̱ru̱s.
0105060059	Da-u̱ Se̱t no̱me̱ u̱r-yu̱ u̱s-hak u̱t-shik u̱t-tan u̱s-tan, wa mu̱t E̱no̱sh.
01050700e1	Tu̱msu̱ ba wa mate̱ E̱no̱sh, Se̱t sur m-no̱m u̱r-yu̱ u̱s-hak u̱t-ko̱k u̱t-eer u̱s-ta'er u̱ te̱k-u̱ hak-su̱ u̱t-ko̱k u̱t-nas u̱s-ta'er wa sur m-mat e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
010508006b	Hak-su̱ Se̱t no̱me̱ se̱ o̱ u̱s-hak u̱t-ko̱k u̱t-jwu̱u̱r u̱ o̱p u̱s-yu̱r, se̱ wa mu̱ru̱s.
010509006f	Da-u̱ E̱no̱sh no̱me̱ u̱r-yu̱ u̱s-hak u̱t-shik u̱t-nas u̱-o̱p, wa mu̱t zwar wu̱ na zu̱ye̱ Kenan.
01050a00e1	Tu̱msu̱ ba wa mate̱ Kenan, E̱no̱sh sur m-no̱m u̱s-hak u̱t-ko̱k u̱t-eer u̱ o̱p u̱t-tan u̱ te̱k-u̱ hak-su̱ u̱t-ko̱k u̱s-nas u̱ o̱p u̱s-tan wa mu̱t e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
01050b0076	Hak-u̱s E̱no̱sh su̱ wa nome̱ u̱s-be̱e̱t se̱ o̱ u̱s-hak u̱t-ko̱k u̱t-nas u̱ o̱p u̱s-tan, wa mu̱ru̱s.
01050c005c	Da-u̱ Kenan no̱me̱ u̱r-yu̱ u̱s-hak u̱t-shik u̱t-tu̱t u̱ o̱p wa mu̱t Maharare̱r.
01050d00e4	Ba wa mate̱ Maharare̱r, Kenan sur m-no̱m u̱s-hak u̱t-ko̱k u̱t-eer u̱ u̱t-shik u̱t-yu̱r, u̱ te̱k-u̱ hak-su̱ u̱t-ko̱k u̱t-nas u̱t-shik u̱t-yu̱r wa mu̱t e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
01050e005b	Hak-su̱ Kenan no̱me̱ se̱ o̱ u̱t-ko̱k u̱t-jwu̱u̱r u̱ u̱s-o̱p se̱ wa mu̱ru̱s.
01050f005e	Da-u̱ Maharare̱r no̱me̱ u̱r-yu̱ u̱s-hak u̱t-shik u̱t-tu̱t u̱s-tan wa mu̱t Jare̱d.
01051000e1	Ba Maharare̱r mate̱ Jare̱d, wa sur m-no̱m u̱s-hak u̱t-ko̱k u̱t-eer u̱r-shik-u̱ o̱p u̱ te̱k-u̱ hak-su̱ u̱t-ko̱k u̱t-nas u̱ u̱r-shik-u̱ o̱p wa mu̱t e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
0105110077	Hak-su̱ Maharare̱r no̱me̱ se̱ o̱ u̱t-ko̱k u̱t-eer u̱ u̱t-shik u̱t-nas u̱ o̱p u̱s-tan, se̱ wa mu̱ru̱s.
010512006c	Da-u̱ Jare̱d no̱me̱ u̱r-yu̱ u̱s-hak u-ko̱k u-gan u̱t-shik u̱t-tu̱t u̱s-yu̱r, wa mu̱t E̱no̱k.
01051300b3	Tu̱msu̱ ba Jare̱d mate̱ E̱no̱k, wa sur m-no̱m u̱s-hak u̱t-ko̱k u̱t-eer u̱ te̱k-u̱ hak-su̱ u̱t-nas wa mu̱t e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
0105140078	Hak-u̱s Jare̱d su̱ wa no̱me̱ se̱ o̱ u̱t-ko̱k u̱t-jwu̱u̱r u̱t-shik u̱t-tu̱t u̱s-yu̱r, se̱ wa mu̱ru̱s.
0105150060	Da-u̱ E̱no̱k no̱me̱ u̱r-yu̱ u̱s-hak u̱t-shik u̱t-tu̱t u̱s-tan wa mu̱t Me̱tuse̱ra.
01051600c8	Tu̱msu̱ ba wa mate̱ Me̱tuse̱ra, E̱no̱k no̱m u̱s-hak u̱t-ko̱k u̱t-tu̱t, wa no̱ng m-ha u̱r-kot u-Ru̱-ne̱, tu̱msu̱ wa sur m-mat e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
0105170058	Hak-su̱ E̱no̱k no̱me̱ se̱ o̱ u̱t-ko̱k u̱t-tu̱t u̱t-shik u̱t-tu̱t u̱s-tan.
0105180060	E̱no̱k no̱ng m-ha u̱r-kot u-Ru̱-ne̱, se̱ Ru̱-u̱ ku̱b wu̱n, wa umus wu̱n m-da u-ru̱.
0105190075	Da-u̱ Me̱tuse̱ra no̱me̱ u̱r-yu̱ u̱s-hak u-ko̱k u-gan u̱t-shik u̱t-nas u̱s-ta'e̱r, se̱ wa mu̱t Rame̱k.
01051a0103	Tu̱msu̱ ba wa mate̱ Rame̱k, Me̱tuse̱ra sur m-no̱m u̱s-hak u̱t-ko̱k u̱t-ta'er u̱t-shik u̱t-nas u̱t-yu̱r, u̱ te̱k-u̱ hak-su̱ u̱t-ko̱k u̱t-ta'er u̱t-shik u̱t-nas u̱t-yu̱r wa mu̱t e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
01051b0090	Hak-su̱ Me̱tuse̱ra no̱me̱ u̱s-be̱e̱t se̱ o̱ u̱s-hak u̱t-ko̱k u̱t-jwu̱u̱r u̱t-shik u̱t-tu̱t u̱s-jwu̱u̱r, se̱ wa mu̱ru̱s.
01051c006f	Da-u̱ Rame̱k no̱me̱ u̱s-hak u-ko̱k u-gan u̱t-shik u̱t-nas u̱s-yu̱r, se̱ wa mu̱t ya-du̱ u̱r-campa.
01051d00d2	Rame̱k te̱'e̱ wa u̱r-dim Nuhu, wa zu̱, “Yage̱ unwa hatu̱n it ru̱s-du̱ jab du̱gu̱ pama-u swadu̱ u̱r-ko̱b-u̱ it u̱ remu̱ ank-mu̱ u̱t-kom mu̱ it ne̱ u̱ dak-u̱ Yawe wa'e̱ nu-u yo̱-o̱.”
01051e00fa	Ba Rame̱k mate̱ Nuhu, Rame̱k no̱m u̱s-hak u̱t-ko̱k u̱t-tan u̱t-shik u̱t-nas u̱ o̱p u̱s-tan, u̱ te̱k-u̱ hak-su̱ u̱t-ko̱k u̱t-tan u̱t-shik u̱t-nas u̱ o̱p u̱s-tan wa mu̱t e̱ke̱n ya'ag-u̱ campa-ne̱ u̱ yaat u̱t-gwu̱p-ne̱.
01051f008c	Hak-su̱ Rame̱k no̱me̱ u̱s-be̱e̱t se̱ o̱ u̱s-hak u̱t-ko̱k u̱t-ta'er u̱t-shik u̱t-tu̱t u̱ o̱p-u̱s ta'er, se̱ wa mu̱ru̱s.
010520005b	Ba Nuhu no̱me̱ u̱s-hak u̱t-ko̱k u̱t-tan, se̱ wa mu̱t She̱m, Ham, u̱ Jape̱t ne̱.
010601005d	Se̱ ne̱t-ne̱ he̱e̱se̱ u̱t-no̱m u-tát u-dak, tu̱msu̱ na matu̱ u̱n ya-u̱t-gwu̱p.
010602009b	Se̱ to̱ko̱n yar-tu̱ m-mya tu̱ do̱m u-ru̱ hyen ya-u̱t-gwu̱p u̱t-ne̱t o̱ so̱-ye̱ so̱k, tu̱msu̱ u̱n gaan ya-u̱t-gwu̱p i he̱ u̱n u̱ jab.
01060300cd	Yawe zu̱, “Yar-u ri zaru̱ u̱t-shu̱'u̱t u̱-me̱ ne̱t m-mo̱mmo̱ da, remu̱ zu̱ war-tu̱ m-mar to̱ u̱n o̱tte̱. Se̱di u̱ ane̱ u-shu̱, hak-u̱s wa zaar u̱t-ze̱g u-ko̱k u-gan u̱r-shik.”
0106040157	U̱ da-u o̱, tu̱msu̱ da tase̱, to̱ko̱n ne̱t-to̱ o̱ró be̱b-ne̱ i na zu̱ye̱ “Nepirim.” E̱ o̱ u̱r-yu̱ u-dak, da-u̱ to̱ko̱n yar-tu̱ m-mya tu̱ do̱m u-ru̱ rooge̱ u̱ ya'at u̱t-gwu̱p u̱ ne̱t-ne̱, se̱ e̱ matu̱ e̱ yaag. E̱ shu̱'u̱te̱ campa-ne̱ tu̱msu̱ be̱b-ne̱ i na o̱ m-ho̱g u̱ e̱ ne̱ i da-u̱ dim.
0106050098	Se̱ Yawe hyen jab-u̱ yo̱-o̱ ne̱t no̱ng u-tát u-dak, dorog-su̱ jab-u̱ wa u̱s-be̱e̱t o̱ko̱n zarra se̱ no̱m-u̱t yo̱-to̱ u-da u-be̱e̱t.
0106060054	Yawe nom namu̱ jab sok u̱ wa nomte̱ ne̱t u-dak, tu̱msu̱ wa shi u̱ remu̱ jab.
0106070104	Se̱ Yawe zu̱, “Me̱ hastu̱ u̱t-ne̱t u̱t-be̱e̱t tu̱ u̱m no̱me̱, du̱gu̱ me̱ u-dak, ne̱t-ne̱, u̱t-bisa ne̱ u̱ no̱m-tu̱ o̱o̱ge̱ u̱t-kurup ne̱, u̱ no ne̱ e̱ o̱ u̱t-riig u̱-do̱m u-ru̱, remu̱ jab naag me̱ u̱m no̱m-tu̱ e̱.”
0106080034	Se̱di Nuhu kwu̱mu̱g hyu̱-m pusmo̱ u̱du̱ Yawe.
01060900ad	Tun-to̱ o̱o̱ge̱ ogor-tu̱ ko̱-u̱r Nuhu. Nuhu ne̱t-u̱ gye̱r u-Ru̱ wa, wa zatte̱ u̱r-pyap u̱ ne̱t-tu̱ da-u wa da. Tu̱msu̱ wa no̱ng m-ha u̱r-kot u-Ru̱-ne̱.
01060a004a	Nuhu mak-u̱t ya'ag-u̱ campa-ne̱ tu̱t: She̱m u̱ Ham u̱ Jape̱t ne̱.
01060b0068	Se̱di Ru̱-u̱ hyen u̱zu̱ ne̱t-tu̱ u-dak u̱ naag tu̱msu̱ o̱ shu̱g u̱ yu̱nu̱s-du̱ jab ne̱.
01060c0060	Ru̱-u̱ hyen u̱ka dak-u̱ nu̱u̱te, ne̱t-tu̱ u-dak u̱t-be̱e̱t e̱ naag u̱ yu̱u̱r e̱.
01060d00e3	Ru̱-u̱ zu̱ Nuhu, “U̱m no̱ng u̱s-dorog u̱zu̱ me̱ ho̱ru̱ssu̱ u̱t-ne̱t u̱t-be̱e̱t, remu̱ zu̱ u̱n shu̱u̱ste̱ u-dak u̱ jab-u̱s yo̱-se̱ ne̱. Iya o̱ hen, u̱m de̱ ho̱ru̱ssu̱ u̱n be̱e̱t u-dak-ne̱!
01060e0097	De̱'e̱ bo̱ no̱mu̱ hi-u̱r ró u-hat u̱ u̱t-bak tu̱ te-yu̱ u-jarin. Bo̱ no̱m u̱t-kur tu̱msu̱ bo̱ rake̱ o̱ dap-mu̱ u-te, u̱-do̱ ne̱.
01060f0118	Ka bo̱ do̱te̱ u̱ no̱m-du̱ hat-u ya: wu̱r-mu̱ hat-u ya do̱'e̱ u̱t-shu̱'u̱t u̱s-na u̱t-ko̱k u̱t-nas u̱t-shik u̱t-yu̱r o̱p, bo̱ no̱m m-hu̱k u̱s-na u̱t-shik u̱t-tu̱t u̱ o̱p u̱s-tan, tu̱msu̱ ja-mu̱ shu̱'u̱t u̱s-na u̱t-shik u̱t-yu̱r u̱ u̱s-tan.
01061000c7	Bo̱ no̱mu̱ hat-u ya u̱r-byam, bo̱ yage̱ u-na u-gan u̱r-mo̱t du̱gu̱ do̱m. Se̱ bo̱ no̱m u-is u̱-me̱ gas-yu̱ u-hat. Bo̱ no̱m ya u̱t-kur u̱t-tu̱t ko̱-u̱-he̱ do̱m-u̱ o̱ru̱ wa.
01061100c6	Gwat! U̱m do̱'e̱ tage̱ du̱ u-dak u̱ bu̱-mu̱ do̱'e̱ re̱-du̱ u-dak, mu̱ do̱'e̱ ho̱ru̱sse̱ no̱m-tu̱ u̱r-fat u̱t-be̱e̱t tu̱ u̱s-vu̱'e̱. Ko̱-uyan u-dak o̱ do̱'e̱ u̱t-mar.
01061200c4	Se̱di u̱m de̱ este̱du̱ u̱s-rem ri u̱ bo̱ ne̱, tu̱msu̱ bo̱ de̱ cwadu̱ u-hat, bo̱ u̱ ya'ag-u̱ ró ne̱ u̱ ne̱ta ró ne̱ u̱ ne̱ta-tu̱ ya'ag-u̱ ró ne̱ u̱r-kot u̱ bo̱ ne̱.
010613013b	Tu̱msu̱ u̱m o̱ u̱t-sa u̱m guu ko̱yu̱he̱ go̱-tu̱ no̱m-tu̱ na no̱me̱ u̱t-be̱e̱t. Remu̱ iya se̱ bo̱ haatu̱n yu̱r u̱-me̱ no̱m-tu̱ u̱r-fat u̱t-be̱e̱t, u-so̱ u̱ u-gob ne̱ u̱ no̱mu̱ o̱o̱ge̱ u̱t-kurup ne̱ u-dak, u̱-me̱ u-hat u̱r-kot u̱ bo̱ ne̱, ko̱ e̱ u̱t-kwu̱s u̱r-fat.
01061400a3	Kab yu̱r u̱ te̱k-u̱ go̱-tu̱ ko̱yu̱he̱ bisa ya m-cwa u̱-me̱ u-hat u-so̱ u̱ u-gob ne̱ tu̱msu̱ ko̱yu̱he̱ no ya ne̱, ko̱ e̱ u̱t-kwu̱s u̱r-fat.
01061500ae	Bo̱ do̱'e̱ u̱ kab-du̱ go̱-du̱ no̱m-tu̱ u̱t-re̱ u̱ do̱'e̱ ko̱ru̱ bo̱ u̱t-be̱e̱t u̱ ne̱t-tu̱ u-bu ró ne̱ u̱ no̱m-tu̱ u̱r-fat ne̱ u̱t-be̱e̱t.”
0106160040	Nuhu no̱m ko-uyan u̱ka Ru̱-u̱ zu̱tte̱ wa no̱m u-be̱e̱t.
010701009d	Se̱ Yawe zu̱ Nuhu, “Cwa u-hat, bo̱ u̱ bu-u̱ ró ne̱ be̱e̱t, remu̱ zu̱ u̱m hyanu̱g bo̱ wa jab-u̱ so̱-o̱ wa u̱-me̱ ne̱t-tu̱ uno̱ da-o̱.
01070200cc	Bisa-tu̱ u-he̱n u̱t-be̱e̱t, kab kag ta'er u̱ so̱ ne̱ ta'er du̱gu̱ ko̱du̱he̱ go̱-de̱. Bisa-tu̱ za u-he̱n u̱t-be̱e̱t, kab u-kag u-gan u̱ so̱ ne̱ u-gan du̱gu̱ ko̱du̱he̱ go̱-de̱.
010703009d	Go̱-tu̱ no u̱t-be̱e̱t, kab kag ta'er u̱ ro̱b ne̱ ta'er, u̱ remu̱ go̱-u̱t e̱ reet u-shu̱ u̱r-yu̱ ne̱ da-u̱ bu̱-mu̱ re̱-du̱ u-dak arke̱.
01070400fd	Kwu̱ku̱s m-roog u̱t-ta'er du̱gu̱ da-o̱, u̱m do̱'e̱ kasnu̱ u-yu̱ u̱ re̱-du̱ u-dak u̱t-ho̱ u̱t-shik u̱t-yu̱r m-gye̱p ne̱ u̱t-ho̱ u̱t-shik u̱t-yu̱r, har se̱ u̱m haste̱ no̱m-tu̱ u̱r-fat tu̱ u̱m no̱me̱ u-dak u-be̱e̱t.”
0107050038	Se̱ Nuhu no̱m ko̱-uyan u̱ka Yawe zu̱tte̱ wa no̱m.
010706005a	U̱ da-u o̱ Nuhu o̱o̱g u̱s-hak u̱t-ko̱k u̱t-shishin da-u̱ bu̱-mu̱ takse̱ u-dak.
01070700a0	Tu̱msu̱ Nuhu, u̱ ya'ag-u̱ wane̱, u̱ ne̱ta wa ne̱, u̱ ne̱ta-tu̱ ya'ag-u̱ wa ne̱, e̱ to u-hat remu̱ e̱ poste̱ bu̱-mu̱ do̱'e̱ re̱-du̱ u-dak.
010708010c	U̱ dame̱ ya-ubu Nuhu ne̱, bisa-tu̱ to u-me̱ u-hat: u̱t-bisa u̱t-go̱ u̱t-go̱ tu̱ u-he̱n u̱ tu̱ za u-he̱n ne̱, u̱ go̱-tu̱ no ne̱ u̱ no̱mu̱ ho̱g ne̱ i o̱ u̱t-riig u-dak. E̱ to u-hat u-so̱ u̱ u-gob ne̱ yu̱r yu̱r ka Ru̱-u̱ zu̱tte̱ Nuhu.
01070a005d	Da-u̱ roog-mu̱ u̱t-ta'er no̱me̱, se̱ bu̱-mu̱ re̱-du̱ u-dak haan mo̱ taku̱s u-dak.
01070b00da	Da-u̱ Nuhu o̱ u̱s-hak u̱t-ko̱k u̱t-shishin, u̱ ho̱-du̱ o̱p u̱t-ta'er u̱ pyaat-yu̱ u-yu̱r, bu̱-mu̱ ta u-dak mo̱ bo̱ko̱n du̱gu̱ me̱ u-dak, na nom yu̱-u̱ u̱t-tu̱ru̱m so̱k du̱gu̱ do̱m u-ru̱.
01070c0058	Yu̱-u̱ re u-shu̱ u̱r-rob ne̱ m-te u̱t-ho̱ u̱t-shik u̱t-yu̱r u̱ m-gyu̱p ne̱.
01070d00af	U̱ gandi ho̱-u̱r re̱ de̱ Nuhu to u-hat, u̱r-kot u̱ ya'ag-u̱ wa ne̱ She̱m, Ham, u̱ Jape̱t ne̱, u̱r-kot u̱ ne̱ta wa ne̱ u̱ ne̱ta-tu̱ ya'ag-u̱ wa ne̱ tu̱t.
01070e00ea	U̱n to u-hat u̱ ko̱-uyan go̱-du̱ u̱t-bisa tu̱ u-bu, u̱ ko̱-uyan bisa-tu̱ u̱r-do̱g ne̱ tu̱ o̱ u̱t-riig u-dak kowan u̱ du̱ wa go̱de̱, u̱ ko̱-uyan bisa-tu̱ u̱t-kurup ne̱ u̱r-kot, u̱ no ne̱ u̱t-go̱ u̱t-go̱.
01070f005a	No̱m u̱r-fat i ko̱-uyan go̱-de̱ e̱ haan u̱du̱ Nuhu u-kag u-so̱ ne̱ e̱ to u-hat.
0107100096	Campa u̱ ne̱ta-ne̱ u̱ go̱-tu̱ u̱t-bisa ne̱ u̱t-be̱e̱t e̱ to u-hat u̱ka Ru̱-u̱ zu̱tte̱ Nuhu. Se̱ Yawe tage̱ u-is yu̱ u-hat u̱-dim.
010711008d	M-roog u̱t-shik u̱t-yu̱r na o̱ u̱ rob-du̱ u-yu̱ u-dak, bu̱-mu̱ hu̱ swu̱ru̱n, mo̱ hu̱ jak-su̱ u-hat du̱gu̱ u-dak m-da u-ru̱.
0107120071	Se̱ bu̱-mu̱ sur m-no̱m u-tát mo̱ no̱m m-ja so̱k du̱gu̱ u-dak, hat-yu̱ hu̱ u̱t-riig u̱-do̱m m-bu̱.
010713004e	M-vaste̱ bu̱-mu̱ taku̱s m-ha ro̱r-tu̱ zu̱ge̱ m-ja u̱t-be̱e̱t u-dak.
0107140079	Bu̱-mu̱ nom m-ja mo̱ pu̱s ja-mu̱ u̱t-ro̱r m-te u̱s-na u̱r-shik, tu̱msu̱ mo̱ taku̱s u̱t-ro̱r u̱t-be̱e̱t.
0107150114	No̱m-tu̱ u̱r-fat u̱t-be̱e̱t tu̱ o̱o̱ge̱ u-dak to̱ mu̱ru̱s. E̱ mu̱ru̱mu̱ste̱ be̱e̱t: u̱ no ne̱, u̱ bisa-tu̱ u-bu ne̱, u̱ bisa-tu̱ u̱r-do̱g ne̱, u̱ no̱m-tu̱ u̱r-fat tu̱ re̱k-to̱ u̱ i o̱o̱ge̱ u̱t-riig u-dak, u̱ ne̱t-ne̱ u̱t-be̱e̱t.
010716007a	No̱m-tu̱ u̱r-fat u̱t-be̱e̱t, e̱ mu̱rmu̱sse̱, tu̱ nome̱ u̱s-vu̱'e̱ i o̱o̱ge̱ u̱t-riig u̱ dak-u gagu̱n.
0107170101	Ru̱-u̱ hast no̱m-tu̱ o̱o̱ge̱ u-dak u̱t-be̱e̱t, ne̱t-ne̱ u̱t-bisa ne̱ u̱ no̱m u̱r-fat ne̱ i o̱ u̱t-riig u-dak u̱ no do̱m u-ru̱ ne̱ be̱e̱t na hast e̱ du̱gu̱ me̱ u-dak. Nuhu wa Ru̱-u̱ yage̱ u̱ i o̱ u̱r-kot u̱ wa ne̱ u-hat.
0107180070	Bu̱-mu̱ re̱-du̱ u-dak mo̱ rees u-dak m-te m-roog u-ko̱k u-gan u̱ roog-mu̱ u̱r-shik u̱t-yu̱r u̱ o̱p.
01080100c9	Se̱di Ru̱-u̱ baku̱ste̱ Nuhu u̱ bisa-tu̱ u̱r-do̱g ne̱ u̱t-be̱e̱t u̱ bisa-tu̱ u-bu ne̱, tu̱ o̱o̱ge̱ u̱r-kot u̱ wa ne̱ u-hat. Se̱ wa yagne̱ m-mya u-dak, tu̱msu̱ bu̱-mu̱ hu̱b.
0108020070	Se̱ Ru̱-u̱ wu̱ bu̱-mu̱ u-dak yage̱ u̱r-rwu̱n, tu̱msu̱ wa wu̱ bu̱-mu̱ do̱m u-ru̱ yage̱ u̱r-rob.
010803008b	Se̱ bu̱-mu̱ he̱e̱se̱ u̱t-hab u-dak cashi cashi, da-u̱ roog-mu̱ u̱t-shik u̱t-ta'er u̱ o̱p arke̱, se̱ bu̱-mu̱ hu̱b m-cu̱m.
0108040070	Tu̱msu̱ u̱ ho̱-du̱ o̱p u̱t-ta'er u̱ pyat-yu̱ u-ta'er se̱ hat-yu̱ ees u̱ do̱m-u̱ ro̱r-tu̱ Ararat.
0108050086	Bu̱-mu̱ re̱ u-shu̱ m-hab m-te taku̱n-du̱ pyat-yu̱ u-o̱p, u̱ taku̱n-du̱ pyat-u ya, do̱s-tu̱ u̱t-ro̱r rwu̱u̱n u̱-do̱.
010806005e	Da-u̱ to̱ku̱n ho̱-to̱ u̱t-shik u̱t-yu̱r arke̱, Nuhu upus pyam-yu̱ wa no̱me̱ u-hat.
0108070080	Se̱ wa tom u-ryag, se̱ ya hu̱ u̱t-riig ya hu̱ pam-du̱ u̱t-kap u-dim u-shu̱ ne̱ se̱ da bu̱-mu̱ hose̱ du̱gu̱ u-dak.
0108080065	Tu̱msu̱ wa tom u̱r-gorop u̱ de̱ hyan u̱zu̱ bu̱-mu̱ hab-u̱g ko̱ de̱ hyanu̱ gagu̱n u-dak.
01080900c5	Se̱di gorop-du̱ kwu̱mu̱g be-du̱ u̱r-ju̱z da remu̱ zu̱ bu̱-mu̱ taku̱ste̱ u-dak, se̱ de̱ barmu̱n u-hat. Tu̱msu̱ se̱ Nuhu nu̱b u-kom wa maas de̱ wa muut de̱ u̱ me̱n-tu̱ u-hat.
01080a0052	Wa sur m-e̱ste̱ m-roog u̱t-ta'er se̱ wa sur m-to̱m u̱r-gorop du̱gu̱ u-hat.
