0100000005	Dadaa
0108020059	Burqituun golba qile'eetii fi balbalti gubba'aalle cufante; bokkeenni gubba'aalle caamee,
0108030061	bisaan laana laana gad dhidhatuu jalqabe. Guyyaa dhibbaa fi shantamaan duuba lafa irraa dhidhate.
0108040077	Hoboloon guddittiin sun ji'a torbeesso'oo keessa, guyyaa kudhanii torbeesso'oo, gaara Araaraatii gubbaa dhuttee teette.
0108050078	Bisaan haga ji'a kudhaneesso'oo dhidhataatuma deeme; ji'a kudhaneesso'oo keessa guyyaa qaraa, qacceen gaarotaa mudhatte.
0108060041	Guyyaa afurtamaan duuba Nohi qowa hobolo'otti baaseeru san banee,
0108070059	harraaqessa erge; harraaqessi sun haga bisaan lafa irraa gogutti asii fi achi ka'aa ture.
0108080052	Achiin duuba Nohi bisaan lafa irraa akka gad dhidhate ilaaliisaaf saphaliisa erge.
01080900cb	Ammoo bisaan ammalle lafa duudii irra waan jiruuf, addee itti tee'u dhabee, gara hoboloo guddittii sanii deebi'ee gara isaa dhufe; inni harka ifii gad baasee qabee, hoboloo guddittii sanitti ol seensise.
01080a004d	Guyyaa torba tureen duuba, ammalle saphaliisa hoboloo guddittii keessaa erge.
01080b00a3	Saphaliisi sun kichuu baala ejersaa afaan ifiititti qabatee, galgaluma san deebi'ee gara isaa dhufe. Akka kanaan Nohi akka bisaan lafa irraa gad dhidhateeru beeke.
01080c0068	Achiin duuba Nohi guyyaa torba dhibii turee, saphaliisa erge; saphaliisi eega san gara isaa hin deebine.
01080d00d9	Nohi dhalatee woggaa dhibba jaa fi tokkeesso'otti, ji'a tokkeesso'oo keessa, guyyaa tokkeesso'oo, bisaan lafa irraa goge; Nohille heellichoo Hoboloo gudditti'ii irraa kaasee, ilaale; irri lafaalle akka gogeeru dhagge.
01080e0054	Ji'a lammeesso'oo keessa, guyyaa diddamii torbeesso'ootitti, latti guutumatti godde.
01080f001b	Achiin duuba Waaqi, Nohiin,
0108100056	«Niitii teeti, ijoollee teetii fi niitii ijoollee teetii woliin hoboloo keessaa bayi.
01081100bb	Dadi lubbuu qabanu ka si woliin jiranu martinuu sinbirrooti, horiin, bineensoti, worri lafa irra lowanu martinuu, lafa irratti horanee akka heddatanu, si woliin akka bayanu godhi» jedhe.
0108120052	Maarre Nohi ijoollee ifii, niitii ifiitii fi niitii ijoollee ifii woliin gad baye.
0108130098	Horiin marti, bineensoti marti, sinbirrooti marti, worri lafa irra lowanu marti, akkuma gosa gosa isaaniititti hoboloo guddittii san keessaa gad bayane.
01081400a2	Nohi addee ciinca'aa Mootii Waan Maraatiif ijaare; horii qulqulluu mara keessaa, sinbirroota qulqulluu mara keessaa addee ciinca'aa san irratti ciincaa dhikeesse.
010815012a	Fooleen ciinca'aa sun Mootii Waan Maraa yennaa gammachiitte, Mootiin Waan Maraa gadhaa ifii keessatti, «Ani sababa namaatiif deebi'ee lafa hin abaaru; yaadi isaanii ijoollumma'aanuu hamaa akka te'e ani waan beekuuf, akka amma godhe kana, waan lubbuu qabu lafa irraa ijjumaa deebi'ee hin balleessu.
010816007e	«Haga latti tun jirtutti facaasu'uu fi haamuun, qabbanaa fi o'i, bonaa fi ganni, guyya'aa fi halkan, hin dhaabbatanu» jedhe.
0109010049	Waaqi Nohii fi ilmaan isaa eebbisee, «Hora'aa, heddadha'a, lafa guuta'a!
01090200b6	Bineensoti lafa irraa marti, sinbirrooti marti, bineensoti lafa irra lowanu marti, qurxummiin abbaaya'aa marti, isin sodaatanee bararaqanuu ti; isaan harka keessanitti kennamaneeran.
01090300b7	Wonni jiraatee tacho'u martinuu sagalee isiniif te'anuu ti. Akkuma duri biqiltuu magariisa akka sagalee isiniif te'anu kenne, amma waan kana mara sagalee akka isiniif te'anu kenneera.
0109040058	Ammoo jiruun dhiiga keessa waan jirtuuf, foon dhiigi keessa jiru ammalle hin nyaatina'a.
010905007e	Ani lubbuu teessan eegiisaaf, dhiiga keessan harka nama nama san ijjeeseetii fi bineensa nama san ijjeesee irraa hin barbaada.
0109060081	«Ani Waaqi akka bifa tiyyaatitti, nama waan dadeef, nami dhiiga namaa dhangalaasu dhiigi isaa harka namaatiin hin dhangalaafama.
010907003c	«Isin hora'a, heddadha'a, bacadha'aa lafa guuta'a!» jedhe.
010908003e	Achiin duuba Waaqi Nohii fi ilmaan isaa ta isa woliin jirtuun,
010909005e	«Kunoo ani isinii fi sanyii teessan worra isiniin duubaa woliin gondooroo tiyya hin gondoora;
01090a00c2	akkasuma dada lubbuu qabu ka isin woliin jiru mara, sinbirroota mara, horii mara, bineensota mara, waan isin woliin hoboloo guddittii san keessaa bayane mara woliin gondooroo tiyya hin gondoora.
01090b00c4	Ani ijjumaa dada lubbuu qabu bisaan badi'iitiin lafa irraa deebi'ee akka hin balleessineef, bisaan badi'ii ijjumaa deebi'ee lafa akka hin balleessine, ani isin woliin gondooroo tiyya hin gondoora.
01090c007e	Gondooroo ani isinii fi dada lubbuu qabu ka isin woliin jiruuf, dhaloota dhufu maralle'ee gondoore tanaaf beessisa kana kenna:
01090d0078	ani hiituu tiyya duumensa keessa keya; hiituun tunille beessisa Gondooroo anaa fi biyyaa lafaa oddu'utti te'e hin teeti.
01090e0048	Yennaa ani gubbaa duumensaan gollee, hiituun duumensa keessaan mudhattu,
01090f0099	ani gondooroo tiyya ta isinii fi dada lubbuu qabu mara woliin gondoore hin qaabadha; bisaan badi'ii dada lubbuu qabu mara deebi'ee ijjumaa hin balleessu.
01091000b2	Yennaa hiituun duumensa keessaan mudhattu, ani isii ilaalee, gondooroo haga bara baraa ta anaa fi dada lubbuu qabu ka lafa irra jiru mara oddu'utti gondoore hin qaabadha» jedhe.
0109110083	Waaqi Nohiin, «Beessisi gondooro'oo ka ani ifii fi dada lubbuu qabu ka lafa irra jiru mara oddu'utti gondoore hiituu tana» jedhe.
0109120069	Nohii fi ilmaan isaa ta hoboloo guddittii keessaa baate Seem, Kaamii fi Yaafet. Kaam abbaa Kana'aanii ti.
010913005f	Isaan sadiin kun ilmaan Nohii ti; kolbaan lafa irraa duudiinuu ilmaan sadiin tana irraa dhutte.
0109140032	Nohi, nama lafa qotu, ka woynii dhaabiisa jalqabe.
0109150059	Gaafa tokko inni yennaa daadhii woyni'ii unee machowe, qullaa dunkaanii ifii keessa rafe.
0109160060	Abbaan Kana'aanii, Kaam, abbaa ifii qullaa jiruun dhaggee, alatti obboleeyyan ifii lamatti hime.
01091700e2	Achiin duuba Seemii fi Yaafet woyaa fuudhanee gurmuu ifii lamaan irra buufatanee, dudda duubaan deemanee nafa abbaa isaanii qullaa san dhossane; fuulli isaanii irraa waan garagaleeruuf, nafa qullaa abbaa ifii san hin dhaggine.
0109180051	Nohi machii yennaa bayyanate, waan ilmi isaa maandhichi isa irratti godhe beekee,
0109190055	«Kana'aan ka abaarame te'uu ti; garbicha garboota obboleeyyan ifii te'uu ti» jedhe.
01091a0063	Nohi ammalle, «Mootiin Waan Maraa Waaqi Seemii, leellifamuu ti; Kana'aan garbicha Seemii te'uu ti.
01091b007a	Waaqi biyya Yaafetii badhisuu ti! Yaafet dunkaanii Seemii keessa le'uu ti; Kana'aan garbicha Yaafetiille te'uu ti» jedhe.
01091c0043	Bisaan badi'iitiin duuba Nohi woggaa dhibba sadii fi shantama le'e.
01091d004a	Inni wolumatti woggaa dhibba sagalii fi shantama le'ee, achiin duuba du'e.
010a01009b	Ilmaan Nohii, Seem, Kaamii fi Yaafet; bisaan badi'iitiin duuba, isaan sadiin kun ijoollee uumatane; hiddi dhaloota sanyii isaanii kanatti aanee laakkowama.
010a02004f	Ilmaan Yaafetii: Gomer, Maagoog, Maada'i, Yaawaan, Tubaal, Meshekii fi Tiiraas.
010a030034	Ilmaan Gomerii: Ashikenaas, Riifaatii fi Togaarma'a.
010a04003d	Ilmaan Yaawaanii: Eliishaa, Tarshiish, Kitiimii fi Rodaaniim.
010a0500d4	Worri lafa qarqara abbaayaa Mediteraaniya'aa keessa le'u, sanyii Yaafetii tana irraa dhufane. Isaan akka biyya biyya isaaniititti, akka afaan afaan isaaniititti, akka gosa gosa isaaniititti qoqoodamee worra le'u.
010a060037	Ilmaan Kaamii: Kuushi, Misraayiimii, Fuxii fi Kana'aan.
010a070069	Sanyiin Kuushii: Saabaa, Hawiilaa, Sabtaa, Ra'ima'aa fi Sabtekaas. Ilmaan Ra'ima'aa: Sheeba'aa fi Dedaan.
010a080053	Kuushi Naamrud uumate; Naamrud lafa irratti nama qaraa jabaa lolaan injifataa te'e.
010a09008a	Inni qarqaarsa Mootii Waan Maraatiin adamsaa jaba'a; tanaaf, namooti, «Mootiin Waan Maraa akka Naamrudii adamsaa jabaa si godhu» jedhan.
010a0a0085	Inni jalqaba qachoota biyya Shiinaarii ka «Baabilon» jedhamee beekkamu keessaa Baabel, Erek, Akaadii fi Kaalne irratti mootii te'e.
010a0b0057	Achi irraa gara biyya Asoorii dhaqee qachoota Nanawwe'ee, Rohobot-Irii fi Kalaa ijaare.
010a0c0046	Akkuma Nanawwe'ee fi Kalaa wodhakka'atti qachaa guddicha Resen ijaare.
010a0d003c	Sanyiin Misraayiimii: Ludiin, Anaamiim, Lehabiim, Naftuhiim,
010a0e0050	Fatrusiim, Kasluhiim ka worri Filisxeemotaa irraa dhaggamee fi Kaftoriim uumate.
010a0f0043	Kana'aan ilma ifii angaficha Sidoonii fi ka itti aanu Heeti uumate.
010a100037	Inni ammalle abbaa Yibusootaa, Amoorotaa, Girgaashotaa,
010a11001c	Hiiwotaa, Arqotaa, Siinotaa,
010a120048	Arwaadotaa, Simaarotaa, kamaatotaatiiyyu; duuba irra maatiin Kana'aanii,
010a1300af	haga meessaa Kana'aanii ka Sidoon irraa gara fuullee Gergariitii haga Gaaza'aatitti, gara fuullee Sodoomii, Gomora'aa, Adima'aatii fi Zebo'iimiitiin haga Laasha'aa faffacaate.
010a140064	Sanyiin Kaamii ka maatii maati'iin, afaan afaaniin, lafa lafaan, gosa gosaan qoqoodamane isaan kana.
010a15005c	Obboleessi angafichi Yaafetii, Seemille, ilmaan uumate; ilmaan Ebeerii marti sanyii isaa ti.
010a160039	Ilmaan Seemii: Ilaam, Ashuur, Arfaaksaad, Ludii fi Aaram.
010a17002a	Ilmaan Aaramii: Uz, Hul, Geterii fi Maash.
010a180031	Arfaaksaad, Shalaa uumate; Shalaan, Ebeer uumate;
010a190088	Ebeer ilmaan lama uumate; bara tokkochi dhalate latti waan qoqoodanteef, maqaan isaa, «Feleg» jedhame; maqaan obboleessa isaa Yoqxaan.
010a1a003f	Ilmaan Yoqxaan uumate: Almodaad, Sheleef, Hasarmaaweti, Yaaraa,
010a1b0019	Hadoraam, Uzaal, Diqilaa,
010a1c001b	Obaal, Abiimaa'el, Sheebaa,
010a1d0044	Ofiir, Hawiila'aa fi Yobaab; worri kun martinuu ilmaan Yoqxaanii ti.
010a1e006b	Latti isaan keessa le'ane, biyya koobittii gara aduun baatuu Meshaa irraa ka'ee haga Sefariititti badhatti.
010a1f0064	Sanyiin Seemii ka maatii maati'iin, afaan afaaniin, lafa lafaan, gosa gosaan qoqoodamane isaan kana.
010a2000d8	Maatiin ilmaan Nohii, akka dhaloota isaaniitiin, gosa gosa isaaniitiin ka qoqoodamane isaan kana; bisaan badi'iitiin duuba, gosi biyya adda addaa ta lafa irratti faffacaate marti, sanyii ilmaan Nohii irraa dhaggante.
010b01003d	Bara san kolbaan biyya lafaa duudiin afaan tokkocha dubbatti.
010b02006b	Isaan gara aduun baatu irraa yennaa godaanane, dirree takka lafa Shiinaariititti dhaqanee achitti qubatane.
010b0300a4	Isaan, «Kowa'a, faara loonnee, akka jabaatu gunnaa» woliin jedhane; addee dhaka'aa faara looba'aa, addee siminto'oo leyyaa biyyee keessaa dhaggamutti fayyadamane.
010b0400a4	Achiin duuba isaan, «Kowa'a, qachaa qacceen xelleephoo isaa ol-gubbaa gewu ijaarrannee, lafa duudii irratti akka hin bittinnoonneef, worra gurraa teena!» jedhane.
010b050059	Mootiin Waan Maraa qacha'aa fi xelleephoo ilmaan namaa ijaarane san ilaaliisaaf gad bu'e.
010b0600e1	Inni, «Kunoo, isaan kolbaa takka'a; marti isaaniituu afaan tokkocha dubbatan; kun waan isaan huju'uuf jiranu keessaa ka jalqabaa ti; waan isaan hujiisaaf yaada qabanu keessaa, takkaalle wonni isaan hujuu dadhabanu hin jirtu.
010b070063	Kowa'a, gad buunee, akka isaan wolii hin galle, afaan isaanii wol keessa akka makamu goona» jedhe.
010b08005e	Maarre Mootiin Waan Maraa lafa duudii irra isaan bittinneessee, qachaalle ijaariisa lakkisane.
010b0900cf	Mootiin Waan Maraa achitti afaan biyya lafaa wol keessa akka makamu waan godheef, maqaan addee sanii, «Baabel» jedhamee moggaafame; Mootiin Waan Maraa achi irraa biyya lafaa duudii irra isaan bittinneesse.
010b0a0083	Sanyiin Seemii isaan kana: Bisaan badi'iitiin duuba woggaa lama turee, Seem dhalatee woggaa dhibbatti, ilma ifii Arfaaksaad uumate.
010b0b0064	Arfaaksaad uumateen duuba, Seem woggaa dhibba shan le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b0c003c	Arfaaksaad dhalatee woggaa soddomii shanitti, Shalaa uumate;
010b0d0071	Shalaan dhalateen duuba, Arfaaksaad woggaa dhibba afurii fi sad le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b0e0031	Shalaan dhalatee woggaa soddomatti, Ebeer uumate;
010b0f006c	Ebeer dhalateen duuba, Shalaan woggaa dhibba afurii fi sad le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b100036	Ebeer dhalatee woggaa soddomii afuritti, Feleg uumate;
010b11006e	Feleg dhalateen duuba, Ebeer woggaa dhibba afurii fi soddoma le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b12002f	Feleg dhalatee woggaa soddomatti, Re'uu uumate;
010b13006c	Re'uun dhalateen duuba, Feleg woggaa dhibba lamaa fi sagal le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b140037	Re'uun dhalatee woggaa soddomii lamatti, Seruug uumate;
010b15006d	Seruug dhalateen duuba, Re'uun woggaa dhibba lamaa fi torba le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b160031	Seruug dhalatee woggaa soddomatti, Naahor uumate;
010b170063	Naahor dhalateen duuba, Seruug woggaa dhibba lama le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b180039	Naahor dhalatee woggaa diddamii sagalitti, Taaraa uumate;
010b190078	Taaraan dhalateen duuba, Naahor woggaa dhibba tokkoo fi kudhanii sagal le'ee, ilmaanii fi ijoollee durraa dhibii uumate.
010b1a004a	Taaraan dhalatee woggaa torbaatamatti, Abraam, Naahorii fi Kaaraan uumate.
010b1b006a	Sanyiin Taara'aa isaan kana: Taaraan abbaa Abraamii, Naahoriitii fi Kaaraanii ti; Kaaraan abbaa Looxii ti.
010b1c0060	Kaaraan abbaan isaa Taaraan adoo jiruu addee itti dhalatetti, lafa Kaldootaa, Ur keessatti du'e.
010b1d00af	Abraamii fi Naahor niitii fuudhane; maqaan niitii Abraamii Saaraayi; maqaan niitii Naahoriille Miilka'a. Isiin intala Kaaraanii ti; Kaaraan Miilka'aa fi Yiiska'aafille abba'a.
010b1e002a	Saaraan maseena; isiin ijoollee hin qaddu.
010b1f00c8	Taaraan ilma ifii Abraam, akaakoo ifii Looxii ilma Kaaraanii, Saaraayii niitii ilmaa ifii Abraamii, fudhatee isaan woliin, biyya Kaldootaa Ur irraa ka'anee gara lafa Kana'aanii dhaqanee achi qubatane.
010b20004f	Taaraan woggaa dhibba lamaa fi shan le'ee, achiin duuba Kaaraan keessatti du'e.
010c010081	Mootiin Waan Maraa, Abraamiin, «Biyya teeti, gosa teeti, maatii abbaa keetiille lakkisiitii, gara lafa ani sitti mudhisuu dhaqi.
010c02006d	«Ani gosa guddoo si hin godha; si hin eebbisa. Gurra keeti hin guddisa; worra dhibi'iifille eebba hin teeta.
010c030087	Ani worra si eebbisu hin eebbisa; worra si abaaru hin abaara. Kolbaan lafa irraa duudiin karaa keetiin ta eebbifante hin teeti» jedhe.
010c04009f	Maarre Abraam akkuma Mootiin Waan Maraa isatti hime deeme; Looxille isa woliin deeme. Abraam biyya Kaaraaniitii yennaa baye san, woggaan isaa torbaatamii shan.
010c0500ce	Abraam niitii ifii Saaraayii fi ilma obboleessa ifii Loox, waan qabanu maraa fi hojjattoota Kaaraanitti dhaggatanelle fudhatanee, gara lafa Kana'aanii deemiisaaf ka'ane. Isaan lafa Kana'aanii yennaa geyane,
010c060098	Abraam lafa san keessa dabaree, addee, «Sheekem» jedhantu, haga qilxaa woyyicha Moree deeme. Yennaa san worri Kana'aanotaa lafa san keessa jiraniiyyu.
010c0700bc	Yennaa san Mootiin Waan Maraa Abraamitti mudhatee, «Ani lafa tana sanyii teetiif hin kenna» jedhe; Abraamille addee sanitti, Mootii Waan Maraa ka isatti mudhateef addee ciinca'aa ijaare.
010c080122	Achii ka'ee gara lafa koobittii ta Bet'el irraa gara baya adu'uutitti dhaggantuu dhaqe; dunkaanii ifiille Beti'el irraa gara seensa adu'uutitti, Aayin irraa gara baya adu'uutitti dhaabate; achille'etti addee ciinca'aa Mootii Waan Maraatiif ijaaree, achitti maqaa Mootii Waan Maraa waammate.
010c09003e	Achiin duuba, Abraam gara kibba Kana'aanii garuma duraa deeme.
010c0a0085	Biyya kibba Kana'aaniititti beelti hantuun waan buuteef, Abraam yennaa beelaa san achitti dabarsiisaaf, gara biyya Gibxi'ii gad bu'e.
010c0b0076	Inni Biyya Gibxi'ii seeniisaaf yennaa dhikaate, niitii ifii Saaraayiin, «Ani akka ati dubartii dansitti'ii hin beeka;
010c0c006a	Worri Gibxi'ii yennaa si dhagge, ‹Tun niitii isaa ti› jedhanee na hin ijjeesan; si ammoo hin lakkisan.
010c0d006b	Marroo teetiif akka naaf tolu, sababa keetiif akka jiraadhuuf, ‹Ani obboleettii isaa ti› jedhi» jedhe.
010c0e0065	Abraam biyya Gibxi'ii yennaa seene, worri Gibxi'ii niitiin isaa guddoo dansittii akka teete dhaggane.
010c0f0087	Qondaaltoti mootii Gibxi'ii yennaa isii dhaggane, dansummaa isi'ii mooticha Gibxi'iititti jajane. Gara mana mootichaalle isii geessane.
010c100083	Mootichille isi'iif jedhee Abraamitti tole; inni hoolee, loon, harree, gaalota, tajaajiltoota dhiiraatii fi dubarti'ii isaaf kenne.
010c110087	Ammoo sababa Saaraayii niitii Abraamiitiif, Mootiin Waan Maraa mootichaa fi kolbaa mana mootichaa keessa jirtutti dhukkuba hamaa buuse.
010c120088	Maarre mootichi biyya Gibxi'ii Abraam waamee, «Wonni ati na irratti hujje kun maan? Akka isiin niitii teeti teete maaf natti hin himin?
010c130090	Ati maaf, ‹Isiin obboleettii tiyya› jette? Tanaaf ani niitii isii godhadhee fuudhe. Amma niitiin teeti kunoo ti; fudhadhuu deemi!» Jedheen.
010c14007c	Mootichi marroo Abraamiitiif namoota ajajee, isaan niitii isaatii fi waan inni qabu mara woliin biyya Gibxiitii isa baasane.
010d01006f	Abraam niitii ifiitii fi waan qabu mara fudhatee, gara biyya kibba Kana'aanii deeme; Looxille isa woliin deeme.
010d020037	Abraam hori'iin, meeti'ii fi worqi'iin guddoo dureessa.
010d03009b	Inni kibba Kana'aaniitii ka'ee, asii fi achi goggodaanee, haga Bet'elii deemee, Bet'elii fi Aayi odduu lafa dur dunkaana ifii itti dhaabbateeru takka geye.
010d040073	Dur inni addee tanatti addee ciincaa itti ciincessanu ijaareeraayyu; inni achitti maqaa Mootii Waan Maraa waammate.
010d050057	Looxiin Abraam woliin deemelle hori'ii fi maatii, akkasuma tajaajiltoota ifii qabaayyu.
010d06006c	Abraamii fi Loox horii guddaa waan qabanuuf, woliin turiisaaf lafa marraa isaan lamaaniifuu geettu dhabanee,
010d070090	tissitoota horii Abraamiitii fi tissitoota horii Looxii oddu'utti lolli ka'e; yennaa san Kana'aanotii fi Pheeriisoti lafa san keessa le'aniiyyu.
010d0800ae	Achiin duuba Abraam, Looxiin, «Nuuti obboleeyyan waan teeneef, si'ii fi ana oddu'utti, tissitoota horii keetiitii fi tissitoota horii kiyyaa oddu'utti lolli ka'uu hin malle.
010d0900b8	Kunoo, latti duudiin si dura jirtii motii? Gargar baanuu ti! Ati yoo gara bita'aa fudhatte, ani gara middaa deema; yookiin ati yoo gara middaa fudhatte, ani gara bita'aa deema» jedhe.
010d0a00ef	Loox adaala ilaalee, dhooqi Yordaanosii haga qachaa Zo'aariititti akka oorruu Mootiin Waan Maraa Edenitti godhee, akka lafa Gibxi'iille bisaan akka qaddu dhagge; tun Mootiin Waan Maraa qachoota Sodoomiitii fi Gomora'aa balleessiisaan dura.
010d0b006e	Maarre Loox dhooqa Yordaanosii mara filatee, gara baya adu'uu godaane. Akka kanaan isaan lamaan gargar bayane.
010d0c0085	Abraam lafa Kana'aanii keessa le'ee, Loox ammoo qachoota dhooqa Yordaanosii odduu le'e; dunkaana ifiille Yordaanos biratti dhaabbate.
010d0d0056	Bara san kolbaan Sodoomii hamoolee, worra cubbuu guddo'oon Mootii Waan Maraa yakkeeru.
010d0e009c	Loox isa irraa gargar bayeen duuba, Mootiin Waan Maraa Abraamiin, «Ol jedhiitii, lafa amma jirtu tana, kaabaa fi kibba, gara aduun baatuu fi seentu ilaali;
010d0f006b	Lafa ati dhaggitu tana duudii si'ii fi sanyii teetiif hin kenna; isiille haga bara baraa teessan hin teeti.
010d100082	Ani sanyii teeti akka maansa lafaa hin godha; nami maansa lafaa laakkowuu yoo dande'e, sanyiin teetille laakkowamuu hin dandeetti.
010d110056	Ani isii waan sii kennuuf, ka'iitii, dheerinna fi badhinna lafaa keessa deemi» jedhe.
010d12009e	Maarre Abraam dunkaana ifii buqqifatee, qilxaa Mamre'ee ka Hebroonitti dhiko'oo bira dhufee qubate. Achille'etti addee ciinca'aa Mootii Waan Maraatiif ijaare.
010e0100b2	Bara san mootiin biyya Shiinaarii Amraafel, mootiin biyya Elaasaarii Aryook, mootiin biyya Elaamii Kador-Laa'omer, mootiin gosa biyya adda addaa Tidaal mootummaa irra jiraniiyyu.
010e0200c2	Mootoleen tun mootii Sodoomii Beeraa, mootii Gomora'aa Birishaa, mootii Aadima'aa Shanaab, mootii Zebo'iimii Shemeber, mootii qachaa Bela'aa, ka amma qachaa «Zo'aar» jedhamu loliisaaf dhaqane.
010e03006c	Worri loliisaaf yaa'e kun dhooqa siidiimii ta amma «Abbaayaa sooddaa» jedhantu keessatti wolitti gurmaaye.
010e04008c	Mootoleen tun woggaa kudhanii lamaaf, mooticha Kador-Laa'omeriif tajaajilanee, woggaa kudhanii sadeesso'ootitti ammoo finqilaan itti ka'ane.
010e050115	Woggaa kudhanii arfeesso'ootitti Kador-Laa'omerii fi mootoleen isa woliin gurmaayane loltoota ifii woliin dhufanee, worra Refaa'iimii addee «Ashitaarot-Karnaayim» jedhantutti, worra Zuziimii addee «Ham» jedhantutti, worra Emiimii addee «Dirree Kiriiyataayim» jedhantutti,
010e060057	worra Hooriille gaara Se'iirii irraa haga El-Phaaranii irga goomole'eetitti injifatane.
010e0700b6	Achiin duuba isaan deebi'anee gara En-Miisphaatii ta «Qaadeshi» jedhantuu dhufanee, lafa Amaaleqootaa duudii qabatanee, Amoorota worra Haazezon-Taamaar keessa le'anulle injifatane.
