0100000009	Yaritilix
01051c0109	Lǝmǝh bir yüz sǝksǝn ikki yaxⱪa kirgǝndǝ bir oƣul tepip, uning ismini Nuⱨ atap: — Pǝrwǝrdigar tupraⱪⱪa lǝnǝt ⱪildi; xunga biz [yǝrgǝ] ixliginimizdǝ ⱨǝmdǝ ⱪollirimizning japaliⱪ ǝmgikidǝ bu bala bizgǝ tǝsǝlli beridu, — dedi.
01051e0077	Nuⱨ tuƣulƣandin keyin Lǝmǝh bǝx yüz toⱪsan bǝx yil ɵmür kɵrüp, uningdin yǝnǝ oƣul-ⱪizlar tɵrǝldi.
01051f004d	Lǝmǝh jǝmiy yǝttǝ yüz yǝtmix yǝttǝ yil kün kɵrüp, alǝmdin ɵtti.
0105200054	Nuⱨ bǝx yüz yaxⱪa kirgǝndin keyin, uningdin Xǝm, Ⱨam wǝ Yafǝt tɵrǝldi.
0106010072	Wǝ xundaⱪ boldiki, insanlar yǝr yüzidǝ kɵpiyixkǝ baxliƣanda, xundaⱪla ⱪizlarmu kɵplǝp tuƣulƣanda,
0106020083	Hudaning oƣulliri insanlarning ⱪizlirining qirayliⱪliⱪini kɵrüp, haliƣanqǝ tallap, ɵzlirigǝ hotun ⱪilixⱪa baxlidi.
01060300df	U waⱪitta Pǝrwǝrdigar sɵz ⱪilip: — — Mening Roⱨim insanlar bilǝn mǝnggü kürǝx ⱪiliwǝrmǝydu; qünki insan ǝttur, halas. Kǝlgüsidǝ ularning ɵmri pǝⱪǝt bir yüz yigirmǝ yaxtin axmisun! — dedi.
01060400fa	Xu künlǝrdǝ (wǝ xundaⱪla keyinki künlǝrdimu), Hudaning oƣulliri insanlarning ⱪizlirining yeniƣa berip, ulardin balilarni tapⱪinida, gigantlar yǝr yüzidǝ pǝyda boldi. Bular bolsa ⱪǝdimki zamanlardiki dangliⱪ palwan-baturlar idi.
01060500ab	Pǝrwǝrdigar insanning ɵtküzüwatⱪan rǝzilliki yǝr yüzidǝ kɵpiyip kǝtkǝnlikini, ularning kɵnglidiki niyǝtlirining ⱨǝrⱪaqan yaman boluwatⱪinini kɵrdi.
0106060070	Xuning bilǝn Pǝrwǝrdigar yǝr yüzidǝ adǝmni apiridǝ ⱪilƣiniƣa puxayman ⱪilip, kɵnglidǝ azablandi.
0106070112	Buning bilǝn Pǝrwǝrdigar: — Ɵzüm yaratⱪan insanni yǝr yüzidin yoⱪitimǝn — insandin tartip mal-qarwilarƣiqǝ, ɵmiligüqi ⱨaywanlardin asmandiki ⱪuxlarƣiqǝ, ⱨǝmmisini yoⱪ ⱪilimǝn; qünki Mǝn ularni yaratⱪinimƣa puxaymǝn ⱪildim, — dedi.
0106080046	Lekin Nuⱨ bolsa Pǝrwǝrdigarning nǝziridǝ xǝpⱪǝt tapⱪanidi.
01060900a0	Nuⱨ wǝ uning ix-izliri tɵwǝndikiqǝ: — Nuⱨ ⱨǝⱪⱪaniy, ɵz dǝwridikilǝr arisida ǝyibsiz adǝm idi; Nuⱨ Huda bilǝn bir yolda mengip yaxaytti.
01060a0038	Nuⱨtin Xǝm, Ⱨam, Yafǝt degǝn üq oƣul tɵrǝldi.
01060b0060	Pütkül jaⱨan Hudaning aldida rǝzillixip, ⱨǝmmǝ yǝr zorawanliⱪⱪa tolup kǝtkǝnidi.
01060c0097	Huda yǝr yüzigǝ nǝzǝr seliwidi, mana, jaⱨan rǝzillǝxkǝnidi; qünki barliⱪ ǝt igilirining yǝr yüzidǝ ⱪiliwatⱪini yuzuⱪqiliⱪ idi.
01060d00e9	Xuning bilǝn Huda Nuⱨⱪa: — Mana, aldimƣa barliⱪ ǝt igilirining zawalliⱪi yetip kǝldi; qünki pütkül yǝr-jaⱨanni ularning sǝwǝbidin zorawanliⱪ ⱪaplidi. Mana, Mǝn ularni yǝr bilǝn ⱪoxup ⱨalak ⱪilimǝn.
01060e0085	Əmdi sǝn ɵzünggǝ gofǝr yaƣiqidin bir kemǝ yasap, kemining iqidǝ bɵlmǝ-hanilarni ⱪilip, iqi-texini ⱪarimay bilǝn suwa.
01060f006f	Sǝn uni xundaⱪ yasiƣin: — Uzunluⱪi üq yüz gǝz, kǝngliki ǝllik gǝz wǝ egizliki ottuz gǝz bolsun.
01061000b1	Kemining pexaywini astiƣa bir oquⱪqiliⱪ yasa, uning egizliki bir gǝz bolsun; ixikini kemining yeniƣa orunlaxtur; kemini asti, ottura wǝ üsti ⱪilip üq ⱪǝwǝt yasa.
01061100e5	Qünki mana, Mǝn Ɵzüm asmanning astidiki ⱨayatliⱪ tiniⱪi barliki ⱨǝrbir ǝt igisini ⱨalak ⱪilidiƣan su topanni yǝr yüzigǝ kǝltürimǝn; buning bilǝn yǝr yüzidiki barliⱪ mǝhluⱪlar tiniⱪidin tohtaydu.
010612007f	Lekin sǝn bilǝn ǝⱨdǝmni tüzimǝn. Sǝn ɵzüng, oƣulliring, ayaling wǝ kelinliringni elip birliktǝ kemigǝ kiringlar.
01061300a3	Ɵzüng bilǝn tǝng tirik saⱪlap ⱪelix üqün, barliⱪ jandarlardin ⱨǝrⱪaysisidin bir jüp, yǝni ǝrkikidin birini, qixidin birini kemigǝ elip kirgin;
01061400ba	Tirik ⱪelix üqün ⱪuxlarning ⱨǝrbir türliridin, mal-qarwilarning ⱨǝrbir türliridin wǝ yǝrdǝ ɵmiligüqi janiwarlarning ⱨǝrbir türliridin bir jüpi ⱪexingƣa kiridu.
0106150069	Ɵzüng wǝ ularning ozuⱪluⱪi üqün ⱨǝrhil yemǝkliklǝrdin elip, yeningƣa ƣǝmligin, — dedi.
0106160051	Nuⱨ xundaⱪ ⱪildi; Huda ɵzigǝ buyruƣan ⱨǝmmǝ ixni u bǝja kǝltürdi.
010701009d	Pǝrwǝrdigar Nuⱨⱪa mundaⱪ dedi: — «Sǝn pütün ɵydikiliring bilǝn kemigǝ kirgin; qünki bu dǝwrdǝ aldimda seni ⱨǝⱪⱪaniy dǝp kɵrdüm.
010702012f	Ⱨǝmmǝ ⱨalal ⱨaywanlarning ǝrkǝk-qixisidin yǝttǝ jüptin, ⱨaram ⱨaywanlarning ǝrkǝk-qixisidin bir jüptin elip, xuningdǝk asmandiki uqar-ⱪanatlarningmu ǝrkǝk-qixisidin yǝttǝ jüptin elip, ularning nǝslini pütkül yǝr yüzidǝ tirik saⱪlax üqün ɵzüng bilǝn billǝ ǝkir.
01070400a2	Qünki yǝttǝ kündin keyin uda ⱪiriⱪ keqǝ-kündüz yǝr yüzigǝ yamƣur yaƣdurimǝn; Ɵzüm yasiƣan ⱨǝmmǝ janiwarlarni yǝr yüzidin yoⱪitimǝn».
0107050057	Xuning bilǝn Nuⱨ Pǝrwǝrdigar uningƣa buyruƣinining ⱨǝmmisigǝ ǝmǝl ⱪildi.
0107060039	Yǝr yüzini topan basⱪanda Nuⱨ altǝ yüz yaxta idi.
0107070065	Topandin [ⱪutulup ⱪelix] üqün Nuⱨ bilǝn oƣulliri, ayali wǝ kelinliri billǝ kemigǝ kirdi.
01070800ec	Ⱨalal ⱨaywanlar bolsun, ⱨaram ⱨaywanlar bolsun, ⱪuxlar bilǝn yǝrdǝ ɵmiligüqi janiwarlar bolsun, [ⱨǝrbir türdin] bir jüp-bir jüptin ǝrkǝk-qixi bolup, Huda Nuⱨⱪa buyruƣandǝk kemigǝ, Nuⱨning ⱪexiƣa kirdi.
01070a0052	Wǝ xundaⱪ boldiki, yǝttǝ kündin keyin, yǝr yüzini topan besixⱪa baxlidi.
01070b00b6	Nuⱨning ɵmrining altǝ yüzinqi yili, ikkinqi eyining on yǝttinqi künidǝ qongⱪur dengizlarning tǝgliridiki barliⱪ bulaⱪlar yerilip, asmanning pǝnjiriliri eqilip kǝtti.
01070c0043	Yamƣur uda ⱪiriⱪ keqǝ-kündüz yǝr yüzigǝ tohtimay yaƣdi.
01070d0086	Dǝl yamƣur baxlanƣan küni, Nuⱨ, Nuⱨning Xǝm, Ⱨam, Yafǝt degǝn oƣulliri, Nuⱨning ayali bilǝn üq kelini kemigǝ kirdi.
01070e0111	Ular bilǝn billǝ ⱨǝrhil yawa ⱨaywanlar tür-türi boyiqǝ, ⱨǝrhil mal-qarwilar tür-türi boyiqǝ, yǝrdǝ ɵmiligüqi ⱨǝrhil janiwarlar tür-türi boyiqǝ wǝ ⱨǝrhil uqar-ⱪanatlar, yǝni ⱨǝrhil ⱪanatliⱪ janiwarlar tür-türi boyiqǝ kemigǝ kirdi.
01070f0090	Ət igiliridin, yǝni barliⱪ ⱨayatliⱪ tiniⱪi bolƣan ⱨǝrhil jandarlardin, bir jüp-bir jüp bolup, kemigǝ nuⱨning ⱪexiƣa kirdi.
0107100087	Kirgǝnlǝr Hudaning Nuⱨⱪa buyruƣinidǝk ǝt igilirining ⱨǝrtürining ǝrkǝk-qixisi idi. Andin Pǝrwǝrdigar ixikni etiwǝtti.
0107110077	Topan yǝr yüzini uda ⱪiriⱪ kün besip, sular ulƣiyip kǝtti. Kemǝ yǝr üstidin kɵtürülüp lǝylǝp ⱪaldi.
0107120057	Su ulƣiyip, yǝr üstidǝ tehimu egizlǝp kǝtti; kemǝ su üstidǝ dawalƣup turatti.
0107130068	Sular yǝr yüzidǝ tolimu ulƣiyip, pütkül asmanning astidiki barliⱪ egiz taƣlarnimu besip kǝtti.
0107140057	Sular [taƣlardin] yǝnǝ on bǝx gǝz ɵrlǝp, taƣ qoⱪⱪilirimu su astida ⱪaldi.
01071500c6	Buning bilǝn yǝr yüzidǝ yürgüqi ⱨǝmmǝ ǝt igiliri, uqar-ⱪuxlar, mal-qarwilar, yawayi ⱨaywanlar, yǝrdǝ ɵmiligüqi ⱨǝmmǝ janiwarlar, jümlidin pütkül adǝmlǝr ⱨǝmmisi ɵldi;
010716005e	ⱪuruⱪluⱪta yaxiƣuqi, burnida ⱨayatliⱪ tiniⱪi bar bolƣanlarning ⱨǝmmisi ɵldi.
010717010e	Yǝr yüzidiki jeni barlarning ⱨǝmmisi, insan bolsun, mal-qarwilar bolsun, ɵmiligüqi ⱨaywanlar bolsun, asmandiki ⱪuxlar bolsun, ⱨǝmmisi ⱨalak bolup yǝr yüzidin yoⱪ ⱪilindi; pǝⱪǝt Nuⱨ wǝ kemidǝ uning bilǝn billǝ turƣanlar ⱪutulup ⱪaldi.
0107180036	Bir yüz ǝllik küngiqǝ yǝr yüzini su besip turdi.
01080100dc	Huda Nuⱨni, xundaⱪla kemidǝ uning bilǝn billǝ bolƣan barliⱪ yawayi ⱨaywanlar bilǝn barliⱪ mal-qarwilarni ǝslidi. Xuning bilǝn Huda bir xamal qiⱪirip yǝr yüzini yǝlpütti wǝ sular yenixⱪa baxlidi.
0108020078	Qongⱪur dengizlarning tǝgliridiki bulaⱪlar wǝ asmanning pǝnjiriliri etilip, asmandin tɵkülgǝn yamƣur tohtidi.
0108030059	Sular barƣanseri yǝr yüzidin yandi; bir yüz ǝllik kün ɵtkǝndin keyin heli azlidi.
0108040066	Yǝttinqi ayning on yǝttinqi küni, kemǝ Ararat taƣ tizmiliridiki birining üstidǝ tohtap ⱪaldi.
010805006f	Sular oninqi ayƣiqǝ barƣanseri aziyip, oninqi ayning birinqi küni taƣ qoⱪⱪiliri kɵrünüxkǝ baxlidi.
0108060045	Ⱪiriⱪ kündin keyin Nuⱨ kemigǝ ɵzi ornatⱪan dǝrizini eqip,
0108070065	bir ⱪuzƣunni sirtⱪa qiⱪardi. U yǝr yüzidiki sular tartilip bolƣuqǝ uyan-buyan uqup yürdi.
0108080074	Uningdin keyin Nuⱨ sularning yǝr yüzidin tartilƣan-tartilmiƣanliⱪini bilix üqün, bir kǝptǝrni qiⱪardi.
01080900d7	Lekin sular tehiqǝ pütkül yǝr yüzini ⱪaplap turƣaqⱪa, kǝptǝr putini ⱪoyƣudǝk jay tapalmay, Nuⱨning ⱪexiƣa kemigǝ yenip kǝldi. Xuning bilǝn Nuⱨ ⱪolini sunup uni tutup, kemigǝ ǝkiriwaldi.
01080a0049	U yǝttǝ kün saⱪlap, bu kǝptǝrni kemidin yǝnǝ sirtⱪa qiⱪardi.
01080b00b6	Kǝptǝr kǝqtǝ uning ⱪexiƣa yenip kǝldi; mana, uning tumxuⱪida yengi üzüwalƣan zǝytun yopurmiⱪi bar idi. Buni kɵrüp Nuⱨ sularning yǝr yüzidin tartilƣinini bildi.
01080c0080	U yǝnǝ yǝttǝ kün saⱪlap, kǝptǝrni yǝnǝ sirtⱪa qiⱪardi, ǝmma bu ⱪetim kǝptǝr uning yeniƣa ⱪaytip kǝlmidi.
01080d00b9	Nuⱨ altǝ yüz bir yaxⱪa kirgǝn yili, birinqi ayning birinqi künidǝ su yǝr yüzidin ⱪuruƣanidi. Nuⱨ kemining ⱪapⱪiⱪini eqip ⱪariwidi, yǝrning ⱪuruƣinini kɵrdi.
01080e004e	Ikkinqi ayning yigirmǝ yǝttinqi küni, yǝr yüzi pütünlǝy ⱪurup boldi.
01080f0074	U waⱪitta Huda Nuⱨⱪa sɵz ⱪilip: — Sǝn ɵzüng, ayaling, oƣulliring wǝ kelinliring kemidin qiⱪinglar.
0108110145	Ɵzüng bilǝn billǝ bolƣan barliⱪ ǝt igiliridin ⱨǝrbir türdiki janiwarlarni, yǝni uqar-ⱪanatlarni ⱨǝm mal-qarwilarni, yǝrdǝ ɵmiligüqi ⱨaywanlarning ⱨǝmmisini ɵzüng bilǝn ⱪoxup kemidin elip qiⱪⱪin; xuning bilǝn ular yǝr yüzidǝ tarilip-tarⱪilip, nǝsillinip zeminda kɵpǝysun, — dedi.
0108120053	Xuning bilǝn Nuⱨ, ayali, oƣulliri wǝ kelinliri bilǝn billǝ sirtⱪa qiⱪti.
01081300b2	Janiwarlarning ⱨǝmmisi, barliⱪ ɵmiligüqi ⱨaywanlar, barliⱪ uqar-ⱪanatlar, yǝrdǝ midirlap yüridiƣanlarning ⱨǝrⱪaysisi ɵz türliri boyiqǝ kemidin qiⱪixti.
01081400d2	Xu qaƣda Nuⱨ Pǝrwǝrdigarƣa atap bir ⱪurbangaⱨni yasidi; u ⱨalal janiwarlar bilǝn ⱨalal ⱪuxlarning ⱨǝr türidin elip kelip, ⱪurbangaⱨning üstidǝ «kɵydürmǝ ⱪurbanliⱪ» ɵtküzdi.
0108150124	Xundaⱪ ⱪilip Pǝrwǝrdigar huxbuy purap [mǝmnun boldi]; Pǝrwǝrdigar kɵnglidǝ: — «Insanning kɵngül-niyiti yaxliⱪidin tartip rǝzil bolsimu, Mǝn insan tüpǝylidin yǝrgǝ yǝnǝ lǝnǝt oⱪumaymǝn wǝ ǝmdi bu ⱪetimⱪidǝk ⱨǝmmǝ jandarlarni urup yoⱪitiwǝtmǝymǝn.
01081600a1	Bundin keyin, yǝr mǝwjut künliridǝ, Terix bilǝn orma, Soƣuⱪ bilǝn issiⱪ, Yaz bilǝn ⱪix, Kündüz bilǝn keqǝ üzülmǝy aylinip turidu» — dedi.
0109010094	Huda Nuⱨ bilǝn uning oƣulliriƣa bǝht-bǝrikǝt ata ⱪilip, ularƣa mundaⱪ dedi: — «Silǝr jüplixip kɵpiyip, yǝr yüzini toldurunglar.
01090200f0	Yǝr yüzidiki barliⱪ janiwarlar, asmandiki barliⱪ ⱪuxlar, barliⱪ yǝr yüzidǝ midirlap yürgüqilǝr wǝ dengizdiki barliⱪ beliⱪlarning ⱨǝmmisi silǝrdin ⱪorⱪup wǝⱨimidǝ bolsun; bular ⱪolunglarƣa tapxurulƣandur.
01090300a6	Midirlap yüridiƣan ⱨǝrⱪandaⱪ janiwarlar silǝrgǝ ozuⱪ bolidu; Mǝn silǝrgǝ kɵk otyaxlarni bǝrgǝndǝk, bularning ⱨǝmmisini ǝmdi silǝrgǝ bǝrdim.
0109040055	Lekin silǝr gɵxni iqidiki jeni, yǝni ⱪeni bilǝn ⱪoxup yemǝslikinglar kerǝk.
0109050142	Ⱪeninglar, yǝni jeninglardiki ⱪan tɵkülsǝ, Mǝn bǝrⱨǝⱪ uning ⱨesabini alimǝn; ⱨǝrⱪandaⱪ ⱨaywanning ilkidǝ ⱪeninglar bar bolsa Mǝn uningƣa tɵlǝtküzimǝn; insanning ⱪolida bar bolsa, yǝni birsining ⱪolida ɵz ⱪerindixining ⱪeni bar bolsa, Mǝn uningƣa xu ⱪanni tɵlǝtküzimǝn.
0109060085	Kimki insanning ⱪenini tɵksǝ, Uning ⱪenimu insan tǝripidin tɵkülidu; Qünki Huda insanni Ɵz sürǝt-obrazida yaratⱪandur.
0109070052	Əmdi silǝr, jüplixip kɵpiyip, yǝr yüzidǝ tarilip-tarⱪilip kɵpiyinglar».
01090801c9	Andin Huda Nuⱨ bilǝn uning oƣulliriƣa sɵz ⱪilip mundaⱪ dedi: — «Mana Ɵzüm silǝr bilǝn wǝ silǝrdin keyin kelidiƣan ǝwladliringlar bilǝn, xundaⱪla silǝr bilǝn billǝ turƣan ⱨǝrbir jan igisi, uqarⱪanatlar, mal-qarwilar, silǝr bilǝn billǝ turƣan yǝr yüzidiki ⱨǝrbir yawayi ⱨaywanlar, kemidin qiⱪⱪanlarning ⱨǝmmisi bilǝn — yǝr yüzidiki ⱨeqbir ⱨaywanni ⱪaldurmay, ular bilǝn Ɵz ǝⱨdǝmni tüzimǝn.
01090b00a7	Mǝn silǝr bilǝn xundaⱪ ǝⱨdǝ tüzimǝnki, nǝ barliⱪ ǝt igiliri topan bilǝn yoⱪitilmas, nǝ yǝrni wǝyran ⱪilidiƣan ⱨeqbir topan yǝnǝ kǝlmǝs».
01090c0149	Huda yǝnǝ: — «Mǝn Ɵzüm silǝr bilǝn wǝ ⱪexinglardiki ⱨǝmmǝ jan igiliri bilǝn mǝnggülük, yǝni pütkül ǝwladliringlarƣiqǝ bekitkǝn muxu ǝⱨdǝmning bǝlgisi xuki: — Mana, Mǝn Ɵzüm bilǝn yǝrning otturisida bolƣan ǝⱨdining bǝlgisi bolsun dǝp ⱨǝsǝn-ⱨüsinimni bulutlar iqigǝ ⱪoyimǝn;
01090e0144	wǝ xundaⱪ boliduki, Mǝn yǝrning üstigǝ bulutlarni qiⱪarƣinimda, xundaⱪla ⱨǝsǝn-ⱨüsǝn bulutlar iqidǝ ayan bolƣinida, Mǝn silǝr bilǝn ǝt igiliri bolƣan barliⱪ janiwarlar bilǝn tüzgǝn ǝⱨdǝmni yad etimǝn; buningdin keyin sular ⱨǝrgiz ⱨǝmmǝ jandarlarni ⱨalak ⱪilƣuqi topan bolmas.
01091000e4	Ⱨǝsǝn-ⱨüsǝn bulutlar arisida pǝyda bolidu; Mǝn uningƣa ⱪaraymǝn wǝ xuning bilǝn Mǝnki Huda yǝr yüzidiki ǝt igiliri bolƣan barliⱪ janiwarlar bilǝn otturimizda bekitkǝn ǝⱨdǝmni yad etimǝn», — dedi.
010911009d	Huda Nuⱨⱪa yǝnǝ: — «Mana bu Mǝn Ɵzüm bilǝn yǝr yüzidiki barliⱪ ǝt igiliri otturisida bekitkǝn ǝⱨdǝmning nixan-bǝlgisidur», — dedi.
0109120062	Nuⱨning kemidin qiⱪⱪan oƣulliri Xǝm, Ⱨam wǝ Yafǝt idi. Ⱨam Ⱪanaanning atisi boldi.
010913006c	Bu üqi Nuⱨning oƣulliri bolup, pütkül yǝr yüzigǝ taralƣan aⱨalǝ xularning nǝsil-ǝwladliridur.
010914004b	Nuⱨ teriⱪqiliⱪ ⱪilixⱪa baxlap, bir üzümzarliⱪ bǝrpa ⱪildi.
0109150074	U uning xarabidin iqip, mǝst bolup ⱪelip, ɵz qediri iqidǝ kiyim-keqǝklirini seliwetip, yalingaq yetip ⱪaldi.
0109160068	Ⱪanaanning atisi Ⱨam kelip, atisining ǝwritini kɵrüp, sirtⱪa qiⱪip ikki ⱪerindixiƣa eytti.
01091700cd	Xǝm bilǝn Yafǝt ⱪopup yepinjini elip, mürisigǝ artip, kǝyniqǝ mengip kirip, atisining yalingaq bǝdinini yepip ⱪoydi. Ular yüzini aldi tǝrǝpkǝ ⱪilip, atisining yalingaq tenigǝ ⱪarimidi.
010918005a	Nuⱨ xarabning kǝypidin oyƣinip, kǝnji oƣlining ɵzigǝ nemǝ ⱪilƣinini bilip: —
0109190060	Ⱪanaanƣa lǝnǝt bolƣay! U ⱪerindaxlirining ⱪulining ⱪuli bolsun, — dǝp ⱪarƣidi.
01091a0080	U yǝnǝ: — Xǝmning Hudasi bolƣan Pǝrwǝrdigarƣa tǝxǝkkür-mǝdⱨiyǝ kǝltürülgǝy! Ⱪanaan Xǝmning ⱪuli bolsun.
01091b0067	Huda Yafǝtni awutⱪay! U Xǝmning qedirlirida turƣay, Ⱪanaan bolsa uning ⱪuli bolƣay! — dedi.
01091c0037	Nuⱨ topandin keyin üq yüz ǝllik yil ɵmür kɵrdi.
01091d0055	Bu tǝriⱪidǝ Nuⱨ jǝmiy toⱪⱪuz yüz ǝllik yil kün kɵrüp, alǝmdin ɵtti.
010a010099	Tɵwǝndikilǝr Nuⱨning oƣullirining ǝwladliridur: — uning oƣulliri Xǝm, Ⱨam wǝ Yafǝt bolup, topandin keyin ulardin oƣullar tɵrǝlgǝn: —
010a020056	Yafǝtning oƣulliri bolsa, Gomǝr, Magog, Maday, Yawan, Tubal, Mǝxǝk wǝ Tiras idi.
010a030039	Gomǝrning ǝwladliri: Axkinaz, Rifat wǝ Togarmaⱨ idi.
010a040045	Yawanning ǝwladliri: Elixaⱨ, Tarxix, Kittiylar wǝ Dodaniylar idi.
010a0500c3	Bularning ǝwladliri dengiz boylirida wǝ arallarda ayrim-ayrim yaxiƣan hǝlⱪlǝr bolup, ⱨǝrⱪaysisi ɵz tili, ɵz ailǝ-ⱪǝbililiri boyiqǝ ɵz zeminlirida tarⱪilip olturaⱪlaxⱪan.
010a060038	Ⱨamning oƣulliri Kux, Misir, Put wǝ Ⱪanaanlar idi.
010a070073	Kuxning oƣulliri Seba, Ⱨawilaⱨ, Sabtaⱨ, Raamaⱨ wǝ Sabtika idi. Raamaⱨning oƣulliri Xeba wǝ Dedan idi.
010a08005f	Kuxtin yǝnǝ Nimrod tɵrǝlgǝn; u yǝr yüzidǝ naⱨayiti küqtünggür adǝm bolup qiⱪti.
010a0900ac	U Pǝrwǝrdigarning aldida küqtünggür owqi boldi; xu sǝwǝbtin «palanqi bolsa Nimrodtǝk, Pǝrwǝrdigarning aldida küqtünggür owqi ikǝn» degǝn gǝp tarⱪalƣan.
010a0a0070	Uning padixaⱨliⱪi Xinar zeminidiki Babil, Ərǝk, Akkad wǝ Kalnǝⱨ degǝn xǝⱨǝrlǝrdǝ baxlanƣanidi.
010a0b00cd	U bu zemindin Axur zeminiƣa qiⱪip Ninǝwǝ, Rǝⱨobot-Ir, Kalaⱨ wǝ Ninǝwǝ bilǝn Kalaⱨning otturisidiki Rǝsǝn degǝn xǝⱨǝrlǝrnimu bina ⱪildi (bular ⱪoxulup «Katta Xǝⱨǝr» boldi).
010a0d0047	Misirning ǝwladliri Ludiylar, Anamiylar, Lǝⱨabiylar, Naftuⱨiylar,
010a0e005a	Patrosiylar, Kasluⱨiylar (Filistiylǝr Kasluⱨiylardin qiⱪⱪan) wǝ Kaftoriylar idi.
010a0f0048	Ⱪanaandin tunji oƣul Zidon tɵrilip, keyin yǝnǝ Ⱨǝt tɵrǝlgǝn.
010a10003b	uning ǝwladliri bolsa Yǝbusiylar, Amoriylar, Girgaxiylar,
010a110021	Ⱨiwiylar, Arⱪiylar, Siniylar,
010a120083	Arwadiylar, Zǝmariylar wǝ Ⱨamatiylar idi. Xuningdin keyin, Ⱪanaaniylarning ⱪǝbililiri ⱨǝr tǝrǝpkǝ tarⱪilip kǝtti.
010a1300bc	Ⱪanaaniylarning yurt qegrisi bolsa Zidondin tartip, Gǝrar tǝripigǝ sozulup, Gazaƣa qiⱪip, andin Sodom, Gomorra, Admaⱨ bilǝn Zǝboim tǝripigǝ tutixip, Lexaƣiqǝ yetip baratti.
010a140087	Yuⱪiriⱪilar bolsa ⱨamning oƣulliri bolup, ɵz ⱪǝbilisi wǝ tilliri boyiqǝ ⱪowm bolup ɵz zeminlirida olturaⱪlaxⱪanidi.
010a15005d	Xǝmmu oƣul pǝrzǝntlik boldi; Xǝm bolsa Yafǝtning akisi, Ebǝrlǝrning ata-bowisi boldi.
010a160033	Xǝmning oƣulliri Elam, Axur, Arfahxad, Lud, Aram;
010a17002f	Aramning oƣulliri Uz, Ⱨul, Gǝtǝr, Max idi.
010a18003a	Arfahxadtin Xelaⱨ tɵrǝldi, Xelaⱨtin Ebǝr tɵrǝldi.
010a1900a5	Ebǝrdin ikki oƣul tɵrǝlgǝn bolup, birining ismi Pǝlǝg idi, qünki u yaxiƣan dǝwrdǝ yǝr yüzidǝ bɵlünüx boldi; Pǝlǝgning inisining ismi Yoⱪtan idi.
010a1a0033	Yoⱪtandin Almodad, Xǝlǝf, Hazarmawǝt, Yeraⱨ,
010a1b001a	Ⱨadoram, Uzal, Diklaⱨ,
010a1c0015	Obal, Abimaǝl, Xeba,
010a1d0057	Ofir, Ⱨawilaⱨ wǝ Yobab tɵrǝldi. Bularning ⱨǝmmisi Yoⱪtanning oƣulliri idi.
010a1e0074	Ularning olturƣan jayliri bolsa Mexadin tartip, Sǝffar degǝn rayonning xǝrⱪ tǝripidiki taƣⱪiqǝ sozulatti.
010a1f0086	Yuⱪiriⱪilar bolsa Xǝmning oƣulliri bolup, ɵz ⱪǝbilisi wǝ tilliri boyiqǝ ⱪowm bolup ɵz zeminlirida olturaⱪlaxⱪanidi.
010a2000b9	Yuⱪiridikilǝr Nuⱨning ǝwladliri bolup, ular ɵz nǝsǝbliri wǝ ⱪowmliri boyiqǝ hatirilǝngǝn. Topandin keyinki yǝr yüzidiki barliⱪ ⱪowmlar ularning iqidin tarⱪalƣan.
010b01003d	U zamanda pütkül yǝr yüzidiki til ⱨǝm sɵz birhil idi.
010b02008c	Lekin xundaⱪ boldiki, adǝmlǝr mǝxriⱪ tǝrǝpkǝ sǝpǝr ⱪilip, Xinar yurtida bir tüzlǝnglikni uqritip, xu yǝrdǝ olturaⱪlaxti.
010b0300aa	Ular bir-birigǝ: — Kelinglar, biz hix ⱪuyup, otta pixurayli! — deyixti. Xundaⱪ ⱪilip, ular ⱪuruluxta taxning orniƣa hix, layning orniƣa ⱪarimay ixlǝtti.
010b0400fb	Ular yǝnǝ: — Kelinglar, ǝmdi ɵzimizgǝ bir xǝⱨǝr bina ⱪilip, xǝⱨǝrdǝ uqi asmanlarƣa taⱪaxⱪudǝk bir munar yasayli! Xundaⱪ ⱪilip ɵzimizgǝ bir nam tikliyǝlǝymiz. Bolmisa, pütkül yǝr yüzigǝ tarilip ketimiz, — deyixti.
010b050066	U waⱪitta Pǝrwǝrdigar adǝm baliliri bina ⱪiliwatⱪan xǝⱨǝr bilǝn munarni kɵrgili qüxti.
010b0600e2	Pǝrwǝrdigar: — «Mana, bularning ⱨǝmmisi bir ⱪowmdur, ularning ⱨǝmmisining tilimu birdur; bu ularning ixining baxlinixidur! Bundin keyin ularning niyǝt ⱪilƣan ⱨǝrⱪandaⱪ ixini ⱨeq tosuwalƣili bolmaydu.
010b0700a8	Xunga Biz tɵwǝngǝ qüxüp ularning bir-birining gǝplirini uⱪalmasliⱪi üqün ularning tilini [baxⱪa-baxⱪa ⱪilip] ⱪalaymiⱪanlaxturuwetǝyli» — dedi.
010b08008b	Xundaⱪ ⱪilip Pǝrwǝrdigar ularni u jaydin pütkül yǝr yüzigǝ taritiwǝtti. Xuning bilǝn ular xǝⱨǝrni yasaxtin tohtap ⱪaldi.
