2800000007	Mataayi
28061d007f	Neke nikuvavuula kuuti, nambe uSolomoni mu vuvaha vwake vwoni, naalyaghelile kufwalilila neke anoghele ndavule ililuva limonga!
28061e00d6	Nave uNguluve ikughafwasia enendiiki amamele agha mu lihaka ghano ghinofia unsiki n'debe vuvule neke nakalinga ghijoghotoka na kutaghua pa mwoto, lino nakyaikuvafwasia umue na kukila, umue mwe vavya lwitiko ludebe?
28061f0056	“Lino, mulekaghe kutungumala kuuti, “Tulia kiki, tunyua kiki, nambe tufwala kiki,'
2806200089	ulwakuva ifio fyoni vihangajikila vano navammanyile uNguluve. UNhaata ghwinu juno ali kukyanya akaghwile vunofu kuuti mulonda sooni isio.
280621006a	Looli mulondaghe taasi uvutwa vwa Nguluve na kuvomba sino ikeela umwene, neke ifio fyoni ikuvongelesia”.
280622008f	“Lino, namungasaghaghe vwimila ifya pakilaavo, ulwakuva ifya pakilaavo pwefili vwimila ikighono ikio. Kila kighono kili na mahangaiko ghaake.
2807010043	“Namungavahighaghe avange kuuti jumue muleke kuhighua nu Nguluve,
280702008d	ulwakuva vule mukuvahigha avange, na jumue mulihighua vule vule. Ikighelelo kino mughelela avange, kye kino uNguluve ilikuvaghelela na jumue.
2807030080	“Kiki ghughimba kukola akameng'enyo aka mbavo kano kali mu liiso ilya n'jaako neke naghulola ikipiki kino kili mu liiso lyake?
2807040099	Kange, lwandaani ukum'buula un'jaako kuuti “Leka nikuvusie akameng'enyo aka mbavo kano kali mu liiso lyako,' pano mu liiso lyako juuve mwekili ikipiki?
280705009b	Ghwe nkedusi uve! Vusia taasi ikipiki kino kili mu liiso lyako. Apuo pe ukukaagha vunofu na kuvusia amengenyo aka mbavo kano kali mu iliiso lya n'jaako!”
28070600d4	“Namungasipelaghe imbua ifiinu ifyimike, ulwakuva ndepoonu sikuvagalukila na kukuvang'enya; nambe kukusijughujila ingube ifiinu ifya ndalama nyinga fino filengadika, ulwakuva ndepoonu sikufinyania mu matope.”
2807070062	“Musumaghe, uNguluvi ikuvapeela; uNguluve ikuvavonekesia; MUhonesyaghe, uNguluve ikuvadindulila.
2807080069	Ulwakuva umuunhu ghweni juno isuuma, ipelua; juno ilonda ikufyagha; ghwope juno idodesia, idindulilua.”
2807090051	“Asia, ghwe veene mulyumue, juno umwanaake angansuume unkate, ikumpeela ilivue?
28070a002b	Nambbe angansuume isamaki ikumpeela injoka?
28070b00b7	Nave umue, mwe vahosi mukaghwile kukuvapeela avaana viinu ifiinu ifinofu, lino uNhaata ghwinu ughwa kukyanya, nakaivomba vunofu, kukila, kukuvapeela ifiinu ifinofu vano vikunsuuma?”
28070c0088	“Lino, muvavombelaghe avange ndavule na jumue vule mukeela vavavombelaghe. Ulwakuva isio se ndaghilo sa Moose ni mbulanisio sa vavili.
28070d00b4	“Mwingilaghe kukilila umulyango umfinye, ulwakuva umulyango ughwa kwingilila kuvutipulo mweleefu, naji sila ija kulutila ukuo nyeleefu. Kange, avaaanhu vano vikilila ukuo, vinga.
28070e0081	Looli umulyango ughwa kwingilila ku vwumi mfinye, naji sila jino jiluta ku vwumi finye, kange avaanhu vano vikujaagha, vadebe”.
28070f009f	“Muvisaghe maaso na vavili ava vudesi, ulwakuva aveene pano vikwisa kulyume, pa maaso vivonaka hwene ng'holo, neke nkate mu moojo ghaave, ng'hekeeva ng'hali.
2807100084	Avaanhu avuo, mukuvakagula vwimila imbombo saave, Avaanhu navidonola isabibu mu matunguliisa, nambe kudonola amafyulisi mu mavajula.
2807110057	Kwekuti, umpiki unnono ghukoma ifipeke ifinono, umpiki um'biivi ghukoma ifipeke ifiivi.
280712006d	Nakweghule umpiki unnono ghuno ghukoma ifipeke ifiviivi, nambe umpiki um'biivi ghuno ghukoma ifipeke ifinono,
280713004f	Kange, umpiki ghuno naghukoma ifipeke ifinono, ghudumulua na kutaghua pa mwoto.
2807140045	Lino, avavili avuo ava vudesi, mukuvakagula vwimila imbombo saave.”
280715009a	“Nakwekuti umuunhu ghwenu juno iiti, 'Mutwa, Mutwa,' ilikwingila mu vutwa vwa kukyanya, looli juno ivomba uvughane vwa Nhaata ghwango juno ali kukyanya.
28071600c1	Ikighono ikya vuhighi kiliiva kifikile, vingavilikumbuula viiti, 'Mutwa, Mutwa! Ongo twapulisyagha imhola kuhuma kulyuve na kudaga amapepo amalamafu na kuvomba ifidegho finga mu litavua lyako!'
280717007c	Apuo nilikuvavuula kisila kufisa, niliiti, 'Nanivamanyile umue nambe padebe! Vuuka apa, umue mwe vano muvomba uvuhosi!””
2807180093	“LIno, umuunhu juno ipulika amasio ghango agha na kukughavingilila, iiva ndavule umuunhu unya luhala juno alyajengile inyumba jaake pa linhalavu.
28071900ab	Ifula jikatoonya, nasi ndenga sikamema. Imhepo imbaha jikagugula na kusukania inyumba jila. Neke inyumba jila najikaghua ulwakuva ulwalo lwake lulyajengilue pa linhalavue.
28071a0099	Neke umuunhu ghweni juno ipulika amasio ghango agha, neke naikughavingilila, ujuo iiva ndavule umuunhu un'jasu juno alyajengile inyumba jaake pa lihanga.
28071b0083	Ifula jikatoonya, nasi ndenga sikamema. Imhepo imbaha jikagugula na kusukania inyumba jila, nakalingi jikaghua nu mughindi um'baha!
28071c005f	UYesu ye amalike kujova amasio aghuo, ilipugha lila likadegha kyongo vwimila imbulanisio saake,
28071d0075	ulwakuva alyale ivulanisia hwene muunhu nya vutavulilua, naakavulanisiasyagha ndavule avavulanisi vaane ava ndaghilo.
2808010045	UYesu akiika kuhuma ku kidunda, ilipugha lya vaanhu likam, bingilila.
280802008c	Pe umuunhu jumonga unya buuba akiisa na kufughama pa Yesu, akam'buula akati, “Ghwe Mutwa, nave ukeliile kukumbalasia nisuuma umbalasie!”
2808030069	UYesu akgholosia uluvoko, akamwabasia, akati, Nikeela, valala!” Unsiki ghughuo umuunhu jula, akavalala.
28080400d0	Pe UYesu akam'buula akati, “Nungam'bulaghe nambe muunhu imhola isi! Ulwene uluta ghuhufie kwa ntekesi, ukahumie ilitekelo ndavule alyalaghiile uMoose, neke vuuve vwolesi ku vaanhu vooni kuuti avalasivue.”
280805007c	UYesu akaluta mu likaaja ilya Kapelenaumu. Ye ikwingila mu likaaja ililo, um'baha jumonga ughwa vasikali ava kilooma akiisa,
2808060071	akampelepesia akati, “Ghwe Mutwa, um'bombi ghwango ighona ku kaaja, ali ni nhamu ija liteela, ivavua kyongo,”
2808070030	UYesu akam'buula akati, “Nikwisa, ninsosie.”
280808009d	Neke um'baha jula akamula, akati, “Ghwe Ntwa, uleke kukwingila mu nyumba jango ulwakuva une naninoghiile. Uve ujove li lisio lyene, um'bombi ghwngo isooka.
28080900fa	Nijova enendiiki ulwakuva, na juune nipulika ku vavaha vango, kange nili na vasikali vano vipulika kulyune. Ningam'buule jumonga niiti, 'Luta!' Iluta. Ujunge, ningati, 'Isa!' Ikwisa. Naju m'bombi ghwango ningam'buule kuuti, 'vomba ndiiki,' ivomba.”
28080a00c3	UYesu ye apulike amasio aghuo, akadegha, akavavuula vano valyale vikum'binglila, akati, “Kyang'haani nikuvavuula kuuti mu Vaisilaeli vooni nanimwaghile umuunhu unya lwitiko ulukome ndavule uju!
28080b00ba	Nikuvavuula kuuti avaanhu vinga kuhuma imbali sooni isa iisivilikwisa na kukukala pa kikulukulu nu lukeelo palikimo na vakulu viitu uAbulahamu, nu Isaka, nu Yakovo mu vutwa vwa kukyanya.
28080c009f	Looli aVayahudi vano vakanoghiile kuuva mu vutwa uvuo vilitaghua kunji ku ng'hiisi, ukuo vilililagha na kugwegwenula amiino ulwakuva vali mu vuvafi uvukome.”
28080d00a0	Pe uYesu akam'buula um'baha jula akati, “Vujagha! Sivombeke kulyuve ndavule lulivuo ulwitiko lwako.” Unsiki ghula ghula, um'bombi ghwa m'baha jula akasooka.
28080e008d	Pambele uYesu akingila mu nyumba ja Peteli, umuo akamwagha unkwive ghwa Peteli kwekuti ung'ina ghwa n'dala ali ni mhungu, aghonile pa kitala.
28080f0049	Pe uYesu akamwabasia uluvoko, akasooka, akiima akategula kukuvatengelela.
2808100090	Ye vwimile, vakamuletela uYesu avaanhu vinga avanya mapepo. Pe akaghadaga amapepo ghala ku ngufu sa lisio lyake. Kange akavasosia avatamu vooni.
2808110071	Isio sikavombiike kukwilanisia sino silyajovilue nu m'bili uYesaya kuuti, “Akavusia inhamu siitu, akatusosia”
2808120087	ilipugha ilya vaanhu likansyungutila uYesu. UYesu ye aluvwene uluo, akavavuula avavulanisivua vaake kuuti valovoke valute imwambo jila.
28081300b0	Pe um'bulanisi jumonga ughwa ndaghilo sa Moose akaluta pa Yesu, akam'buula akati, “Gwe M'bulanisi, nilonda kuuva m'bingilili ghwako, nikukuvingililagha kwoni kuno ghuluta.”
280814007b	UYesu akati, “Ing'heve sili ni mhanga, injuni sili ni fivwasu, neke ne Mwana ghwa Muunhu nili nsila nambe apa kughona!”
2808150078	Pambele, jumonga mu vavulanisivua vaake akam'buula akati, Ghwe Mutwa, unhavule nulute taasi ninsyile unhaata ghwango.”
2808160059	Neke uYesu akam'buula akati, “Umbingililaghe! Valeke avafue vavasyile avafue avaave.”
2808170059	Pe uYesu akingila mu ngalava, voope avavunisiavua vaake vakingila mula, vakavuuka viluta.
2808180091	Ye vali mu lisumbe, nakalingi imhepo imbaha jikagugula, amavingo amavaha ghakatengula kukupikila ingalava jila. Unsiki ughuo UYesu akaghoneliile.
2808190057	Avavulanisivua vaake vakaluta pa mwene vakansisimula, vakati, Mutwa, utupoke! Tufua!”
28081a0087	UYesu akavamula akati, “kiki muli voghofi, mwe vanya lwitiko ludebe umue? Pe akiima, akajidalikila imhepo nilisumbe, kukalitamalwoni.
28081b0066	Avavulanisivua vaake vakadegha kyongo vakati, “Uju ghwe veeni juno imhepo na mavingo fikumpulika?”
28081c00e0	Pambele ye valovwike vali imwambo ija Vagelasi, uYesu akatang'hana na vaanhu vavili avanya mapepo, vahumile kuno vikukala ku mbiipa. Avaanhu avuo valyale vakali kyongo, nakwealyale umuunhu juno akaghelagha kukila isila jila.
28081d008c	Avaanhu avuo vakakoola fiijo vakati, “Ghwe Mwana ghwa Nguluve, tuli vuki nuuve? Ghwisile kuno kukutupumsia pano unsiki ghwitu ghukyale?”
28081e0039	Pa vutali padebe pwelilyale ilipugha ilya ngube, lidimua.
28081f007c	Pe amapepo ghala ghakampelepesia uYesu, ghakati, “Nave ukutudaga, utwitikisie tulute, twingile mu lipugha lila ilya ngube.
28082000bd	UYesu akati, “Lutagha!” pe ghakahuma mu vaanhu vala, ghakingila mu lipugha lila ilya ngube. Nakalingi ilipugha lilalyoni likiika luvilo, likaselebukila mu lisumbe, ingube sooni sikafua.
280821008c	Avadiimi va ngube vakakimbila luvilo, vakaluta mu likaaja, vakapanga sooni sino sivombiike, palikimo na sino sihumiile ku vanya mapepo vala.
280822006e	Avaanhu vooi ava likaaja ilio vakahuma, vakuluta kwa Yesu. Ye vamwaghile, vakampelepesia avuuke mu iisi jaave.
2809010062	UYesu akapanda ingalava, akalovoka ilisumbe ilya Galilaya, akagomoka mu likaaja lyake Kapelenaumu.
28090200c5	Pe avaanhu vamonga vakamuletela umuunhu unya nhamu ija liteela, aghonile pa keteefu. UYesu ye aluvwene ulwiltikko lwave kwa mwene, akati kwa ntamu, Mwanango, ghukangasie! Upyanilue inyivi saako.”
2809030075	Pe aqvavulanisi va ndaghilo vamonga vakasaagha mu moojo ghaave vakati, “Umuunhu uju ikumulingha kyongo uNguluve!”
280904006b	Neke uYesu akasitang'hania sino vakva visaagha, akavaposia akati, “KIki musaagha imbiivi mu moojo ghiinu?
280905006a	Lino luhuugu luliku? Kukumbuula unya liteela kuuti, Upyanilue inyivi saako; nambe kuuti, Ima, ughendaghe?'
28090600b7	Lino pe mukagule kuuti une ne Mwana ghwa Muunhu nili nu vutavulilua uvwa kupyanila inyivi mu iisi muno” Pe akam'buula unya liteela akati, “Ima, veghela iliteefu lyako, vujagha.”
2809070024	Umuunhu jula akiima, akavuuka ivuja.
2809080083	Avaanhu mu lipugha ye vasivwene isio, lukavakola uludwesi, vakamughinia uNGuluve juno avapeliile avaanhu uvutavulilua ndavule uvuo.
28090900cb	UYesu akavuuka pala. Ye ighenda iluta, akamwagha umuunhu jumonga, ilitavua lyake ghwe Mataayi, ikalile pano isongekesia isongo. UYesu akam'buula akati, “Umbingililaghe.” Pe akavuuka, akamb'bingilila.
28090a00bf	Pe uYesu akaluta kulia ikyakulia kwa Mataayi. Ye vali mu nyumba jila, vakingila avasongesi songo vinga na vahosi, vakikala vuhanga ikikyakulia nu Yesu palikimo n a vavulanusivua vaake vakati.
28090b0097	AVafalisayi ye vasivwene isio, vakavaposia avavulllanisivua vaake vakati, “Kiki um'bulanisi ghwinu ihagha ikyakulia na vasongesia songo na vahosi?”
28090c0065	Neke uYesu ye apuliike isio avavuula akati, “Avakafu navifumbua kuluta kwa mughanga, looli avatamu!
28090d00dd	Lino, lutagha mkamanyile umuluvo ghwa masio agha, 'Nilonda umuunhu avisaghe nya lusungu kukila kuhumia ilitekelo; ulwakuva une nanilyakisisie kukuvakemeela vano vikuvona vagholofu, looli vano vitang'hinia kuuva vahosi.”
28090e00c1	Pambele avavulanusivua va Yohani uMwofughi vakaluta kwa Yesu, vakamposia vakati, “Usue na Vafalisayi twatuvuhiila kulia mulwa kufuunya, ongo avavulanisivua vaako navivingilila ulwiho uluo?”
28090f00ca	Uyesu akavamula akati, “Vano vaghongolilue pa vutolani vali nu ntolan'dala, lwakiki vasukanalaghe? Looli filikwisa ifighono, pano untolan'dala ilivusivua. Apuo pepano vilivuhiila kulia mulwa kufuunya.
2809100097	Nakwale umuunhu juno ihonela ikigamba ikipia mu mwenda unkuulu, ulwakuva ikigamba ikio kidemule umwenda unkuulu ughuo, pe uvudemule vukwongelela kyoko.
28091100f0	Kange, avaanhu naviviika uluhuuje uluuje ulupia mu nyambe ing'huulu, nave fye vavombe uluo, inyambe sipusuka, uluhuuje kukung'hika nasi nyambe sinangika. Looli viviika uluhuuje ulupia mu nyambe imia, pe inyambe nu luhuuje fijigha vunofu!”
28091200c7	UYesu ye ikavavuula amasio aghuo, akiisa umulongosi jumonga, akafughama pa mwene, akam'buula, akati, “Umwalivango afwile unsiki ghughuughu, sivuo tuvuuke uluvoko lwako pa mwene, neke aave mwinu.”
2809130051	Pe uYesu akavvka palikimo na vavulanisivua vaake, akam'bingilila umulongosi jula.
28091400c5	Pwealyale umukijuuva jumonga juno alyale ni nhanu ija kuhuma idanda. Inhamu ijio jilyammwisie ammaka kijigho na ghavili. Umukijuuva ujuo akiisa kunsana kwa Yesu, akabasia uluvilo ulwa mwenda gwake.
2809150053	Akavomba uluo ulwakuva akasaghagha kuuti, “Ningabasie ghu mwenda ghwake, nisooka.
280916009e	Ye abasisie, uYesu akasyetuka, akamwagha, akam'buula akati, “Mwalivango, kangala! Usokile vwimila ulwitiko lwako!” Unsiki ghula, umukijuuva jula akasooka.
2809170091	Uyesu ye afikile mu nyumba ija mulongosi jula, akavaagha avaanhu vinga vakong'hanile, vilila nu lusukunalo ulukome, vamonga vikuva ifilongilongi.
2809180073	uYesu akavavuula akati, “Muvuuke! Ulwakuva umhija uju naafwiile, looli aghoneliile! Avaanhu vala vakanseka kyoyo.
280919006f	Umwene akavahumia kunji avaanhu vala, pe akingila kukate kwa mhinjajula, akankola uluvoko, umhinja jula akiima.
28091a0024	Imhola isio sikakwila mu iisi jooni.
28091b00a7	UYesu akavuuka pa kaaja ja mulongosi jula. Ye avukile pala pavabofu amaaso vavili, vakam'bingilila kumo vikemeela fiijo viiti, “Ghwe Mwana ghwa Davidi, utusungukile!
28091c00c0	UYesu akingila mu nyumbba, voope avabofu vala vakingila. Pe akavaposia akati, “Asia, mukwitika kuuti une nili ni ngufu isa kuvasosia?” Aveene vakamwamula vakati, Eena, Mutwa! Tukwitika.”
28091d006a	Pe uYesu akavabasia amaaso ghaave, akavavuula akati, “Sivombeke kulyumue ndavule lulivuo ulwitiko lwinu.
28091e0066	Amaaso ghaave ghakadinduka. Pe uYesu akavavuula akati, “Namungam'bulaghe nambe muunhu imhola isi!”
28091f0042	Neke aveene vakavuuka, vakakwisia imhola saake mu iisi jila jooni.
2809200093	Avaanhu vavili avuo ye vavukile pala, avaanhu vamonga vakamuletela uYesu umuunhu juno alyale ni lipepo. Ilipepo ilio lilyampeleliile kuuva kinuunu.
28092100d2	Pe uYesu akalidaga ilipepo lil, unsiki ghughuo umuunhu jula akateghula kuvoja kange. Avaanhu vano pwepalyale pala vakadegha kyongo, vakat, “Isi nasighelile kuvoneka nambe padebe mu iisi jooni ija Isilaeli.”
280922005a	Neke aVafalisayi vakatisagha, “Umuunhu uju idaga amapepo mu ngufu isa livaha lya mapepo!
28092300c1	Pe uYesu akava iluta mu makaaja ghooni na mu fikaaj. Akava ikwingila mu masinagogi ghaave ivulania na kupulisia iMhola iNofu ija vutwa vwa Nguluve, kange akavasyagha avatamu inhamu saave sooni.
2809240095	Ye ikulivona ilipugha ilya vaanhu, akavavonela ikisa, ulwakuva valyale vihangajika, navalyale nu ghwa kuvatanga, valyale hwene ng'holo isila n'diimi.
2809250065	Pe akavavuula avavulanisivua vaake akati, “Mu mughunda ifiinu fimotwike, neke avanya kupeta vadebe.
2809260048	Lino, munsuume unya mughunda, asuung'he avvanhu avange avanya kupeta.”
280a0100a5	UYesu akavakemeela avavulanisivua vaake kijigho va vavili, akavapeela uvutavulilua uvwa kudaga ampepo amalamafu, kusosia inhamu sooni nu vuvotevote vuno vuli papinga
280a0200aa	Amatavua gha vasung'hua avuo kijiho na vavili ghe agha: ughwa kwanda ghwe Simoni, juno itambulua Peteli, nu Ndeleeya unnuuna, avakina Sebedaayi uYakovo nu Yohani unnuuna,
280a03005c	uFilipo, uBatolomaayo, uTomasi, uMataayi unsongesia songo, uYakovo unkina Alifaayo, uTadaayo
280a040045	uSimoni uKananayo nu Yuuda Isikalioti, juno pambele akamwohela uYesu.
280a050092	UYesu akavasuung'ha avuo kijigho na vavili, akavalaghila akati, “Namungalutaghe ku vaanhu vano namungingilaghe mu makaaja ghooni agha Vasamalia.
280a060047	Looli mulutaghe ku Vaisilaeli vano vali ndavule ing'holo sino sisovile.
280a070045	Pano muluta, mupulisyaghe mutisaghe, 'Uvutwa uvwa kukyanya vufikile.'
280a080094	Musosyaghe avatamu na vyanya buuba, musyusyaghe avafue, na kudaga amapepo. Mupelilue vuvule uvutavulilua uvuo, na vumue muvatangaghe avaanhu vuvule.
280a09003d	Namangagadaghe isahabu nambe indalama, nambe kudaga isilinge,
280a0a0091	nambe inyambe, nambe umwenda ughwa kwandula, nambe ifilatu ifya kwandula, nambe ulukwegho, ulwakuva um'bombi anoghiile kupelua fyoni fino ilonda.
280a0b0093	“Mu, likaaja nambe mu kikaaja muno kyamukwingila, mulindagheumuo umuunhu unnofu ughwa kuvupila. Mukalaghe kwa mwene kuhanga unsiki ghuno muvuuka.
280a0c0038	Pano mukwingila mu nyumba, muvahungilaghe avanya nyumba.
280a0d008c	Lino, nave avanya nyumba vapuliile muvasumilaghe kwa Nguluve kuuti avapelaghe ulutengaano. Looli vane navavupiile ulutengaano lujigha numue.
280a0e0092	Nave umuunhu naikuvupila nambe kukuvapulikisia, pano muhum mu nyumba nambe mu likaaaja ilio mukung'unaghe ulung'hunde luno luli mu maghulu ghiinu.
280a0f008a	Kyang'haani nikuvaauula, pa kighono ikya vuhighi, ulupumuko lwave luliiva lukome kukila ulwa vaanhu ava likaaja ilya Sodoma ni lya Gomola!
280a10003e	“Lolagha, nikuvasuung'ha hwene ng'holo pakate pa ng'hekeeva.
280a1100aa	Muvisaghe vasufu ndavule injoka, kange muvisaghe vahuugu ndavule ing'unda. Muvisaghe maaso, ulwakuva avaanhu vilikuvatwala pa vuhighi, na kukuvatova mu masinagogi ghaave.
280a12009d	Kange vilikuvatwala pa vajagila na pa vatwa, ulwakuva mukumbingila une. Ughuo ghuuva ghwe nsiki ughwa kwoleka ulwitiko lwinu ku veene na ku vano na Vayahudi.
280a13007c	Neke pano vikuvatala pa vuhighi, namungasaghaghe kuuti kyamujova kiki, ulwakuva uNguluve ikuvapeela unsiki ughuo isa kujova.
280a14007c	Amasio ghano kyamujova naghihuma kunyumue, looli ghihuma kwa Mhepo ghwa Nguluve uNhaata ghwinu, juno kyaijova kukilila umue.
280a15008d	“Umuunhu ikumwohelagha unnine ku valugu kuuti abudue. Uviise iumwohelagha umwanaake, voope avaana vikuvagalukilagha avapaafi kuuti vabudue.
280a160081	Avaanhu vooni vilikuvakalalilagha ulwakuva mukumbingilila une. Looli juno ikuguda kuhanga kufika kuvusililo, ujuo ghwe alakuluka.
280a1700c0	Avaanhu vangavapumusie mu likaaja ili, mukimbililaghe mu likaaja ilingi. Kyang'haani nikuvavuula, namungamale kughenda amakaaja ghooni agha Isilaeli une ne Mwana gha Muunhu ye nikyale pikwisa.
280a180058	“Um'bulanisivua nangankile um'bulanisi ghwake, nambe unkami nanganinkile untwa ghwake.
280a1900f2	Looli lukwila um'bulanisivua kuuva ndavule um'bulanisi ghwake, ghope unkami kuuva ndavule untwa ghwke. Nave vikuntambula um'baha ghwa nyumba kuuti ghwe Belisebuli, asi, avaanhu ava mu nyumba jaake navangavatambule amatavua amaviivi kukila?”
280a1a0086	Lino, namungavoghopaghe avaanhu avuo, ulwakuva sooni sino sili ku vusyefusilaava pa vuvalafu, kange sooni sino sifisiime silakagulika.
280a1b006b	Sino nikavavuula ku ng'hiisi, mujovaghe pa vuvalafu Kange sino nikuvapwepela, mupulisyaghe ku vaanhu vinga.
280a1c0087	Namungavoghopaghe vano vibuda um'bili ghwene, looli mumwoghopashe uNguluve juno itipula lwoni. ltipula nu mwoto ghuno naghusima lusiku.
280a1d00b5	Asia, utujuni tuvili natughusivua ku ndalama indebe kyongo? Napano natughusivua ku ndalama nyinga, nakwekale nambe kamo kano kighua paasi kisila vughane vwa Nguluve, uNhaata ghwinu.
280a1e0038	Umue, uNguluve avalile nali linyele ilya ku matu ghiinu.
280a1f0060	Lino, namungavopashe, ulwakuva umue lumbulilo lukome pamaaso gha Nguluve kukila utujuni utwinga.
280a2000a6	Umuunhu ghweni juno ikwitika pamaaso gha vaanhu kuuti ikumbilila une, na juune nilikwitika pamaaso gha Nhaata ghwango juno ali kukyanya kuuti ujuo m'bingilili ghwango
280a210073	Neke umuunhu juno ikung'haana pamaaso gha vaanhu, na juune nilikunkaana pamaaso gha Nhaata ghwango juno ali kyanya.
