010000000b	Murhondêro
01080b008a	engûkù yamushubirakwo bijingo, abona ekola edwîrhe ehishami hy’omuzêtuni omu mulomo. Nûhu ayumva oku amîshi gaganyire okw’igulu.
01080c0056	Ashub’ilinda zindi nsiku nda, ashub’ilika engûkù egende: erhacigalukaga aha ali.
01080d00f2	Omu mwâka gwa magana ndarhu na muguma y’akalamo ka Nûhu, omu mwêzi gwa burhanzi, omu lusiku lurhanzi ly’omwêzi, amîshi gali gamagana okw’igulu; Nûhu akula omufûniko gw’obwârho, abona oku obululi b’igulu bwakazirekwo amîshi.
01080e004a	Omu mwêzi gwa kabiri, omu nsiku makumi abiri na nda igulu lyoshi lyakala.
01080f0020	Nyamuzinda arhegeka Nûhu, erhi:
0108100051	«Huluka omu bwârho mwena mukâwe, bagala bâwe na bali-kazi bâwe haguma nâwe.
01081100ba	Ensimba za ngasi lubero muli mweshi, orhunyunyi, ebishwêkwa na ngasi biyandala binadûdûsa okw’igulu, obihuluse haguma nâwe, lyo bihasha okulumîra igulu, biyololoke biluge hoshi».
0108120037	Nûhu ahuluka n’abagala, na mukâge, n’abâli-kazi.
0108130095	Ebizîne byoshi na ngasi bishwêkwa n’orhunyunyi rhwoshi n’ebiyandala binadûdûsa oku igulu kushimbana n’obûko bwabyo, byahuluka omu bwârho.
01081400a8	Go mango Nûhu ayubasirage oluhêrero lwa Nyakasane; arhôla ngasi bûko bwa nsimba ecîre na ngasi rhunyunyi rhucire, arhûla embâgwa z’okusingônola oku luhêrero.
01081500e4	Nyakasane abayiza hirya hibayo hinjà anacigerereza, erhi: «Ntakacihehêrera igulu bundi erhi muntu orhuma, bulya iralà lyâge libà liyêrekîre amabî kurhenga emuhimbo, ntakacishangula bundi ebizîne nk’oku nzind’ijira.
010816008c	Oku igulu licihaba, okumîra/kurhwêra n’okusârûla, emboho n’idûrhu, ecanda n’empondo, obudufu n’omûshi, birhakacihusa kubaho».
0109010071	Nyamuzinda anacigisha Nûhu boshi n’abagala anacibabwîra, erhi: «Muburhe, muyôloloke, munabumbe igulu bantu.
01090200c0	Mubè côbà na bacôbohwa b’ensimba zoshi z’oku igulu n’enyunyi zoshi z’emalunga, n’ebinyâgârha oku igulu lyoshi, n’enfî zoshi z’omu nyanja: byoshi mbihizire omu nfune zinyu.
0109030070	Ngasi bibà bizîne binafukunya byoshi byâbà biryo binyu, mmuhîre byo byoshi kuguma n’ebyâsi by’emburho.
010904004d	Cikwône murhalyaga enyama mukanalya n’obuzîne bwâyo, kwo kuderha omukò.
01090500a4	Ci kwônene namudôsa oku mukò gwa ngasi muguma muli mwe. Nanâdôse ebiryanyi byoshi ndôse n’omuntu, abantu bône na bône nanâdôse ogw’omukò gw’omuntu.
0109060079	Owabulage omukò gw’omuntu, naye omukò gwâge gunabulagwe n’omuntu. Bulya oku nshusho ya Nyamuzinda omuntu alemagwa.
0109070041	Mwêhe muburhe, muyôloloke, mubumbe igulu bantu munalirhegeke».
010908008a	Nyamuzinda anacibwîra Nûhu n’abagala, erhi: «Loli oku nahira endagâno yâni ekarhî kinyu n’ekarhî k’iburha linyu enyuma zinyu.
010909006e	Nanjizire eyi ndagâno haguma n’ebizîne biri haguma ninyu: enyunyi, ebintu bishwêkwa, ensimba muli mweshi,
01090a004c	rhuderhe omu kutwa bwofi, birya byanarhengaga omu nkugè, ensimba z’igulu.
01090b0085	Nfundisire endagâno yâni haguma ninyu: ntà mubiri gwacisherêre n’amîshi g’ecihonzi, harhakacibà cihonzi casherêza igulu».
01090c00a8	Nyamuzinda anaciderha, erhi: «Lolagi ecimanyîso c’endagâno nfundisire ekarhî kinyu na nâni, ekarhî k’ebindi biremwa munali mweshi nabyo, oku maburhwa gayisha.
01090d005b	Niono mpizire omuherho gwâni omu bitù, co cabà cimanyîso c’endagâno yâni n’igulu.
01090e0053	Mango nkashûbûliza ebitù oku nyanya z’igulu n’omuherho gukaboneka omu citù,
01090f006a	aho nanakengêra endagâno nafundikaga ninyu, amîshi garhacihinduke cihonzi c’okusherêza ngasi mubiri.
01091000c1	Mango omuherho gukabà guli omu citù, nanagubona, nankengêre erya ndagâno y’ensiku n’amango eri ekarhî ka Nyamuzinda n’ebiyîsa omûka byoshi, rhuderhe ngasi mubiri gubà oku igulu».
010911007d	Nyamuzinda anacibwîra Nûhu, erhi: «Eco co cimanyîso c’endagâno mpizire ekarhî kâni na ngasi mubiri guli oku igulu».
010912005c	Bagala ba Nûhu barhengaga omu nkugè bàli: Semu, Hamu na Yafeti. Hamu ye îshe wa Kanâni.
010913005b	Abo oku banali basharhu bàli bene Nûhu bo banarhenzirekwo abantu, bàlumira igulu lyoshi.
0109140045	Nûhu ebwa kubà àbâga muhinzi, arhondêra okukâhinga emizâbîbu.
010915004c	Erhi acibà amanywa idivayi, àlaluka, àyôrha bushugunu omu ihêma lyâge.
010916005c	Ham îshe wa Kanan abona îshe ali bushugunu, ajìbwîra bene wâbo oku bali babirhi embuga.
01091700ab	Ci Sem na Yafet banacirhôla ecirondo, bacîhira bombi oku birhugo bayisha bagenda cinyumanyumà, babwîka îshe, barhahindulaga obusù, barhabonaga obushugunu bw’îshe.
010918004d	Erhi Nûhu arhengamwo erya ndalwè, amanya kurhi omugala murhò anamujirîre.
0109190063	Anacimubwîra, erhi: «Kanâni ahehêrirwe mâshi! Kuli bene wâbo abè ye wa buzinda omu bajà!».
01091a005e	Anaciderha kandi, erhi: «Ayâgirwe Nyakasane Nyamuzinda wa Semu, ci Kanâni abè mujà wâge.
01091b0054	Nyamuzinda agalihye Yafet, ahande omu mahêma ga Sem; ci Kanâni abè mujà wâge».
01091c0053	Enyuma ly’ecihonzi, Nûhu acilamire yindi myâka magana asharhu na makumi arhanu.
01091d0067	Akalamo ka Nûhu koshi kahisire omu myâka magana gali mwenda na makumi arhanu, buzinda bw’aho àfà.
010a010063	Alaga iburha lya bene Nûhu, Sem, Khamu na Yafeti, n’abâna babusire enyuma ly’ecihonzi cinene.
010a020049	Yafeti àburha Gomeri, Magogi, Madayi, Yavani, Tubali, Mesheki na Tirasi.
010a030027	Bene Gomeri: Askenazi, Rifati, Togarma.
010a040036	Bene Yavani: Elisha, Tarsisi, Abakitimi n’Abadodani.
010a0500c3	Kuli barhengaga abashandabanaga omu birhwa bibà omu nyanja emwa amashanja. Bene Yafeti bagendibà ntyo ngasi baguma n’ecihugo câbo, n’olulimi lwâbo, n’emilala yâbo, n’amashanja gâbo.
010a060031	Bene Khamu bo: Kushi, Misrayimu, Puti na Kanâni.
010a070055	Bene Kushi bo: Seba, Havila, Sabata, Rama na Sabuteka. Bene Rama bo: Sheba na Dedani.
010a08003c	Kushi àburha Nimrodi, ye warhangiraga oburhambo hano igulu.
010a09007d	Ali muhivi mukulu embere za Nyamubâho, co cinarhuma baderha mpu: «Kwo oli aka Nimrodi muhivi mukulu embere za Nyamubâho».
010a0a0073	Ecihugo c’aga mashanja canacirhondêrera e Babeli, Ereki n’Akadi, bishagala biri byoshi omu cihugo ca Shineari.
010a0b0054	Arhulukâna mw’eco cihugo ajà e Asûru, ayûbaka Ninive, Rehoboti-Iri, Kalaha, na
010a0c0034	Reseni ekarhî ka Ninive na Kalaha, lugo lunene là.
010a0d0042	Misarayim àburha bene Ludimu, bene Anemu, Lehabimu na Nafutuhimu.
010a0e004b	Aburha Patrosimu, ba Kasiluhimu, bo barhengakwo Abafilistini na Bakafutori.
010a0f0031	Kanâni aburha Sidoni yo nfula yâge, kandi Heti.
010a10002d	Ahirakwo Abayebuseni, Abamoriti, Abagirgashi,
010a110028	ahirakwo Abahiviti, Abarkeni, Abasiniti,
010a120067	ahirakwo Abarvadi, Abasemariti, Abahamatiti; enyuma z’aho emilala ya bene Kanâni yashadabâna yoshi.
010a1300a0	Ecihugo ca bene Kanâni càli kurhenga e Sidoni, kugera e Gerari kujà e Gaza, kandi kugera olunda lw’e Sodomo, Gomora, Adma na Seboyimi caj’ihwera e Lesha.
010a14006f	Byanacibà ntyo kuli bene Khamu, ngasi baguma n’emilala yâbo n’ebihugo byâbo, haguma n’amashanja gâbo.
010a150057	Semu naye agwêrhe eryâge iburha, ye îshe wa bene Eberi boshi ye na mukulu wa Yafeti.
010a160037	Semu ye burha Elami, Asuri, Aripakisadi, Ludi na Arami.
010a170026	Bene Arami: Usi, Huli, Geteri na Mash.
010a180034	Aripakisadi àburha Selahi, na Selahi àburha Eberi.
010a19008c	Eberi àburha bâna babirhi: owa burhanzi aderhwa Pelegi, bulya omu mango gâge mwo igulu lyagabanyikanaga, omulumuna naye aderhwa Yokotani.
010a1a0037	Yokotani aburha Almodadi, Shelefi, Hasarmaveti na Yera,
010a1b0018	Hadorami, Uzali, Dikala,
010a1c001a	Obali, Abimayeli na Sheba.
010a1d003b	Ofiri, Havila, Yobabu, abôla boshi bali bâna ba Yokotani.
010a1e005b	Ecihugo câbo càli kurhenga e Mesha kujà e Sefari, ntondo eri ebushoshôkero bw’izûba.
010a1f007c	Kwo bali ntyo bene Semu, omu kushimba emilala yâbo, olulimi lwâbo na kandi omu kushimba ecihugo câbo n’amashanja gâbo.
010a2000a5	Kwo bene Nûhu bayôlolosire ntyo omu milala, omu bûko n’omu mashanja gâbo. Baligi cisiki c’agandi mashanja goshi gabumbire igulu kurhenga amango g’ecihonzi.
010b010036	Igulu lyoshi lyagwêrhe iderha liguma na binwa biguma.
010b0200a0	Ebwa kubà abantu bajâga bagendagenda olunda lw’ebushoshôkero bw’izûba, lêro banacirhinda omu kabanda k’omu cihugo ca Shineyari: banaciyûbaka ahôla.
010b0300a1	Banacibwîrana mpu: «Ewa yâgi, rhujire amatofali, rhugayôce n’omuliro». Amatofali gabà go mabuye g’okuyûbaka n’obulembo yâbà yo nsîma yagagwârha.
010b0400d9	Banacibwîrana mpu: «Ewa yâgi: Rhuyûbake olugo, kandi rhuhirekwo enkingi yahika oku nkuba malunga. Ntyo nîrhu rhwanakâderha oku nîrhu rhuli balume là, na kandi okwôla kwanarhuma rhurhacishandabana omu igulu».
010b05005b	Nyamuzinda anacihona oku nkuba mpu naye ayish’ilola olugo n’enkingi abantu bayûbasire.
010b0600c4	Nyamuzinda anaciderha erhi: «Alà oku boshi bali lubaga luguma banagwêrhe iderha liguma, ogwôla gwo murhondêro gw’eyi mikolo yâbo. Na bunôla ntà muhigo gwâbo gwakabula buyunjula kuli bo.
010b070054	Kanya rhubunguluke, rhubashandire iderha, bahuzagure ntà baguma baciyumva abâbo.»
010b080057	Nyamubâho àbashandabanya omu igulu lyoshi, kurhenga aho, baleka okuyûbaka olwo lugo.
010b090094	Aho bahayîrika Babeli, bulya ho Nyamubâho ashandiraga iderha ly’abantu oku igulu, ahôla ho anabashandabanyizagya, bashandâla omu igulu lyoshi.
010b0a0068	Alaga iburha lya Semu. Erhi ajira myâka igana, àburha Aripakisadi, myâka ibirhi enyuma ly’ecihonzi.
010b0b0078	Enyuma ly’okuburhwa kwa Aripakisadi, Semu ashub’ilama myâka magana arhanu, àburha abarhabana àburha n’abanyere.
010b0c0049	Erhi Aripakisadi àjira myâka makumi asharhu n’irhanu, àburha Selahi.
010b0d0079	Aripakisadi abîre amâburha Selahi, ashub’ilama yindi myâka magana anni n’isharhu, àburha abarhabana n’abanyere.
010b0e0038	Erhi Selahi àjira myâka makumi asharhu, àburha Eberi.
010b0f007a	Selahi abîre amâburha Eberi, ashub’ilama yindi myâka magana anni n’irhanu, àburha abarhabana àburha n’abanyere.
010b100040	Erhi Eberi àjira myâka makumi asharhu n’ini, àburha Pelegi.
010b110080	Eberi abîre amâburha Pelegi, ashub’ilama yindi myâka magana anni na makumi asharhu àburha abarhabana àburha n’abanyere.
010b120037	Erhi Pelegi àjira myâka makumi asharhu, àburha Rewu,
010b13007f	Pelegi abîre amâburha Rewu, ashub’ilama yindi myâka magana anni na makumi asharhu àburha abarhabana àburha n’abanyere.
010b140042	Erhi Rewu àjira myâka makumi asharhu n’ibirhi, àburha Serugi.
010b150077	Rewu abîre amâburha Serugi, ashub’ilama yindi myâka magana abirhi na nda, àburha abarhabana àburha n’abanyere.
010b160039	Erhi Serugi àjira myâka makumi asharhu, àburha Nahori.
010b170072	Serugi abîre amâburha Nahori, ashub’ilama yindi myâka magana abirhi, àburha abarhabana àburha n’abanyere.
010b180042	Erhi Nahori àjira myâka makumi abirhi na mwenda, àburha Terahi.
010b19007f	Nahori abîre amâburha Terahi, ashub’ilama yindi myâka igana n’ikumi na mwenda, àburha abarhabana, àburha n’abanyere.
010b1a004a	Erhi Terahi ajira myâka makumi galinda, àburha Abramu, Nahori na Harani.
010b1b0056	Alaga iburha lya Terahi: Terahi àburha Abramu, Nahori na Harani. Harani àburha Loti.
010b1c0054	Harani afîre embere z’îshe Terahi omu cihugo baburhiragwamwo, e Uru omu Kaldeya.
010b1d00ad	Abramu na Nahori banacijà omu buhya: mukà Abramu izîno lyâge erhi ye Sarayi; mukà Nahori izîno lyâge erhi ye Milka, mwâli wa Harani, àligi îshe wa Milka na Yisika.
010b1e0025	Sarayi anacigumba: arhabonaga mwâna.
010b1f00d9	Terahi anacirhôla omugala Abramu, n’omwinjikulu Loti mwene Harani, n’omwâlikazi Sarayi mukà omugala Abramu, boshi barhenga e Uru omu Kaldeya bajà omu cihugo c’e Kanâni, ci erhi bahika e Harani bayûbaka yo.
010b200059	Ensiku z’akalamo ka Terahi: myâka magana abirhi n’irhanu, buzinda afîra aha Harani.
010c010080	Nyamubâho anacibwîra Abramu, erhi: «Orhenge omu cihugo cinyu, omulala gwâwe n’enyumpa ya sho, ojè omu cihugo nakuyêreka.
010c020051	Nakujira ishanja linene, nakugisha n’izîno lyâwe lije irenge, lyabà mugisho!
010c030062	Nagisha abakugisha, nahana n’abakakuhehêrera. N’amashanja g’igulu goshi gagishwa muli we».
010c04009a	Abramu anacilikùla nk’oku Nyamubâho anamubwîraga, bagenda boshi na Loti. Abramu ali agwêrhe myâka makumi gali nda n’irhanu erhi arhenga e Harani.
010c0500e0	Abramu anacirhôla mukâge Sarayi na Loti, mugala w’omulumuna, ashana ebirugu byâge byoshi n’abambali ali akola agwêrhe aha Harani; balîkûla, bàjà omu cihugo c’e Kanâni. Banacihika obwo omu cihugo c’e Kanâni.
010c060099	Abramu anacirhulukàna mw’ecôla cihugo Kanâni, ahika ahantu hatagatîfu e Sikemi, aha murhi gwa More. Ago mango erhi Banyakanani bayûbasire ecihugo.
010c0700a3	Nyamubâho abonekera Abramu anacimubwîra, erhi: «Iburha lyâwe lyo nahà eci cihugo». Oku bundi Abramu ayûbakira Nyamubâho, wamubonekeraga, oluhêrero ahôla.
010c0800d4	Kurhenga aho anacisôkera oku ntondo olunda lw’e bushoshôkero bwa Beteli, agwikayo ecirâlo. Akâsinza Beteli e buzikiro na Ai e bushoshôkero. Ayubakaho oluhêrero lwa Nyamubâho, anaciyâkûza izîno lyâge.
010c09003c	Ntyo Abramu ajà ahanda anahandûla, alinda ahika e Nêgebu.
010c0a008d	Ecizombo canacizùka omu cihugo, naye Abramu abungulukira e Mîsiri mpu aj’ibêrayo bulya ecizombo càli cidârhi bwenêne mw’eco cihugo.
010c0b0083	Erhi bakola baling’ihika e Mîsiri, Abramu anacibwîra mukâge Sarayi, erhi: «Lolà, nyîshi oku ôbà mukazi w’iranga linjà.
010c0c005e	Abanya-Mîsiri hano banarhubona ntya banaderha mpu mukâge oyu, n’abo bananyîrha, bakuleke.
010c0d0059	Kuziga okâderha oku oli mwâli wîrhu lyo nâni bandola bwinjà, bandeke nkulamirekwo».
010c0e0066	Byanabà kulya, Abramu erhi ahika e Mîsiri, Abanyamisiri babona oku nyamukazi anali mwinjà bwenêne.
010c0f00c1	Abarhambo ba Faraoni mwâmi w’e Mîsiri bamubona bakàmukunga bwenêne embere za Faraoni mwâmi w’e Mîsiri. Barhôla nyamukazi, Sara, bamuhêka omu bwâmi bwa Faraoni mwâmi w’e Mîsiri.
010c1000a1	Faraoni mwâmi w’e Mîsiri arhonya Abramu erhi nyamukazi orhuma: ashobôla enkafu n’ebibuzi, endogomi ndume, abajà, abajàkazi, endogomi nkazi n’engamiya.
010c110084	Ci kwône Nyamubâho arhogezakwo Faraoni mwâmi w’e Mîsiri obuhanya bunene ye n’omulala gwâge erhi Sarayi mukà Abramu orhuma.
010c12008c	Faraoni mwâmi w’e Mîsiri anacihamagala Abramu amubwîra, erhi: «Kwo kurhi oku wanjizire? “Carhumaga orhambwîra oku ali mukâwe?”»
010c130082	Carhumaga oderha, erhi: «Ali mwâli wîrhu, n’aho nalinda mmuyanka? Buno buno alaga mukâwe, rhôla ye wenaye ontengere kuno».
010c140070	Faraoni mwâmi w’e Mîsiri amuhà abantu bamulusa bamukûla omu cihugo ye na mukâge n’ebintu byâge byoshi.
010d010067	Abramu arhenga e Mîsiri, ye, mukâge n’ebintu byâge byoshi, kuguma na Loti ashubisôkera e Nêgebu.
010d02005a	Abramu ali muhirhi bwenêne oku masô g’ebintu bishwêkwa, oku nsaranga n’oku masholo.
010d030096	Kandi ashub’ijà ahanda anahandûla kurhenga e Nêgebu kuhika e Beteli, alinda ashubihika halya agwîkaga ecirâlo burhanzi ekarhî ka Beteli na Ai,
010d04006e	halya ayubakiraga Nyamubâho oluhêrero burhangiriza, kandi ahôla Abramu ashubiyâkuza izîno lya Nyamubâho.
010d05006e	Loti wajâga agenda boshi na Abramu ali agwêrhe naye amasò g’enkafu n’ag’ebibuzi, haguma n’amahêma.
010d060048	Ecihugo cafundera, okubà n’ebintu binji kurhacizigaga babêra haguma.
010d07008b	Abangere ba Abramu n’abangere ba Loti barhondêra emirongwe. Mw’ago mango Abanya-Kanâni erhi Abaperiziti bo balibayubasire omu cihugo.
010d0800a3	Abramu abwîra Loti, erhi: «Yâga ntalonza hazûke emirongwe ekarhî kâni nâwe nîsi erhi ekarhî k’abangere bâni n’abangere bâwe bulya rhwamâbà baguma.
010d090074	K’ecihugo cirhali cigali embere zâwe. Ontengekwo. Okajà e kulembe najà ekulyo, okajà ekulyo, najà ekulembe».
010d0a00fa	Loti ayînamula amasù, abona olubanda lwa Yordani lwàli ludômerirwe bwinjà hoshi. Okwo kwabâga embere Nyamubâho ashâbe Sodomo na Gomora, olwo lubanda kwo lwàli nka busâni bwa Nyamubâho, nk’ecihugo c’e Mîsiri kujà elunda lw’e Sowari.
010d0b007f	Loti acîshoga olwo lubanda lwa Yordani lwoshi, agandûla agend’iyûbaka olunda lw’e bushoshôkero, ntyo kwo barhenginekwo.
010d0c0084	Abramu ayûbaka omu cihugo ca bene Kanâni, naye Loti ayûbaka omu bishagala by’elubanda, agwîka ebirâlo byâge kuhika e Sodomo.
010d0d0053	Abantu b’e Sodomo bali bantu babî bwenêne, na banyabyâha embere za Nyamubâho.
010d0e00b2	Nyamubâho anacibwîra Abramu, erhi Loti abà amamurhengakwo, erhi: «Yinamula amasù obone, kurhenga aho oli kujà e mwênè n’emukondwè, kujà e bushoshôkero n’ebuzikiro.
010d0f0052	Eco cihugo coshi wabona nakuhà co we n’iburha lyâwe, cibè cinyu ensiku zoshi.
010d10009f	Iburha lyâwe najira hyôloloke liluge nka katulo k’okw’idaho: owakahash’iganja emogomogo z’akatulo k’okw’idaho ye wanahash’iganja iburha lyâwe.
010d11004b	Yimuka! orhandagire eci cihugo omu buli n’omu bugali, bulya co nakuhà».
010d120097	Abramu yoyo n’amahêma gâge, akanya agend’igwîka ecirâlo aha murhi gwa Mambri, oguli aha Hebroni, n’ahôla ayûbakiraho Nyamubâho oluhêrero.
010e01008f	Omu mango ga Amrafeli mwâmi w’e Shineyari, Ariyoko mwâmi w’e Elasari na Kedori-Laomeri mwâmi w’e Elami na Tideali mwâmi w’e Goyimi,
010e0200de	abôla bâmi banacitula entambala oku bâbo bâmi bo baligi: Bera mwâmi w’e Sodomo, Birsha mwâmi w’e Gomora, Shineabi mwâmi w’e Adma, Shemeberi mwâmi w’e Seboyimi n’omwâmi w’e Bela izîno lyâge ye Sowari.
010e030054	Abâla bazinda bayankira omuhigo omu kabanda ka Sidimi yo enaligi nyanja y’omunyu.
010e04007f	Bagezize myâka ikumi n’ibirhi erhi badwîrhe barhegekwa na Kedori-Laomeri, lêro omu mwâka gw’ikumi na kasharhu, bàgoma.
010e0500f5	Ci omu mwâka gw’ikumi na karhanu Kedori-Laomeri àyisha haguma n’omurhwe gw’abandi bâmi, balya bali bayumvinye boshi naye. Ahimira bene Refayimi aha Ashtaroti-Karnayimi, Abazuzimi abahimira aha Hama, Abaemimi omu kabanda ka Kiriyatayimi,
010e06005c	Abahoriti abahimira oku ntondo za Seyiri kuhika aha Eli-Parani lugo luli elubibi n’irungu.
010e07008b	Bagonjolokera e Ayini Mishipati omu Kadesi. Bahima ab’omu cihugo c’abanya-Amaleki, kuguma n’Abamoreni, bo bàbâga e Hasasoni-Tamari.
010e0800c2	Naye omwâmi w’e Sodomo, omwâmi w’e Gomora, omwâmi w’e Adma, omwâmi w’e Seboyimi n’omwâmi w’e Bela izîno lyâge ye Sowari nabo bàhiga okulwa; babalwikiza omu kabanda ka Sidimi.
010e0900a1	Bakoza Kedori-Laomeri, mwâmi w’e Elami, Tideali mwâmi w’e Goyimi, Amrafeli mwâmi w’e Shineyari na Ariyoko mwâmi w’e Elasari, bâmi bâni oku barhanu!
010e0a00a4	Omu kabanda ka Sidimi mwâli muyunjwire bideka bya bulembo; omu kuyâka omwâmi w’e Sodomo n’omwâmi w’e Gomora bahirimamwo, abasigalaga bayâkira omu ntondo.
010e0b0067	Abahimaga basâbunga ebyali omu Sodomo n’omu Gomora byoshi, n’ebiryo byamuli byoshi banacîgendera.
010e0c0083	Loti naye, mugala wa mulumuna wa Abramu, bamugwârha, banyaga n’ebirugu byâge byoshi banacîgendera. Yo ali ayûbasire e Sodomo.
010e0d00a3	Muguma omu bashugunukaga, akanya aj’ibwîra Abramu muhabraniya wali yûbasire aha murhi gwa Mambri Amoriti, mwene wâbo Esikoli na Aneri, bàli bîra b’Abramu.
