0200000003	Nfa
02060f0095	Ovan aSimeyon, oma uYemuyel, ká̱ uYamin, ká̱ uOhat, ká̱ uYakan, ká̱ uZohar, ká̱ uShawul uwa unənang uyen oga aKanana, omata akum aSimeyon.
02061000af	Aɗin ovan aLawi omata̱ ká̱ akum oza̱, oma uGershon, ká̱ uKohat, ká̱ uMerari. ULawi nəm ìzun ìgba̱l pa̱ ìzəng ká̱ ìsəm pa̱ ishatɗing ama̱n pa̱ fangshat.
0206110041	Ovan aGershon oma, uLibəni ká̱ uShimayi, ka̱ atak akum oza̱.
020612009a	Ovan aKohat oma, uAməram, uIzhar, uHebəron, ká̱ uUza̱yel. UKohat nəm ìzun ìgba̱l pa̱ ìzəng ká̱ ìsəm pa̱ ishatɗing ama̱n pa̱ shatɗing.
020613005b	Ovan aMerari oma, uMakli ka̱ uMushi. Akum oLawi nata, mmá dàt oza̱ ka̱ akum ka̱ akum.
02061400b0	UAməram ka̱m uYokabyet ugənang apupon, kang uza̱ mar uHaruna ká̱ uMusa á na. UAməram nəm ìzun ìgba̱l pa̱ ìzəng ká̱ ìsəm pa̱ ishatɗing ama̱n pa̱ fangshat.
0206150033	Ovan aIzhar oma, uKora, ká̱ uNefek, ká̱ uZikri.
0206160040	Ovan aUza̱yel oma, uMishayel, ká̱ uEləzafan, ká̱ uSitəri.
020617007b	Te uHaruna ka̱m uElisheba uya aAminadap ugənang aNashon, á mar uNadap, ká̱ uAbihu, ká̱ uEliyaza, ká̱ uItama á na.
020618004a	Ovan áKora oma, uAshir, ká̱ uElkana, ká̱ uAbiyasap, omata akum oKora.
0206190093	Te uEleazar uya áHaruna ka̱m uzəngtəng ka̱ ashe ovan aFutiyel. Uza̱ mar uFinehas á na. Oma onəm oga mpyal onəm aLawi ka̱ atak akum oza̱.
02061a0077	UHaruna ká̱ uMusa, oma uYawe là ôza̱ pa̱, “Ó fa ká̱ oIsa̱rila ka̱ ashe mbin aMasar ìdonkong ìdonkong.”
02061b007d	UMusa ká̱ uHaruna, oma là nnap ûFirona uponzhi oga aMasar pa̱, uza̱ á re onəm oIsa̱rila á fa ka̱ ashe mbin aMasar.
02061c0048	Ka̱ nda va̱ uYawe kà̱ là nnap ká̱ uMusa ka̱ ashe mbin aMasar te,
02061d007a	uza̱ là á na pa̱, “Mmami na uYawe. Là úFirona uponzhi oga aMasar nkpaktak iya̱m va̱ mmami kà̱ nləla a ɓu.”
02061e00a7	Te uMusa na ama̱n kà̱ mpyal aYawe pa̱, “Mmami unəm uga aɓələm aɗəkɗək, n nyi nnap-nlà ka̱t, te i yar sang kang uFirona i gwong achwang kà̱ mi yà?”
02070100b7	Te uYawe là ûMusa pa̱, “Nak nnap nnəm ɓu pa̱ dakdak kà̱ nnap va̱ ta̱. N nak ɓu chit wa Inan kà̱ mpyal aFirona, kang uHaruna ugənang ɓu i yà unəm uga nlà ìchu ɓu.
0207020089	Ɓu là nkpaktak iya̱m va̱ n là a ɓu ûHaruna ugənang ɓu, kang uza̱ i là ûFirona pa̱ á re oIsa̱rila á fa ka̱ ashe mbin wò.
020703008a	Te mi nak ìgwak aFirona i twat ka̱kul na ń nak oga iya̱m iga nɗaktak mi ká̱ iga nnəm ayər á yà pa̱ kyak ka̱ ashe mbin aMasar.
02070400a8	Te uFirona i gwong achwang kà̱ wo ka̱t, te mi nak awo mi ka̱ apal aMasar kang mi fa ká̱ nggatək onəm mi oIsa̱rila ka̱ ashe mbin aMasar ká̱ akwali achumchum.
0207050080	Te oga aMasar i nyi pa̱ mmami uYawe, nva̱ngva̱ n yichi awo mi ka̱ apal aMasar kang n fa ká̱ oIsa̱rila ka̱ ashe oza̱.”
020706003b	Te uMusa ká̱ uHaruna nəm dakdak wa nva uYawe là ôza̱.
020707009e	UMusa ka̱ yà uyen uga ìzun ìsəm na̱nne kang uHaruna uyen uga ìzun ìsəm na̱nne ama̱n pa̱ shatɗing ka̱ ashe nra va̱ oza̱ là nnap ká̱ uFirona.
0207080028	Te uYawe là ûMusa ká̱ ûHaruna pa̱,
02070900af	“Nva̱ngva̱ uFirona á là a wo pa̱, ‘Ó nəm iya̱m iga nnəm ayər á wò,’ te là ûHaruna pa̱, ‘Yar idari ɓu mandar kà̱ mpyal áFirona.’ Te i wal ìzwa.”
02070a009a	Te uMusa ká̱ uHaruna tar atak áFirona nəm dakdak wa nva uYawe nak. Te uHaruna mandar idari wò kà̱ mpyal aFirona ká̱ okparikpari, te á wal ìzwa.
02070b0092	Ká̱ nna te, uFirona wór onəm wò oga ntàn, ká̱ onəm omámmàm oga aMasar, oza̱ nəm ka̱ atak nnap inunggwan oza̱ kpa wa nva oza̱ nəm.
02070c0068	Nza̱ uzəngtəng oza̱ nggo mandar idari wò, te á wal ìzwa, kang idari aHaruna wur ijo oza̱ ma̱ng.
02070d0075	Káp ká̱ nna te, ìgwak aFirona ì yà tutwat, uza̱ yang ká̱ nggwong achwang kà̱ oza̱, wa nva uYawe ka̱ là.
02070e0055	Te uYawe là ûMusa pa̱, “Ìgwak aFirona tutwat, uza̱ yang ǹre onəm pa̱ á ga.
02070f0093	Ga atak aFirona ká̱ ìpin ya uza̱ kà̱ nfa ngga anung awang aNilu, sat ka̱ anung akonkong lok na. Yar idari va̱ kà̱ wal ìzwa ka̱ awo ɓu.
02071000bf	Là á na pa̱, ‘UYawe, Inan oHiburu à re mi pa̱ ń là a ɓu pa̱, “Re onəm mi á ga ka̱kul na oza̱ a wop mi ka̱ ashe anyin.” Kang ghar ǹyangmata̱ u yang ká̱ nggwong achwang.
020711009d	Iya̱m va ta̱ uYawe là, “Ka̱ apal nnata̱ ɓu nyi pa̱ mmami uYawe.” Mi ngga mpan ndəng aNilu ká̱ idari va̱ ta̱ ka̱ awo mi, kang i wal nchə̀r.
0207120067	Te igwali iga awang aNilu i kú, aNilu i nəng, ndəng awang aNilu i ma̱t oga aMasar kà̱ ngwa.’”
020713017a	Te uYawe là ûMusa pa̱, “Là ûHaruna pa̱, ‘Yar idari ɓu na ú yichi awo ɓu ka̱ apal oga ndəng ngga aMasar, ka̱ apal oga awang oza̱, ka̱ apal oga ngwangsang, ka̱ apal oga apyáp, ka̱ apal oga nshənggət, ka̱kul na oza̱ á wal nchə̀r. Te nchə̀r i yà ka̱ ashe nkpaktak mbin aMasar, ká̱ ashe oga iya̱m iga nchwong ndəng iga akún ká̱ iga ipang.’”
02071400c0	UMusa ká̱ uHaruna nəm dakdak wa nva uYawe nak. Uza̱ gha̱p idari pàn ndəng ngga awang aNilu ká̱ kà̱ iwu aFirona ká̱ okparikpari, kang nkpaktak ndəng ngga awang aNilu wal nchə̀r.
0207150090	Igwali va̱ ka̱ ashe awang aNilu kú, awang aNilu nnsəng, ndədəng ma̱t oga aMasar kà̱ ngwa. Kang nchə̀r gang ashe mbin aMasar pa̱ lat.
02071600ad	Ká̱ nna te, onəm omámmàm oga aMasar nəm ka̱ atak nnap inunggwan oza̱ kpa wa nva oza̱ nəm. Te ìgwak aFirona twat, kang uza̱ fe oza̱ ka̱t, wa nva uYawe ka̱ là.
0207170069	UFirona ga̱ɓa̱n ga ashe ǹzhi wò, kang uza̱ nak ishi ká̱ nkpaktak oga iya̱m va̱ ta ka̱t na kpa.
0207180085	Nkpaktak oga aMasar ɓok akonkong awang aNilu pa̱ na o ya ndəng o wá, ka̱kul ndəng ngga awang aNilu ma̱t oza̱ chit kà̱ ngwa.
020719004e	Á yə́l nra chit pa̱ nfangshat kà̱ nva̱ngva̱ uYawe pàn awang aNilu á.
0208010075	Te uYawe là ûMusa pa̱, “Ga là ûFirona pa̱, ‘UYawe là pa̱, “Re onəm mi á ga ka̱kul na oza̱ a wop mi.
0208020069	A yà pa̱ ɓu yang ká̱ ǹre oza̱ te, mi ga nre ǹre ká̱ oga mpwakap kà̱ nkpaktak aswari mbin ɓu.
02080300fd	Awang aNilu i yə́l ká̱ mpwakap, kang oza̱ i táng ashe nkəlang iponzhi ɓu ká̱ ashe ǹzhi nra ɓu, ká̱ apal alyer ɓu, ká̱ nzhi okpari ɓu, kang ka̱ apal onəm ɓu ká̱ oga igəng iga ngwang iya̱m ɓu, ká̱ oga asu aga nkál mmá̱k ɓu.
0208040059	Oga mpwakap i kyen a ɓu ka̱ izər, ká̱ onəm ɓu, ká̱ nkpaktak okpari ɓu.”’”
02080500aa	Te uYawe là ûMusa pa̱, “Là ûHaruna pa̱, ‘Yichi idari ɓu ka̱ apal oga awang, ká̱ ngwangsang, ká̱ oga apyáp na oga mpwakap á fa ka̱ apambin aMasar.’”
0208060064	Te uHaruna yichi awo wò ka̱ apal oga ndəng ngga aMasar, kang oga mpwakap fa dàngchi mbin aMasar.
0208070072	Te onəm omámmàm nəm ka̱ atak nnap inunggwan oza̱ kpa, wa nva oza̱ nəm, oga mpwakap fa ka̱ apambin aMasar.
02080800c1	Te uFirona wór uMusa ká̱ uHaruna, uza̱ là pa̱, “Chal uYawe ka̱kul na uza̱ á wur oga mpwakap á le á mi ká̱ onəm mi, te mi re onəm i ga ka̱kul na oza̱ á na nləfər ûYawe.”
02080900df	Te uMusa là ûFirona pa̱, “Yak awalang va̱ u ɗom pa̱ n chal ka̱kul ɓu, ká̱ okpari ɓu, ká̱ onəm ɓu, pa̱ mmá yar oga mpwakap á le a ɓu ká̱ oga nzhi wó, na oza̱ á yà ka̱ ashe awang aNilu na chwat.”
02080a008d	Te uFirona là pa̱, “Ìpin.” Te uMusa là pa̱, “I yà wa nva u là á, ka̱kul na u nyi pa̱, unəm uro yà wa áYawe, Inan yi ka̱t.
02080b0075	Uza̱ i wur oga mpwakap i le a ɓu, ká̱ okpari ɓu, ká̱ onəm ɓu, i re oza̱ ka̱ ashe awang aNilu nà chwat.”
02080c008b	Te uMusa ká̱ uHaruna fa ka̱ atak aFirona, nna chit te, uMusa chal uYawe pa̱ á wur oga mpwakap va̱ uza̱ re ǹre ûFirona ká̱ á le.
02080d0072	Te uYawe nəm wa nva uMusa ɓəp, kang oga mpwakap ka̱ ashe oga nzhi, ká̱ ashe agəla̱n, ká̱ ashe ǹzam kú.
02080e005b	Oga aMasar ɓut mpwakap va̱ ta nchələ́ngnchələ́ng, kang à nnəng ashe mbin va̱ ta.
02080f008c	Te nva̱ngva̱ uFirona ya pa̱ oga mpwakap yà lap ka̱t te, uza̱ twat ìgwak wò, uza̱ gwong achwang kà̱ oza̱ ka̱t, wa nva uYawe là.
0208100099	Te uYawe là ûMusa pa̱, “Là ûHaruna pa̱, ‘Yichi idari ɓu na ú pàn mɓwang mbin ká̱ na á wal mməsham ka̱ ashe nkpaktak mbin aMasar.’”
02081100e3	Te oza̱ nəm wa nnà ta, kang nva̱ngva̱ uHaruna yichi awo wò pàn mbin ká̱ idari wò, te oga mməsham fa kyen unəmləbər ka̱ izər ká̱ iga iya̱m nkang. Nkpaktak mɓwang mbin ka̱ ashe aMasar ga̱ɓa̱n yà mməsham.
02081200a4	Onəm omámmàm ɗak pa̱ ó fa ká̱ mməsham kpa ka̱ atak nnap inunggwan oza̱, te á ma̱t oza̱. Oga mməsham káp ka̱ izər ánəmləbər ká̱ iya̱m nkang.
02081300a1	Onəm omámmàm là ûFirona pa̱, “Ìfang Inan ta̱.” Kang ìgwak aFirona ì ya à tutwat, te uza̱ gwong achwang kà̱ oza̱ ka̱t, wa nva uYawe kà̱ là.
02081400c4	Te uYawe là ûMusa pa̱, “Wong ká̱ iɓotak na ú sat kà̱ mpyal aFirona kà̱ nfə́r ngga awang, là á na pa̱, ‘Iya̱m va ta̱ uYawe là, “Re onəm mi á ga ka̱kul na oza̱ a wop mi.
02081500fa	Kang a yà pa̱ ɓu re onəm mi i ga ka̱t, te nyi pa̱ mi ga nre ǹre ká̱ iga ichəngchəng pa̱ makmak ka̱ apal ɓu, ká̱ okpari ɓu, ká̱ onəm ɓu. Ashe nzhi oga aMasar yə́l ká̱ ichəngchəng kang ichəngchəng i dàngchi mbin oza̱ kpa.
02081600cb	Kang kà̱ ilum va̱ ta te, mi va̱n mbin aGoshen atak va̱ onəm mi ka̱ ntəm kà̱. Mí ya ichəngchəng ka̱ ta juwo ka̱t, ka̱kul na ú nyi pa̱ mmami na uYawe, n na n yà ka̱ ashe mbin va̱ ta̱.
020817006d	Mi nak aswari kà̱ ishimshe onəm mi ká̱ onəm ɓu. Iya̱m iga nɗaktak va̱ ta̱ i ga nfa ìpin.”’”
02081800ac	Te uYawe nəm wa nnà ta, ichəngchəng fa pa̱ makmak yə́l ashe nzhi iponzhi áFirona ká̱ oga nzhi okparikpari. Te nkpaktak mbin aMasar vyap ka̱kul iga ichəngchəng.
020819006e	Te uFirona wór uMusa ká̱ uHaruna là ôza̱ pa̱, “O ga o na nləfər Înan wo ka̱ ashe mbin va ta̱.”
02081a011e	Te uMusa là pa̱, “Ì mmá pa ka̱t. Nləfər iya̱m ipápà va̱ í ga nnəna ûYawe, Inan yi te, i yà iya̱m iga nnəm ajan ka̱ atak oga aMasar. A yà pa̱ í na nləfər iya̱m ipápà iga nnəm ajan va̱ ta oza̱ kà̱ ǹyəya te, oza̱ i kwan yi ká̱ ipang í kú ka̱t ɗò?
02081b0090	Nkpak pa̱ í nəm achen aga nra pa̱ nshatɗing ka̱ ashe anyin, na í na nləfər iya̱m ipápà ûYawe, Inan yi, wa nva uza̱ i là á yi.”
02081c00a2	Te uFirona là pa̱, “Mi re wo o ga ashe anyin na o na nləfər iya̱m ipápà ûYawe, Inan wo. Ká̱ nna te, kang o ga á gbà̱ng ka̱t. O chal ka̱kul mi.”
02081d0159	Te uMusa là pa̱, “Mi fa ka̱ atak ɓu i gbà̱ng nva̱ng ka̱t te, mi chal uYawe kang ìpin te, uza̱ í nak iga ichəngchəng imakmak va̱ ta̱ i lar i le ka̱ atak aFirona, ká̱ okparikpari, ká̱ nkpaktak onənəm. Ká̱ nna te, kang wa tàng yi kà̱ɗi wa yang ká̱ ǹre onəm pa̱ á ga á na nləfər iya̱m ipápà ûYawe ka̱t.”
02081e0032	Te uMusa fa kà̱ mpyal aFirona te, á chal uYawe,
02081f00a8	te uYawe nəm wa nva uMusa là, kang à nak ichəngchəng va̱ ta lar ka̱ atak aFirona, ká̱ okparikpari, ká̱ onənəm, kang ichəngchəng iro pa̱ izəng re ka̱t.
020820004a	Ká̱ nna te, uFirona twat ìgwak wò kà̱ɗi, á yang re onəm ga ka̱t.
020901009a	Te uYawe là ûMusa pa̱, “Ga atak aFirona là á na pa̱, ‘Iya̱m va ta̱ uYawe, Inan oHiburu là, “Re onəm mi á ga ka̱kul na oza̱ a wop mi.”
020902004c	Kang a yà pa̱ ɓu ga mpyal ká̱ nkpán oza̱, ɓu re oza̱ i ga ka̱t te,
02090300a0	uYawe i nak awo wò aga nɗaktak nɗəkɗək ka̱ apal iya̱m nkang wo va̱ ka̱ ashe ǹzam, ka̱ apal ipəri, azhaki, alakəmi, ína, oga inagàm ká̱ iɓəl.
0209040091	Ká̱ nna te, uYawe i va̱n iya̱m nkang oIsa̱rila ka̱ ashe ijo oga aMasar, kang na iya̱m nkang oIsa̱rila iro pa̱ izəng á kú ka̱t.’”
0209050060	Te uYawe nak awalang, á là pa̱, “Ìpin te, uYawe i ga nnəm iya̱m ata̱ ka̱ ashe mbin.”
020906008d	Ìpin kpa̱k te, uYawe nəm iya̱m ata. Nkpaktak iya̱m nkang oga aMasar kú, nnyi te, iya̱m nkang oga oIsa̱rila iro kú pa̱ izəng ka̱t.
02090700b8	Te uFirona re onəm ga sòng kang à ya pa̱, iya̱m nkang oga aIsa̱rila iro pa̱ izəng kú ka̱t. Káp ká̱ nna te, ìgwak àFirona twat, te uza̱ yang ká̱ ǹre onəm pa̱ á ga.
0209080096	Te uYawe là ûMusa ká̱ uHaruna pa̱, “Ó kpa̱k ǹchwang ka̱ ashe achər ka̱ awo wà pa̱ súr na uMusa á swang á ga apal kà̱ ìwu aFirona.
0209090098	I wal mɓwang nnəna̱n ka̱ apal nkpaktak mbin aMasar, kang nsòmò nlóklok i fa ka̱ apal onəm ká̱ iya̱m nkang ka̱ ashe nkpaktak mbin aMasar.”
02090a00a7	Te oza̱ kpa̱k nchwang ngga ashe achər sat ká̱ kà̱ mpyal aFirona, te uMusa swang á ga apaɓur, kang nòmò nlóklok fa ónəm ka̱ izər ká̱ oga iya̱m nkang.
02090b008c	Onəm omámmàm chu pa̱ o sat kà̱ mpyal aMusa ka̱t ka̱kul oga nsòmò. Oga nsòmò fa ónəm omámmàm ká̱ nkpaktak onəm oga aMasar.
02090c006f	Ká̱ nnà te, uYawe nak ìgwak aFirona twat kang uza̱ yang ka̱ nggwong achwang, wa nva uYawe ka̱là ûMusa.
02090d00ab	Te uYawe là ûMusa pa̱, “Wong ká̱ iɓotak ga atak aFirona. Là á na pa̱, ‘Iya̱m va ta̱ uYawe, Inan oHiburu là, “Re onəm mi á ga ka̱kul na oza̱ a wop mi.
02090e00c4	Pá ka̱t te, mi ga nre ǹre ka̱ nkpaktak nɗaktak mi ka̱ apal ishi ɓu, ká̱ okpari ɓu, ká̱ onəm ɓu. Nnà chit te, ɓu nyi pa̱ unəm uro yà wa njem lap ka̱ ashe nkpaktak apambin ka̱t.
02090f0087	Wa ǹyangmata̱ te, ká̱ n yichi awo mi chit ká̱ ń ləp ɓu ká̱ onəm ɓu ká̱ nɗaktak, kang ká̱ n zhì wo chit ka̱ apambin.
0209100096	Ká̱ nnà te, n re ɓu ka̱ irirì ka̱kul ìpir nnap va ta̱, pa̱ na ń nyám ichumchum mi a ɓu, na mmá shet aɗin mi ka̱ ashe nkpaktak apambin.
0209110062	Ká̱ nnà te, mmaɓu kà̱ nnyám nggá̱r ka̱ apal onəm mi, u yang ka̱ ǹre oza̱ pa̱ á ga.
0209120088	Ìpin ká̱ atak wa nta̱ te, mi pə̀ng aɗəɗal va nna ka̱ yà chit ka̱t kà̱ ǹra va̱ mmá pak aMasar ká̱ á, ya ǹyangmata̱.
0209130114	Ka̱kul nva̱ ta te, nak mmá ɓa ká̱ iya̱m nkang ɓu ka̱ afo ká̱ nkpaktak iya̱m va mmaɓu ká̱ ka̱ ashe ǹzam. Nza̱ unəm nggo ká̱ iya̱m nkang va̱ ka̱ ashe ǹzam kang mmá ɓa ká̱ ka̱ ashe ka̱t te, i ga nkú a yà pa̱ aɗəɗal pə̀ng óza̱ á.”’”
0209140087	Onəm va̱ ka̱ ashe okpari áFirona va̱ nəm ayər nnap-nlà aYawe te, oza̱ nak ozwal oza̱ ká̱ iga iya̱m nkang chəng táng afo.
0209150077	Te onəm va̱ gwong achwang kà̱ nnap-nlà aYawe ka̱t te, á re ozwal oza̱ ká̱ iya̱m nkang oza̱ ka̱ ashe ǹzam.
02091600d2	Te uYawe là ûMusa pa̱, “Yichi awo ɓu á ga apaɓur na aɗəɗal á pə̀ng kà̱ nkpaktak mbin aMasar, ka̱ apal ánəmləbər ká̱ iya̱m nkang, ká̱ nkpaktak iya̱m nsuk ka̱ ashe íram oga aMasar.”
02091700a1	Te uMusa yichi idari wò á ga apaɓur, te uYawe re ǹre ká̱ ìgbarman ká̱ aɗəɗal. UYawe fə́r ká̱ aməlam kang à pə̀ng aɗəɗal kà̱ mbin aMasar.
0209180070	Aɗəɗal ká̱ aməlam fə́r, apipir nnà yà chit ka̱ ashe aMasar ka̱t matmat nva̱ uza̱ ka̱ yà mbin á.
02091900a3	Aɗəɗal chwan iya̱m va̱ ka̱ ashe ǹzam kà̱ nkpaktak mbin aMasar, á ɓan kà̱ unəmləbər, ká̱ iya̱m nkang, ká̱ iya̱m nsuk, kang à chwan ikún kpa.
02091a0051	Mbin aGoshen atak va̱ oIsa̱rila təm kà̱, nna byet aɗəɗal yà kà̱ ka̱t.
02091b009e	Te uFirona re ǹre kà̱ uMusa ká̱ uHaruna là ôza̱ pa̱, “Ka̱ walang ata̱ mmami ká̱ mpat. UYawe uwa unəna̱n, kang mmami ká̱ onəm mi ì pəpat.
02091c006c	Chal uYawe, igbarman ká̱ aɗəɗal Inan kúr chit. Mi ga ǹre wó, ó ga, á mal pa̱ o kali lap ka̱t.”
02091d00bc	UMusa là á na pa̱, “Mi re ìtong va̱ ta̱ i gbà̱ng nva̱ng ka̱t, mi gha̱p oga awo mi ûYawe te, igbarman i sat, kang aɗəɗal i yà lap ka̱t. Te ɓu nyi pa̱ apambin nja aYawe.
02091e0051	Te n nyinyi pa̱ mmaɓu ká̱ okpari ɓu o nəm ayər áYawe, Inan chit ka̱t.”
02091f005f	(Ǹyangmata̱ nfət ká̱ ibəshi chwan, ka̱kul ibəshi yál chit, kang nfət te kà̱ mba̱l.
020920003f	Izangzəng jote, á vyap ka̱t, ka̱kul i ya ɓwop chit ka̱t.)
020921008d	Te uMusa re uFirona fa re ìtong, te uza̱ gha̱p oga awo wò ûYawe te, igbarman ká̱ aɗəɗal sat, iva̱r pə̀ng ka̱ apambin lap ka̱t.
02092200ac	Kà̱ nva̱ngva̱ uFirona ya pa̱ iva̱r, ká̱ aɗəɗal, ká̱ igbarman sat chit, te uza̱ nəm nnap mɓá̱ngɓa̱ng kà̱ɗi, uza̱ twat ìgwak, uza̱ ká̱ okpari wò.
0209230071	Ìgwak aFirona twat, uza̱ yang ká̱ nre oIsa̱rila pa̱ á ga, dakdak wa nva uYawe ka̱ là ka̱ atak aMusa á.
020a0100b6	Te uYawe là ûMusa pa̱, “Ga atak aFirona, ka̱kul n nak ìgugwak chit twat ká̱ ìgwak okparikpari, ka̱kul na n nyám oga iya̱m iga nɗaktak mi va̱ ta̱ kà̱ ishimshe oza̱.
020a0200c9	N nəm iya̱m va̱ ta̱ ka̱kul na u shet ôvan ɓu ká̱ ôkəka ɓu nva̱ n nəm ká̱ oga aMasar pa̱ vyakshin ká̱ iya̱m iga nɗaktak va̱ n nəm ka̱ ashe oza̱, na o nyi pa̱ mmami na uYawe.”
020a0300d7	Te uMusa ká̱ uHaruna ga atak áFirona là á na pa̱, “Iya̱m va ta̱ uYawe, Inan oHiburu là, ‘I gbà̱ng wa nsang nna u yang ká̱ ǹyen ká̱ ishi ɓu á mi yà? Re onəm mi á ga ka̱kul na oza̱ a wop mi.
020a040079	Kang a yà pa̱ u yang ká̱ ǹre onəm mi pa̱ á ga te, nyi pa̱ ìpin te, mi ga nre ǹre ká̱ mbankum kà̱ mbin ɓu.
020a0500b6	Oza̱ i dàngchi apambin, unəm uro i ya mbin ka̱t. Te oza̱ i ri aɓo iya̱m va̱ re á wó kà̱ nva̱ng aɗəɗal, kang i ri nkpaktak ikun wó va̱ kà̱ ntə́p ka̱ ashe ǹzam.
020a060126	Oza̱ i yə́l oga ashe ǹzhi ɓu, ká̱ nkpaktak oga ashe ǹzhi okpari ɓu, ká̱ nkpaktak nzhi oga aMasar. OPo ɓu ká̱ okəka ɓu oma ya mbankum chit wa nva̱ ta ka̱t ka̱ ashe nra va̱ oza̱ ɓa ashe apambin ká̱, á ɓa chu nra nva̱ ta̱.’” Te uza̱ ga̱ɓa̱n fa re mpyal aFirona.
020a0700dd	Te okpari áFirona ɓəp na pa̱, “I gbà̱ng wa nsang uɓàng va̱ ta̱ i sat nɗaktak á yi yà? Re onəm va̱ ta̱ á ga ka̱kul pa̱ na oza̱ a wop uYawe, Inan oza̱. Nna u nyi chit pa̱ aMasar agúng ka̱t ɗò?”
020a080094	Te mmá le nva̱ng ká̱ uMusa ká̱ uHaruna ka̱ atak áFirona. UFirona là ôza̱ pa̱, “Ó ga ó wop uYawe Inan wó. Uda ká̱ uda i ga yà?”
020a0900cb	UMusa là pa̱, “Í ga nzəng ká̱ ovannza̱m ká̱ ónəmgbak, kang í ga ká̱ ovan yi onunggwan, ká̱ ochar, ká̱ oga iya̱m nkang ká̱ ína yi ka̱kul na i nəm awop aga nchang izər ûYawe.”
020a0a00a6	UFirona là pa̱, “UYawe á yà nzəng ká̱ wó, a yà pa̱ n re wó o ga nzəng ká̱ ovan wó te, á nyám pa̱ nna ó yà ká̱ nrəng nggha ngga ka̱ ashe wó.
020a0b0086	Pa ka̱t. O re onunggwan má chwat á ga a wop uYawe, ka̱kul iya̱m va ta ó pak mɓəɓəp.” Te mmá ɓak oza̱ re mpyal áFirona.
020a0c00a5	Te uYawe là ûMusa pa̱, “Yichi awo ɓu ka̱ apambin aMasar na oga mbankum á fa kà̱ mbin aMasar na á ri nkpaktak iya̱m nsuk va aɗəɗal ka̱ chwan ka̱t.”
020a0d00dd	Te uMusa yichi idari wò ka̱ apambin aMasar, kang uYawe nak nyə̀r ngga asa̱l awulum apyep kà̱ nkpaktak ilum iga nda va̱ ta ka̱ nkpaktak ìzwam. Anung ìpin ɓa te, nyə̀r ngga asa̱l awulum ɓa ká̱ oga mbankum.
020a0e0091	Mbankum ɓa dàngchi nkpaktak mbin aMasar, á ru kà̱ nkpaktak aswari mbin aMasar. Mmak mbankum ka̱ yà chit pa ka̱t, kang i yà pa lap ka̱t.
020a0f0114	Oza̱ dàngchi nkpaktak apambin nva̱ ta kang à nak mbin kpà̱r, kang oza̱ ri nkpaktak oga iya̱m nsuk, ká̱ nkpaktak awar ikún va̱ re kà̱ nva̱ng aɗəɗal. Iya̱m iga ndəng ipəpà iro yà re ka̱ izər ikún, ka̱t te iya̱m nsuk ka̱t, kà̱ nkpaktak mbin aMasar.
020a100080	UFirona re ǹre kà̱ uMusa ká̱ uHaruna pa̱ kəlak, á là pa̱, “N nəm nnap mɓá̱ngɓa̱ng ûYawe, Inan wó, ká̱ wó.
020a1100a8	Ka̱kul nva̱ ta te, kusukkusuk, o chal uYawe Inan wó á yar nnap mɓá̱ngɓa̱ng á mi ka̱ awalang va̱ ta̱, ka̱kul na uza̱ á yar ikú va̱ ta̱ á le á mi.”
020a120025	Te uMusa re uFirona á ga chal uYawe.
020a1300cd	Te uYawe ga̱ɓa̱n ayə́r wal nyə̀r ngga asa̱l awu ntar alum nkamkam pyep kang à wur oga mbankum swang ka̱ ashe Ìwá Ìsəksək. Ko mbankum nro re pa̱ nzəng ka̱t, ka̱ ashe nkpaktak mbin aMasar.
020a140041	Kang uYawe nak ìgwak aFirona twat, uza̱ re oIsa̱rila ga ka̱t.
020a15008e	Te uYawe là ûMusa pa̱, “Yichi awo ɓu á ga apaɓur ka̱kul na atak akpá̱rkpà̱r á zəpchi mbin aMasar, nkpa̱r atak va mí dudok.”
020a16007f	Te uMusa yichi awo wò á ga apaɓur te, atak akpá̱rkpà̱r aɗinɗin á yà kà̱ nkpaktak mbin aMasar, nra pa̱ nshatɗing.
020a1700da	Ko unəm uro pa̱ uzəng chu ǹya uwanwò ka̱t, á nəm nra pa̱ nshatɗing oza̱ wong ka̱ atak va̱ oza̱ kà̱ ka̱t. Káp ká̱ nna te, nkpaktak oIsa̱rila ka̱ ashe atak ghanghan ká̱ atak va̱ oza̱ təm kà̱.
020a1800a6	Te uFirona wór uMusa là á na pa̱, “Ga, wop uYawe. Ovan wó kpa i gəga nzəng ká̱ wó, nnyi te, oga iya̱m nkang wó ka̱ ína nna byet i re kà̱ nva̱ng.”
020a190080	Te uMusa là pa̱, “Te ɓu na nləfər iya̱m ipápà ká̱ iga nshì pa̱ ɗwot á yi ka̱ awo kpa, na í na ûYawe, Inan yi.
020a1a00e5	Iya̱m nkang yi i ga nzəng ká̱ yi kpa, ko ifir í re kà̱ nva̱ng ka̱t. Ka̱kul í wur iro ka̱ ashishe na í wop uYawe, Inan yi ká̱, te nna í nyi iya̱m va̱ chit í ga ngwop uYawe ká̱ ka̱t, ya í chu ka̱ ta kang.”
020a1b004b	Te uYawe nak ìgwak áFirona twat, uza̱ ma̱n pa̱ o re oza̱ á ga ka̱t.
