25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
20	these son: child Ham to/for family their to/for tongue: language their in/on/with land: country/planet their in/on/with nation their
21	and to/for Shem to beget also he/she/it father all son: child Eber brother: male-sibling Japheth [the] great: old
22	son: child Shem Elam and Asshur and Arpachshad and Lud and Aram
23	and son: child Aram Uz and Hul and Gether and Mash
24	and Arpachshad to beget [obj] Shelah and Shelah to beget [obj] Eber
25	and to/for Eber to beget two son: child name [the] one Peleg for in/on/with day his to divide [the] land: country/planet and name brother: male-sibling his Joktan
26	and Joktan to beget [obj] Almodad and [obj] Sheleph and [obj] Hazarmaveth and [obj] Jerah
27	and [obj] Hadoram and [obj] Uzal and [obj] Diklah
28	and [obj] Obal and [obj] Abimael and [obj] Sheba
29	and [obj] Ophir and [obj] Havilah and [obj] Jobab all these son: child Joktan
30	and to be seat their from Mesha to come (in): towards you Sephar [to] mountain: hill country [the] front: east
31	these son: child Shem to/for family their to/for tongue: language their in/on/with land: country/planet their to/for nation their
32	these family son: child Noah to/for generation their in/on/with nation their and from these to separate [the] nation in/on/with land: country/planet after [the] flood
11	32
1	and to be all [the] land: country/planet lip: language one and word one
2	and to be in/on/with to set out they from front: east and to find valley in/on/with land: country/planet Shinar and to dwell there
3	and to say man: anyone to(wards) neighbor his to give [emph?] to make bricks brick and to burn to/for fire and to be to/for them [the] brick to/for stone and [the] bitumen to be to/for them to/for clay
4	and to say to give [emph?] to build to/for us city and tower and head: top his in/on/with heaven and to make to/for us name lest to scatter upon face: surface all [the] land: country/planet
5	and to go down LORD to/for to see: see [obj] [the] city and [obj] [the] tower which to build son: child [the] man
6	and to say LORD look! people one and lip: language one to/for all their and this to profane/begin: begin they to/for to make: do and now not to gather/restrain/fortify from them all which to plan to/for to make: do
7	to give [emph?] to go down and to mix there lip: language their which not to hear: understand man: anyone lip: words neighbor his
8	and to scatter LORD [obj] them from there upon face: surface all [the] land: country/planet and to cease to/for to build [the] city
9	upon so to call: call by name her Babylon for there to mix LORD lip: language all [the] land: country/planet and from there to scatter them LORD upon face: surface all [the] land: country/planet
10	these generation Shem Shem son: aged hundred year and to beget [obj] Arpachshad year after [the] flood
11	and to live Shem after to beget he [obj] Arpachshad five hundred year and to beget son: child and daughter
12	and Arpachshad to live five and thirty year and to beget [obj] Shelah
13	and to live Arpachshad after to beget he [obj] Shelah three year and four hundred year and to beget son: child and daughter
14	and Shelah to live thirty year and to beget [obj] Eber
15	and to live Shelah after to beget he [obj] Eber three year and four hundred year and to beget son: child and daughter
16	and to live Eber four and thirty year and to beget [obj] Peleg
17	and to live Eber after to beget he [obj] Peleg thirty year and four hundred year and to beget son: child and daughter
18	and to live Peleg thirty year and to beget [obj] Reu
19	and to live Peleg after to beget he [obj] Reu nine year and hundred year and to beget son: child and daughter
20	and to live Reu two and thirty year and to beget [obj] Serug
21	and to live Reu after to beget he [obj] Serug seven year and hundred year and to beget son: child and daughter
22	and to live Serug thirty year and to beget [obj] Nahor
23	and to live Serug after to beget he [obj] Nahor hundred year and to beget son: child and daughter
24	and to live Nahor nine and twenty year and to beget [obj] Terah
25	and to live Nahor after to beget he [obj] Terah nine ten year and hundred year and to beget son: child and daughter
26	and to live Terah seventy year and to beget [obj] Abram [obj] Nahor and [obj] Haran
27	and these generation Terah Terah to beget [obj] Abram [obj] Nahor and [obj] Haran and Haran to beget [obj] Lot
28	and to die Haran upon face Terah father his in/on/with land: country/planet relatives his in/on/with Ur Chaldea
29	and to take: marry Abram and Nahor to/for them woman: wife name woman: wife Abram Sarai and name woman: wife Nahor Milcah daughter Haran father Milcah and father Iscah
30	and to be Sarai barren nothing to/for her child
31	and to take: take Terah [obj] Abram son: child his and [obj] Lot son: child Haran son: child son: child his and [obj] Sarai daughter-in-law his woman: wife Abram son: child his and to come out: come with them from Ur Chaldea to/for to go: went land: country/planet [to] Canaan and to come (in): come till Haran and to dwell there
32	and to be day Terah five year and hundred year and to die Terah in/on/with Haran
12	20
1	and to say LORD to(wards) Abram to go: went to/for you from land: country/planet your and from relatives your and from house: household father your to(wards) [the] land: country/planet which to see: see you
2	and to make you to/for nation great: large and to bless you and to magnify name your and to be blessing
3	and to bless to bless you and to lighten you to curse and to bless in/on/with you all family [the] land: planet
4	and to go: went Abram like/as as which to speak: speak to(wards) him LORD and to go: went with him Lot and Abram son: aged five year and seventy year in/on/with to come out: come he from Haran
5	and to take: take Abram [obj] Sarai woman: wife his and [obj] Lot son: child brother: male-sibling his and [obj] all property their which to gather and [obj] [the] soul: person which to make: offer in/on/with Haran and to come out: come to/for to go: went land: country/planet [to] Canaan and to come (in): come land: country/planet [to] Canaan
6	and to pass Abram in/on/with land: country/planet till place Shechem till terebinth Moreh and [the] Canaanite then in/on/with land: country/planet
7	and to see: see LORD to(wards) Abram and to say to/for seed: children your to give: give [obj] [the] land: country/planet [the] this and to build there altar to/for LORD [the] to see: see to(wards) him
8	and to proceed from there [the] mountain: hill country [to] from front: east to/for Bethel Bethel and to stretch (tent his *Q(K)*) Bethel Bethel from sea: west and [the] Ai from front: east and to build there altar to/for LORD and to call: call to in/on/with name LORD
9	and to set out Abram to go: continue and to set out [the] Negeb [to]
10	and to be famine in/on/with land: country/planet and to go down Abram Egypt [to] to/for to sojourn there for heavy [the] famine in/on/with land: country/planet
11	and to be like/as as which to present: come to/for to come (in): come Egypt [to] and to say to(wards) Sarai woman: wife his behold please to know for woman beautiful appearance you(f. s.)
12	and to be for to see: see [obj] you [the] Egyptian and to say woman: wife his this and to kill [obj] me and [obj] you to live
13	to say please sister my you(f. s.) because be good to/for me in/on/with for the sake of you and to live soul: life my in/on/with because of you
14	and to be like/as to come (in): come Abram Egypt [to] and to see: see [the] Egyptian [obj] [the] woman for beautiful he/she/it much
15	and to see: see [obj] her ruler Pharaoh and to boast: praise [obj] her to(wards) Pharaoh and to take: take [the] woman house: household Pharaoh
