24	66	1189	461
File Name	Holy-Bible---French---Free-for-the-World---Standard-Edition.noia
7	Les fils de Cush étaient: Seba, Havilah, Sabtah, Raamah et Sabteca. Les fils de Raama étaient: Saba et Dedan.
8	Cush fut le père de Nimrod. Celui-ci commença à être puissant sur la terre.
9	Il fut un puissant chasseur devant Yahvé. C'est pourquoi on dit: «comme Nimrod, un puissant chasseur devant Yahvé».
10	Le commencement de son royaume était Babel, Erech, Accad et Calneh, dans le pays de Shinar.
11	De ce pays, il alla en Assyrie, et bâtit Ninive, Rehoboth Ir, Calah,
12	et Resen entre Ninive et la grande ville de Calah.
13	Mizraïm engendra Ludim, Anamim, Lehabim, Naphtuhim,
14	Pathrusim, Casluhim (dont descendent les Philistins) et Caphtorim.
15	Canaan engendra Sidon, son premier-né, Heth,
16	les Jébusiens, les Amorites, les Girgashites,
17	les Hivites, les Arkites, les Sinites,
18	les Arvadites, les Zemarites et les Hamathites. Par la suite, les familles des Cananéens se sont dispersées.
19	La frontière des Cananéens s'étendait de Sidon, en allant vers Gerar, à Gaza, en allant vers Sodome, Gomorrhe, Adma et Zéboïm, à Lasha.
20	Voici les fils de Cham, selon leurs familles, selon leurs langues, dans leurs pays et leurs nations.
21	Des enfants naquirent aussi à Sem (frère aîné de Japhet), père de tous les enfants d'Eber.
22	Les fils de Sem furent: Élam, Asshur, Arpachshad, Lud et Aram.
23	Les fils d'Aram étaient: Uz, Hul, Gether et Mash.
24	Arpacshad engendra Shéla. Schéla engendra Eber.
25	A Eber naquirent deux fils. Le nom de l'un était Peleg, car en son temps la terre fut divisée. Le nom de son frère était Joktan.
26	Joktan engendra Almodad, Sheleph, Hazarmaveth, Jerah,
27	Hadoram, Uzal, Diklah,
28	Obal, Abimael, Sheba,
29	Ophir, Havilah et Jobab. Tous ceux-là étaient fils de Joktan.
30	Leur demeure s'étendait depuis Mesha, en allant vers Séphar, la montagne de l'orient.
31	Ce sont là les fils de Sem, selon leurs familles, selon leurs langues, leurs terres et leurs nations.
32	Ce sont là les familles des fils de Noé, selon leurs générations, en fonction de leurs nations. Les nations se sont divisées à partir de celles-ci sur la terre après le déluge.
11	32
1	Toute la terre avait une seule langue et un seul langage.
2	Comme ils voyageaient vers l'est, ils trouvèrent une plaine dans le pays de Shinar, et ils y habitèrent.
3	Ils se dirent les uns aux autres: «Venez, faisons des briques, et brûlons-les bien.» Ils avaient la brique pour pierre, et le goudron pour mortier.
4	Ils dirent: «Venez, bâtissons-nous une ville et une tour dont le sommet atteint le ciel, et faisons-nous un nom, de peur que nous ne soyons dispersés sur la surface de toute la terre.»
5	Yahvé descendit pour voir la ville et la tour que les enfants des hommes avaient bâties.
6	L'Éternel dit: «Voici, ils forment un seul peuple, et ils ont tous une seule langue, et voici ce qu'ils commencent à faire. Maintenant, rien ne leur sera refusé de ce qu'ils ont l'intention de faire.
7	Venez, descendons, et là nous confondrons leur langue, afin qu'ils ne comprennent pas le langage les uns des autres.»
8	Yahvé les dispersa donc à partir de là sur la surface de toute la terre. Ils cessèrent de construire la ville.
9	C'est pourquoi on l'appela Babel, parce que Yahvé y confondit le langage de toute la terre. De là, Yahvé les dispersa sur la surface de toute la terre.
10	Voici l'histoire des générations de Sem: Sem était âgé de cent ans lorsqu'il engendra Arpachshad, deux ans après le déluge.
11	Sem vécut cinq cents ans après avoir engendré Arpacshad, et il engendra d'autres fils et d'autres filles.
12	Arpacshad vécut trente-cinq ans, et il engendra Shéla.
13	Arpacshad vécut quatre cent trois ans après avoir engendré Shéla, et il engendra d'autres fils et d'autres filles.
14	Shéla vécut trente ans, et il engendra Eber.
15	Shéla vécut quatre cent trois ans après avoir engendré Eber, et il engendra d'autres fils et d'autres filles.
16	Eber vécut trente-quatre ans, et devint le père de Péleg.
17	Eber vécut quatre cent trente ans après avoir engendré Peleg, et il engendra d'autres fils et d'autres filles.
18	Péleg vécut trente ans et devint le père de Reu.
19	Péleg vécut deux cent neuf ans après avoir engendré Reu, et il engendra d'autres fils et d'autres filles.
20	Reu vécut trente-deux ans, et devint le père de Serug.
21	Reu vécut deux cent sept ans après avoir engendré Serug, et il engendra d'autres fils et d'autres filles.
22	Serug vécut trente ans, et devint le père de Nachor.
23	Serug vécut deux cents ans après avoir engendré Nachor, et il engendra d'autres fils et d'autres filles.
24	Nachor vécut vingt-neuf ans, et devint le père de Térah.
25	Nachor vécut cent dix-neuf ans après avoir engendré Térah, et il engendra d'autres fils et d'autres filles.
26	Térah vécut soixante-dix ans et devint le père d'Abram, de Nahor et de Haran.
27	Voici l'histoire des générations de Térah. Térah est le père d'Abram, de Nahor et de Haran. Haran est le père de Lot.
28	Haran mourut dans le pays où il était né, à Ur des Chaldéens, alors que son père Térah vivait encore.
29	Abram et Nachor épousèrent des femmes. Le nom de la femme d'Abram était Saraï, et le nom de la femme de Nachor était Milca, fille de Haran, qui était aussi le père d'Isca.
30	Saraï était stérile. Elle n'avait pas d'enfant.
31	Térah prit Abram, son fils, Lot, fils de Haran, fils de son fils, et Saraï, sa belle-fille, femme de son fils Abram. Ils partirent d'Ur des Chaldéens, pour aller au pays de Canaan. Ils arrivèrent à Haran et y habitèrent.
32	Les jours de Térah furent de deux cent cinq ans. Térah mourut à Haran.
12	20
1	Yahvé dit à Abram: «Quitte ton pays, ta famille et la maison de ton père, et va dans le pays que je te montrerai.
2	Je ferai de toi une grande nation. Je te bénirai et je rendrai ton nom grand. Tu seras une bénédiction.
3	Je bénirai ceux qui te béniront, et je maudirai celui qui te traitera avec mépris. Toutes les familles de la terre seront bénies par toi.»
4	Et Abram partit, comme Yahvé le lui avait dit. Lot partit avec lui. Abram était âgé de soixante-quinze ans lorsqu'il partit de Haran.
5	Abram prit Saraï, sa femme, Lot, le fils de son frère, tous les biens qu'ils avaient rassemblés, et le peuple qu'ils avaient acquis à Haran, et ils partirent pour aller au pays de Canaan. Ils entrèrent dans le pays de Canaan.
6	Abram traversa le pays jusqu'au lieu-dit Sichem, au chêne de Moreh. En ce temps-là, les Cananéens étaient dans le pays.
7	Yahvé apparut à Abram et dit: «Je donnerai ce pays à ta descendance.» Il y bâtit un autel à Yahvé, qui lui était apparu.
8	Il partit de là pour aller sur la montagne à l'est de Béthel et planta sa tente, ayant Béthel à l'ouest et Aï à l'est. Là, il bâtit un autel à Yahvé et invoqua le nom de Yahvé.
9	Abram voyagea, toujours en direction du sud.
10	Il y eut une famine dans le pays. Abram descendit en Égypte pour y vivre comme un étranger, car la famine sévissait dans le pays.
11	Lorsqu'il fut sur le point d'entrer en Égypte, il dit à Saraï, sa femme: «Voici, je sais que tu es une femme belle à regarder.
12	Quand les Égyptiens te verront, ils diront: «C'est sa femme». Ils me tueront, mais ils te laisseront la vie sauve.
13	Dis, je t'en prie, que tu es ma sœur, afin que je sois heureux à cause de toi et que mon âme vive grâce à toi.»
14	Quand Abram fut arrivé en Égypte, les Égyptiens virent que la femme était très belle.
15	Les princes de Pharaon la virent et la louèrent à Pharaon; et la femme fut emmenée dans la maison de Pharaon.
16	Il traita bien Abram à cause d'elle. Il eut des moutons, du bétail, des ânes mâles, des serviteurs mâles, des servantes, des ânesses et des chameaux.
17	Yahvé affligea Pharaon et sa maison de grandes plaies à cause de Saraï, la femme d'Abram.
18	Pharaon appela Abram et dit: «Qu'est-ce que tu m'as fait? Pourquoi ne m'as-tu pas dit qu'elle était ta femme?
19	Pourquoi as-tu dit: «C'est ma sœur», pour que je la prenne pour femme? Maintenant donc, va voir ta femme, prends-la, et va-t'en.»
20	Pharaon donna des ordres aux hommes à son sujet, et ils l'emmenèrent avec sa femme et tout ce qui lui appartenait.
13	18
1	Abram monta hors d'Égypte - lui, sa femme, tout ce qu'il possédait, et Lot avec lui - dans le Sud.
2	Abram était très riche en bétail, en argent et en or.
3	Il partit du Sud jusqu'à Béthel, à l'endroit où se trouvait sa tente au début, entre Béthel et Aï,
4	à l'endroit de l'autel qu'il avait fait là au début. Là, Abram invoqua le nom de Yahvé.
5	Lot, qui était allé avec Abram, avait aussi des troupeaux et des tentes.
6	Le pays ne pouvait pas les porter, pour qu'ils vivent ensemble; car leurs biens étaient si grands qu'ils ne pouvaient pas vivre ensemble.
7	Il y eut des querelles entre les bergers du bétail d'Abram et les bergers du bétail de Lot. Les Cananéens et les Phéréziens vivaient dans le pays en ce temps-là.
8	Abram dit à Lot: «Je t'en prie, qu'il n'y ait pas de dispute entre toi et moi, entre tes bergers et mes bergers, car nous sommes parents.
9	Le pays tout entier n'est-il pas devant toi? Je te prie de te séparer de moi. Si tu vas à gauche, je vais à droite. Ou si tu vas à droite, j'irai à gauche.»
10	Lot leva les yeux et vit toute la plaine du Jourdain, qui était partout bien arrosée, avant que Yahvé ne détruise Sodome et Gomorrhe, comme le jardin de Yahvé, comme le pays d'Égypte, en allant vers Zoar.
11	Lot choisit donc pour lui la plaine du Jourdain. Lot voyagea vers l'est, et ils se séparèrent les uns des autres.
12	Abram habita le pays de Canaan, et Lot habita les villes de la plaine, et il déplaça sa tente jusqu'à Sodome.
13	Or, les hommes de Sodome étaient extrêmement méchants et pécheurs contre Yahvé.
14	Yahvé dit à Abram, après que Lot se fut séparé de lui: «Maintenant, lève les yeux et regarde du lieu où tu es, vers le nord et vers le sud, vers l'est et vers l'ouest,
15	car je donnerai tout le pays que tu vois, à toi et à ta postérité, pour toujours.
16	Je rendrai ta descendance comme la poussière de la terre, de sorte que si un homme peut compter la poussière de la terre, alors ta descendance pourra aussi être comptée.
17	Lève-toi, parcours le pays dans sa longueur et dans sa largeur, car je te le donnerai.»
18	Abram déplaça sa tente et vint s'établir près des chênes de Mamré, qui sont à Hébron, et il y bâtit un autel à Yahvé.
14	24
1	Du temps d'Amraphel, roi de Schinear, d'Arioch, roi d'Ellasar, de Chedorlaomer, roi d'Élam, et de Tidal, roi de Gojim,
2	ils firent la guerre à Béra, roi de Sodome, à Birsha, roi de Gomorrhe, à Shinab, roi d'Adma, à Shemeber, roi de Zéboïm, et au roi de Béla (appelé aussi Zoar).
3	Tous se rejoignaient dans la vallée de Siddim (appelée aussi la mer Salée).
4	Ils servirent Chedorlaomer pendant douze ans, et la treizième année, ils se révoltèrent.
5	La quatorzième année, Kedorlaomer et les rois qui étaient avec lui vinrent frapper les Rephaïm à Ashteroth Karnaïm, les Zuzim à Ham, les Emim à Shaveh Kiriathaïm,
6	et les Horites dans leur montagne de Séir, jusqu'à El Paran, qui est au bord du désert.
7	Ils revinrent et arrivèrent à En Mischpat (appelée aussi Kadès), et ils battirent tout le pays des Amalécites et des Amorites, qui habitaient à Hatsatson-Tamar.
8	Le roi de Sodome et le roi de Gomorrhe, le roi d'Adma, le roi de Zéboïm et le roi de Béla (appelé aussi Zoar) sortirent, et ils se rangèrent en bataille contre eux dans la vallée de Siddim
9	contre Kedorlaomer, roi d'Élam, Tidal, roi de Goïim, Amraphel, roi de Shinar, et Arioch, roi d'Ellasar; quatre rois contre les cinq.
10	Or, la vallée de Siddim était pleine de puits de goudron; les rois de Sodome et de Gomorrhe s'enfuirent, et quelques-uns y tombèrent. Ceux qui restèrent s'enfuirent sur les collines.
11	Ils prirent tous les biens de Sodome et de Gomorrhe, ainsi que toute leur nourriture, et s'en allèrent.
12	Ils prirent Lot, fils du frère d'Abram, qui habitait à Sodome, et ses biens, et s'en allèrent.
13	Un rescapé vint le dire à Abram, l'Hébreu. En ce temps-là, il habitait près des chênes de Mamré, l'Amoréen, frère d'Eshcol et frère d'Aner. Ils étaient les alliés d'Abram.
14	Lorsqu'Abram apprit que son parent avait été emmené en captivité, il fit sortir ses trois cent dix-huit hommes entraînés, nés dans sa maison, et les poursuivit jusqu'à Dan.
15	Il se divisa contre eux pendant la nuit, lui et ses serviteurs, les battit, et les poursuivit jusqu'à Hoba, qui est à gauche de Damas.
16	Il ramena tous les biens, et il ramena aussi son parent Lot et ses biens, les femmes aussi, et le reste du peuple.
17	Le roi de Sodome sortit à sa rencontre, après son retour du massacre de Chedorlaomer et des rois qui étaient avec lui, dans la vallée de Shaveh (c'est-à-dire la vallée du roi).
18	Melchisédek, roi de Salem, fit sortir du pain et du vin. Il était prêtre du Dieu Très-Haut.
19	Il le bénit et dit: «Béni soit Abram du Dieu Très-Haut, possesseur du ciel et de la terre.
20	Béni soit le Dieu Très-Haut, qui a livré tes ennemis entre tes mains.» Abram lui a donné un dixième de tout.
21	Le roi de Sodome dit à Abram: «Donne-moi le peuple, et prends les biens pour toi.»
22	Abram dit au roi de Sodome: «J'ai levé la main vers Yahvé, Dieu Très-Haut, qui possède le ciel et la terre,
23	pour ne prendre ni fil, ni lanière de sandale, ni rien de ce qui t'appartient, de peur que tu ne dises: «J'ai enrichi Abram».
24	Je n'accepterai rien de toi, si ce n'est ce que les jeunes gens ont mangé, et la part des hommes qui sont partis avec moi: Aner, Eshcol et Mamré. Qu'ils prennent leur part.»
15	21
1	Après cela, la parole de Yahvé fut adressée à Abram dans une vision, en disant: «N'aie pas peur, Abram. Je suis ton bouclier, ta très grande récompense.»
